id,address,apn,permits,net_units,vli_units,status,app_filed_date,app_complete_date,entitled_date,bp_issued_date,co_date,density_bonus,sb35_flag,sb330_flag,ab2011_flag,developer,architect,construction_status,milestone_achieved
896,2580 BANCROFT Way,,,117,0,completed,,,,,2021-11-29,,,,,,,,CO Issued
897,2628 SHATTUCK Ave,,,78,0,completed,,,,,2021-07-16,,,,,,,,CO Issued
898,2597 TELEGRAPH Ave,,,10,0,completed,,,,,2021-11-10,,,,,,,,CO Issued
226,1837 Berkeley Way,,,3,0,completed,,,,,2021-04-06,,,,,,,,CO Issued
707,2815 Channing,,,2,0,completed,,,,,2021-05-28,,,,,,,,CO Issued
775,2116 Allston,,,2,0,completed,,,,,2021-10-29,,,,,,,,CO Issued
783,1811 Sixty-Third,,,2,0,completed,,,,,2021-09-01,,,,,,,,CO Issued
77,1420 FIFTH St,,,1,0,in_review,2025-01-01,,,,2021-12-09,,,,,,,,CO Issued
94,2145 GRANT St,,,1,0,entitled,2024-09-24,,2026-03-26,,2021-09-30,,,,,,,,CO Issued
391,1614 Grant St,,,1,0,completed,,,,,2021-12-17,,,,,,,,CO Issued
414,2350 Prospect St,,,1,0,completed,,,,,2021-09-02,,,,,,,,CO Issued
703,1821 Ward,,,1,0,completed,,,,,2021-11-16,,,,,,,,CO Issued
704,2314 Ellsworth,,,1,0,completed,,,,,2021-09-20,,,,,,,,CO Issued
705,2629 Woolsey,,,1,0,completed,,,,,2021-06-14,,,,,,,,CO Issued
706,2335 California,,,1,0,completed,,,,,2021-05-26,,,,,,,,CO Issued
708,1315 Milvia,,,1,0,completed,,,,,2021-08-26,,,,,,,,CO Issued
709,1611 Stannage,,,1,0,completed,,,,,2021-03-29,,,,,,,,CO Issued
710,2911 Lorina,,,1,0,completed,,,,,2021-09-15,,,,,,,,CO Issued
711,3109 Lewiston,,,1,0,completed,,,,,2021-10-08,,,,,,,,CO Issued
712,59 The Plaza,,,1,0,completed,,,,,2021-04-27,,,,,,,,CO Issued
713,2325 Eighth,,,1,0,completed,,,,,2021-05-24,,,,,,,,CO Issued
714,1632 Prince,,,1,0,completed,,,,,2021-11-09,,,,,,,,CO Issued
715,1031 Channing,,,1,0,completed,,,,,2021-11-10,,,,,,,,CO Issued
716,1204 Carleton,,,1,0,completed,,,,,2021-02-04,,,,,,,,CO Issued
717,1280 Monterey,,,1,0,completed,,,,,2021-02-01,,,,,,,,CO Issued
718,1315 Blake,,,1,0,completed,,,,,2021-03-16,,,,,,,,CO Issued
719,1334 Blake,,,1,0,completed,,,,,2021-10-12,,,,,,,,CO Issued
720,1335 Delaware,,,1,0,completed,,,,,2021-10-19,,,,,,,,CO Issued
721,1512 North,,,1,0,completed,,,,,2021-09-03,,,,,,,,CO Issued
722,1535 Juanita,,,1,0,completed,,,,,2021-09-29,,,,,,,,CO Issued
723,1628 Jaynes,,,1,0,completed,,,,,2021-01-27,,,,,,,,CO Issued
724,1775 Sonoma,,,1,0,completed,,,,,2021-07-15,,,,,,,,CO Issued
725,2117 Eighth,,,1,0,completed,,,,,2021-10-13,,,,,,,,CO Issued
726,1943 Haste,,,1,0,completed,,,,,2021-10-22,,,,,,,,CO Issued
727,1015 Mariposa,,,1,0,completed,,,,,2021-08-19,,,,,,,,CO Issued
728,1120 Oxford,,,1,0,completed,,,,,2021-12-03,,,,,,,,CO Issued
729,1132 Amador,,,1,0,completed,,,,,2021-04-05,,,,,,,,CO Issued
730,1442 Campus,,,1,0,completed,,,,,2021-06-08,,,,,,,,CO Issued
731,1505 Arch,,,1,0,completed,,,,,2021-01-11,,,,,,,,CO Issued
732,1612 Spruce,,,1,0,completed,,,,,2021-05-10,,,,,,,,CO Issued
733,1620 Delaware,,,1,0,completed,,,,,2021-09-23,,,,,,,,CO Issued
734,2748 California,,,1,0,completed,,,,,2021-02-04,,,,,,,,CO Issued
735,2847 Prince,,,1,0,completed,,,,,2021-07-22,,,,,,,,CO Issued
736,2911 Hillegass,,,1,0,completed,,,,,2021-08-06,,,,,,,,CO Issued
737,3020 Acton,,,1,0,completed,,,,,2021-03-31,,,,,,,,CO Issued
738,831 Page,,,1,0,completed,,,,,2021-12-01,,,,,,,,CO Issued
739,929 Colusa,,,1,0,completed,,,,,2021-03-17,,,,,,,,CO Issued
740,1444 Fifth,,,1,0,completed,,,,,2021-03-17,,,,,,,,CO Issued
741,1112 Fresno,,,1,0,completed,,,,,2021-02-18,,,,,,,,CO Issued
742,1206 Talbot,,,1,0,completed,,,,,2021-12-22,,,,,,,,CO Issued
743,1284 Hearst,,,1,0,completed,,,,,2021-07-15,,,,,,,,CO Issued
744,1307 Ward,,,1,0,completed,,,,,2021-03-12,,,,,,,,CO Issued
745,1625 Russell,,,1,0,completed,,,,,2021-07-30,,,,,,,,CO Issued
746,1628 Seventh,,,1,0,completed,,,,,2021-03-18,,,,,,,,CO Issued
747,2236 Eighth,,,1,0,completed,,,,,2021-07-21,,,,,,,,CO Issued
749,2417 Woolsey,,,1,0,completed,,,,,2021-03-30,,,,,,,,CO Issued
750,584 Arlington,,,1,0,completed,,,,,2021-07-20,,,,,,,,CO Issued
751,1444 Fifth [B2019-01349],,,1,0,completed,,,,,2021-03-16,,,,,,,,CO Issued
752,1626 Tenth,,,1,0,completed,,,,,2021-10-07,,,,,,,,CO Issued
753,1640 Ninth,,,1,0,completed,,,,,2021-11-16,,,,,,,,CO Issued
754,1526 Sixth,,,1,0,completed,,,,,2021-02-09,,,,,,,,CO Issued
755,1209 Derby,,,1,0,completed,,,,,2021-03-11,,,,,,,,CO Issued
756,1316 Milvia,,,1,0,completed,,,,,2021-03-26,,,,,,,,CO Issued
757,1414 Holly,,,1,0,completed,,,,,2021-10-26,,,,,,,,CO Issued
758,1414 M L King Jr,,,1,0,completed,,,,,2021-02-09,,,,,,,,CO Issued
