permit,apn,year,number_units,occtype,bucket,reason,wd
B2024-06087,059 225900800,2025,5,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"5 units multi-family’s water heater need permit for installation because of violation of home inspection - Housing Reports H2024-03946 #5, H2024-03947 #1, H2024-03948 #2, H2024-039"
B2013-04300,060 242700400,2018,4,R-1,propose,"new-construction text, plain occ, no counted units at APN","REMODEL 4 UNITS (A-D) - ADDING 97 S.F. AND CONSTRUCTION 800 S.F. 4-CAR GARAGE
11/14/16 Adding Gas pipe meter release.
04/29/2019: This permit satisfies all violations and unpermitt"
B2016-01156,053 160803600,2018,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"REPAIR WOOD ON DECKS & BALCONY -REPLACE RAILING ON UPPER BALCONY. ADD SLATS ON LOWER RAILING ON REAR DECK, REPAIRS FOR TERMITE REPOATR 3B. 
Per AUP legalize rear deck//em"
B2017-02082,052 143301200,2022,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",adjudicate_unclear,neither clear new-construction nor alteration text,"Legalize two(2) residential units that were converted without Permits from original commercial.
See use permit ZP2015-0184 conditions on 2nd page of plans."
B2018-03897,058 218202000,2019,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN","Per Housing Report #H2018-00154, Dated 7-23-18, Item #13.  Legalize laundry room, new laundry hookups, new partition wall separating laundry from basement. Fire Zone 2 Property."
B2020-00317,060 242307900,2021,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",adjudicate_unclear,neither clear new-construction nor alteration text,"Per housing report H2019-00428 dated November 18, 2019, legalize (E) laundry area."
B2020-03996,059 226902700,2022,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN",Build a new laundry shed (8' x 11') in new location within the allowable setbacks and in compliance of new building codes.
B2022-01902,055 183202000,2022,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN","Unit 1 kitchen remodel like to like, Unit 3 kitchen, bathroom remodel like for like. Common Lobby area install new dryer and washer.
[5/25/2022 MEP Application: Install new subpane"
B2022-03216,053 160101600,2023,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"(E) 4-unit multi-family building remodel: Upgrades to finishes, fixtures, lighting, (N) windows, (N) bathrooms,  enclose (E) balcony at Unit 1845, voluntary partial foundation repl"
B2022-04341,059 226503700,2023,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN","Permit existing 400 amp main panel, install new service risers , install new 3"" conduit..Subject to Field inspection"
B2022-04445,053 167401600,2023,4,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congre",adjudicate_convention,convention-suspect occ/wd,"53 Sq Ft Full Bathroom Remodel on Ground Floor. No Structural. No Changes to Walls or Openings. Replace Exiting with (N) Tub/Shower, Toilet, and Vanity. All (N) Fixtures, Finishes,"
B2023-00985,056 193800200,2023,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"Legalize deck enlarged without permits. RHSP Case #H2022-00399, Item #3."
B2023-05520,057 208101600,2024,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN","Legalize un-permitted rear window, replace existing bathroom window for a new tempered window.  See case #H2023-00363"
B2024-01246,054 174702800,2024,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"Water damage repair. Remove & replace 352 SqFt of 1/2"" drywall & R-38 insulation on second floor ceiling (""great room"" / living room). Legalize first floor interior partial height "
B2024-06035,056 192700300,2025,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"EMERGENCY: Repair/Change out, 200 amp Dual meter Buss Burned out. PGE disconnected , disabled tenant no power since 12/20. Update Grounding and Bonding."
B2025-00879,052 143800400,2025,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,Per Housing Rpt # H2025-00074 Items #22 & #25 to Legalize water heater & washer / dryer installations.
B2025-01793,052 141003700,2025,4,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"Sub panel replacement &
Full interior rewire of unit 1"
B2017-01021,060 241101504,2019,3,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"Legalize unpermitted conversion of 271 sq.ft. storage room to habitable space. Currently, the space is being used as a studio. The proposed scope of work will incorporate the 271 s"
B2019-02567,058 217600500,2019,3,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congre",adjudicate_convention,convention-suspect occ/wd,Interior remodel of existing bathroom. Convert existing closet to half bath.
B2019-03935,057 205700500,2020,3,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"Legalize remodeled bathroom, kitchen & replaced windows in unit C."
B2020-00845,058 217300800,2022,3,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congre",adjudicate_convention,convention-suspect occ/wd,"Per Housing Report H2019-00809, Dated March 2, 2020. Item #2 to legalize laundry area, hookups & connections in existing basement area."
B2021-03800,057 205700500,2023,3,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,"Sheet rock repair in utility rooms under stairway in Unit A and B, legalize plumbing, electrical, mechanical and sheetrock repair in unit C and laundry room per housing case #H2020"
B2023-01905,056 199804000,2024,3,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congre",adjudicate_convention,convention-suspect occ/wd,To replace an existing temp power with a 400 Amp 2 meter service
B2023-03543,056 197101000,2023,3,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,REPLACE ELECTRICAL FEED TO BACK UNITS
B2023-04107,056 197101000,2023,3,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,REPLACE ELECTRICAL FEED TO BACK UNITS
B2024-04549,056 193201400,2024,3,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,Replace two Federal main breakers with code-compliant equivalents. Replace one fused main switch with equivalent.
B2024-04727,059 228202300,2024,3,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congre",adjudicate_convention,convention-suspect occ/wd,Tear off the existing flat roofs and install a 3-ply modified bitumen roof system.
B2025-00139,057 201501000,2025,3,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",reject_alteration,alteration text — NumberUnits = building size,H2024-03516 Items 4 & 9. Water heater replacement for unit 3.
B2025-00631,053 168002500,2025,3,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",propose,"new-construction text, plain occ, no counted units at APN","**3/10/2025** Add four (4) 240v circuits, six (6) new devices and one (1) 100amp subpanel** 
Adding 4 new dedicated circuit wires for 2 switches, 6 light locations and 5 wall outle"
