year,bucket,match_via,apn_key,pdf_address,ckan_address,pdf_co_units,ckan_co_units,pdf_co_dates,ckan_co_dates,delta_co
2020,DIVERGE,apn,052-1527-011-00,1811 SIXTY-THIRD,1811 Sixty-Third,0,2,,2020-01-28,-2
2020,DIVERGE,apn,058-2170-017-00,1711 M L KING JR,1711 M L King Jr,0,1,,2020-03-02,-1
2020,DIVERGE,apn,055-1875-004-00,2501 Haste,2503 Haste,0,55,8/19/2020,2020-08-19,-55
2020,PDF_ONLY,,055-1912-018-00,2334 JEFFERSON,,1,,6/11/20,,1
2020,PDF_ONLY,,060-2449-003-00,1912 YOLO,,1,,11/17/20,,1
2020,PDF_ONLY,,061-2611-023-00,929 COLUSA,,1,,12/15/20,,1
2021,CKAN_ONLY,,062-2911-011-00,,1854 San Ramon,,1,,2021-12-06,-1
2021,CKAN_ONLY,,059-2315-027-00,,1526 Sixth,,2,,2021-02-09,-2
2021,CKAN_ONLY,,055-1899-004-00,,1943 Haste,,1,,2021-10-22,-1
2021,CKAN_ONLY,,057-2095-004-00,,840 Delaware,,1,,2021-08-19,-1
2021,CKAN_ONLY,,055-1877-019-02,,2580 Bancroft,,122,,2021-11-29,-122
2021,CKAN_ONLY,,056-1932-023-00,,2407 Tenth,,1,,2021-09-02,-1
2021,DIVERGE,apn,052-1545-031-00,1632 Prince,1632 Prince,7,1,12/19/2021,2021-12-19,6
2021,DIVERGE,apn,055-1837-003-00,2597 Telegraph,2597 Telegraph,14,10,11/10/2021,2021-11-10,4
2021,DIVERGE,apn,055-1864-010-00,2813 CHANNING; 2813 Channing; 2815 CHANNING,2813 Channing; 2815 Channing,8,4,5/28/2021,2021-05-28,4
2021,DIVERGE,apn,057-2067-017-00,1821 SACRAMENTO,1821 Sacramento,2,1,1/11/2021; 6/10/2021,2021-06-10,1
2021,DIVERGE,apn,056-1937-023-00,2323 EIGHTH,2323 Eighth; 2325 Eighth,1,2,5/24/2021,2021-05-24,-1
2021,DIVERGE,apn,052-1562-023-00,2629 WOOLSEY,2629 Woolsey,0,1,,2021-06-14,-1
2021,DIVERGE,apn,057-2030-002-00,2116 ALLSTON,2116 Allston,1,2,10/29/2021,2021-10-29,-1
2021,PDF_ONLY,,057-2016-020-00,1812 University,,44,,8/31/2021,,44
2021,PDF_ONLY,,055-1875-008-00,2510 Channing,,36,,10/25/2021,,36
2023,DIVERGE,apn,052-1561-013-00,3038 Benvenue Ave,3038 Benvenue Ave,0,1,1/25/2023,2023-01-25,-1
