na,delta,city,ours,keys,sks,yrs
1400 QUEENS,-1.0,0.0,1.0,060-2482-023-00,B2013-06041,
2400 EUNICE,-1.0,0.0,1.0,060-2465-006-00,B2023-06087,
2338 MCGEE,-1.0,0.0,1.0,055-1909-016-00,B2020-03314,
1634 BLAKE,-1.0,0.0,1.0,054-1805-033-00,B2025-01031,
2332 CALIFORNIA,-1.0,0.0,1.0,055-1913-015-00,B2020-02495,
2327 OREGON,-1.0,1.0,2.0,053-1689-009-00,B2022-04721,2025
1425 8TH,-1.0,0.0,1.0,059-2334-015-00,B2024-05164,
2214 M L KING JR,-1.0,0.0,1.0,057-2018-008-00,B2016-04212,
2237 DERBY,-1.0,1.0,2.0,055-1827-005-00,"B2021-04253,B2023-01754",2023
1025 MILLER,-1.0,0.0,1.0,063-2969-034-23,B2021-05697,
2440 PRINCE,-1.0,1.0,2.0,052-1559-019-00,"B2023-05918,B2025-00091",2025
1336 MILVIA,-1.0,0.0,1.0,060-2451-015-00,B2016-05881,
2911 HILLEGASS,-1.0,1.0,2.0,052-1569-024-00,"B2020-01030,B2020-02833",2021
1912 YOLO,-1.0,0.0,1.0,060-2449-003-00,B2019-05514,
1527 WOOLSEY,-1.0,1.0,2.0,052-1542-008-00,"B2019-00029,B2024-05661",2019
2818 WEBSTER,-1.0,1.0,2.0,052-1564-056-00,"B2022-01755,B2024-01964",2024
1230 CEDAR,-1.0,0.0,1.0,059-2292-017-02,B2021-00856,
1419 BANCROFT,-1.0,0.0,1.0,056-1998-031-00,B2024-05129,
1912 STUART,-1.0,1.0,2.0,053-1680-024-00,"B2023-00520,B2024-01486",2024
2735 WALLACE,-1.0,1.0,2.0,054-1742-067-00,"B2024-02286,B2025-01245",2025
1514 BLAKE,-1.0,0.0,1.0,054-1800-022-00,B2023-05250,
1329 ALCATRAZ,-1.0,0.0,1.0,052-1518-007-00,B2022-02907,
1300 MONTEREY,-1.0,1.0,2.0,060-2429-024-00,B2024-00824,2025
1309 DERBY,-1.0,0.0,1.0,054-1792-017-00,B2024-05962,
2662 HILGARD,-1.0,0.0,1.0,058-2209-005-00,B2021-05397,
2655 VIRGINIA,-1.0,0.0,1.0,058-2209-016-00,B2022-03116,
1031 CHANNING,-1.0,1.0,2.0,056-1933-021-00,"B2020-01885,B2020-01889",2021
2028 ESSEX,-1.0,0.0,1.0,053-1594-023-00,B2023-04985,
1345 FRANCISCO,-1.0,0.0,1.0,058-2140-012-01,B2021-05046,
1817 SIXTY 2ND,-2.0,1.0,3.0,052-1526-009-00,"B2023-05812,B2024-04807",2025
1136 KEITH,-2.0,0.0,2.0,063-2988-038-00,"B2024-02570,B2024-02712",
2618 COLLEGE,-2.0,2.0,4.0,055-1845-010-00,"B2021-05671,B2024-05247,B2024-05766",2025
2556 TELEGRAPH,-2.0,22.0,24.0,055-1837-001-00,B2018-05067,2022
2236 GRANT,-2.0,0.0,2.0,057-2013-015-00,"B2024-04949,B2025-03420",
1471 SCENIC,-2.0,0.0,2.0,059-2249-030-02,B2014-01391,
1601 OXFORD,-3.0,34.0,37.0,058-2183-001-00,B2019-05475,2022
739 CHANNING,-5.0,17.0,22.0,056-1945-006-00|056-1945-007-04,"B2018-02291,B2019-02824,B2019-02831","2022,2023"
1367 UNIVERSITY,-39.0,0.0,39.0,057-2073-005-00,B2022-04366,
2510 CHANNING,-40.0,0.0,40.0,055-1875-008-00,B2019-01789,
0 SAN PABLO,-41.0,0.0,41.0,056-1928-019-00,B2021-02423,
1808 UNIVERSITY,-44.0,0.0,44.0,057-2016-020-00,B2014-05786,
