JURS_TRACKING_ID,STREET_ADDRESS,APN,UNIT_CAT,co_units_d5,bp_units_d5
B2021-01216,3108 MABEL St,052 151501900,SFD,0.0,0.0
B2021-04800,1328 HASKELL St,052 151603000,SFD,0.0,0.0
B2019-01412,1311 ALCATRAZ Ave,052 151801200,SFD,0.0,0.0
B2021-05172,1514 PRINCE St,052 154202000,SFD,0.0,0.0
B2020-03093,3116 ELLIS St,052 154602500,SFD,0.0,0.0
B2020-02487,2121 WOOLSEY St,052 155500800,SFD,0.0,0.0
B2021-01293,2750 PRINCE St,052 156305000,SFD,0.0,0.0
B2021-03288,2724 ALCATRAZ Ave,052 156318200,SFD,0.0,1.0
B2021-02019,2745 ELMWOOD Ave,052 156704000,SFD,0.0,0.0
B2019-03118,2956 HILLEGASS Ave,052 157303400,SFD,0.0,0.0
B2019-02303,3025 REGENT St,052 157407600,SFD,0.0,0.0
B2020-00982,2212 ASHBY Ave,052 158300400,SFD,0.0,0.0
B2021-04641,2237 PRINCE St,052 158302200,SFD,0.0,0.0
B2019-05660-REV01,2927 Lorina St,053 158901801,SFD,0.0,1.0
B2018-02549,3034 HARPER St,053 160201300,SFD,1.0,0.0
B2016-02041,2932 HARPER St,053 160301500,SFD,0.0,0.0
B2021-05741,2917 KING St,053 160402800,SFD,0.0,0.0
B2016-03149,3090 KING St,053 160600400,SFD,0.0,0.0
B2021-02353,1526 RUSSELL St,053 161002500,SFD,0.0,0.0
B2021-01810,1513 PRINCE St,053 161301100,SFD,0.0,0.0
B2020-00346,3015 DOHR St,053 161503100,SFD,0.0,0.0
B2020-03397,2909 ACTON St,053 161902200,SFD,0.0,0.0
B2021-01195-REV01,1322 CARRISON St,053 162502500,SFD,0.0,0.0
B2021-00335,1237 CARRISON St,053 162701200,SFD,0.0,0.0
B2015-00694,3020 SAN PABLO AVE,053 163400401,SFD,0.0,0.0
B2019-04278,2873 SACRAMENTO St,053 167201200,SFD,0.0,0.0
B2021-03756,1534 OREGON St,053 167202101,SFD,0.0,0.0
B2020-01025,1612 STUART St,053 167402200,ADU,1.0,0.0
B2021-05074,2230 STUART St,053 168803000,SFD,0.0,0.0
B2021-01566,2816 HILLEGASS Ave,053 169300700,SFD,0.0,0.0
B2021-01263,2701 CLAREMONT Blvd,054 170204000,SFD,0.0,0.0
B2021-00677,2731 HILLEGASS Ave,054 171002000,SFD,0.0,0.0
B2019-01926,2310 WARD St,054 171602300,SFD,0.0,0.0
B2021-01645,2703 FULTON St,054 171802300,SFD,0.0,0.0
B2019-02265,2717 GRANT St,054 172701700,SFD,0.0,0.0
B2021-03437,1630 DERBY St,054 173103400,SFD,0.0,0.0
B2021-04679,1415 WARD St,054 173600800,SFD,0.0,0.0
B2020-03986,1319 WARD St,054 173901300,SFD,0.0,0.0
