year,apn,street_address,co_units
2025,052 153601100,1515 HARMON St,2
2025,060 240905500,1217 EVELYN Ave,1
2025,062 286800100,605 NEILSON St,1
2025,055 185202300,2607 PIEDMONT Ave,1
2025,061 260501300,1140 THE ALAMEDA,1
2025,057 201602101,1812 UNIVERSITY Ave,2
2025,064 422900215,63 VICENTE Rd,1
2025,052 152001700,1522 HARMON ST,1
2025,059 225501900,1529 SPRUCE ST,1
2025,059 231300800,919 BATAAN Ave,1
2025,054 174203500,1134 WARD St,1
2025,055 184702000,2555 COLLEGE Ave,11
2025,061 261200800,932 COLUSA Ave,1
2025,055 182801200,2221 CARLETON St,1
2025,055 185300400,12 PANORAMIC Way,1
2025,055 184000700,2620 REGENT St,2
2025,056 191800600,2418 ACTON St,1
2025,053 169801500,2805 RUSSELL ST,1
2025,054 174208100,2742 MABEL ST,1
2025,055 191100700,2410 JEFFERSON AVE,1
2025,055 184802400,2619 COLLEGE AVE,2
2025,063 298301301,1176 MILLER Ave,1
2025,062 291503100,655 SAN LUIS Rd,1
2025,053 159402200,2026 ESSEX St,1
2025,055 187802200,2480 BANCROFT Way,28
2025,060 242301400,1327 ORDWAY St,1
2025,058 218102700,1773 OXFORD St,24
2025,055 184102400,2631 REGENT St,2
2025,052 156003200,3019 BATEMAN St,1
2025,058 215302800,1536 LINCOLN St,1
2025,057 208200200,1208 DELAWARE St,1
2025,055 184802400,2619 COLLEGE Ave,2
2025,060 240603300,1205 KAINS Ave,1
2025,055 181602300,1910 BLAKE St,1
2025,052 156601300,2815 ASHBY AVE,1
2025,060 240400200,1300 KAINS AVE,1
2025,056 192600400,2312 CURTIS ST,1
2025,055 186701000,2715 DWIGHT WAY,1
2025,060 242802700,1355 ACTON ST,1
2025,056 200601000,2132 MCGEE Ave,2
2025,057 208600900,1824 CURTIS St,1
2025,054 178302000,2501 MABEL St,1
2025,063 298301100,1168 MILLER Ave,1
2025,059 231101000,1520 TENTH St,1
2025,058 216301400,1615 MCGEE Ave,1
2025,052 156003200,3019 BATEMAN St,1
2025,060 239106700,1329 CURTIS St,1
2025,060 242902400,1300 MONTEREY Ave,1
2025,058 224603800,1570 LE ROY Ave,1
2025,053 161603600,3007 ACTON St,1
2025,056 193801903,917 CHANNING Way,1
2025,056 200400100,1698 UNIVERSITY AVE,36
2025,056 194101900,2325 SIXTH St,1
2025,054 173802501,2761 ACTON ST,1
2025,054 178302000,2501 MABEL St,1
2025,053 159101803,2001 ASHBY Ave,87
2025,055 187000300,2737 DURANT Ave,4
2025,055 184501000,2618 COLLEGE Ave,2
2025,061 255000300,1182 EUCLID Ave,1
2025,052 153601100,1515 HARMON St,2
2025,053 168900900,2327 OREGON St,1
2025,061 261200800,932 COLUSA Ave,1
