project_id,address,apn,co_date,co_year,net_units,is_uc_project
255,1381 Ada St,060 242304000,2024-11-04,2024,1,false
204,2723 Forest Ave,054 170800900,2024-11-13,2024,1,false
271,3136 Ellis St,052 154700600,2024-11-15,2024,1,false
202,1027 HEINZ,053 166002400,2024-11-19,2024,3,false
213,2516 Mathews St,054 178100400,2024-11-22,2024,1,false
233,1655 Tenth St,058 212801600,2024-11-25,2024,1,false
226,1837 Berkeley Way,057 206300700,2024-12-03,2024,3,false
249,1067 Park Hills Rd,063 314004900,2024-12-05,2024,1,false
218,886 Arlington Ave,061 257700600,2024-12-06,2024,1,false
236,3120 Deakin St,052 155600600,2024-12-06,2024,1,false
225,2331 Spaulding Ave,055 191302700,2024-12-11,2024,1,false
276,1709 Francisco St,058 216001300,2024-12-11,2024,1,false
194,626 Peralta Ave,062 286800600,2024-12-12,2024,1,false
198,2312 Eighth St,056 193800700,2024-12-17,2024,1,false
261,2430 Prospect St,055 186500700,2024-12-20,2024,1,false
324,2026 ESSEX St,053 159402200,2025-01-08,2025,1,false
303,1217 EVELYN Ave,060 240905500,2025-01-09,2025,1,false
367,2710 COLLEGE Ave,054 170903500,2025-01-17,2025,1,false
329,1208 DELAWARE St,057 208200200,2025-01-21,2025,1,false
293,1966 YOSEMITE Rd,061 257600700,2025-01-24,2025,1,false
322,1176 MILLER Ave,063 298301301,2025-01-27,2025,1,false
285,948 FRESNO Ave,061 261101300,2025-01-28,2025,1,false
369,1449 KAINS Ave,060 239401600,2025-01-31,2025,1,false
338,1824 CURTIS St,057 208600900,2025-02-06,2025,1,false
354,2455 ASHBY Ave,052 157101600,2025-02-06,2025,1,false
284,1215 DELAWARE St,058 213401800,2025-02-07,2025,1,false
341,1615 MCGEE Ave,058 216301400,2025-02-18,2025,1,false
337,2132 MCGEE Ave,056 200601000,2025-02-20,2025,2,false
328,1536 LINCOLN St,058 215302800,2025-02-21,2025,1,false
294,2327 OREGON St,053 168900900,2025-02-28,2025,2,false
176,2440 SHATTUCK Ave,055 189600500,2025-03-05,2025,40,false
323,655 SAN LUIS Rd,062 291503100,2025-03-14,2025,1,false
290,1016 FRESNO Ave,061 261000900,2025-03-18,2025,1,false
340,1520 TENTH St,059 231101000,2025-03-18,2025,1,false
368,3134 CALIFORNIA St,052 154400200,2025-03-19,2025,1,false
342,1329 CURTIS St,060 239106700,2025-03-25,2025,1,false
362,2210 M L KING JR Way,057 201800700,2025-03-26,2025,1,false
339,1168 MILLER Ave,063 298301100,2025-03-28,2025,1,false
308,63 VICENTE Rd,064 422900215,2025-04-03,2025,1,false
310,1529 SPRUCE ST,059 225501900,2025-04-04,2025,1,false
317,2418 ACTON St,056 191800600,2025-04-04,2025,1,false
292,1521 SACRAMENTO St,059 228503800,2025-04-14,2025,1,false
347,2325 SIXTH St,056 194101900,2025-04-14,2025,1,false
312,1134 WARD St,054 174203500,2025-04-15,2025,1,false
296,726 NEILSON St,062 284900400,2025-04-16,2025,1,false
305,2607 PIEDMONT Ave,055 185202300,2025-04-21,2025,1,false
353,2410 SACRAMENTO St,056 191904100,2025-04-21,2025,1,false
316,2620 REGENT St,055 184000700,2025-04-22,2025,1,false
280,2804 ACTON St,053 166700300,2025-04-23,2025,1,false
300,1182 EUCLID Ave,061 255000300,2025-05-06,2025,1,false
360,1620 ARCH St,058 218400600,2025-05-06,2025,1,false
366,2440 PRINCE St,052 155901900,2025-05-07,2025,1,false
302,1515 HARMON St,052 153601100,2025-05-13,2025,2,false
174,1773 OXFORD St,058 218102700,2025-05-21,2025,24,false
175,1698 UNIVERSITY Ave,056 200400100,2025-05-22,2025,36,false
352,1828 EUCLID Ave,058 219100200,2025-05-22,2025,2,false
64,1515 DERBY St,054 180201400,2025-05-23,2025,2,false
356,737 JONES St,059 232501100,2025-05-23,2025,1,false
282,2144 RUSSELL St,052 158200200,2025-05-28,2025,1,false
358,2020 DWIGHT Way,055 182202700,2025-05-30,2025,1,false
154,2001 ASHBY Ave,053 159101803,2025-06-01,2025,87,false
331,1910 BLAKE St,055 181602300,2025-06-02,2025,1,false
326,2631 REGENT St,055 184102400,2025-06-03,2025,2,false
364,8 BROOKSIDE Ave,064 429502600,2025-06-04,2025,1,false
345,3007 ACTON St,053 161603600,2025-06-09,2025,1,false
359,20 BROOKSIDE Ave,064 429502301,2025-06-10,2025,1,false
172,2650 TELEGRAPH Ave,055 183500901,2025-06-16,2025,45,false
173,2000 DWIGHT Way,055 182201800,2025-06-17,2025,113,false
355,2436 CHANNING Way,055 188002201,2025-06-17,2025,2,false
158,1367 UNIVERSITY Ave,057 207300500,2025-06-18,2025,39,false
286,1817 SIXTY-SECOND St,052 152600900,2025-06-24,2025,2,false
321,2619 COLLEGE AVE,055 184802400,2025-06-24,2025,2,false
301,1426 SPRUCE St,059 225701200,2025-06-25,2025,1,false
281,1408 EDITH St,059 228203700,2025-06-27,2025,1,false
299,2737 DURANT Ave,055 187000300,2025-07-07,2025,4,false
134,2480 Bancroft Way,055187802200,2025-07-10,2025,28,false
336,1355 ACTON ST,060 242802700,2025-07-18,2025,1,false
295,1238 STANNAGE Ave,060 240601600,2025-07-21,2025,1,false
291,2501 MABEL St,054 178302000,2025-07-22,2025,1,false
161,2555 COLLEGE Ave,055 184702000,2025-07-25,2025,12,false
325,1327 ORDWAY St,060 242301400,2025-07-25,2025,1,false
348,2618 COLLEGE Ave,055 184501000,2025-07-25,2025,2,false
344,1570 LE ROY Ave,058 224603800,2025-07-28,2025,1,false
351,2350 WEST ST,056 192200900,2025-07-29,2025,1,false
357,2639 REGENT St,055 184102100,2025-07-29,2025,2,false
311,919 BATAAN Ave,059 231300800,2025-07-30,2025,1,false
332,2815 ASHBY AVE,052 156601300,2025-07-31,2025,1,false
283,3037 ELLIS St,053 160202100,2025-08-01,2025,1,false
334,2312 CURTIS ST,056 192600400,2025-08-05,2025,1,false
306,1140 THE ALAMEDA,061 260501300,2025-08-08,2025,1,false
298,2761 ACTON ST,054 173802501,2025-08-12,2025,1,false
349,1446 FIFTH St,059 232500700,2025-08-12,2025,1,false
288,1280 BANCROFT Way,056 192400500,2025-08-14,2025,1,false
287,1619 EDITH St,058 216401600,2025-08-15,2025,1,false
330,1205 KAINS Ave,060 240603300,2025-08-27,2025,1,false
307,1812 UNIVERSITY Ave,057 201602101,2025-09-02,2025,2,false
297,1219 DERBY St,054 178700800,2025-09-04,2025,1,false
304,605 NEILSON St,062 286800100,2025-09-04,2025,1,false
333,1300 KAINS AVE,060 240400200,2025-09-05,2025,1,false
315,12 PANORAMIC Way,055 185300400,2025-09-08,2025,1,false
363,680 PERALTA Ave,062 286801300,2025-09-10,2025,1,false
365,2227 CARLETON St,055 182801100,2025-09-10,2025,2,false
314,2221 CARLETON St,055 182801200,2025-09-15,2025,1,false
327,3019 BATEMAN St,052 156003200,2025-09-15,2025,1,false
309,1522 HARMON ST,052 152001700,2025-09-22,2025,1,false
