block,n_sfr,lat,lon,market_ref_av_sqft,median_av_sqft,av_sqft_max_over_min,median_discount,share_under_25pct,share_near_market,share_hoex,benefit_usd_total,median_county_av_tax,median_city_sqft_tax,county_tax_max_over_min,city_tax_max_over_min
54-1805,24,37.861286,-122.277234,908,586,32.3,0.355,0.292,0.292,0.792,200110,8745,2722,45.4,4.3
54-1806,20,37.862137,-122.2776,802,375,35.7,0.533,0.35,0.3,0.75,160011,6845,3062,25.9,2.6
54-1807,21,37.862495,-122.275216,1022,458,26.8,0.552,0.286,0.286,0.762,234077,10314,3512,40.9,3.0
54-1808,20,37.861568,-122.275103,1144,412,36.8,0.64,0.4,0.1,0.6,291410,10331,3590,49.4,3.4
54-1809,19,37.860663,-122.274951,689,309,63.5,0.551,0.316,0.316,0.789,173455,7303,3574,39.3,2.4
54-1810,23,37.859767,-122.274572,906,340,59.7,0.625,0.391,0.261,0.652,234304,6517,3160,46.5,3.3
54-1811,14,37.860134,-122.272875,1007,548,35.6,0.455,0.214,0.286,0.786,117322,7733,2869,32.1,3.0
54-1812,11,37.860984,-122.272743,584,259,4.8,0.556,0.091,0.273,0.545,65377,6872,3905,7.9,2.5
54-1813,17,37.861688,-122.273052,1137,482,35.1,0.576,0.412,0.118,0.706,272846,8251,3958,42.8,2.4
55-1816,9,37.862182,-122.270729,1009,254,26.8,0.749,0.444,0.111,0.778,159110,5267,3793,23.1,3.0
55-1817,27,37.861254,-122.270754,817,385,21.2,0.529,0.185,0.259,0.852,233560,7744,3344,22.7,2.8
55-1820,9,37.861358,-122.268826,429,264,8.5,0.385,0.111,0.333,0.889,38290,5516,3505,15.5,2.9
55-1826,20,37.861008,-122.265522,791,240,23.2,0.696,0.4,0.2,0.7,194755,4537,3129,27.0,2.3
55-1827,14,37.861288,-122.263299,1065,358,26.1,0.664,0.5,0.357,0.714,177557,8072,3488,35.4,3.6
55-1828,11,37.862122,-122.263331,540,359,21.6,0.335,0.182,0.364,0.636,65810,7868,4839,30.2,2.8
55-1833,8,37.862516,-122.261377,913,540,22.4,0.409,0.25,0.375,0.5,87081,9278,4314,24.8,2.0
55-1834,25,37.861509,-122.261307,1014,234,42.8,0.769,0.52,0.28,0.8,373301,5431,3394,54.9,2.8
55-1837,10,37.86357,-122.259733,1020,464,4.6,0.545,0.4,0.2,0.4,136830,10594,4148,4.8,2.4
55-1841,11,37.862487,-122.256988,875,367,6.6,0.581,0.182,0.182,0.545,110598,9037,4029,4.7,2.4
55-1845,11,37.863021,-122.25425,752,418,9.1,0.444,0.182,0.182,0.727,130528,14041,4672,4.7,3.2
55-1847,8,37.864695,-122.253063,1388,819,42.5,0.41,0.25,0.125,0.5,182646,17101,4325,16.4,4.4
55-1849,17,37.863085,-122.251911,996,551,15.5,0.446,0.294,0.176,0.588,329334,15838,6343,10.5,6.0
55-1850,9,37.864836,-122.25214,947,312,18.6,0.67,0.444,0.111,0.667,175780,12652,5241,23.3,3.5
55-1852,12,37.863335,-122.250809,716,268,20.1,0.626,0.25,0.25,0.5,198732,12488,7722,23.8,3.5
55-1853,25,37.867841,-122.247977,691,275,23.2,0.602,0.2,0.32,0.52,317838,11398,5350,25.6,4.1
55-1859,16,37.869405,-122.246056,1166,559,6.4,0.521,0.188,0.25,0.688,230622,10988,3508,9.8,5.3
55-1862,30,37.869671,-122.248195,879,280,20.6,0.682,0.267,0.167,0.8,460404,11132,4516,31.2,5.0
55-1901,10,37.865384,-122.273009,1357,759,17.1,0.441,0.3,0.2,0.5,125884,11936,2750,10.8,2.1
55-1902,18,37.86423,-122.272883,636,264,8.6,0.585,0.111,0.389,0.722,110769,5583,3299,8.7,2.5
55-1903,16,37.864223,-122.273878,913,248,41.6,0.728,0.438,0.125,0.812,166604,4712,3189,32.4,4.0
55-1904,14,37.865603,-122.27409,900,544,32.2,0.396,0.429,0.214,0.786,118637,9525,2959,26.5,1.9
55-1905,19,37.865781,-122.275267,1167,359,37.7,0.692,0.421,0.158,0.895,289585,6042,3003,33.6,3.4
