block,n_sfr,lat,lon,market_ref_av_sqft,median_av_sqft,av_sqft_max_over_min,median_discount,share_under_25pct,share_near_market,share_hoex,benefit_usd_total,median_county_av_tax,median_city_sqft_tax,county_tax_max_over_min,city_tax_max_over_min
58-2242,69,37.881798,-122.256984,1070,432,75.5,0.596,0.232,0.261,0.739,1369908,14596,5131,79.8,8.5
58-2243,10,37.882811,-122.258716,929,311,27.4,0.665,0.4,0.3,0.7,200290,6653,5595,33.8,5.9
58-2244,21,37.881704,-122.259872,756,330,30.0,0.564,0.381,0.286,0.952,292582,10859,5197,18.1,3.9
58-2245,12,37.88092,-122.25861,710,255,39.9,0.64,0.333,0.167,0.75,216559,9460,6659,25.3,2.4
58-2246,31,37.880184,-122.260036,743,327,31.7,0.559,0.29,0.29,0.71,329806,7723,4589,35.6,4.6
58-2247,15,37.881312,-122.260864,838,524,24.4,0.375,0.267,0.4,0.933,215164,13587,5017,23.4,3.1
59-2248,18,37.882527,-122.261033,706,524,15.4,0.257,0.167,0.444,0.722,166455,13886,5468,24.6,2.9
59-2249,39,37.882758,-122.262866,968,428,25.7,0.558,0.179,0.205,0.692,701766,14907,5286,72.3,6.2
59-2250,35,37.880987,-122.261973,823,344,29.0,0.582,0.343,0.229,0.743,565090,12803,6067,33.0,7.1
59-2251,20,37.880059,-122.262885,727,228,30.7,0.686,0.5,0.25,0.55,293580,6590,5352,38.5,3.6
59-2252,16,37.880096,-122.26411,1009,367,50.1,0.637,0.312,0.188,0.875,358467,9908,5417,33.3,4.5
59-2253,34,37.882209,-122.264134,906,395,26.1,0.564,0.235,0.176,0.676,435991,10334,4313,30.8,4.4
59-2254,18,37.881602,-122.265415,692,150,38.2,0.783,0.667,0.222,0.667,300393,4996,5887,46.5,2.7
59-2257,12,37.881617,-122.26665,970,450,33.5,0.536,0.333,0.25,0.75,178226,10510,4268,24.6,2.2
59-2258,12,37.881465,-122.267586,841,349,26.3,0.585,0.25,0.333,0.833,132688,8590,3823,17.1,2.8
59-2264,17,37.879205,-122.270998,748,277,20.5,0.63,0.294,0.235,0.529,133419,4186,3377,29.1,2.1
59-2265,10,37.881073,-122.271221,1341,390,32.0,0.709,0.5,0.2,0.8,201597,8421,3611,45.1,2.7
59-2266,17,37.880616,-122.272261,933,174,39.1,0.813,0.529,0.176,0.706,250399,5462,4165,35.5,3.9
59-2267,17,37.878493,-122.272006,694,244,17.4,0.648,0.235,0.176,0.647,146269,5323,3483,17.1,1.7
59-2268,15,37.878974,-122.273249,1288,537,21.4,0.583,0.2,0.133,0.667,191446,9401,3204,20.6,3.2
59-2269,11,37.880689,-122.273264,697,567,9.5,0.185,0.091,0.545,0.909,55032,8024,3516,11.5,3.0
59-2270,18,37.880358,-122.274627,802,391,39.2,0.512,0.333,0.222,0.611,201764,7623,3609,36.5,3.1
59-2271,25,37.878614,-122.274385,901,565,31.4,0.374,0.16,0.36,0.64,227045,13392,3822,28.4,3.0
59-2272,23,37.878455,-122.275439,1028,495,35.5,0.518,0.348,0.348,0.609,223281,7337,3268,47.5,2.4
59-2273,28,37.880346,-122.275716,1015,305,31.2,0.7,0.464,0.214,0.786,378581,7550,3507,51.2,3.5
59-2274,30,37.88024,-122.276831,1138,404,39.4,0.645,0.333,0.167,0.867,403928,7002,3409,44.3,3.0
59-2275,25,37.87834,-122.276668,908,162,33.7,0.822,0.56,0.2,0.88,312724,3248,3596,30.0,2.4
59-2276,21,37.877754,-122.277879,899,304,42.1,0.662,0.381,0.19,0.762,259207,6978,3840,28.9,3.3
59-2277,24,37.878582,-122.278099,1337,478,50.2,0.642,0.375,0.167,0.833,412337,8823,3305,36.7,2.1
59-2278,27,37.877503,-122.279431,1157,356,39.8,0.693,0.37,0.148,0.778,414223,6530,3212,28.5,3.3
59-2279,24,37.878328,-122.279774,927,300,22.2,0.676,0.333,0.167,0.708,275715,5367,3587,28.4,2.6
59-2280,17,37.879273,-122.280212,1091,753,14.7,0.31,0.294,0.294,0.824,153617,13491,2962,31.1,3.2
59-2282,41,37.879629,-122.278168,994,395,37.2,0.602,0.39,0.22,0.707,466429,7101,3288,28.4,2.4
59-2283,22,37.87985,-122.279016,956,343,16.7,0.641,0.227,0.136,0.818,278688,6516,3658,16.1,2.9
59-2284,43,37.878154,-122.281145,1199,375,31.6,0.687,0.419,0.279,0.884,579037,6942,3179,47.7,3.2
59-2285,41,37.87786,-122.282177,714,285,36.0,0.601,0.293,0.244,0.878,275507,3960,3013,31.1,2.1
59-2286,139,37.877291,-122.284742,934,375,31.8,0.598,0.309,0.281,0.791,1191312,6093,2871,33.3,2.4
59-2288,29,37.874932,-122.292579,1283,372,68.0,0.71,0.483,0.207,0.793,394607,6913,2773,64.8,3.6
59-2289,28,37.875064,-122.291726,1185,514,90.9,0.566,0.286,0.143,0.714,342566,7826,2811,136.6,4.3
59-2290,37,37.875285,-122.290906,951,449,36.2,0.528,0.324,0.243,0.811,330941,7653,2693,50.0,4.6
59-2291,39,37.875125,-122.289944,1155,448,44.8,0.612,0.282,0.282,0.744,402206,8416,2374,57.1,2.9
59-2292,31,37.875466,-122.289192,976,510,46.3,0.477,0.323,0.323,0.71,233346,8628,2625,51.4,2.9
59-2293,11,37.877043,-122.289641,1018,707,8.1,0.306,0.273,0.273,0.818,94999,10775,3429,5.5,2.5
59-2311,19,37.875356,-122.295996,1070,446,23.2,0.584,0.368,0.211,0.842,182852,6820,2682,40.0,2.7
59-2312,16,37.875354,-122.297158,704,203,20.2,0.712,0.438,0.188,1.0,133428,4803,3420,31.1,2.9
59-2313,25,37.875003,-122.298231,1150,525,29.6,0.543,0.28,0.28,0.68,188024,8492,2064,36.0,1.8
59-2314,13,37.874761,-122.299196,1087,431,33.1,0.603,0.385,0.231,0.615,119680,8087,2242,27.8,2.7
59-2315,9,37.874724,-122.300417,811,419,14.4,0.483,0.333,0.222,0.556,66357,5871,2529,18.1,3.1
59-2327,20,37.875937,-122.299646,1387,560,14.3,0.596,0.25,0.1,0.8,257920,9364,2725,13.1,2.7
59-2329,20,37.876376,-122.297476,1200,692,33.0,0.424,0.3,0.4,0.65,137291,9459,2235,48.5,2.3
59-2330,21,37.876611,-122.296363,1280,426,40.4,0.667,0.429,0.238,0.714,217172,6157,2252,36.5,3.2
59-2331,11,37.876727,-122.295372,983,390,10.9,0.603,0.273,0.273,0.455,82862,6856,2726,10.8,2.0
59-2332,16,37.878072,-122.295812,1069,550,6.7,0.485,0.25,0.25,0.562,105777,6227,2180,8.9,2.5
59-2333,16,37.87779,-122.296626,957,431,24.6,0.549,0.25,0.25,0.688,123153,10056,2733,31.4,2.5
59-2334,8,37.877524,-122.2979,472,190,10.4,0.598,0.5,0.375,0.625,26185,2283,2586,11.6,1.9
59-2335,8,37.877201,-122.298821,834,232,7.0,0.722,0.375,0.25,0.875,65907,2894,2299,7.2,2.9
59-2336,13,37.877015,-122.299976,1030,381,30.2,0.63,0.308,0.231,0.769,143320,6616,2866,35.8,3.8
59-2337,13,37.876915,-122.301225,691,358,9.3,0.482,0.308,0.308,0.538,77149,5608,3288,8.0,2.4
60-2391,43,37.878504,-122.290637,1015,390,65.1,0.616,0.372,0.209,0.814,489981,6491,2935,45.0,3.3
60-2392,70,37.878932,-122.291296,1142,411,86.7,0.641,0.4,0.2,0.743,862524,7454,2826,50.1,4.8
60-2393,24,37.877203,-122.292412,1228,342,46.3,0.722,0.5,0.208,0.75,316692,4748,2628,50.0,3.1
60-2394,19,37.876799,-122.29318,1124,458,41.6,0.593,0.316,0.211,0.632,264880,8670,3389,39.2,3.2
60-2395,9,37.87643,-122.293811,743,262,14.8,0.648,0.333,0.333,0.667,62611,4423,2687,25.1,2.3
60-2396,9,37.878169,-122.294374,1156,358,5.9,0.69,0.444,0.222,0.778,118146,7504,2906,7.1,2.4
60-2397,11,37.87848,-122.293683,1065,534,12.0,0.499,0.182,0.273,0.909,127275,7377,2744,22.8,5.7
60-2398,16,37.878522,-122.292869,1493,360,74.3,0.759,0.5,0.125,0.812,286677,6267,2557,47.4,5.9
60-2399,12,37.878939,-122.292186,1090,705,4.3,0.353,0.0,0.417,0.917,70253,11894,2493,4.5,1.6
60-2400,23,37.880591,-122.291685,1129,616,37.4,0.454,0.217,0.217,0.957,237479,9904,3096,54.7,2.4
60-2401,23,37.880311,-122.292522,1215,370,58.7,0.695,0.478,0.217,0.696,297271,5158,2757,45.1,3.2
60-2402,26,37.879961,-122.293329,1438,557,61.0,0.612,0.308,0.231,0.731,322060,7624,2291,38.9,2.4
60-2403,27,37.879815,-122.294164,922,337,32.8,0.635,0.333,0.259,0.778,291148,6315,2939,31.6,3.7
60-2404,13,37.879695,-122.294839,787,360,9.4,0.543,0.154,0.231,0.769,73622,4069,2676,16.4,3.2
60-2405,16,37.881594,-122.295469,1175,419,33.8,0.643,0.312,0.188,0.75,195155,8208,2749,44.6,4.0
60-2406,27,37.881723,-122.294741,932,427,6.2,0.542,0.222,0.185,0.778,234120,8318,3127,11.1,2.9
60-2407,23,37.882114,-122.29395,1252,519,42.6,0.585,0.348,0.217,0.739,329383,10483,3210,40.1,4.8
60-2408,29,37.882115,-122.293147,1132,594,18.3,0.475,0.345,0.276,0.655,301494,7652,2594,30.7,2.7
60-2409,48,37.882295,-122.291722,1282,423,63.3,0.67,0.458,0.229,0.667,600558,7301,2559,48.1,4.2
60-2411,10,37.882536,-122.289864,1147,442,29.6,0.615,0.4,0.3,0.7,92886,7977,2758,25.9,1.9
60-2412,19,37.882329,-122.289134,950,564,33.7,0.406,0.263,0.368,0.842,160228,8699,2823,28.6,2.9
60-2414,15,37.878906,-122.289833,968,402,5.4,0.584,0.2,0.2,0.933,122832,8160,3195,11.1,3.7
60-2415,24,37.882054,-122.288361,987,290,31.6,0.706,0.417,0.167,0.75,262996,5635,3032,52.9,2.9
60-2416,67,37.88057,-122.287302,1124,366,51.5,0.675,0.418,0.224,0.716,836240,6877,2914,50.1,3.3
60-2417,58,37.880038,-122.288585,1160,507,51.2,0.563,0.362,0.224,0.914,729949,9984,3043,57.6,3.7
60-2423,71,37.878793,-122.286483,1001,414,43.9,0.586,0.408,0.211,0.831,926367,8626,3857,31.6,2.4
60-2427,25,37.881481,-122.285893,1150,371,31.7,0.677,0.28,0.24,0.84,337871,8226,3133,34.4,4.3
60-2428,27,37.880941,-122.284833,957,581,23.5,0.393,0.333,0.296,0.852,282297,11539,3658,47.6,4.6
60-2429,43,37.882666,-122.282681,943,402,33.2,0.574,0.233,0.233,0.814,522529,9710,3983,32.8,3.4
60-2430,22,37.8798,-122.284337,913,371,26.3,0.594,0.364,0.318,0.727,210850,8051,3606,27.4,2.4
60-2432,28,37.879712,-122.282248,1050,454,43.2,0.568,0.321,0.214,0.821,324725,6556,3055,26.5,4.0
60-2433,22,37.880438,-122.280691,1180,296,35.8,0.749,0.5,0.227,0.818,367990,6105,3536,27.5,2.9
60-2434,12,37.880649,-122.282614,599,164,19.7,0.727,0.5,0.167,0.833,97664,4321,3597,29.2,2.5
60-2435,37,37.883661,-122.28105,1063,299,36.1,0.719,0.432,0.135,0.865,596284,6976,4060,33.4,2.6
60-2436,26,37.883709,-122.279978,1099,488,44.1,0.556,0.346,0.231,0.731,418967,9468,3697,47.5,3.1
60-2437,36,37.884137,-122.278206,1110,308,35.0,0.722,0.472,0.194,0.833,630412,6935,3656,42.9,3.3
60-2438,41,37.881292,-122.279854,1007,297,35.9,0.705,0.39,0.171,0.78,592523,7138,3946,36.4,2.5
60-2445,36,37.882218,-122.277363,984,276,33.3,0.719,0.417,0.194,0.75,443958,6148,3290,44.4,3.0
60-2446,29,37.884035,-122.274991,954,392,27.1,0.59,0.138,0.207,0.966,342220,9048,3936,28.0,2.2
60-2447,20,37.882189,-122.274801,1003,191,26.1,0.809,0.6,0.1,0.85,326202,3660,3412,23.4,2.8
60-2448,15,37.88207,-122.273531,525,124,18.9,0.764,0.533,0.2,0.8,141577,3963,4175,14.2,2.7
60-2449,18,37.884305,-122.273915,673,288,27.1,0.572,0.278,0.111,0.778,164242,6086,4043,31.6,2.0
60-2450,22,37.884687,-122.272719,841,252,21.3,0.7,0.273,0.227,0.636,290794,6729,4055,31.2,3.6
60-2451,18,37.882618,-122.272533,696,212,18.4,0.695,0.333,0.278,0.778,170732,5498,4094,21.9,2.6
60-2453,8,37.883002,-122.271634,626,497,6.4,0.205,0.125,0.625,1.0,29676,7058,3068,11.4,2.2
60-2455,36,37.884541,-122.270045,894,337,27.7,0.623,0.25,0.222,0.694,464824,7860,4221,28.6,2.7
60-2462,10,37.883569,-122.265548,831,334,38.7,0.598,0.4,0.3,0.8,226246,12566,7933,47.3,3.0
60-2463,24,37.88575,-122.265304,898,355,28.3,0.605,0.333,0.25,0.833,359849,9016,4817,31.5,3.3
60-2464,27,37.884763,-122.26542,849,403,43.3,0.525,0.222,0.259,0.926,294199,9476,4031,62.0,3.9
60-2465,39,37.884626,-122.26409,1091,380,35.5,0.652,0.436,0.154,0.692,907175,10636,5385,52.4,7.0
60-2466,73,37.884182,-122.26759,830,325,48.0,0.609,0.342,0.233,0.781,940345,7660,4527,37.9,3.9
60-2469,73,37.886015,-122.256857,984,524,32.8,0.468,0.219,0.26,0.685,924993,12561,4128,30.8,5.5
60-2470,30,37.885181,-122.259824,1022,374,25.0,0.634,0.333,0.233,0.767,631466,14548,5467,37.4,5.2
60-2473,31,37.884868,-122.259028,737,375,20.9,0.491,0.194,0.323,0.806,321244,10751,4988,18.8,5.2
60-2475,17,37.883755,-122.254804,1113,640,17.0,0.425,0.176,0.176,0.765,184673,9695,3392,25.2,4.1
60-2476,29,37.882786,-122.255035,1000,426,16.6,0.575,0.414,0.172,0.69,384260,11678,3888,24.5,2.6
60-2478,34,37.881828,-122.252426,1024,458,28.8,0.553,0.324,0.206,0.735,541871,12202,4520,27.9,4.1
60-2479,31,37.884372,-122.253873,739,412,13.5,0.442,0.097,0.323,0.71,211241,7643,3714,13.1,3.0
60-2480,13,37.887081,-122.255268,810,374,14.0,0.538,0.154,0.154,0.846,151251,8560,4825,10.4,5.3
60-2481,12,37.887246,-122.254176,939,336,20.9,0.642,0.333,0.25,0.75,159408,8648,3953,13.6,2.6
60-2482,57,37.884776,-122.252937,980,568,27.7,0.42,0.158,0.316,0.772,650981,12554,3898,31.6,5.4
60-2483,41,37.881834,-122.251189,1020,430,22.0,0.578,0.317,0.22,0.707,578275,11333,3975,16.9,3.4
60-2484,24,37.882769,-122.250962,942,575,15.7,0.39,0.167,0.333,0.667,269665,13931,4873,14.1,3.1
60-2485,55,37.885542,-122.251599,1126,305,41.4,0.73,0.455,0.164,0.691,924945,7282,3663,22.6,4.0
60-2486,46,37.886911,-122.252768,857,464,28.5,0.458,0.304,0.348,0.739,440929,11213,3584,23.7,4.0
60-2487,56,37.885419,-122.250158,877,609,21.4,0.305,0.196,0.393,0.75,455800,10979,3658,24.6,3.2
60-2489,32,37.8837,-122.249078,788,527,14.6,0.332,0.156,0.406,0.719,257672,14102,4248,17.9,2.4
60-2490,37,37.881931,-122.248522,1001,329,20.6,0.671,0.432,0.189,0.838,701800,12240,4955,31.5,3.3
60-2492,22,37.882733,-122.247437,896,464,27.7,0.482,0.318,0.182,0.682,301608,12592,4337,35.0,4.5
60-2493,59,37.884712,-122.248027,1000,649,28.7,0.351,0.186,0.322,0.729,667853,15404,4169,32.7,3.7
60-2494,29,37.887151,-122.250602,1074,502,24.0,0.533,0.276,0.207,0.828,499985,13705,4297,39.8,5.0
61-2551,47,37.888457,-122.262714,950,375,66.3,0.605,0.319,0.213,0.745,616788,9259,3902,38.8,4.6
61-2552,22,37.888239,-122.264891,880,395,25.2,0.551,0.182,0.182,0.864,284422,11940,4656,23.3,2.3
61-2553,15,37.887036,-122.263841,964,689,6.7,0.285,0.133,0.333,0.667,175541,18643,5263,8.6,5.5
61-2554,18,37.886992,-122.264914,862,403,28.2,0.532,0.222,0.222,0.667,197111,9862,3661,35.8,3.4
61-2555,40,37.889467,-122.264993,953,486,42.1,0.49,0.3,0.275,0.7,537859,10934,4400,36.6,3.9
61-2556,34,37.88738,-122.266166,854,398,46.4,0.535,0.235,0.265,0.794,379139,7292,3936,39.5,5.0
61-2557,31,37.887351,-122.26741,797,367,29.9,0.54,0.29,0.29,0.774,344234,10879,4345,43.1,3.0
61-2558,48,37.887398,-122.26855,916,341,31.4,0.628,0.292,0.208,0.75,714660,8416,4301,41.0,3.7
61-2559,21,37.888788,-122.269888,965,317,21.5,0.671,0.286,0.238,0.762,451814,10925,6384,28.5,2.5
61-2560,27,37.887426,-122.270736,1050,484,31.3,0.539,0.259,0.259,0.741,508234,20013,6070,46.5,3.3
61-2561,33,37.886811,-122.269634,842,340,29.4,0.596,0.303,0.273,0.848,374919,11588,4517,29.8,2.1
61-2562,32,37.886431,-122.271217,912,375,31.9,0.589,0.375,0.281,0.812,509511,10173,4186,32.4,3.6
61-2563,22,37.889321,-122.271111,829,433,16.1,0.478,0.227,0.227,0.864,281902,14039,5420,24.6,2.2
61-2564,16,37.888192,-122.271766,841,329,25.0,0.609,0.438,0.188,0.812,244089,7306,5274,28.1,2.0
61-2565,29,37.886853,-122.27273,1052,265,37.1,0.748,0.483,0.172,0.931,460915,9183,3913,32.5,2.6
61-2568,19,37.885848,-122.27378,1076,587,31.4,0.455,0.263,0.263,0.632,247331,12893,3871,30.6,2.3
61-2569,26,37.88649,-122.274484,839,401,24.0,0.522,0.192,0.154,0.885,270838,7953,3678,31.0,2.6
61-2570,42,37.887626,-122.27437,759,277,34.1,0.635,0.381,0.262,0.738,501751,7529,4585,24.0,3.3
61-2571,21,37.889091,-122.273565,782,475,16.9,0.392,0.333,0.238,0.857,223816,13946,4790,17.7,1.6
61-2572,8,37.889563,-122.271995,824,222,24.6,0.73,0.5,0.125,0.75,128262,6356,4534,19.4,1.9
61-2573,25,37.888214,-122.275365,1022,417,25.4,0.592,0.4,0.2,0.8,440365,9296,4231,22.6,2.5
61-2574,42,37.88985,-122.274776,782,352,30.2,0.549,0.262,0.238,0.857,518961,9056,5049,34.0,3.0
61-2575,57,37.893485,-122.276748,826,306,32.6,0.63,0.386,0.263,0.789,829559,11589,5524,37.3,3.6
61-2576,76,37.893588,-122.275852,800,387,30.1,0.517,0.329,0.303,0.855,1132575,12870,5535,33.4,4.7
61-2577,41,37.891613,-122.274157,868,555,26.5,0.36,0.146,0.293,0.805,565336,20419,5573,32.9,3.1
61-2578,44,37.892632,-122.273455,716,384,22.0,0.464,0.318,0.364,0.705,579184,11912,5777,36.4,3.4
61-2579,24,37.893482,-122.272873,1088,609,29.4,0.44,0.25,0.25,0.875,412065,18635,5510,19.4,2.2
61-2580,38,37.894827,-122.271693,927,495,34.0,0.466,0.237,0.211,0.763,636103,13572,5137,49.9,4.6
61-2581,40,37.89432,-122.270315,1102,533,43.2,0.517,0.3,0.25,0.625,825098,14922,5444,37.6,4.3
61-2582,62,37.895039,-122.269433,763,358,34.1,0.531,0.258,0.258,0.806,799580,11293,5397,42.9,7.5
61-2583,50,37.892709,-122.270504,829,293,34.6,0.646,0.4,0.14,0.84,733413,8469,4970,26.7,2.5
61-2584,27,37.892046,-122.271322,898,410,24.9,0.544,0.259,0.259,0.852,396679,10993,4959,22.8,2.7
61-2585,18,37.891124,-122.271767,733,265,25.7,0.638,0.333,0.278,0.833,220008,9217,5227,28.7,3.2
61-2586,33,37.890265,-122.270456,622,298,26.6,0.522,0.273,0.242,0.758,342191,8630,5201,32.3,2.5
61-2587,46,37.890354,-122.26906,695,269,27.6,0.613,0.326,0.304,0.826,544011,8177,4869,26.6,4.4
61-2588,51,37.890488,-122.268022,863,360,42.1,0.582,0.275,0.235,0.824,729582,12791,5119,31.2,3.1
61-2589,22,37.891895,-122.267975,930,354,15.5,0.619,0.318,0.227,0.818,342088,11140,4632,22.8,2.9
61-2590,13,37.892537,-122.267565,886,457,23.5,0.485,0.077,0.231,1.0,160969,13079,4372,12.7,2.9
61-2598,42,37.896337,-122.274101,734,311,32.8,0.576,0.286,0.357,0.786,754743,14616,7625,37.3,2.8
61-2602,22,37.892206,-122.278258,947,388,23.1,0.59,0.318,0.273,0.773,268643,10785,3778,20.5,2.6
61-2603,28,37.889999,-122.277385,1100,352,42.3,0.68,0.429,0.107,0.929,442722,7424,3690,39.8,2.2
61-2604,12,37.888322,-122.277073,844,247,21.5,0.708,0.417,0.167,1.0,209499,7624,5574,23.4,3.2
61-2605,33,37.886473,-122.276514,792,312,33.4,0.606,0.333,0.273,0.848,397758,10839,4756,27.3,2.4
61-2606,56,37.885303,-122.278049,957,367,32.1,0.616,0.357,0.232,0.875,697163,7195,3638,33.8,2.9
61-2607,27,37.88489,-122.279597,879,384,32.6,0.563,0.296,0.296,0.778,323376,9240,4521,24.9,2.7
61-2608,19,37.886392,-122.278896,1227,322,29.1,0.738,0.368,0.158,0.895,329386,6841,3689,32.7,2.8
61-2609,21,37.886535,-122.277701,924,278,36.9,0.699,0.429,0.333,0.81,273951,7076,4097,34.8,2.2
61-2610,23,37.888272,-122.278121,659,251,23.7,0.619,0.304,0.348,0.826,207047,6754,4440,18.4,2.1
61-2611,17,37.889965,-122.278381,1095,266,24.1,0.757,0.529,0.118,0.765,364249,7606,4754,21.1,2.6
61-2612,16,37.890321,-122.279588,967,485,21.6,0.499,0.25,0.375,0.75,175783,12111,3436,18.6,2.3
61-2613,14,37.89041,-122.280597,682,301,9.0,0.558,0.143,0.214,0.857,105128,5657,4250,14.0,2.1
61-2614,15,37.890239,-122.281601,809,285,26.6,0.647,0.4,0.133,0.933,193101,6053,3799,21.7,3.5
61-2615,33,37.889268,-122.28036,925,632,32.6,0.317,0.303,0.424,0.697,311787,12796,3812,34.5,2.2
61-2616,28,37.887552,-122.279217,1089,224,32.5,0.794,0.536,0.214,0.786,465140,6513,3870,39.2,3.5
61-2617,36,37.887628,-122.28025,667,219,28.2,0.671,0.417,0.25,0.889,351715,6155,3993,22.8,2.2
61-2618,33,37.887698,-122.281296,839,314,33.0,0.626,0.303,0.303,0.879,421040,7337,4504,28.8,2.4
61-2620,24,37.885422,-122.281785,833,481,23.3,0.422,0.125,0.292,0.667,166705,9448,3103,19.3,2.9
61-2629,25,37.886108,-122.281399,767,400,19.4,0.479,0.16,0.28,0.84,207762,9106,3764,25.9,2.7
62-2848,11,37.892028,-122.28688,842,455,47.5,0.459,0.182,0.455,0.818,68286,7042,2505,29.8,2.7
62-2849,15,37.893764,-122.286826,1001,718,26.3,0.283,0.333,0.467,0.4,129649,10127,3230,21.1,2.1
62-2860,14,37.895703,-122.286731,901,340,26.9,0.622,0.214,0.143,0.714,155649,7446,3811,25.6,2.9
62-2861,12,37.897353,-122.28663,1061,462,18.9,0.565,0.417,0.417,0.5,157308,11742,3135,16.6,3.0
62-2867,30,37.897418,-122.285896,1069,513,39.1,0.52,0.3,0.267,0.9,355222,10178,3567,30.0,2.6
62-2868,30,37.895618,-122.285968,1116,345,26.3,0.691,0.333,0.167,0.833,370116,6102,3043,29.8,3.2
62-2869,36,37.893733,-122.286049,1363,600,39.1,0.56,0.278,0.25,0.694,418677,9832,2766,32.8,2.4
62-2870,24,37.892077,-122.286126,1090,383,28.6,0.649,0.292,0.208,0.75,222669,5387,2559,25.4,2.0
62-2871,15,37.891702,-122.282678,1102,499,11.4,0.547,0.333,0.133,0.8,198584,9118,3253,5.3,3.3
62-2872,33,37.891928,-122.283775,836,378,33.7,0.548,0.303,0.242,0.727,337805,9143,3545,23.0,2.4
62-2873,18,37.892516,-122.284173,879,333,18.8,0.621,0.389,0.278,0.778,162726,5497,3253,17.0,1.9
62-2874,19,37.892151,-122.285261,992,437,22.6,0.56,0.263,0.158,1.0,214831,8479,3499,36.0,2.3
62-2875,19,37.893163,-122.284894,926,235,15.5,0.747,0.421,0.263,0.684,208365,5800,2809,9.3,2.3
62-2876,22,37.894108,-122.285095,1491,507,22.4,0.66,0.364,0.136,0.682,339538,8593,2727,15.0,2.4
62-2877,14,37.89501,-122.285062,1094,426,22.8,0.611,0.286,0.357,0.714,159862,9548,3090,14.8,1.8
62-2878,33,37.895399,-122.284391,1018,343,39.7,0.663,0.364,0.212,0.697,544639,7735,4339,36.4,3.2
62-2881,19,37.894184,-122.283985,986,307,12.0,0.688,0.316,0.211,0.842,218837,6784,3359,19.6,1.9
62-2882,27,37.893823,-122.283234,703,290,16.5,0.588,0.185,0.296,0.926,221965,6888,4149,21.5,2.2
62-2883,26,37.893383,-122.282478,910,281,27.7,0.691,0.346,0.192,0.923,353588,6787,3968,26.4,2.8
62-2885,39,37.894213,-122.279261,714,214,24.0,0.701,0.41,0.205,0.897,488756,5312,4889,23.6,2.4
62-2886,29,37.892929,-122.281784,996,356,24.8,0.643,0.276,0.207,0.828,369383,9055,3756,27.0,2.6
62-2887,41,37.893641,-122.278792,913,313,31.1,0.657,0.366,0.293,0.805,524781,8776,3882,26.4,2.9
62-2888,30,37.893107,-122.27821,775,328,31.6,0.577,0.267,0.233,0.867,333551,10277,4407,21.7,2.3
62-2889,37,37.894616,-122.280045,694,290,26.2,0.582,0.243,0.162,0.838,380976,7424,4730,24.2,3.0
62-2890,53,37.895682,-122.28243,766,355,36.8,0.536,0.245,0.321,0.868,565195,10471,4684,19.9,2.5
62-2891,39,37.895777,-122.28364,815,507,26.0,0.378,0.231,0.436,0.795,392712,11186,4626,25.4,4.9
62-2892,10,37.897007,-122.2829,769,398,19.3,0.482,0.3,0.3,0.9,110603,10263,4520,15.6,2.4
62-2893,44,37.896015,-122.281282,868,461,24.8,0.469,0.273,0.341,0.841,579287,11795,4676,27.3,3.6
62-2894,10,37.897798,-122.282803,1082,542,24.3,0.499,0.3,0.1,0.8,162740,13917,4455,18.9,2.3
62-2895,19,37.898137,-122.28198,966,604,33.8,0.375,0.421,0.368,0.579,278925,14049,4604,28.7,3.1
62-2896,30,37.898591,-122.280884,671,270,22.3,0.598,0.4,0.333,0.7,334996,7167,4405,16.2,3.0
62-2897,24,37.897707,-122.279463,722,331,21.7,0.541,0.333,0.292,0.792,341168,8837,5366,33.6,6.5
62-2899,29,37.896992,-122.280023,842,260,26.2,0.692,0.379,0.241,0.828,472717,9281,5400,32.3,2.6
62-2900,19,37.896162,-122.28013,1036,390,22.3,0.624,0.316,0.105,0.737,449370,13353,6200,25.0,3.5
62-2901,12,37.89604,-122.277829,1145,464,34.6,0.595,0.333,0.25,0.917,297745,22984,6050,22.2,2.8
62-2902,36,37.897944,-122.284697,773,324,25.1,0.581,0.361,0.278,0.861,437410,9073,4688,27.6,2.5
62-2903,27,37.899573,-122.283202,785,414,17.1,0.472,0.222,0.407,0.852,216611,11352,4082,34.2,2.9
62-2907,47,37.898479,-122.283007,943,377,27.6,0.6,0.362,0.277,0.872,656528,11236,4463,34.9,3.4
62-2909,11,37.899762,-122.280275,760,309,27.6,0.594,0.273,0.273,0.727,117041,5825,3495,17.9,3.2
62-2911,33,37.898348,-122.279046,801,321,29.0,0.599,0.333,0.333,0.848,375560,8433,4519,27.4,2.7
62-2914,49,37.898408,-122.271398,734,340,19.5,0.536,0.245,0.245,0.816,672782,11736,5842,31.7,9.3
62-2915,44,37.898801,-122.2735,737,324,18.0,0.56,0.386,0.318,0.727,584291,9200,5737,22.4,3.2
62-2916,74,37.899286,-122.276028,839,443,25.7,0.472,0.23,0.311,0.716,1070895,14771,4728,36.8,16.8
62-2920,34,37.8964,-122.276307,752,320,39.0,0.574,0.235,0.265,0.882,482286,11879,5854,36.6,3.7
62-2921,23,37.897837,-122.277237,981,326,30.9,0.668,0.304,0.217,0.87,441977,11090,4967,37.3,2.4
62-2922,39,37.899035,-122.278502,804,350,29.8,0.565,0.282,0.256,0.949,479930,11054,4384,25.7,3.3
