project_key,address,apn,units_best,units_source,planning_records,planning_status,planning_filed,building_records,building_status,building_filed,first_bp_issued,last_finaled,status_asof,v2_project_id,v2_match_basis,v2_units,v2_status,v2_bp_issued,v2_co,not_in_v2,needs_status_refresh,possible_v2_match,units_disagree,n_records,address_missing,address_borrowed
apn|056-1961-017-00,800 UNIVERSITY,056-1961-017-00,58,description,ZP2015-0125,Closed,2015-05-28,,,,,,2026-07-08,,,,,,,1,0,,0,1,0,0
apn|054-1719-001-00,2701 SHATTUCK Ave,054-1719-001-00,57,cpra_UnitsAdded,,,,B2020-01991,Finaled,2020-06-30,2022-06-22,2024-07-18,2026-07-08,219,address+apn+permit,57,Completed,,2024-07-18,0,0,,0,1,0,0
apn|053-1598-006-00,2902 ADELINE St,053-1598-006-00,57,cpra_UnitsAdded,DRCP2015-0019;DRCF2021-0005,Approved,2021-07-01,B2021-04232,Issued,2021-09-20,2025-02-27,,2026-07-08,143,address+apn+permit,54,Withdrawn,2024-01-01,,0,1,,1,3,0,0
addr|2198|san pablo,2198 SAN PABLO Ave,,56,description,ZP2018-0112,Approved,2018-05-31,,,,,,2026-09-21,149,address,100,Entitled,,,0,0,,1,1,0,0
addr|2276|shattuck,2276 SHATTUCK Ave,,56,description,PLN2023-0093;ZP2024-0067,Pending Final Action,2024-06-05,,,,,,2026-09-21,2,address+permit,336,Entitled,,,0,0,,1,2,0,0
apn|058-2127-014-03,1740 SAN PABLO Ave,058-2127-014-03,54,cpra_UnitsAdded,PLN2020-0049;PLN2023-0065,Under Review,2023-08-25,B2022-05881,Issued,2022-12-16,2025-12-18,,2026-09-21,32,address+apn+permit,54,Permitted,2025-12-18,,0,0,,0,3,0,0
apn|055-1839-019-01,2587 TELEGRAPH AVE,055-1839-019-01,52,description,ZP2023-0068;DRCP2023-0009;DRCF2024-0005;ZP2024-0170,Approved,2024-11-26,,,,,,2026-07-08,157,address+apn,52,Withdrawn,2024-01-01,,0,1,,0,4,0,0
apn|055-1881-004-00,2449 DWIGHT Way,055-1881-004-00,51,description,DRCP2022-0003;ZP2022-0021;DRCF2026-0001,Approved,2026-04-02,B2025-03595,Corrections List Issued,2025-08-25,,,2026-07-08,38,address+apn,39,Under Construction,,,0,1,,1,4,0,1
addr|130|berkeley sq,130 BERKELEY Sq,,50,description,ZP2021-0110;PLN2021-0032;ZP2021-0158;DRCP2021-0019,In Review,2021-11-05,,,,,,2026-09-21,33,address+permit,50,In Review,,,0,0,,0,4,0,0
apn|053-1598-005-01,1946 Russell,053-1598-005-01,50,description,ZP2015-0177,Approved,2015-08-17,,,,,,2026-07-08,,,,,,,1,1,"779(2u,block);143(54u,block)",0,1,0,0
apn|053-1592-020-00,2016 ASHBY Ave,053-1592-020-00,50,cpra_UnitsAdded,,,,B2024-01268,Issued,2024-03-20,2026-03-26,,2026-09-21,141,address+apn+permit,50,Withdrawn,2024-06-01,,0,0,,0,1,0,0
apn|057-2053-005-00,2067 UNIVERSITY Ave,057-2053-005-00,50,cpra_UnitsAdded,,,,B2017-02610,Finaled,2017-06-15,2018-10-10,2023-08-10,2026-07-08,466,address+apn+permit,50,Completed,,2023-08-10,0,0,,0,1,0,0
addr|2121|durant,2121 DURANT Ave,,50,description,DRCP2015-0001;ZP2015-0014;DRCF2017-0007,Approved,2017-07-20,,,,,,2026-09-21,,,,,,,1,0,,0,3,0,0
apn|055-1893-018-00,2124 BANCROFT Way,055-1893-018-00,50,cpra_UnitsAdded,,,,B2016-04483,Finaled,2016-09-22,2017-11-06,2019-11-15,2026-07-08,892,address+apn+permit,50,Completed,,2019-11-15,0,0,,0,1,0,0
apn|057-2034-008-00,2023 Shattuck,057-2034-008-00,48,description,DRCF2021-0003;DRCP2019-0002;ZP2019-0041,Approved,2019-03-05,,,,,,2026-07-08,380,address+apn,48,Completed,,2023-08-16,0,1,,0,3,0,0
apn|053-1629-019-01,2959 San Pablo,053-1629-019-01,48,description,PLN2022-0066,Withdrawn,2022-07-15,,,,,,2026-07-08,,,,,,,1,0,"168(78u,street)",0,1,0,0
