project_id,address,units,v2_status,flag,reason,co_evidence_date,n_census_building_permits,new_construction_permits,latest_building_status,planning_records,planning_statuses,live_planning,assessor_imps,apn,years_since_filing,address_matched_census
127,2820 San Pablo,1,Entitled,stalled_no_bp,"4y since filing, no new-construction BP at the address; 0 live planning record(s)",,1,,Closed Expired,,,0,0,053-1661-011-00,4,1
909,1801 University Ave,29,Completed,completed_unverified,no approved Building Final and assessor Imps = $0,,2,,Closed Expired,,,0,0,057-2060-051-00,,1
908,1849 Shattuck Ave,24,Completed,completed_unverified,no approved Building Final and assessor Imps = $0,,9,,Pending Payment,,,0,0,057-2049-039-00,,1
906,1509 Henry St,6,Completed,completed_unverified,no approved Building Final and assessor Imps = $0,,1,,Under Review,,,0,0,059-2263-032-00,,1
165,2200 BANCROFT Way,1625,Under Construction,ok,,,0,,,,,0,0,055-1886-017-03,2,0
171,2400 BOWDITCH St,1500,Pre-Application,ok,,,0,,,,,0,0,055-1875-009-01,0,0
177,2556 HASTE St,1113,Under Construction,ok,,,0,,,,,0,0,055-1875-040-01,,0
170,1950 OXFORD St,772,Completed,ok,,,0,,,,,0,,,,0
1,1750 SACRAMENTO St,739,Entitled,ok,,,3,B2025-05535;B2025-05534;B2026-03228,Pending Payment,,,0,0,058-2149-019-04,0,1
151,Ashby BART,618,Pre-Application,ok,,,0,,,,,0,5490160.0,053-1652-001-05,1,0
133,2128 Oxford St,456,Entitled,ok,,,6,B2024-00318;B2025-05345,Pending Payment,ZCBP2015-0808,Approved,1,15677.0,057-2031-001-01,3,1
35,2190 SHATTUCK Ave,452,In Review,ok,,,4,B2019-05481,Closed Expired,PLN2015-0009,Closed,0,106120.0,057-2026-004-05,0,1
3,2700 SHATTUCK Ave,359,Entitled,ok,,,2,,Finaled,,,0,11900000.0,054-1723-001-00,2,1
2,2276 SHATTUCK Ave,336,Entitled,ok,,,0,,,,,0,2685415.0,057-2028-004-00,1,0
6,2029 UNIVERSITY Ave,240,Entitled,ok,,,1,,Finaled,ZP2024-0182;ZP2024-0181;DRCP2025-0002;DRCP2025-0001,Approved;Pending Final Action,4,772908.0,057-2053-008-01,1,1
179,2352 Shattuck Ave,237,Completed,ok,,2023-08-08,30,B2019-02516;B2019-03704;B2019-05575;B2019-05574,Issued,DRCF2020-0003,Approved,1,,055-1895-018-05,8,1
9,1899 OXFORD St,212,Entitled,ok,,,1,B2026-02298,Pending Payment,ZP2026-0077,Under Review,1,0,058-2181-019-05,2,1
152,1598 UNIVERSITY Ave,207,Completed,ok,,2024-08-21,30,B2024-00587;B2024-01602;B2024-01924;B2024-00587-REV01,Under Review,,,0,,056-2003-001-00,2,1
121,2100 MILVIA St,205,Entitled,ok,,,11,,Under Review,,,0,9557471.0,057-2022-017-01,2,1
178,2131 University Ave,205,Completed,ok,,,9,,Issued,,,0,78406062.0,057-2046-008-04,,1
180,2065 Kittredge St,189,Entitled,ok,,,4,B2022-03273;B2022-05414,Closed Expired,DRCF2023-0002,Approved,1,,057-2027-006-00,,1
135,2150 Kittredge St,169,Completed,ok,,2024-03-20,25,B2021-00008;B2021-00008-DEF02;B2021-00008-DEF01;B2021-00008-REV03,Finaled,,,0,61451226.0,057-2029-017-00,5,1
181,2015 Blake St,168,Entitled,ok,,,0,,,,,0,,055-1822-013-03,,0
