project_id,address,units,v2_status,flag,reason,co_evidence_date,n_census_building_permits,new_construction_permits,latest_building_status,planning_records,planning_statuses,live_planning,assessor_imps,apn,years_since_filing,address_matched_census
226,1837 Berkeley Way,3,Completed,ok,,2024-12-03,3,B2022-01345,Finaled,,,0,1503767.0,057-2063-007-00,,1
662,3021 Dana,3,Completed,ok,,,4,,Finaled,,,0,133307.0,052-1574-033-00,,1
63,1716 SEVENTH St,2,Completed,ok,,2026-03-06,8,B2022-01332;B2022-01386;B2022-01332-REV01;B2025-05132,Issued,,,0,1040000.0,058-2119-009-00,1,1
64,1515 DERBY St,2,Completed,ok,,2025-05-23,6,B2023-04430;B2025-02754;B2026-00449,Pending Payment,,,0,954100.0,054-1802-014-00,1,1
65,1922 FRANCISCO St,2,In Review,ok,,,0,,,,,0,668144.0,058-2169-029-00,1,0
66,2204 DWIGHT Way,2,In Review,ok,,,0,,,,,0,664092.0,055-1830-016-00,2,0
67,1419 GRANT St,2,Permitted,ok,,,6,B2025-05892,Under Review,,,0,1249500.0,059-2273-030-00,1,1
68,1236 DWIGHT Way,2,In Review,ok,,,1,,Finaled,,,0,446250.0,054-1782-029-00,1,1
69,2808 NINTH St,2,In Review,ok,,,4,B2026-00031;B2026-00030,Issued,,,0,535500.0,053-1659-009-00,1,1
190,1341 ADDISON,2,Completed,ok,,,6,,Finaled,,,0,1435000.0,056-1995-010-01,,1
200,2226 DWIGHT Way,2,Completed,ok,,2024-06-03,3,B2022-03844;B2022-03844-REV01,Finaled,,,0,2310412.0,055-1830-022-00,,1
224,2233 GRANT St,2,Completed,ok,,2024-03-28,6,B2020-01745;B2020-02423,Finaled,ZCBP2015-0977;ZCBP2015-1654,Approved,2,3500902.0,057-2014-019-01,,1
234,1912 MONTEREY Ave,2,Completed,ok,,,5,B2017-02331;B2025-03476,Ready To Issue,,,0,1411139.0,061-2573-018-00,,1
266,1423 Acroft Ct,2,Completed,ok,,2024-06-19,10,B2021-01581,Finaled,ZCBP2016-0002,Approved,1,1027673.0,056-1998-040-00,,1
269,2737 FOREST Ave,2,Completed,ok,,2024-03-11,4,B2021-02307;B2021-02307-REV01,Issued,ZCBP2015-0744,Closed,0,1958160.0,054-1708-005-00,,1
274,1683 Oxford St,2,Completed,ok,,2024-07-24,8,B2021-02315;B2021-02315-REV01;B2021-02315-REV02,Finaled,,,0,1231296.0,058-2183-015-00,,1
286,1817 SIXTY-SECOND St,2,Completed,ok,,,0,,,,,0,840263.0,052-1526-009-00,,0
294,2327 OREGON St,2,Completed,ok,,2025-02-28,5,B2022-04721;B2022-04721-REV01,Finaled,,,0,1458600.0,053-1689-009-00,,1
302,1515 HARMON St,2,Completed,ok,,2025-05-13,7,B2022-03494,Issued,,,0,1570935.0,052-1536-011-00,,1
307,1812 UNIVERSITY Ave,2,Completed,ok,,,12,,Finaled,,,0,16502648.0,057-2016-021-01,,1
321,2619 COLLEGE AVE,2,Completed,ok,,2025-06-24,8,B2022-04226;B2024-00819;B2024-00819-REV01,Finaled,,,0,1620395.0,055-1848-024-00,,1
326,2631 REGENT St,2,Completed,ok,,2025-06-03,5,B2023-02659;B2023-02659-DEF01;B2023-02659-REV02,Finaled,,,0,2728239.0,055-1841-024-00,,1
337,2132 MCGEE Ave,2,Completed,ok,,2025-02-20,7,B2020-03292;B2020-03292-REV01;B2020-03292-REV02,Finaled,,,0,366639.0,056-2006-010-00,,1
343,1300 MONTEREY Ave,2,Completed,ok,,2025-10-21,5,B2024-00824;B2025-03934,Finaled,,,0,888087.0,060-2429-024-00,,1
348,2618 COLLEGE Ave,2,Completed,ok,,2025-07-25,15,B2021-05671;B2021-05671-REV01;B2021-05671-DEF02;B2024-05247,Issued,,,0,2464262.0,055-1845-010-00,,1
352,1828 EUCLID Ave,2,Completed,ok,,,4,,Finaled,,,0,2088021.0,058-2191-002-00,,1
355,2436 CHANNING Way,2,Completed,ok,,2025-06-17,12,B2023-05281;B2023-05281-REV01;B2023-05281-DEF02,Finaled,,,0,11497560.0,055-1880-022-01,,1
357,2639 REGENT St,2,Completed,ok,,2025-07-29,2,B2023-06071,Finaled,,,0,1553060.0,055-1841-021-00,,1
365,2227 CARLETON St,2,Completed,ok,,2026-04-17,14,B2023-04737;B2024-01632;B2023-04737-DEF01;B2023-04737-REV02,Issued,,,0,1449541.0,055-1828-011-00,,1
379,1173 Hearst Ave,2,Completed,ok,,,6,B2020-02942;B2020-02941;B2021-00030;B2024-01117,Issued,,,0,1105529.0,057-2086-088-00,,1
396,2519 College Ave,2,Completed,ok,,2023-05-11,7,B2021-00697;B2021-00697-REV01,Issued,,,0,2201731.0,055-1847-028-00,,1
400,2718 Durant Ave,2,Completed,ok,,,8,B2020-03715,Issued,,,0,2411564.0,055-1869-016-00,,1
402,131 Avenida Dr,2,Completed,ok,,2023-08-15,10,B2022-03366;B2025-03814,Issued,,,0,733697.0,060-2487-031-00,,1
420,2339 Oregon St,2,Completed,ok,,2023-03-10,3,B2020-01498;B2021-05224,Finaled,,,0,1359632.0,053-1689-006-02,,1
427,2422 Fifth St,2,Completed,ok,,,3,B2020-02038;B2020-02038-REV01,Finaled,DRSL2018-0008;DRSL2018-0007;DRSL2018-0006;ZP2018-0108,Approved;Void,2,2371004.0,056-1944-011-00,,1
445,1434 Fifth St,2,Completed,ok,,,4,B2021-05520;B2021-05520-REV01,Issued,,,0,1066930.0,059-2325-044-00,,1
455,1333 Blake St,2,Completed,ok,,,3,B2021-05139,Issued,,,0,423724.0,054-1783-006-00,,1
468,1506 Bonita Ave,2,Completed,ok,,,1,,Finaled,,,0,833275.0,059-2268-006-01,,1
486,1233 Evelyn Ave,2,Completed,ok,,,3,B2017-03483,Finaled,,,0,833402.0,060-2409-051-00,,1
492,1030 Grayson St,2,Completed,ok,,2018-10-17,5,B2017-00518;B2017-03295,Finaled,ZP2015-0141;DRSL2015-0027,Approved,2,946764.0,053-1661-056-00,,1
512,2411 Fifth St,2,Completed,ok,,2018-10-30,2,B2017-01029;B2017-01029-REV01,Issued,,,0,,056-1943-023-00,,1
517,1350 Carlotta Ave,2,Completed,ok,,,4,,Issued,,,0,344156.0,060-2438-020-00,,1
552,3046 Telegraph,2,Completed,ok,,,8,B2016-05172,Finaled,DRSL2015-0025;DRSA2015-0020,Approved;Void,1,,052-1576-032-00,,1
563,1406 Fairview,2,Completed,ok,,,4,B2019-00838,Issued,,,0,1335253.0,052-1537-016-00,,1
707,2815 Channing,2,Completed,ok,,,2,,Finaled,,,0,3650462.0,055-1864-010-01,,1
775,2116 Allston,2,Completed,ok,,2021-10-29,7,B2020-02394;B2020-02394-REV03,Issued,,,0,41422542.0,057-2030-002-00,,1
779,2921 Otis,2,Completed,ok,,,2,,Issued,ZP2017-0207,Approved,1,1213242.0,053-1598-027-00,,1
783,1811 Sixty-Third,2,Completed,ok,,,0,,,,,0,,052-1527-011-00,,0
828,0 LATHAM,2,Completed,ok,,2022-08-08,1,B2019-05488,Finaled,,,0,2653000.0,063-2969-034-37,,1
841,3353 M L KING JR,2,Completed,ok,,,0,,,,,0,569055.0,052-1433-012-00,,0
864,1677 ARCH,2,Completed,ok,,2022-04-20,4,B2021-03071,Finaled,,,0,764646.0,058-2187-019-00,,1
70,3001 BENVENUE Ave,1,Completed,ok,,,3,,Under Review,,,0,1444572.0,052-1562-001-00,1,1
71,40 HILL Rd,1,Completed,ok,,,6,,Finaled,,,0,340717.0,063-3161-002-00,6,1
73,0 LE ROY Ave,1,In Review,ok,,,1,B2025-01348,Corrections List Issued,,,0,0,058-2244-025-01,2,1
74,2328 GRANT St,1,In Review,ok,,,4,B2024-01452;B2026-01431,Issued,,,0,22206.0,055-1905-012-00,2,1
75,1939 MARIN Ave,1,In Review,ok,,,1,,Closed Expired,,,0,1004694.0,061-2574-013-00,2,1
76,1731 ADDISON St,1,Entitled,ok,,,4,,Issued,,,0,717418.0,056-2011-008-00,1,1
77,1420 FIFTH St,1,Completed,ok,,2021-12-09,10,B2020-01978,Finaled,,,0,1212310.0,059-2338-010-00,1,1
79,1111 ALLSTON Way,1,Completed,ok,,2026-01-29,2,B2023-00192;B2025-01202,Issued,ZP2018-0182,Approved,1,,056-1983-011-00,1,1
80,659 GRIZZLY PEAK Blvd,1,Entitled,ok,,,0,,,,,0,614040.0,063-2965-056-01,1,0
83,1136 KEITH Ave,1,Completed,ok,,2025-11-10,9,B2024-02570;B2024-02712;B2024-02712-REV01;B2024-02570-REV01,Issued,ZP2022-0012;ZP2024-0052,Approved;Withdrawn,1,2940000.0,063-2988-038-00,2,1
92,3036 REGENT St,1,Completed,ok,,,4,,Issued,,,0,,052-1574-046-01,1,1
94,2145 GRANT St,1,Entitled,ok,,,4,,Under Review,,,0,1820000.0,057-2015-022-00,1,1
112,1621 SACRAMENTO St,1,Entitled,ok,,,5,,Pending Payment,,,0,716820.0,058-2154-019-00,1,1
163,0 PARKER St,1,Permitted,ok,,,3,,Corrections List Issued,,,0,,055-1829-011-00,2,1
185,1609 FIFTH St,1,Completed,ok,,2024-03-04,1,B2023-01998,Finaled,,,0,347177.0,057-2117-015-00,,1
186,1822 WOOLSEY St,1,Completed,ok,,2024-01-03,9,B2022-01667;B2022-01667-DEF01;B2022-01667-REV02,Issued,ZP2016-0105,Approved,1,764120.0,052-1548-008-00,,1
187,1912 STUART St,1,Completed,ok,,2024-04-29,2,B2023-00520;B2024-01486,Finaled,,,0,677826.0,053-1680-024-00,,1
188,2024 Prince Street,1,Completed,ok,,2024-11-04,5,B2022-05486;B2022-05486-REV01,Finaled,,,0,1071000.0,052-1554-020-00,,1
189,2150 RUSSELL St,1,Completed,ok,,2024-02-09,3,B2022-05356;B2022-05356-REV01,Issued,,,0,1202694.0,052-1582-004-00,,1
191,2422 CALIFORNIA St,1,Completed,ok,,2024-03-29,4,B2022-02858,Finaled,ZP2022-0096,Approved,1,2064673.0,055-1913-043-00,,1
192,2425 Prospect St,1,Completed,ok,,2024-07-24,16,B2021-05291;B2021-05291-REV01;B2021-05291-REV02,Issued,PLN2020-0047,Closed,0,4846020.0,055-1856-014-00,,1
193,2818 Webster St,1,Completed,ok,,2024-09-24,10,B2022-01755;B2022-01755-REV01;B2022-01755-REV02;B2024-01964,Finaled,ZCBP2015-0576,Approved,1,2376956.0,052-1564-056-00,,1
194,626 Peralta Ave,1,Completed,ok,,2024-12-12,4,B2022-00430;B2022-00430-REV01,Finaled,PLN2022-0077,Pending,1,642256.0,062-2868-006-00,,1
195,844 Miramar Ave,1,Completed,ok,,,8,B2023-05727,Finaled,,,0,823687.0,062-2874-008-00,,1
196,921 ENSENADA Ave,1,Completed,ok,,2024-04-29,3,B2023-02857,Finaled,,,0,1960153.0,061-2613-019-00,,1
197,0 Cragmont Ave,1,Completed,ok,,2024-10-24,2,B2022-01436;B2022-01436-REV01,Finaled,,,0,,063-2986-022-00,,1
198,2312 Eighth St,1,Completed,ok,,2024-12-17,4,B2023-02556;B2023-02556-DEF01;B2023-02556-REV02,Finaled,,,0,,056-1938-007-00,,1
199,1709 Sacramento St,1,Completed,ok,,2024-09-24,5,B2022-03086;B2022-03086-REV01;B2022-03086-REV02,Finaled,,,0,2354466.0,058-2151-018-01,,1
201,2419 Jefferson Ave,1,Completed,ok,,2024-06-26,3,B2020-03762,Finaled,,,0,906638.0,055-1910-029-00,,1
203,1700 Walnut St,1,Completed,ok,,2024-08-07,3,B2022-04690;B2022-04690-REV01,Finaled,,,0,256885.0,058-2177-003-00,,1
204,2723 Forest Ave,1,Completed,ok,,,9,,Finaled,PLN2023-0067,Closed,0,424623.0,054-1708-009-00,,1
205,28 Hopkins Ct,1,Completed,ok,,2024-08-20,7,B2024-00221,Finaled,,,0,854948.0,060-2429-041-00,,1
206,35 Hillcrest Rd,1,Completed,ok,,2024-05-13,7,B2023-01703,Finaled,,,0,1718646.0,064-4247-017-00,,1
207,483 Boynton Ave,1,Completed,ok,,,6,,Finaled,,,0,1035622.0,062-2942-030-00,,1
208,469 Kentucky Ave,1,Completed,ok,,,7,B2023-04389;B2023-04389-REV01,Finaled,,,0,3170000.0,062-2945-028-00,,1
209,1386 Curtis St,1,Completed,ok,,2024-07-09,2,B2023-00589,Finaled,,,0,1122028.0,060-2392-022-00,,1
210,1429 Bancroft Way,1,Completed,ok,,2024-07-02,3,B2023-00510;B2023-00510-REV01,Finaled,,,0,659658.0,056-1998-026-00,,1
211,151 Tunnel Rd,1,Completed,ok,,,4,B2020-01212;B2020-01212-REV02;B2020-01212-REV01,Finaled,ZP2018-0162,Approved,1,415718.0,064-4229-003-00,,1
212,1625 SEVENTH St,1,Completed,ok,,2024-04-24,5,B2022-03940,Finaled,,,0,1362210.0,058-2121-026-00,,1
213,2516 Mathews St,1,Completed,ok,,2024-11-22,8,B2022-04803;B2022-04803-REV01,Finaled,,,0,1470000.0,054-1781-004-00,,1
214,1725 BERKELEY Way,1,Completed,ok,,,6,B2022-01835;B2022-01835-REV01;B2022-01835-REV02,Finaled,,,0,1121366.0,057-2062-010-00,,1
215,2610 Warring St,1,Completed,ok,,2024-07-25,4,B2023-01199;B2023-01199-REV01,Finaled,,,0,1502058.0,055-1852-006-00,,1
216,3216 California St,1,Completed,ok,,2024-06-12,6,B2023-03241,Finaled,,,0,490780.0,052-1536-004-00,,1
217,85 Hazel Rd,1,Completed,ok,,2024-05-16,11,B2022-04367,Ready To Issue,ZP2023-0001,Approved,1,2415000.0,064-4237-009-00,,1
218,886 Arlington Ave,1,Completed,ok,,2024-12-06,7,B2023-04456,Finaled,,,0,1853758.0,061-2577-006-00,,1
220,1027 BANCROFT Way,1,Completed,ok,,2024-04-24,5,B2021-04178;B2022-02804,Finaled,,,0,1397859.0,056-1976-020-00,,1
221,1340 QUEENS Rd,1,Completed,ok,,2024-02-27,4,B2022-03402;B2022-05670,Finaled,,,0,1977280.0,060-2482-016-00,,1
222,2164 OREGON St,1,Completed,ok,,2024-04-02,8,B2023-02897,Issued,,,0,1190000.0,053-1686-033-00,,1
223,2215 ROOSEVELT,1,Completed,ok,,2024-07-23,4,B2020-04505;B2020-04505-REV01,Issued,,,0,842045.0,057-2013-032-00,,1
225,2331 Spaulding Ave,1,Completed,ok,,2024-12-11,4,B2021-03913,Finaled,,,0,356654.0,055-1913-027-00,,1
227,3002 HARPER St,1,Completed,ok,,2024-02-28,1,B2022-04521,Finaled,,,0,913835.0,053-1602-003-00,,1
229,1154 Josephine St,1,Completed,ok,,2024-09-23,6,B2019-05341,Finaled,,,0,977344.0,061-2605-017-00,,1
230,1446 Campus Dr,1,Completed,ok,,,2,B2019-03338-REV01,Finaled,,,0,1602804.0,060-2478-013-00,,1
231,15 Hillcrest Rd,1,Completed,ok,,2024-05-06,6,B2023-00606,Issued,,,0,1093700.0,064-4247-021-00,,1
232,1655 Belvedere Ave,1,Completed,ok,,2024-05-10,5,B2023-05114;B2023-05255,Finaled,,,0,756689.0,059-2292-033-00,,1
233,1655 Tenth St,1,Completed,ok,,2024-11-25,5,B2017-01449;B2022-05902;B2022-05902-REV01,Finaled,,,0,556356.0,058-2128-016-00,,1
235,2819 Benvenue Ave,1,Completed,ok,,2024-05-14,4,B2021-01192,Finaled,,,0,731470.0,053-1695-021-01,,1
236,3120 Deakin St,1,Completed,ok,,2024-12-06,5,B2023-01911,Issued,,,0,882783.0,052-1556-006-00,,1
237,3122 Eton Ave,1,Completed,ok,,2024-01-31,1,B2023-05730,Finaled,,,0,1075690.0,052-1563-104-00,,1
238,956 INDIAN ROCK Ave,1,Completed,ok,,,0,,,,,0,1270758.0,061-2578-026-00,,0
239,1023 Cragmont Ave,1,Completed,ok,,,6,,Finaled,,,0,1481550.0,063-2972-046-00,,1
240,1532 Blake St,1,Completed,ok,,2024-05-22,3,B2023-03115,Finaled,,,0,711732.0,054-1800-028-00,,1
241,1570 POSEN Ave,1,Completed,ok,,2024-01-08,6,B2021-01799;B2021-04157;B2021-01799-REV01,Issued,,,0,726795.0,060-2429-002-00,,1
242,1812 Sixty-Second St,1,Completed,ok,,,0,,,,,0,1116748.0,052-1433-010-00,,0
243,2206 Roosevelt Ave,1,Completed,ok,,2024-08-30,3,B2019-00301,Finaled,ZP2019-0124,Withdrawn,0,672513.0,056-2009-006-00,,1
244,2303 GRANT St,1,Completed,ok,,2024-09-25,8,B2023-01058;B2023-01058-REV01,Finaled,,,0,434580.0,055-1904-033-00,,1
245,26 Rock Ln,1,Completed,ok,,2024-09-09,5,B2022-06033,Finaled,,,0,1026824.0,063-2961-047-00,,1
246,2631 WEBSTER St,1,Completed,ok,,2024-01-31,5,B2021-03815,Issued,,,0,1410608.0,052-1573-009-00,,1
247,1415 Fifth St,1,Completed,ok,,2024-10-31,4,B2017-03769;B2017-03769-REV01;B2017-03769-REV02;B2017-03769-REV03,Finaled,DRSL2016-0003,Approved,1,703756.0,059-2337-018-00,,1
248,1071 Page St,1,Completed,ok,,,3,,Finaled,,,0,482170.0,059-2332-017-00,,1
249,1067 Park Hills Rd,1,Completed,ok,,,0,,,,,0,709380.0,063-3140-049-00,,0
250,1128 Parker St,1,Completed,ok,,,4,B2021-01591,Finaled,,,0,642486.0,054-1785-025-00,,1
251,1221 Carrison St,1,Completed,ok,,2024-09-12,4,B2022-02837,Finaled,,,0,1097243.0,053-1627-018-00,,1
252,1326 M L King Jr Way,1,Completed,ok,,,0,,,,,0,455289.0,060-2447-010-00,,0
253,1332 NEILSON St,1,Completed,ok,,,3,B2020-03497;B2025-03612,Issued,,,0,461320.0,060-2391-074-03,,1
254,1380 GILMAN,1,Completed,ok,,2024-07-29,10,B2021-03801,Finaled,,,0,1012870.0,060-2423-001-00,,1
255,1381 Ada St,1,Completed,ok,,2024-11-04,2,B2023-03756,Finaled,,,0,302937.0,060-2423-040-00,,1
256,1517 VIRGINIA,1,Completed,ok,,2024-09-12,4,B2022-01742,Finaled,,,0,622856.0,058-2153-012-00,,1
257,1630 Posen Ave,1,Completed,ok,,2024-07-17,5,B2023-02002,Finaled,,,0,566057.0,060-2436-003-00,,1
258,1712 M L King Jr Way,1,Completed,ok,,,0,,,,,0,789765.0,058-2167-004-00,,0
259,1724 La Vereda Rd,1,Completed,ok,,,0,,,,,0,1356600.0,058-2207-005-01,,0
260,2335 Fifth St,1,Completed,ok,,2024-05-31,9,B2023-02152;B2023-02152-REV01;B2023-02152-REV02,Issued,,,0,631821.0,056-1942-020-00,,1
261,2430 Prospect St,1,Completed,ok,,2024-12-20,20,B2023-02685,Issued,,,0,9342415.0,055-1865-007-00,,1
262,766 Vincente Ave,1,Completed,ok,,2024-07-17,3,B2023-01770,Finaled,,,0,963189.0,062-2882-025-00,,1
263,1231 NEILSON,1,Completed,ok,,2024-09-19,6,B2020-02816;B2020-02816-REV01;B2020-02816-REV02,Issued,,,0,633826.0,060-2415-026-00,,1
264,1242 Kains Ave,1,Completed,ok,,2024-06-10,6,B2022-02055;B2022-02055-REV01,Finaled,ZCBP2015-1194,Approved,1,1206017.0,060-2405-018-00,,1
265,1305 SIXTY-SIXTH,1,Completed,ok,,,0,,,,,0,579789.0,052-1517-015-00,,0
267,1449 ORDWAY St,1,Completed,ok,,2024-04-05,10,B2023-03417,Finaled,ZCBL2020-0305,Approved,1,1400000.0,060-2423-049-00,,1
268,2433 Acton St,1,Completed,ok,,2024-08-23,5,B2021-01939;B2023-05267,Finaled,,,0,518040.0,056-1919-025-00,,1
270,2830 Cherry St,1,Completed,ok,,2024-09-23,10,B2022-04111;B2022-04111-REV01;B2022-04111-REV02,Issued,,,0,1794381.0,053-1696-012-00,,1
271,3136 Ellis St,1,Completed,ok,,2024-11-15,9,B2018-05019;B2020-02422;B2023-06165,Finaled,ZCBP2015-0583,Approved,1,682212.0,052-1547-006-00,,1
272,1216 Haskell St,1,Completed,ok,,2024-07-31,5,B2022-03577,Finaled,,,0,528956.0,052-1515-026-00,,1
273,1310 DERBY,1,Completed,ok,,2024-06-14,4,B2021-03651;B2021-03651-REV01,Finaled,,,0,796395.0,054-1739-025-00,,1
275,1701 Hopkins St,1,Completed,ok,,2024-07-25,6,B2023-00291,Finaled,,,0,1114746.0,060-2437-028-00,,1
276,1709 Francisco St,1,Completed,ok,,2024-12-11,6,B2023-03055;B2024-00915,Finaled,,,0,926748.0,058-2160-013-00,,1
277,1325 ALCATRAZ,1,Completed,ok,,2024-10-31,3,B2020-03772,Finaled,,,0,465566.0,052-1518-008-00,,1
278,1332 MILVIA,1,Completed,ok,,2024-07-30,3,B2022-03410,Finaled,ZP2015-0142,Approved,1,908850.0,060-2451-014-00,,1
279,1428 DELAWARE St,1,Completed,ok,,2024-02-07,3,B2022-00248,Issued,,,0,794946.0,057-2076-002-00,,1
280,2804 ACTON St,1,Completed,ok,,2025-04-23,11,B2020-04057,Finaled,ZP2021-0007,Approved,1,1220940.0,053-1667-003-00,,1
281,1408 EDITH St,1,Completed,ok,,2025-06-27,6,B2022-00473,Finaled,,,0,1183753.0,059-2282-037-00,,1
282,2144 RUSSELL St,1,Completed,ok,,2025-05-28,1,B2022-06045,Finaled,,,0,322862.0,052-1582-002-00,,1
283,3037 ELLIS St,1,Completed,ok,,2025-08-01,8,B2023-03018;B2024-01867;B2023-03018-REV01,Issued,,,0,927398.0,053-1602-021-00,,1
284,1215 DELAWARE St,1,Completed,ok,,2025-02-07,4,B2023-04400;B2023-04400-REV01,Finaled,,,0,1610000.0,058-2134-018-00,,1
285,948 FRESNO Ave,1,Completed,ok,,2025-01-28,5,B2023-05794,Finaled,,,0,689985.0,061-2611-013-00,,1
287,1619 EDITH St,1,Completed,ok,,2025-08-15,6,B2024-01247,Issued,,,0,1235454.0,058-2164-016-00,,1
288,1280 BANCROFT Way,1,Completed,ok,,2025-08-14,5,B2024-01337,Issued,,,0,1190000.0,056-1924-005-00,,1
289,1228 MONTEREY Ave,1,Completed,ok,,2025-10-15,3,B2024-01931,Issued,,,0,578083.0,060-2429-009-00,,1
290,1016 FRESNO Ave,1,Completed,ok,,2025-03-18,2,B2024-02618,Finaled,,,0,756865.0,061-2610-009-00,,1
291,2501 MABEL St,1,Completed,ok,,,4,B2020-03502;B2022-04896,Finaled,,,0,626127.0,054-1783-020-00,,1
292,1521 SACRAMENTO St,1,Completed,ok,,2025-04-14,4,B2021-02467,Finaled,,,0,405893.0,059-2285-038-00,,1
293,1966 YOSEMITE Rd,1,Completed,ok,,2025-01-24,4,B2022-03233,Finaled,,,0,1294748.0,061-2576-007-00,,1
295,1238 STANNAGE Ave,1,Completed,ok,,2025-07-21,2,B2023-03731,Finaled,,,0,328738.0,060-2406-016-00,,1
296,726 NEILSON St,1,Completed,ok,,2025-08-15,5,B2024-01121;B2024-05515,Finaled,,,0,605381.0,062-2849-004-00,,1
297,1219 DERBY St,1,Completed,ok,,2025-04-24,9,B2024-01564;B2024-01564-REV01;B2025-02753,Issued,,,0,1509744.0,054-1787-008-00,,1
298,2761 ACTON ST,1,Completed,ok,,2025-08-12,4,B2024-05116,Issued,,,0,309356.0,054-1738-025-01,,1
300,1182 EUCLID Ave,1,Completed,ok,,2025-06-16,11,B2022-01596;B2022-03053;B2022-01596-REV01;B2022-01596-DEF02,Finaled,,,0,1263049.0,061-2550-003-00,,1
301,1426 SPRUCE St,1,Completed,ok,,2025-06-25,12,B2022-02002;B2022-02002-REV01,Finaled,,,0,1600954.0,059-2257-012-00,,1
303,1217 EVELYN Ave,1,Completed,ok,,2025-01-09,6,B2022-04050,Ready To Issue,,,0,679575.0,060-2409-055-00,,1
304,605 NEILSON St,1,Completed,ok,,2025-09-08,14,B2020-00481;B2020-00481-REV01;B2020-00481-DEF02;B2022-06065,Issued,,,0,1702553.0,062-2868-001-00,,1
305,2607 PIEDMONT Ave,1,Completed,ok,,2025-04-21,7,B2023-01656,Finaled,,,0,1762740.0,055-1852-023-00,,1
306,1140 THE ALAMEDA,1,Completed,ok,,,0,,,,,0,1665323.0,061-2605-013-00,,0
308,63 VICENTE Rd,1,Completed,ok,,,5,B2019-05360;B2019-05360-REV01;B2019-05360-REV02,Finaled,,,0,2195550.0,064-4229-002-15,,1
309,1522 HARMON ST,1,Completed,ok,,2025-09-22,4,B2016-01346;B2024-04977,Finaled,ZCBP2016-0034,Closed,0,1349256.0,052-1520-017-00,,1
310,1529 SPRUCE ST,1,Completed,ok,,2025-04-04,10,B2024-00975,Issued,,,0,640175.0,059-2255-019-00,,1
311,919 BATAAN Ave,1,Completed,ok,,2025-07-30,3,B2020-01463;B2020-01463-REV01,Finaled,,,0,431226.0,059-2313-008-00,,1
312,1134 WARD St,1,Completed,ok,,2025-04-15,3,B2022-02658,Finaled,,,0,1042231.0,054-1742-035-00,,1
313,932 COLUSA Ave,1,Completed,ok,,2025-11-13,4,B2023-03347;B2023-03347-REV01,Finaled,,,0,316873.0,061-2612-008-00,,1
314,2221 CARLETON St,1,Completed,ok,,2025-09-15,13,B2023-04736;B2023-04736-REV01;B2023-04736-DEF02;B2023-04736-REV03,Finaled,,,0,1171837.0,055-1828-012-00,,1
315,12 PANORAMIC Way,1,Completed,ok,,2025-09-08,13,B2024-00772,Finaled,,,0,4374140.0,055-1853-004-00,,1
316,2620 REGENT St,1,Completed,ok,,2025-05-30,5,B2024-01193;B2024-01193-REV01;B2024-05765;B2024-05764,Finaled,,,0,2965752.0,055-1840-007-00,,1
317,2418 ACTON St,1,Completed,ok,,2025-04-04,4,B2019-05445;B2019-05445-REV01,Issued,,,0,1856400.0,056-1918-006-00,,1
318,2805 RUSSELL ST,1,Completed,ok,,2025-11-07,9,B2024-03194,Finaled,,,0,1991764.0,053-1698-015-00,,1
319,2742 MABEL ST,1,Completed,ok,,2025-10-07,2,B2024-03873,Finaled,,,0,608636.0,054-1742-081-00,,1
320,2410 JEFFERSON AVE,1,Completed,ok,,2025-10-22,4,B2024-05755,Issued,,,0,356460.0,055-1911-007-00,,1
322,1176 MILLER Ave,1,Completed,ok,,2025-01-27,11,B2022-00059,Issued,ZCBP2015-0732,Approved,1,91855.0,063-2983-013-01,,1
323,655 SAN LUIS Rd,1,Completed,ok,,,0,,,,,0,2193388.0,062-2915-031-00,,0
324,2026 ESSEX St,1,Completed,ok,,2025-01-08,4,B2022-05608,Finaled,,,0,626409.0,053-1594-022-00,,1
325,1327 ORDWAY St,1,Completed,ok,,2025-07-25,3,B2023-00391;B2023-00391-REV01,Finaled,,,0,297025.0,060-2423-014-00,,1
327,3019 BATEMAN St,1,Completed,ok,,2025-09-15,4,B2023-03862;B2023-03857,Finaled,,,0,,052-1560-032-00,,1
328,1536 LINCOLN St,1,Completed,ok,,2025-02-21,5,B2023-03870;B2023-03870-REV01;B2024-04931,Finaled,,,0,420015.0,058-2153-028-00,,1
329,1208 DELAWARE St,1,Completed,ok,,2025-02-24,2,B2024-00243;B2025-01753,Finaled,,,0,967470.0,057-2082-049-00,,1
330,1205 KAINS Ave,1,Completed,ok,,2025-08-27,7,B2024-02503;B2024-04235,Issued,,,0,464860.0,060-2406-033-00,,1
331,1910 BLAKE St,1,Completed,ok,,,5,B2016-00118,Finaled,,,0,1320900.0,055-1816-023-00,,1
332,2815 ASHBY AVE,1,Completed,ok,,2025-07-31,11,B2024-03769,Issued,,,0,2467500.0,052-1566-013-00,,1
333,1300 KAINS AVE,1,Completed,ok,,2025-09-05,6,B2023-00112,Issued,,,0,905773.0,060-2404-002-00,,1
334,2312 CURTIS ST,1,Completed,ok,,2025-08-05,3,B2024-00955,Finaled,,,0,945000.0,056-1926-004-00,,1
335,2715 DWIGHT WAY,1,Completed,ok,,2025-11-14,12,B2024-03777,Ready to Issue,,,0,6971142.0,055-1867-010-00,,1
336,1355 ACTON ST,1,Completed,ok,,2025-07-18,3,B2024-05992;B2024-05991,Finaled,,,0,1379600.0,060-2428-027-00,,1
