record,module,source,record_type,role,units,units_source,status_source,address,apn,filed,issued,finaled,status,status_asof,description,production
B2022-01079,Building,cpra,Alteration,new_unit,2,cpra_UnitsAdded,census,2701 DURANT Ave,055-1870-008-00,2022-03-10,2023-05-01,,Issued (CPRA; not in census),2026-07-07,Convert the basement into two accessory dwelling units,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2022-01345,Building,cpra,New,new_unit,3,cpra_UnitsAdded,census,1837 BERKELEY Way,057-2063-007-00,2022-03-28,2023-03-09,2024-12-03,Finaled,2026-07-08,"Construct 3 new townhouses. 3 stories each townhouse. Total 2323 sq ft. Associated demolition permit #B2022-01344, zoning permit #Z2020-015.",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2022-03844,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2226 DWIGHT Way,055-1830-022-00,2022-08-18,2023-05-18,2024-06-03,Finaled,2026-07-08,"At rear yard, erect new 1-story detached building with 2 ADU's. Unit 1- 842 sq. ft. 2 x1, Unit 2-914 sq. ft. 2 x1. Install 200 AMP electrical panels.",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2022-04242,Building,cpra,New,new_unit,17,cpra_UnitsAdded,capdetail,2317 CHANNING Way,055-1884-006-00,2022-09-12,2025-09-08,,Issued,2026-09-21,"The proposed project will provide 17 apartments in a newly constructed 5 story building on an existing surface parking lot and replace a 1,414 SF existing offic",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2022-04366,Building,cpra,New,new_unit,39,cpra_UnitsAdded,census,1367 UNIVERSITY Ave,057-2073-005-00,2022-09-20,2023-10-16,2025-05-06,Finaled,2026-07-08,"Construction of a 9665-SF, four story 39-unit congregate residence.",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2022-04721,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2327 OREGON St,053-1689-009-00,2022-10-12,2023-03-07,2025-02-28,Finaled,2026-07-08,New single-family dwelling to replace existing. New structure includes attached ADU at the front of the building. A separate application will be submitted to le,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2022-05117,Building,cpra,New,new_unit,40,cpra_UnitsAdded,census,2440 SHATTUCK Ave,055-1896-005-00,2022-11-01,2023-08-03,2025-03-05,Finaled,2026-07-08,Phase II for 8-story multi-family building with 40 residential Units (Phase I under B2022-02525),BP_Annual Permit Report-2025-2026-07-07.xlsx
B2022-05880,Building,cpra,New,new_unit,28,cpra_UnitsAdded,census,2480 BANCROFT Way,055-1878-022-00,2022-12-16,2023-12-13,2025-07-10,Finaled,2026-07-08,"Construction of new, 8-story, mixed-use building w/ 28 residential units over a ground floor restaurant.  See Demo permit for B2022-05919.",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2022-05881,Building,cpra,New,new_unit,54,cpra_UnitsAdded,capdetail,1740 SAN PABLO Ave,058-2127-014-03,2022-12-16,2025-12-18,,Issued,2026-09-21,Proposed residential development of a 100% affordable large family housing project with 54 units complying with government code section 65913.4,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2022-05957,Building,cpra,New,new_unit,13,cpra_UnitsAdded,capdetail,2328 CHANNING Way,055-1883-027-00,2022-12-21,2024-09-05,,Issued,2026-09-21,"Restoration and relocation of existing historic Luttrell House, and new construction of 13 unit 4-story residential building behind.",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2023-00117,Building,cpra,Alteration,ambiguous,3,cpra_UnitsAdded,census,1025 HEINZ Ave,053-1660-024-00,2023-01-12,2023-01-24,2024-11-19,Finaled,2026-07-08,"Upgrade existing electrical service to new 400amp overhead electrical service for existing duplex and future detached residence in rear, Unit C. approved under ",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2023-00774,Building,cpra,New,ambiguous,72,cpra_UnitsAdded,capdetail,1752 SHATTUCK Ave,058-2176-001-01,2023-02-22,2024-06-13,,Issued,2026-09-21,"72-unit, 7-story, mixed-use apartment building.",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2023-01529,Building,cpra,New,ambiguous,2,cpra_UnitsAdded,census,2371 OAK St,061-2551-026-03,2023-03-30,2025-09-18,,Issued (CPRA; not in census),2026-07-07,"Addition to existing house, new 783 SF unit at 1st floor, 633 SF addition to 2nd floor, and 693 SF addition to 3rd floor.",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2023-01905,Building,cpra,,ambiguous,2,cpra_UnitsAdded,census,1423 ACROFT Ct,056-1998-040-00,2023-04-17,2023-04-17,2024-02-23,Finaled,2026-07-08,To replace an existing temp power with a 400 Amp 2 meter service,BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2023-02332,Building,cpra,New,new_unit,83,cpra_UnitsAdded,capdetail,2538 DURANT Ave,055-1876-021-01,2023-05-05,2024-09-24,,Finaled,2026-09-21,The new construction of an 8-story building with (83) dwelling units and a commercial space. (Ref. #B2023-01880 Demo),BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2023-02354,Building,cpra,New,new_unit,24,cpra_UnitsAdded,census,1773 OXFORD St,058-2181-027-00,2023-05-08,2023-11-13,2025-05-21,Finaled,2026-07-08,New construction of 5-story residential apartment with no parking. Shoring under B2023-04569,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2023-02659,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2631 REGENT St,055-1841-024-00,2023-05-22,2024-01-16,2025-06-03,Finaled,2026-07-08,Construction of 2 ADUs in (N) 1600 sq. ft. detached structure,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2023-02975,Building,cpra,New,new_unit,12,cpra_UnitsAdded,census,2555 COLLEGE Ave,055-1847-020-00,2023-06-09,2024-04-26,2025-07-25,Finaled,2026-07-08,"Construction of a 9,815 SF, four story 11-unit + attached ADU multifamily residential building.",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2023-04424,Building,cpra,Alteration,new_unit,2,cpra_UnitsAdded,census,1403 CARLETON St,054-1794-014-01,2023-08-28,2024-08-21,2026-03-27,Finaled,2026-07-08,ADU conversion adding 2 units to an existing apartment building. Soft Story Retrofit per BMC 19.39 - NOT for transfer tax rebate.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2023-04737,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2227 CARLETON St,055-1828-011-00,2023-09-14,2024-09-04,2025-09-10,Finaled,2026-07-08,New Detached 2 Story ADUs (total 2000SF),BP_Annual Permit Report-2025-2026-07-07.xlsx
B2023-04951,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,945 CRESTON Rd,063-3120-063-00,2023-09-25,2025-10-23,,Issued,2026-09-21,New residential duplex.  Property in Fire Zone 2.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2023-05281,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2436 CHANNING Way,055-1880-022-01,2023-10-16,2024-04-17,2025-06-17,Finaled,2026-07-08,"Two (2) New ADUs, one building 1,000 sq. ft.- (5) bed, (2) bath each.",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2023-05812,Building,cpra,Addition/Alteration,new_unit,2,cpra_UnitsAdded,census,1817 SIXTY-SECOND St,052-1526-009-00,2023-11-09,2024-03-12,2025-06-24,Finaled,2026-07-08,"Renovation of (e) garage into a (n) detached accessory dwelling unit- ADU. 1 Bed, 1 Bath- 308 sq. ft.",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2023-06071,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2639 REGENT St,055-1841-021-00,2023-11-27,2024-06-11,2025-07-29,Finaled,2026-07-08,Addition of (2) ADUs in the rear of existing residential building.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2023-06132,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,2623 COLLEGE Ave,055-1848-023-00,2023-11-30,2025-10-14,,Issued,2026-09-21,"A detached duplex (stacked) ADU at the rear of the property, (5) bedrooms, (2) bathrooms, all electric.",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2023-06416,Building,cpra,New,new_unit,144,cpra_UnitsAdded,census,3030 TELEGRAPH Ave,052-1576-027-01,2023-12-19,2024-10-15,2026-04-16,Finaled,2026-07-08,"Construction of a 5-story, mixed-use building with (144) dwelling units.",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-00143,Building,cpra,New,new_unit,36,cpra_UnitsAdded,capdetail,2403 SAN PABLO Ave,056-1928-001-00,2024-01-10,2025-06-03,,Issued,2026-09-21,"Privately funded, 4-story, mixed use, (36) unit condominium project with garage.",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-00257,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,2323 SEVENTH St,056-1938-029-00,2024-01-18,2025-06-17,,Issued,2026-09-21,"Adding two factory-built, state-approved ADUs to the property. The ADUs will be detached from the main building but attached to each other, with floor areas of ",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-00701,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,805 JONES St,059-2326-012-00,2024-02-15,2024-09-06,,Issued,2026-09-21,New two story duplex (815 - 817 Jones St.),BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-00721,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,805 JONES St,059-2326-012-00,2024-02-16,2024-09-23,,Issued,2026-09-21,"New Detached, (2) Story-Duplex, (807 - 809 Jones St)",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-00797,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,805 JONES St,059-2326-012-00,2024-02-22,2024-09-12,,Issued,2026-09-21,New two story duplex. (811 - 813 Jones St),BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-00819,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2619 COLLEGE Ave,055-1848-024-00,2024-02-22,2024-09-13,2025-06-24,Finaled,2026-07-08,"Proposed new construction of a 1,998 square feet detached two story building which contains two 999 square feet ADUs, one unit on each floor.",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-00824,Building,cpra,Addition/Alteration,new_unit,2,cpra_UnitsAdded,census,1300 MONTEREY Ave,060-2429-024-00,2024-02-22,2024-07-23,2025-10-21,Finaled,2026-07-08,Convert garage into 2 ADU's,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-01117,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,1173 HEARST Ave,057-2086-088-00,2024-03-12,2025-02-25,,Issued,2026-09-21,New 2-story duplex.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-01193,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2620 REGENT St,055-1840-007-00,2024-03-15,2024-06-14,2025-05-30,Finaled,2026-07-08,"Two (2) new 1,000 sf detached ADU",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-01429,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,944 CHANNING Way,056-1936-005-00,2024-03-28,2025-09-24,,Issued,2026-09-21,2-story ADUs in the rear yard.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-01924,Building,cpra,New,new_unit,207,cpra_UnitsAdded,capdetail,1598 UNIVERSITY Ave,056-2003-001-00,2024-04-19,2024-12-16,,Issued,2026-09-21,Phase II - 207-unit mixed use building with commercial use and associated parking.,BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2024-02212,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,1732 CALIFORNIA St,058-2150-003-00,2024-05-06,2024-12-30,,Issued,2026-09-21,"New detached ADU, 989 sq ft 2 bed 2 bath",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2024-02377,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,2211 CHANNING Way,055-1887-011-00,2024-05-14,2025-12-01,,Issued,2026-09-21,Duplex ADU at rear of lot.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-02435,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,1650 OXFORD St,058-2179-008-00,2024-05-16,2024-11-12,,Issued,2026-09-21,Two new accessory dwelling units (detached ADUs) on an existing multi- family lot.,BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2024-02481,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2021 CHANNING Way,055-1895-009-00,2024-05-17,2025-04-29,2026-04-27,Finaled,2026-07-08,Duplex ADU at rear of lot.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-02487,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,2215 CHANNING Way,055-1887-010-00,2024-05-17,2025-12-01,,Issued,2026-09-21,Duplex ADU at rear of lot.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-02927,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,2800 M L KING JR Way,053-1677-008-00,2024-06-12,2024-10-22,,Finaled,2026-09-21,New detached duplex ADU.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-02966,Building,cpra,New,new_unit,110,cpra_UnitsAdded,capdetail,1701 SAN PABLO Ave,058-2129-017-00,2024-06-17,2025-05-06,,Issued,2026-09-21,"New 6-story, 110-unit, publicly funded multi-family residential development with lobby, resident amenities and 55 parking spaces. Includes partial demolish of t",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-03463,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,1729 EIGHTH St,058-2123-019-00,2024-07-15,2025-08-11,,Issued,2026-09-21,Build new duplex. (See demolition Permit #B2025-02476.) The demolition permit is required to be issued prior to this (rebuild) permit.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-03840,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,2124 PARKER St,055-1825-024-01,2024-08-06,2025-04-09,,Issued,2026-09-21,New detached 2-story duplex ADU structure.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-04276,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,2325 CHANNING Way,055-1884-005-00,2024-09-03,2025-06-02,,Issued,2026-09-21,Two new accessory dwelling units (detached ADUs) on an existing multi- family lot. Alterations of existing building under B2025-00391.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-04291,Building,cpra,New,ambiguous,2,cpra_UnitsAdded,capdetail,2620 HILLEGASS Ave,055-1841-009-00,2024-09-03,2025-08-20,,Finaled,2026-09-21,Construction of two unit accessory dwelling structure at  the rear of the lot on the existing parcel with a  existing 12 unit multi-family apartment building,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-04593,Building,cpra,,ambiguous,8,cpra_UnitsAdded,census,2235 HEARST Ave,058-2181-017-00,2024-09-23,2024-09-27,2024-11-25,Finaled,2026-07-08,"REROOF BUR: REMOVE TAR & GRAVEL ROOFING. INSTALL 2 LAYER POLY ISO, INSTALL 1 LAYER CERTAINTEED MEMBRANE.INSTALL NEW PIPES & FLASHINGS. TILE:REMOVE TILES AND UND",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2024-05037,Building,cpra,,ambiguous,2,cpra_UnitsAdded,capdetail,2326 GRANT St,055-1905-011-03,2024-10-18,2024-11-06,,Issued,2026-09-21,Replace existing furnace with new unit at same location with same hookups,BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2024-05944,Building,cpra,New,new_unit,69,cpra_UnitsAdded,capdetail,2300 ELLSWORTH St,055-1886-001-00,2024-12-17,2025-09-04,,Issued,2026-09-21,"Construct of new (7) story, (69) unit, mixed-use building, Levels 1-2 - concrete / elevated slabs, Levels 3-7 wood superstructure",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-06003,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,2708 PRINCE St,052-1563-036-00,2024-12-20,2025-07-11,,Issued,2026-09-21,Construct new Duplex (2 units). Detached ADU under B2024-06000.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-06011,Building,cpra,New,ambiguous,83,cpra_UnitsAdded,capdetail,2538 DURANT Ave,055-1876-021-01,2024-12-20,2025-05-09,,Issued,2026-09-21,"Temporary Power Service for construction use. 400 Amps.  Will source power to tower crane, material hoist elevator, task lighting, power tools and egress lighti",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-06085,Building,cpra,Alteration,ambiguous,2,cpra_UnitsAdded,capdetail,2220 ROSE St,059-2257-006-00,2024-12-30,2024-12-30,,Finaled,2026-09-21,"Repair roof, and any dryrot",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2025-00168,Building,cpra,Addition/Alteration,new_unit,6,cpra_UnitsAdded,capdetail,2330 BLAKE St,055-1832-026-01,2025-01-14,2025-07-30,,Issued,2026-09-21,"Interior remodel of apartment building, including addition of 6 ADU's at ground level.  (Ref #B2024-04552)",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2025-02283,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,0 VIRGINIA St 94702,059-2287-020-00,2025-06-04,2025-10-10,,Issued,2026-09-21,Construction of a new single family house with an attached ADU,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2025-03731,Building,cpra,Alteration,ambiguous,11,cpra_UnitsAdded,census,2012 CHANNING Way,055-1896-021-00,2025-09-02,2025-09-03,2025-12-04,Finaled,2026-07-08,"Install water heater stand, bond, smitty pan tnp to exit building, per housing case #H2025-00431 item #3",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-01268,Building,cpra,New,new_unit,50,cpra_UnitsAdded,capdetail,2016 ASHBY Ave,053-1592-020-00,2024-03-20,2026-03-26,,Issued,2026-09-21,"New 7-story building consisting of 50 affordable rental apartments and related services and amenities, with supportive spaces for the adjacent church.",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2024-04179,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,2331 EIGHTH St,056-1937-022-00,2024-08-26,2026-01-20,,Issued,2026-09-21,New detached wood framed structure at the rear yard of the property consisting of 2 stories for 2 ADU's.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2025-00752,Building,cpra,Addition,new_unit,5,cpra_UnitsAdded,capdetail,2918 FLORENCE St,052-1572-006-00,2025-02-25,,,Corrections List Issued,2026-09-21,Remodel (4) unit apartment building. Level 1: Demolish 150 sq ft addition and replace with new 272 sq ft addition as part of a new  (2) bedroom (2) bath JADU.  ,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2025-03529,Building,cpra,New,new_unit,38,cpra_UnitsAdded,capdetail,2442 HASTE St,055-1881-018-00,2025-08-20,2026-05-20,,Issued,2026-09-21,"Construction of new 8-Story, 38-Unit residential building, Levels 1-3 (IA), Levels 4-8 (IIIA), including underground, rough and finish MEP",BP_Annual Permit Report-2025-2026-07-07.xlsx
B2026-00031,Building,cpra,New,new_unit,2,cpra_UnitsAdded,capdetail,2808 NINTH St,061-2561-001-00,2026-01-06,2026-06-01,,Issued,2026-09-21,Construct new duplex.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2018-01151,Building,census,Permit,screen,4,description,capdetail,"2319 ROOSEVELT Ave, BERKELEY CA 94703",055-1905-030-00,2018-03-24,,,Issued,2026-09-21,"Install 3.0KW PV solar panels on roof (9 modules). 4 units, 2 stories.",Building_2018-03-22_2018-03-25
B2024-01060,Building,census,Building Permit,screen,6,description,capdetail,"2716 HASTE St, BERKELEY CA 94704",055-1867-017-00,2024-03-08,,,Closed Expired,2026-09-21,Two (2) ADUs behind existing 6-unit apartment building.,Building_2024-03-06_2024-03-09
B2024-01675,Building,census,Electrical Permit,screen,6,description,capdetail,"2212 ASHBY Ave, BERKELEY CA 94705",052-1583-004-00,2024-04-08,,,Finaled,2026-09-21,"Electrical Upgrade for 6 unit Bldg to 400 amps, add house meter",Building_2024-04-07_2024-04-10
B2025-00984,Building,census,Building Electrical Permit,screen,66,description,capdetail,"2138 KITTREDGE St, BERKELEY CA 94704",057-2029-015-00,2025-03-11,,,Issued,2026-09-21,"Phase I of 66 unit multifamily building - underground piping, earthwork, foundation, floor slab, elevated concrete slabs (basement - 3rd floor), MEP rough-ins.",Building_2025-03-09_2025-03-12
B2025-02762,Building,census,Building Permit,screen,6,description,capdetail,"2649 BENVENUE Ave, BERKELEY CA 94704",055-1845-019-00,2025-07-03,,,Issued,2026-09-21,"Rehab existing 3 story 6 unit building. Demo existing deck on east side of property. Replace all electrical outlets, switches and lighting. Update all the plumb",Building_2025-07-03_2025-07-06
B2025-03595,Building,census,Building Electrical Mechanical Plumbing Permit,screen,39,description,capdetail,"2449 DWIGHT Way, BERKELEY CA 94704",055-1881-004-00,2025-08-25,,,Corrections List Issued,2026-09-21,Renovations to existing 8-story mixed use building - new foundation; rebuild 24 existing mixed-use units due to fire damage; 39 new residential units; structura,Building_2025-08-24_2025-08-27
B2025-05618,Building,census,Building Permit,screen,18,description,capdetail,"2800 TELEGRAPH Ave, BERKELEY CA 94705",053-1689-001-00,2025-12-05,,,Issued,2026-09-21,"New construction of a 6-story, 18 unit multi-family building",Building_2025-12-02_2025-12-05
B2025-05534,Building,census,Building Permit,screen,60,description,capdetail,"1750 SACRAMENTO St, BERKELEY CA 94702",058-2149-019-04,2025-12-03,,,Corrections List Issued,2026-09-21,New Construction of a 6-story (5 floors 3A / 1 floor 1A) multi family with 60 residential units,Building_2025-12-02_2025-12-05
B2025-05654,Building,census,Building Electrical Mechanical Plumbing Permit,screen,49,description,capdetail,"2372 ELLSWORTH St, BERKELEY CA 94704",055-1887-003-00,2025-12-08,,,Approved w/Conditions,2026-09-21,New Construction of a 7-story (49 unit multifamily apartment).,Building_2025-12-06_2025-12-09
B2025-05635,Building,census,Building Permit,screen,56,description,capdetail,"2712 TELEGRAPH Ave, BERKELEY CA 94705",054-1714-005-01,2025-12-08,,,Under Review,2026-09-21,"Construction of new 6-story residential building with 56 residential units, a ground level lobby and (2) parking spaces",Building_2025-12-06_2025-12-09
B2025-05624,Building,census,Building Permit,screen,6,description,capdetail,"1850 BERRYMAN St, BERKELEY CA 94709",,2025-12-08,,,Corrections List Issued,2026-09-21,"New Construction of a 3 story, Type IIIA, multi-family building with 6 residential units",Building_2025-12-06_2025-12-09
B2026-01187,Building,census,Building Electrical Mechanical Plumbing Permit,screen,10,description,capdetail,"1862 ARCH St, 7, BERKELEY CA 94709",058-2182-019-01,2026-03-23,,,Issued,2026-09-21,Unit 7: Minor alterations of (1) dwelling unit on the 2nd story of an existing 10-unit multifamily building. Scope of work to include: demolition of interior pa,Building_2026-03-20_2026-03-23
B2026-01302,Building,census,Building Permit record created from ESR-2026-00983,screen,10,description,capdetail,"1130 BANCROFT Way, BERKELEY CA 94702",056-1926-028-00,2026-03-31,,,Approved w/Conditions,2026-09-21,Existing main panel 200a 240v s-ph install new main panel 200a 240v s-ph 10 meter 50a each (10 units),Building_2026-03-28_2026-03-31
B2026-01944,Building,census,Building Permit record created from ESR-2026-01470,screen,5,description,capdetail,"2217 CALIFORNIA St, BERKELEY CA 94703",056-2007-032-00,2026-05-11,,,Finaled,2026-09-21,MPU to 400A. New 5-meter pack servicing 5 units. Service entry upgrade.,Building_2026-05-11_2026-05-14
B2026-02222,Building,census,Building Permit,screen,2,description,capdetail,"2127 WOOLSEY St, BERKELEY CA 94705",052-1555-007-00,2026-05-27,,,Corrections List Issued,2026-09-21,"Remodel and Addition to (E) 2 unit building. Add new third floor, new interior stair, revised exterior stair. 965 added sf.",Building_2026-05-27_2026-05-30
B2026-02298,Building,census,Building Permit record created from ESR-2026-01211,screen,6,description,capdetail,"1899 OXFORD St, BERKELEY CA 94709",058-2181-019-05,2026-06-02,,,Under Review,2026-09-21,"Phase I - New construction of a 7-story mixed-use building with partial modular construction and ground-floor office/business space, lobby, leasing, mechanical,",Building_2026-05-31_2026-06-03
B2026-03228,Building,census,Building Permit,screen,124,description,capdetail,"1750 SACRAMENTO St, BERKELEY CA 94702",058-2149-019-04,2026-07-30,,,Corrections List Issued,2026-09-21,Construction of a new 124 Unit Mixed Use Bldg,Building_2026-07-28_2026-07-31
B2026-03339,Building,census,Building Electrical Mechanical Plumbing Permit,screen,2,description,capdetail,"2219 MCKINLEY Ave, BERKELEY CA 94703",057-2018-028-00,2026-08-07,,,Corrections List Issued,2026-09-21,Duplex - Existing 2-unit residential remodel with a rear yard addition. Relocate unit 2221 to the basement with a new designated entry door. Expand unit 2219 to,Building_2026-08-05_2026-08-08
B2026-03321,Building,census,Plumbing Permit,screen,2,description,capdetail,"1400 SIXTY-SEVENTH St, BERKELEY CA 94702",052-1540-020-01,2026-08-06,,,Issued,2026-09-21,Correct housing violation case #26-001057 item #1 - installation of water heater connected to 2 units. Water heater located in laundry room per housing report.,Building_2026-08-05_2026-08-08
B2026-03320,Building,census,Building Electrical Mechanical Plumbing Permit,screen,40,description,capdetail,"1499 ALCATRAZ Ave, BERKELEY CA 94702",052-1519-027-00,2026-08-06,,,Under Review,2026-09-21,"Renovation, including accessibility requirements, of a 40-unit publicly funded affordable senior housing. Related to P2026-00892.",Building_2026-08-05_2026-08-08
B2026-03288,Building,census,Plumbing Permit,screen,2,description,capdetail,"2418 ASHBY Ave, BERKELEY CA 94705",052-1573-077-01,2026-08-05,,,Issued,2026-09-21,Run 80ft pf 3/4 galvanized pipe under crawlspace for 2 meters supplies for 2 Units.,Building_2026-08-05_2026-08-08
B2026-03426,Building,census,Electrical Permit,screen,12,description,capdetail,"2336 BLAKE St, BERKELEY CA 94704",055-1832-007-02,2026-08-12,,,Corrections List Issued,2026-09-21,Relocate & replace existing electrical meter and gas meter. Install one additional electrical meter. Install total 14 individualized gas meter. New line for eac,Building_2026-08-09_2026-08-12
B2026-03411,Building,census,Building Electrical Mechanical Plumbing Permit,screen,28,description,capdetail,"2577 SAN PABLO Ave, BERKELEY CA 94702",054-1784-017-00,2026-08-12,,,Under Review,2026-09-21,"Renovation, including accessibility enhancements, of a 28-unit publicly funded affordable senior housing community. Related to P2026-00919.",Building_2026-08-09_2026-08-12
B2026-03396,Building,census,Building Permit,screen,12,description,capdetail,"1740 UNIVERSITY Ave, BERKELEY CA 94703",056-2011-022-00,2026-08-11,,,Under Review,2026-09-21,Conversion of an existing two story commercial building into a mixed-use building with 12 residential units and 3 retail tenant spaces.,Building_2026-08-09_2026-08-12
B2026-03505,Building,census,Electrical Permit,screen,3,description,capdetail,"2112 GRANT St, BERKELEY CA 94703",056-2012-008-00,2026-08-18,,,Issued,2026-09-21,400A Service Upgrade – 3-Unit Multi-Meter Service – Flatlands Mitigation Area,Building_2026-08-17_2026-08-20
B2026-03665,Building,census,Electrical Permit,screen,36,description,capdetail,"2601 COLLEGE Ave, BERKELEY CA 94704, SHARE",055-1848-064-00,2026-08-26,,,Corrections List Issued,2026-09-21,"Replace existing 36-unit meter bank on a like for like basis at existing location, in the garage.",Building_2026-08-25_2026-08-28
B2026-03747,Building,census,Electrical Permit,screen,38,description,capdetail,"2442 HASTE St, BERKELEY CA 94704",055-1881-018-00,2026-09-01,,,Issued,2026-09-21,"Install 200 AMP, 120 / 240 V Overhead Temporary Power Pole. (See Permit B2025-03529 for New 8 Story, 38 Unit Structure.) Subject to Field Inspection.",Building_2026-08-29_2026-09-01
B2026-03975,Building,census,Building Permit record created from ESR-2026-02890,screen,4,description,capdetail,"1122 UNIVERSITY Ave, 216, BERKELEY CA 94702",056-1979-023-01,2026-09-15,,,Under Review,2026-09-21,"Repair dryrot to the exterior wall framing and exterior/interior finishes to 4 units, 216, 316, 416, and 516, at the rear of the apartment building.",Building_2026-09-14_2026-09-17
DRCP2015-0001,Planning,census,Design Review Committee Preliminary,screen,50,description,capdetail,2121 DURANT Ave,,2015-01-22,,,Approved,2026-09-21,Proposed 50 unit apartment building,Planning_2015-01-21_2015-01-24
