owner_class,owner_name,apn,apn_normalized,situs,usecode,zone_class,lot_sqft,lot_acres,bldg_sqft_taxable,imps,has_building,lat,lon
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2512-1,060-2512-001-00,POTTER ST BERKELEY 94710,0300,,1386079.0,31.82,0.0,0.0,False,37.84765714,-122.30542212
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2513-6,060-2513-006-00,EASTSHORE FWY BERKELEY 94710,0300,,1235362.0,28.36,0.0,0.0,False,37.85767095,-122.30354375
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2521-4,060-2521-004-00,EASTSHORE FWY BERKELEY 94710,0300,,1092049.0,25.07,0.0,0.0,False,37.86281283,-122.30349278
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2528-4-10,060-2528-004-10,EASTSHORE FWY BERKELEY 94710,0300,SP,1048924.0,24.08,0.0,0.0,False,37.86875951,-122.31187247
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2529-1-1,060-2529-001-01,GILMAN ST BERKELEY 94710,0300,SP,799326.0,18.35,0.0,0.0,False,37.87232535,-122.30627280
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2528-4-13,060-2528-004-13,EASTSHORE FWY BERKELEY 94710,0300,SP,585882.0,13.45,0.0,0.0,False,37.86833056,-122.30587315
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2528-9,060-2528-009-00,200 UNIVERSITY AVE BERKELEY 94710,0300,SP,466528.0,10.71,0.0,0.0,False,37.86575196,-122.31077974
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2507-7,060-2507-007-00,POTTER ST BERKELEY 94710,0300,,445183.0,10.22,0.0,0.0,False,37.85044764,-122.30116243
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2528-10-2,060-2528-010-02,UNIVERSITY AVE BERKELEY 94710,0300,SP,392475.0,9.01,0.0,0.0,False,37.86804510,-122.30822674
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2528-4-15,060-2528-004-15,VIRGINIA ST BERKELEY 94710,0300,SP,384199.0,8.82,0.0,0.0,False,37.87026889,-122.30723192
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2540-2-2,060-2540-002-02,GILMAN ST BERKELEY 94718,0300,,342817.0,7.87,0.0,0.0,False,37.87443349,-122.31695326
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2507-6,060-2507-006-00,POTTER ST BERKELEY 94710,0300,,304049.0,6.98,0.0,0.0,False,37.84803675,-122.30140284
ebrpd,EAST BAY REGIONAL PARK DISTRICT,60-2529-3,060-2529-003-00,GILMAN ST BERKELEY 94710,0300,SP,239580.0,5.5,0.0,0.0,False,37.87094239,-122.30735861
