project_id,address_display,address_normalized,latitude,longitude,data_source,net_units,status,has_official_permit,has_media_coverage,news_urls,primary_news_source,gellerman_original_name,gellerman_match_score
108,830 BANCROFT Way,830 BANCROFT WAY,37.86329738203636,-122.29579660206832,both,0.0,Pending Final Action,True,True,https://sfyimby.com/2023/08/renderings-revealed-for-2530-bancroft-way-southside-berkeley.html;https://sfyimby.com/2023/08/preliminary-application-for-2530-bancroft-way-in-southside-berkeley.html;https://sfyimby.com/2024/09/meeting-tomorrow-for-2530-bancroft-way-southside-berkeley.html,SFYimby,,88.0
109,2740 SHASTA Rd,2740 SHASTA RD,37.886352334684865,-122.25828861429146,official_permit,0.0,Corrections Pending Applicant,True,False,,,,
110,2143 BLAKE St,2143 BLAKE ST,37.863510605435074,-122.26546737871362,official_permit,0.0,Incomplete Pending Applicant,True,False,,,,
111,411 VASSAR Ave,411 VASSAR AV,37.904328384734455,-122.27226916422846,official_permit,0.0,Resubmittal Pending Staff,True,False,,,,
112,1621 SACRAMENTO St,1621 SACRAMENTO ST,37.87607732556359,-122.28224482520292,official_permit,1.0,Under Review,True,False,,,,
113,2138 KITTREDGE St,2138 KITTREDGE ST,37.86834064720663,-122.26699773246196,both,73.0,Under Review,True,True,https://sfyimby.com/2025/08/design-review-meeting-scheduled-for-2138-kittredge-street-in-berkeley.html;https://sfyimby.com/2024/08/preliminary-permits-for-2138-kittredge-street-downtown-berkeley.html,SFYimby,,100.0
114,2727 HASTE St,2727 HASTE ST,37.866976368981085,-122.25278009915516,both,45.0,Resubmittal Pending Staff,True,True,https://sfyimby.com/2026/01/formal-application-filed-for-2727-haste-street-in-southside-berkeley.html;https://sfyimby.com/2025/09/pre-application-for-2727-haste-street-in-southside-berkeley.html,SFYimby,,100.0
115,2455 TELEGRAPH Ave,2455 TELEGRAPH AV,37.86586841351819,-122.25828811123488,both,68.0,Under Review,True,True,https://sfyimby.com/2026/02/zoning-permits-filed-for-amoeba-apartments-in-southside-berkeley.html;https://www.berkeleyside.org/2025/08/28/amoeba-music-telegraph-avenue-berkeley-new-apartments-plan;https://sfyimby.com/2025/09/plans-revealed-for-housing-on-top-of-amoeba-music-in-southside-berkeley.html,SFYimby,,90.0
116,North Berkeley BART station,,,,media_reported,,Reported in media,False,True,,,North Berkeley BART station,
117,2099 Martin Luther King,2099 MARTIN LUTHER KING,,,media_reported,,Reported in media,False,True,https://sfyimby.com/2022/05/meeting-scheduled-for-2099-martin-luther-king-jr-way-downtown-berkeley.html;https://www.berkeleyside.org/2020/07/24/8-housing-projects-560-apartments-approved-berkeley-2020;https://sfyimby.com/2021/09/permits-filed-for-2099-martin-luther-king-jr-way-downtown-berkeley.html,SFYimby,2099 Martin Luther King,
118,2037 Kala Bagai Wy,2037 KALA BAGAI WY,,,media_reported,,Reported in media,False,True,https://sfyimby.com/2023/08/preliminary-application-filed-for-units-at-2037-kala-bagai-way-in-berkeley.html,SFYimby,2037 Kala Bagai Wy,
119,UC Berkeley Innovation Zone,,37.8719545,-122.2664545,media_reported,,Reported in media,False,True,,,UC Berkeley Innovation Zone,
120,130-134 Berkeley Square,,,,media_reported,,Reported in media,False,True,,,130-134 Berkeley Square,
121,The Gateway,,37.8742113,-122.2637756,media_reported,,Reported in media,False,True,,,The Gateway,
122,Upper Hearst,,,,media_reported,,Reported in media,False,True,,,Upper Hearst,
123,Bechtel Engineering Center,,,,media_reported,,Reported in media,False,True,,,Bechtel Engineering Center,
124,Heathcock Hall,,37.8731576,-122.255904,media_reported,,Reported in media,False,True,,,Heathcock Hall,
125,2450-2480 Shattuck Ave.,,,,media_reported,,Reported in media,False,True,,,2450-2480 Shattuck Ave.,
126,Ashby,,,,media_reported,,Reported in media,False,True,,,Ashby,
127,1708 Harmon St,1708 HARMON ST,,,media_reported,,Reported in media,False,True,https://sfyimby.com/2024/11/updated-permits-for-1708-harmon-street-in-berkeley.html;https://sfyimby.com/2022/10/senior-affordable-housing-proposed-for-1708-harmon-street-south-berkeley.html,SFYimby,1708 Harmon St,
128,2001 Ashby,2001 ASHBY,,,media_reported,,Reported in media,False,True,https://www.berkeleyside.org/2020/07/09/berkeley-wins-42-million-in-grants-for-150-units-of-affordable-housing;https://sfyimby.com/2021/07/application-filed-for-maudelle-building-at-2001-ashby-avenue-south-berkeley.html,Berkeleyside,2001 Ashby,
129,2538 Durant,2538 DURANT,,,media_reported,,Reported in media,False,True,https://sfyimby.com/2022/07/new-plans-filed-for-2538-durant-avenue-in-southside-berkeley.html;https://sfyimby.com/2023/06/permits-approved-for-2538-durant-avenue-in-southside-berkeley.html;https://sfyimby.com/2022/12/funding-secured-for-2538-durant-avenue-southside-berkeley.html,SFYimby,2538 Durant,
130,2439 Durant,2439 DURANT,,,media_reported,,Reported in media,False,True,https://www.berkeleyside.org/2019/03/22/berkeleys-changing-landscape-the-2019-housing-and-development-round-up;https://sfyimby.com/2022/06/meeting-scheduled-today-for-2439-durant-avenue-in-berkeley.html;https://www.sfgate.com/food/article/berkeley-bar-kips-apartment-building-17854300.php,Berkeleyside,2439 Durant,
131,Channing and Ellsworth Parking Garage,,37.8659837,-122.2627736,media_reported,,Reported in media,False,True,,,Channing and Ellsworth Parking Garage,
132,Peoples Park,,,,media_reported,,Reported in media,False,True,,,Peoples Park,
133,1207 Tenth St,1207 10TH ST,,,media_reported,,Reported in media,False,True,https://sfyimby.com/2021/06/design-review-meeting-for-1207-10th-street-berkeley-happening-today.html,SFYimby,1207 Tenth St,
134,3132 Martin Luther King,3132 MARTIN LUTHER KING,37.8511625,-122.2710325,media_reported,,Reported in media,False,True,,,3132 Martin Luther King,
135,1822-1828 San Pablo,,,,media_reported,,Reported in media,False,True,,,1822-1828 San Pablo,
136,1931-1941 San Pablo,,,,media_reported,,Reported in media,False,True,,,1931-1941 San Pablo,
137,2136-2154 San Pablo,,,,media_reported,,Reported in media,False,True,,,2136-2154 San Pablo,
138,2959 San Pablo,2959 SAN PABLO,,,media_reported,,Reported in media,False,True,https://sfyimby.com/2022/07/pre-application-filed-for-2959-san-pablo-avenue-southwest-berkeley.html,SFYimby,2959 San Pablo,
139,3000 San Pablo,3000 SAN PABLO,,,media_reported,,Reported in media,False,True,https://sfyimby.com/2020/12/permits-filed-for-3000-san-pablo-avenue-southwest-berkeley.html,SFYimby,3000 San Pablo,
140,700 Grayson St,700 GRAYSON ST,,,media_reported,,Reported in media,False,True,https://sfyimby.com/2022/06/new-renderings-meeting-for-700-grayson-street-southwest-berkeley.html;https://www.berkeleyside.org/2021/10/06/west-berkeley-life-science-grayson-street-development;https://www.berkeleyside.org/2024/11/25/gigantic-new-life-sciences-campus-in-aquatic-park-is-sitting-empty,Berkeleyside,700 Grayson St,
141,742 Grayson St,742 GRAYSON ST,37.8547791,-122.2939137,media_reported,,Reported in media,False,True,https://www.berkeleyside.org/2021/10/06/west-berkeley-life-science-grayson-street-development,Berkeleyside,742 Grayson St,
142,805 Jones St,805 JONES ST,,,media_reported,,Reported in media,False,True,https://sfyimby.com/2022/12/plans-filed-for-805-jones-street-in-northwest-berkeley.html,SFYimby,805 Jones St,
143,Spenger's Parking Lot,,,,media_reported,,Reported in media,False,True,,,Spenger's Parking Lot,
144,theLAB Life Sciences campus (Steel Wave),,37.8638107,-122.2979255,media_reported,,Reported in media,False,True,,,theLAB Life Sciences campus (Steel Wave),
145,Berkeley Ferry/ Pier Project,,37.8623545,-122.3190692,media_reported,,Reported in media,False,True,,,Berkeley Ferry/ Pier Project,
146,Gilman Forge Development,,37.8766738,-122.3058764,media_reported,,Reported in media,False,True,,,Gilman Forge Development,
147,Golden Gate Fields,,37.8863932,-122.3105073,media_reported,,Reported in media,False,True,,,Golden Gate Fields,
148,1050 Monroe St,1050 MONROE ST,,,media_reported,,Reported in media,False,True,https://sfyimby.com/2023/10/ucb-student-housing-opening-at-1050-monroe-street-berkeley.html,SFYimby,1050 Monroe St,
149,Aquatic Fourth Street,,,,media_reported,,Reported in media,False,True,,,Aquatic Fourth Street,
150,New UC Undergraduate Building,,37.8705656,-122.2609238,media_reported,,Reported in media,False,True,,,New UC Undergraduate Building,
151,2344 Fulton St,2344 FULTON ST,,,media_reported,,Reported in media,False,True,https://sfyimby.com/2025/05/plans-filed-for-2344-fulton-street-in-downtown-berkeley.html,SFYimby,2344 Fulton St,
152,Evans Hall Replacement,,,,media_reported,,Reported in media,False,True,,,Evans Hall Replacement,
153,3132 Martin Luther King Jr Way,3132 MARTIN LUTHER KING JR WY,,,media_reported,,Reported in media,False,True,,,3132 Martin Luther King Jr Way,
154,3132 Martin Luther King,3132 MARTIN LUTHER KING,,,media_reported,,Reported in media,False,True,,,3132 Martin Luther King,
155,New Parking Garage,,,,media_reported,,Reported in media,False,True,,,New Parking Garage,
156,New beach volleyball courts,,37.868372,-122.2657786,media_reported,,Reported in media,False,True,,,New beach volleyball courts,
