id,address,apn,permits,net_units,vli_units,status,app_filed_date,app_complete_date,entitled_date,bp_issued_date,co_date,density_bonus,sb35_flag,sb330_flag,ab2011_flag,developer,architect,construction_status,milestone_achieved
150,3030 TELEGRAPH Ave,052 157602701,TBD,144.0,0.0,Completed,,,,2023-10-01,2026-01-27,1,1,1,1,,,Completed,CO Issued
1,1750 SACRAMENTO St,058 214901904,"B2025-05534, PLN2024-0010",739.0,0.0,Entitled,2025-12-03,,2026-03-03,,,1,1,1,1,,,,Entitled
9,1899 OXFORD St,058 218101905,ZP2024-0075,212.0,0.0,Entitled,2024-07-03,2024-10-31,2026-02-11,,,1,1,1,1,,Studio KDA,,Entitled
15,2109 VIRGINIA St,058 217801800,ZP2024-0066,131.0,0.0,Entitled,2024-07-03,2024-07-03,2026-02-26,,,1,1,1,1,Panoramic Interests,Trachtenberg Architects,,Entitled
94,2145 GRANT St,057 201502200,ZP2024-0138,0.0,0.0,Entitled,2024-09-24,2024-10-24,2026-03-26,,,1,1,1,1,,,,Entitled
