id,address,net_units,status,developer,app_complete_date,entitled_date,bp_issued_date,accela_status_date
1,1750 SACRAMENTO St,739,entitled,,,2026-03-03,,
119,1974 SHATTUCK Ave,599,entitled,NX Ventures,,2025-06-03,,
133,2128 Oxford St,485,entitled,Core Spaces,,2024-10-04,,
2,2276 SHATTUCK Ave,336,entitled,,,2025-12-04,,
120,2274 SHATTUCK Ave,299,entitled,Panoramic Interests,,2025-04-22,,
6,2029 UNIVERSITY Ave,240,entitled,,,2025-11-13,,
9,1899 OXFORD St,212,entitled,,,2026-02-11,,
121,2100 MILVIA St,205,entitled,4Terra Investments,,2025-07-01,,
178,2131 University Ave,205,completed,Mill Creek Residential Trust,,2013-07-08,,
180,2065 Kittredge St,189,entitled,,,2021-07-22,,
181,2015 Blake St,168,entitled,,,2020-07-10,,
10,3000 SHATTUCK Ave,166,entitled,NX Ventures,,2025-03-11,,
140,2136 SAN PABLO Ave,125,entitled,Allrise Capital,,2024-05-22,,
5,2425 DURANT Ave,117,entitled,Collabhome,,2025-10-09,,
15,2109 VIRGINIA St,110,entitled,Panoramic Interests,,2026-02-26,,
122,2530 BANCROFT Way,110,entitled,Landmark Properties,,2024-12-27,,
149,2198 SAN PABLO Ave,100,entitled,Allrise Capital,,2019-09-25,,
18,2655 SHATTUCK Ave,97,entitled,,,2025-08-14,,
34,2680 BANCROFT Way,79,entitled,,,2025-06-13,,
126,2427 San Pablo,78,completed,,,2024-09-16,,
123,2037 DURANT Ave,74,entitled,,,2024-06-19,,
113,2138 KITTREDGE St,73,permitted,,,2025-10-20,,
156,2550 SHATTUCK Ave,72,entitled,4Terra Investments,,2025-01-21,,
116,2462 BANCROFT Way,66,entitled,,,2024-07-01,,
182,2072 Addison St,66,completed,,,2017-11-30,,
28,2372 ELLSWORTH St,63,entitled,,,2025-11-18,,
144,2127 DWIGHT Way,58,withdrawn,Riaz Capital,,2024-10-07,,
38,2449 DWIGHT Way,39,entitled,,,2026-03-19,,
124,2442 HASTE St,34,under_construction,,,2025-09-08,,
134,2480 Bancroft Way,28,completed,,,2023-10-02,,
41,2147 SAN PABLO Ave,15,entitled,,,2025-09-09,,
42,1740 UNIVERSITY Ave,12,entitled,,,2026-02-11,,
128,2833 Seventh St,3,entitled,,,2024-05-07,,
94,2145 GRANT St,1,entitled,,,2026-03-26,,
127,2820 San Pablo,1,entitled,Cork-Mayo Investments,,2024-12-06,,
130,1048 Keith St,0,entitled,,,2025-06-04,,
132,1627 Jaynes St,0,permitted,,,2025-05-16,,
