OBJECTID,Corridor,Area_ac,Shape__Area,Shape__Length
1,College Ave,41.06569700600073,165569.63403320312,4265.527325933477
2,North Shattuck,31.627565243389423,115183.26733398438,2484.68328420322
3,Solano Ave,15.311657206378625,57796.545166015625,2157.7327330101025
