"SitusStree","the_geom","DATE_UPDAT","APN","SitusStr_1","SitusUnit","SitusCity","SitusZip","UseCode","BuildingAr","LotSize","SitusAddre","Longitude","Latitude","PARCELID","EXT_MIN_X","EXT_MIN_Y","EXT_MAX_X","EXT_MAX_Y"
"1310","MULTIPOLYGON (((-122.27212394567954 37.883123175002986, -122.27210791906202 37.882986449371316, -122.27256928838513 37.8829253123378, -122.27257890576428 37.88300734769132, -122.2725853169824 37.883062037923715, -122.27212394567954 37.883123175002986)))","2019-07-11 14:20:26","60-2451-7","MILVIA ST",,"BERKELEY","94709","1100","1,835","6,750","1310 MILVIA ST BERKELEY 94709","-122.27234662","37.88302424","060 245100700","563,966.7717","4,193,074.8263","564,008.8187","4,193,097.085"
,"MULTIPOLYGON (((-122.27271775424346 37.88315556739076, -122.27259813944514 37.88317141838622, -122.27258595797859 37.88306750820792, -122.27273974788488 37.8830471284743, -122.2727455170708 37.8830963493096, -122.2727113429114 37.88310087806661, -122.27271775424346 37.88315556739076)))","2019-07-11 14:20:30","60-2451-35","BONITA AVE",,"BERKELEY","94709","7390","0","1,510","BONITA AVE BERKELEY 94709","-122.27266064","37.88310706","060 245103500","563,952.6543","4,193,088.2252","563,966.7106","4,193,102.1125"
"1305","MULTIPOLYGON (((-122.27305309796911 37.88305559013239, -122.27306592112363 37.883164970551164, -122.27272416557544 37.8832102576154, -122.27271775424346 37.88315556739076, -122.2727113429114 37.88310087806661, -122.2727455170708 37.8830963493096, -122.27305309796911 37.88305559013239)))","2019-07-11 14:20:33","60-2451-36","BONITA AVE",,"BERKELEY","94709","1100","1,660","4,000","1305 BONITA AVE BERKELEY 94709","-122.27288863","37.88313292","060 245103600","563,924.4192","4,193,088.9493","563,955.6556","4,193,106.3354"
"1307","MULTIPOLYGON (((-122.27258595797859 37.88306750820792, -122.2725853169824 37.883062037923715, -122.27257890576428 37.88300734769132, -122.27304027484104 37.88294621061185, -122.27305309796911 37.88305559013239, -122.2727455170708 37.8830963493096, -122.27273974788488 37.8830471284743, -122.27258595797859 37.88306750820792)))","2019-07-11 14:20:39","60-2451-34","BONITA AVE",,"BERKELEY","94709","2200","2,387","4,590","1307 BONITA AVE BERKELEY 94709","-122.27284252","37.88302257","060 245103400","563,925.6414","4,193,076.8222","563,967.3828","4,193,093.6824"
"1311","MULTIPOLYGON (((-122.27302745062006 37.88283683018002, -122.27304027484104 37.88294621061185, -122.27257890576428 37.88300734769132, -122.27256928838513 37.8829253123378, -122.27256608334567 37.8828979681255, -122.27302745062006 37.88283683018002)))","2019-07-11 14:20:43","60-2451-33","BONITA AVE",,"BERKELEY","94709","2500","1,848","5,400","1311 BONITA AVE BERKELEY 94709","-122.27280318","37.88292209","060 245103300","563,926.8636","4,193,064.695","563,968.605","4,193,083.9217"
"1315","MULTIPOLYGON (((-122.27301559083752 37.88273565293334, -122.27302745062006 37.88283683018002, -122.27256608334567 37.8828979681255, -122.27255806907324 37.88282960533028, -122.27255422190366 37.88279679172693, -122.27301559083752 37.88273565293334)))","2019-07-11 14:20:45","60-2451-32","BONITA AVE",,"BERKELEY","94709","1100","1,436","4,995","1315 BONITA AVE BERKELEY 94709","-122.27279084","37.88281681","060 245103200","563,928.0859","4,193,053.4773","563,969.7356","4,193,071.7946"
"1314","MULTIPOLYGON (((-122.27255806907324 37.88282960533028, -122.27256608334567 37.8828979681255, -122.27256928838513 37.8829253123378, -122.27210791906202 37.882986449371316, -122.27209670034001 37.88289074232684, -122.27255806907324 37.88282960533028)))","2019-07-11 14:20:48","60-2451-8","MILVIA ST",,"BERKELEY","94709","1100","1,808","4,725","1314 MILVIA ST BERKELEY 94709","-122.27233299","37.88290803","060 245100800","563,968.2995","4,193,064.2151","564,009.8881","4,193,081.926"
,"MULTIPOLYGON (((-122.2728813538016 37.88335604698128, -122.27274339962442 37.8833743282848, -122.27273822629358 37.88333019530903, -122.27272416557544 37.8832102576154, -122.27306592112363 37.883164970551164, -122.27308515593052 37.88332904027236, -122.2728813538016 37.88335604698128)))","2019-07-11 14:25:17","60-2451-46","BONITA AVE",,"BERKELEY","94709","7390","3,768","5,800","BONITA AVE BERKELEY 94709","-122.27290466","37.88326965","060 245104600","563,922.5859","4,193,101.0765","563,954.4334","4,193,124.5262"
"1316","MULTIPOLYGON (((-122.27254684865129 37.88273389831345, -122.27255422190366 37.88279679172693, -122.27255806907324 37.88282960533028, -122.27209670034001 37.88289074232684, -122.27208548165392 37.88279503437883, -122.27254684865129 37.88273389831345)))","2019-07-11 14:26:53","60-2451-9","MILVIA ST",,"BERKELEY","94709","1100","1,286","4,725","1316 MILVIA ST BERKELEY 94709","-122.27232177","37.88281232","060 245100900","563,969.3689","4,193,053.6039","564,010.9575","4,193,071.3148"
"1318","MULTIPOLYGON (((-122.27253402746692 37.88262451784584, -122.27254268270592 37.88269834912685, -122.27254684865129 37.88273389831345, -122.27208548165392 37.88279503437883, -122.27207266000657 37.88268565386198, -122.27253402746692 37.88262451784584)))","2019-07-11 14:28:06","60-2451-10","MILVIA ST",,"BERKELEY","94709","1100","2,057","5,400","1318 MILVIA ST BERKELEY 94709","-122.27230975","37.88270978","060 245101000","563,970.4384","4,193,041.4767","564,012.1797","4,193,060.7035"
"1322","MULTIPOLYGON (((-122.27205983838569 37.88257627424332, -122.2723729649169 37.882534780521574, -122.2725212040437 37.88251513736116, -122.27253114125374 37.882599907411496, -122.27253402746692 37.88262451784584, -122.27207266000657 37.88268565386198, -122.27205983838569 37.88257627424332)))","2019-07-11 14:28:10","60-2451-11","MILVIA ST",,"BERKELEY","94709","1100","2,023","5,400","1322 MILVIA ST BERKELEY 94709","-122.27229693","37.8826004","060 245101100","563,971.6605","4,193,029.3495","564,013.4019","4,193,048.5763"
"1330","MULTIPOLYGON (((-122.27249556070555 37.88229637730502, -122.27250838178398 37.882405757781704, -122.27204701680901 37.882466893720405, -122.27203419412164 37.88235751408865, -122.27249556070555 37.88229637730502)))","2019-07-11 14:28:17","60-2451-13","MILVIA ST",,"BERKELEY","94709","2100","1,884","5,400","1330 MILVIA ST BERKELEY 94709","-122.27227129","37.88238164","060 245101300","563,974.105","4,193,005.0952","564,015.8464","4,193,024.322"
"1332","MULTIPOLYGON (((-122.2724827373794 37.88218699771248, -122.27249556070555 37.88229637730502, -122.27203419412164 37.88235751408865, -122.27202137261557 37.88224813355967, -122.2724827373794 37.88218699771248)))","2019-07-11 14:28:24","60-2451-14","MILVIA ST",,"BERKELEY","94709","1100","1,588","5,400","1332 MILVIA ST BERKELEY 94709","-122.27225847","37.88227226","060 245101400","563,975.3271","4,192,992.9681","564,017.0686","4,193,012.1949"
