apn,recordid,busdesc,b1_per_sub_type,dba,naics,tax_code,employee_num,bus_own_type,b1_business_name,b1_address1,b1_city,b1_state,b1_zip,b1_contact_type,b1_full_address,b1_situs_city,b1_situs_state,b1_situs_zip
054 174600205,BL-000372,CATERING,Retail Trade,NOURISH YOU,722320 - Caterers,R,3,LLC,NOURISH YOU,114 GLASHAUS LOOP,EMERYVILLE,CA,946081298,Business Owner,2701 EIGHTH St,BERKELEY,CA,94710
059 226001400,BL-035298,RESTAURANT,Retail Trade,GREGOIRE,722211,R,11,Corporation,GREGOIRE,2109 CEDAR ST FRNT,BERKELEY,CA,947091567,Business Owner,2109 CEDAR ST,BERKELEY,CA,94708
054 179201900,BL-022607,RES. RENTAL - 8 UNITS,Rental of Real Property,KIPMONTE LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,KIPMONTE LLC,2633 MABEL ST,BERKELEY,CA,94702,Business Owner,2683 MABEL St,BERKELEY,CA,94702
057 202500100,BL-051029,TEA HOUSE,Retail Trade,ASHA TEA HOUSE,722213,R,22,LLC,ASHA TEA HOUSE,2086 UNIVERSITY AVE,BERKELEY,CA,94704,Business Owner,2086 UNIVERSITY AVE,BERKELEY,CA,94704
054 177800202,BL-017718,DIRECT MAIL BROKERAGE,Professional SemiProfessional,NAMES IN THE NEWS,541860 - Direct Mail Advertising,P,20,Corporation,NAMES IN THE NEWS,2930 Domingo Avenue Unit #380,BERKELEY,CA,94705,Business Owner,2550 NINTH St,BERKELEY,CA,94710
055 182700400,BL-017842,ART CLASSES,Professional SemiProfessional,CARAS ART STUDIO LLC,611610 - Fine Arts Schools,P,1,LLC,CARAS ART STUDIO LLC,2245 DERBY ST,BERKELEY,CA,94705-1017,Business Owner,2245 DERBY St,BERKELEY,CA,94705
ZZZZZZZZZZZZZ,BL-021410,ARTISAN BAKER-BREAD & PASTRIES,Retail Trade,ROSALIND BAKERY,311811 - Retail Bakeries,R,30,LLC,ROSALIND BAKERY,450 MANOR PLZ,PACIFICA,CA,940441839,Business Owner,0 VARIOUS,BERKELEY,CA,94704
061 260300400,BL-032648,FURNITURE & GIFTS,Retail Trade,HANA DESIGN,442110 - Furniture Stores,R,0,Sole Ownership,HANA DESIGN,902 THE ALAMEDA,BERKELEY,CA,94707,Business Owner,902 THE ALAMEDA,BERKELEY,CA,94707
ZZZZZZZZZZZZZ,BL-018961,ARTIST,Entertainment Recreation,MARKSEARCH,"711510 - Independent Artists, Writers, and Performers",E,0,Sole Ownership,MARKSEARCH,448 48TH ST,OAKLAND,CA,946092133,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-019137,RESIDENTIAL ROOFING CONTRACTOR,Construction or Contractor,ACR ROOFING,238160 - Roofing Contractors,C,0,Sole Ownership,ACR ROOFING,1810 WILLIAM WAY,CONCORD,CA,94520-3951,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-034870,GLASS CONTRACTOR,Construction or Contractor,WALTERS & WOLF,238150 - Glass and Glazing Contractors,C,2,Corporation,WALTERS & WOLF,1975 PUDDINGSTONE DR,LA VERNE,CA,91750 581,Business Owner,0 VARIOUS,BERKELEY,CA,94704
059 234700100,BL-051560,MOUNTAIN GEAR,Manufacturing,SLINGFIN INC,315299,M,3,Corporation,SLINGFIN INC,1355 FOURTH ST STE C,BERKELEY,CA,94710,Business Owner,1355 FOURTH St,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-022020,DOULA,Business Personal Repair Svs,COMPEHOS TARA,812990 - All Other Personal Services,B,0,Sole Ownership,COMPEHOS TARA,1540 SACRAMENTO ST,BERKELEY,CA,94702,Business Owner,0 VARIOUS,BERKELEY,CA,94704
052 141001601,BL-048237,CLOTHING STORE,Retail Trade,SIAMESE DREAM,448140 - Family Clothing Stores,R,2,Sole Ownership,SIAMESE DREAM,3180 COLLEGE AVE,BERKELEY,CA,94705,Business Owner,3180 COLLEGE AVE,BERKELEY,CA,94705
056 194000500,BL-046531,COMPUTER REPAIR & SALES,Retail Trade,GEEK TECH WORLD,443120,R,0,Partnership,GEEK TECH WORLD,1531 Braeburn ln,Lodi,CA,95242,Business Owner,840 CHANNING WAY,BERKELEY,CA,94710
