OBJECTID,APN,ST_NUM,FEANME,FEATYP,DIRPRE,DIRSUF,MUN,UNIT,UNIT_TYP,SRC_DATE,REV_DATE,SPADID,ADDRESS,CITY,ZIPCODE,ADDRESSLOOKUP,X_CORD,Y_CORD,longitude,latitude
482176,055 183902000,2539.0,TELEGRAPH,AV,,,BE,510,APT,1580337198000,1679519245000,101571095,2539 Telegraph Ave Apt 510,Berkeley,94704,2539 Telegraph Ave Apt 510 Berkeley CA 94704,-13609689.6918,4560275.4876,-122.2579226226784,37.86431302976417
482177,053 160601100,1627.0,PRINCE,ST,,,BE,A,,1138924800000,1681523404000,101571096,1627 Prince St A,Berkeley,94703,1627 Prince St A Berkeley CA 94703,-13611640.5187,4558570.3024,-122.2754471988878,37.852219037032455
482198,059 229300300,1301.0,ROSE,ST,,,BE,,,1138924800000,1679519245000,101285688,1301 Rose St,Berkeley,94702,1301 Rose St Berkeley CA 94702,-13613162.2932,4562068.4263,-122.28911753181116,37.877027272241065
482223,057 203500302,2150.0,ALLSTON,WY,,,BE,320,APT,1580173864000,1679519245000,101571113,2150 Allston Way Apt 320,Berkeley,94704,2150 Allston Way Apt 320 Berkeley CA 94704,-13610659.7642,4560987.1695,-122.2666369313146,37.86936003280615
482234,055 189902501,1930.0,CHANNING,WY,,,BE,1E,,1138924800000,1679519245000,101571119,1930 Channing Way 1E,Berkeley,94704,1930 Channing Way 1E Berkeley CA 94704,-13611124.0433,4560384.0807,-122.27080762143088,37.86508315699547
482248,058 224604700,1599.0,EUCLID,AV,,,BE,,,1138924800000,1679519245000,101571128,1599 Euclid Ave,Berkeley,94708,1599 Euclid Ave Berkeley CA 94708,-13610040.5031,4562450.7467,-122.26107401420472,37.87973813201905
482254,056 200000900,2124.0,SPAULDING,AV,,,BE,,,1138924800000,1679519245000,101571130,2124 Spaulding Ave,Berkeley,94703,2124 Spaulding Ave Berkeley CA 94703,-13612267.2709,4560879.1461,-122.28107740969398,37.86859399029251
482260,053 161502901,3017.0,DOHR,ST,,,BE,,,1138924800000,1681767235000,101571133,3017 Dohr St,Berkeley,94702,3017 Dohr St Berkeley CA 94702,-13612156.9627,4558624.0667,-122.28008649427372,37.85260038957604
482272,060 243002000,1415.0,ACTON,ST,,,BE,,,1138924800000,1679519245000,101285733,1415 Acton St,Berkeley,94702,1415 Acton St Berkeley CA 94702,-13612717.9957,4562437.9046,-122.28512633946168,37.879647076157966
482294,057 203400600,2039.0,KALA BAGAI,WY,,,BE,407,,1138924800000,1679519245000,101571151,2039 Kala Bagai Way 407,Berkeley,94704,2039 Kala Bagai Way 407 Berkeley CA 94704,-13610747.488,4561280.1805,-122.26742496761784,37.87143786549045
482298,059 228402700,1514.0,CALIFORNIA,ST,,,BE,,,1138924800000,1679519245000,101285744,1514 California St,Berkeley,94703,1514 California St Berkeley CA 94703,-13612244.8209,4562171.8954,-122.28087573791268,37.877760934337374
482317,057 203100102,2138.0,CENTER,ST,,,BE,10,,1138924800000,1679519245000,101285755,2138 Center St 10,Berkeley,94704,2138 Center St 10 Berkeley CA 94704,-13610674.7165,4561111.701,-122.26677125011084,37.87024313179856
482364,056 199400503,1320.0,ADDISON,ST,,,BE,B413,UNIT,1138924800000,1679519245000,101285779,1320 Addison St Unit B413,Berkeley,94702,1320 Addison St Unit B413 Berkeley CA 94702,-13612758.0331,4560835.0539,-122.28548600154524,37.86828131038275
482371,059 225404700,1409.0,SPRUCE,ST,,,BE,B,,1138924800000,1679519245000,101285783,1409 Spruce St B,Berkeley,94709,1409 Spruce St B Berkeley CA 94709,-13610571.6082,4562789.6527,-122.26584501249276,37.882141076645354
482376,055 184501200,2624.0,COLLEGE,AV,,,BE,A,,1138924800000,1679519245000,101571189,2624 College Ave A,Berkeley,94704,2624 College Ave A Berkeley CA 94704,-13609237.1847,4560046.3243,-122.25385768223738,37.86268780895413
482392,055 184403400,2612.0,BENVENUE,AV,,,BE,,,1138924800000,1679519245000,101571194,2612 Benvenue Ave,Berkeley,94704,2612 Benvenue Ave Berkeley CA 94704,-13609400.4991,4560071.3705,-122.25532476045376,37.86286543776831
482414,060 243802900,1703.0,ROSE,ST,,,BE,,,1138924800000,1679519245000,101285808,1703 Rose St,Berkeley,94703,1703 Rose St Berkeley CA 94703,-13612114.3756,4562540.6389,-122.27970392784536,37.88037550216899
482429,054 181201000,1819.0,CARLETON,ST,,,BE,,,1138924800000,1679519245000,101285815,1819 Carleton St,Berkeley,94703,1819 Carleton St Berkeley CA 94703,-13611346.4847,4559775.6957,-122.27280584652527,37.86076847104307
482444,058 218103300,1717.0,OXFORD,ST,,,BE,,,1138924800000,1679519245000,101285826,1717 Oxford St,Berkeley,94709,1717 Oxford St Berkeley CA 94709,-13610619.4609,4562005.7049,-122.26627488061074,37.876582533842
482451,063 316102504,57.0,HILL,RD,,,BE,,,1138924800000,1679519245000,101285830,57 Hill Rd,Berkeley,94708,57 Hill Rd Berkeley CA 94708,-13608880.1647,4563795.6001,-122.25065051701,37.889273082029895
