needs_review,,,,,,,,,,,,,
,Permit Number,Address,Description,old_units,new_units,net_unit_change,unit_extraction_status,Record Status,manual_old_units,manual_new_units,manual_net_change,notes,needs_review
Not “Column M”,,,,,,,,,,,,,
,PLN2024-0010,1750 SACRAMENTO St,"AB 2011 Ministerial Application. The proposed project is a transit-oriented in-fill development of 13 mixed-use and multi-family residential buildings totaling approximately 769,300 SF and one wrap garage structure with approximately 296 parking spaces in parking lots surrounding the North Berkeley BART Station. Buildings range in height from 3 to 8 stories and consist of 739 units with over 50% of the homes at affordable rent levels. The project includes improvements to the Ohlone Greenway and over 6,000 SF of community-serving ground floor uses as well as street and public realm upgrades, and over 48,000 SF of publicly accessible open space.",0,739,739,extracted,Under Review,,,,,FALSE
,PLN2024-0011,2138 KITTREDGE St,"SB 330 Pre-Application to demolish an existing 3-unit residential building and construct an 8 story 42,951 square-foot residential building; Density Bonus Project with 66 units total, 5 VLI units",3,66,63,extracted,Under Review,,,,,FALSE
,PLN2024-0018,2317 CHANNING Way,"The proposed project is a modification to approved UPPH - ZP2020-0090.  The modification includes raising the building out of the ground, increasing the max building height from 45' to 50', increasing the gross square footage from 15,695 sf to 17,033 sf, and increasing the unit count from 17 to 22 units to meet the new R-SMU requirements for minimum unit count.",17,22,5,extracted,Under Review,,,,,FALSE
,PLN2024-0023,2326 DURANT Ave,"Pre App requesting feedback on a project proposing a six-story, 70 unit development consisting of 100% affordable housing to low income households (80% AMI). Applicant would like to discuss the project description, applicable zoning requirements, and the use of state density bonus with associated waivers and incentives/concessions, applicability of state streamlined housing laws to entitle the project, and discuss the associated processes.",0,70,70,extracted,Pending,,,,,FALSE
,PLN2024-0024,0 LE ROY Ave,SB 9 Preliminary Eligibility Determination to construct a three-story single family residence with an attached 2 car garage.,0,1,1,not_housing,Under Review,,,,,FALSE
,PLN2024-0033,2145 GRANT St,"Pre-application to receive feedback on project design, code review, and guidance on UPPH",,,,not_housing,Pending,,,,,FALSE
,PLN2024-0045,1285 EASTSHORE Hwy,Pre-application meeting request for a new digital billboard in the Manufacturing (M) district.,,,,not_housing,Under Review,,,,,FALSE
,PLN2024-0049,2425 DURANT Ave,"SB 330 Pre-App to construct a residential building with approximately 117 apartments. This projects involves the demolition of three existing residential buildings on site to build a 20-story apartment building with a total floor area of approximately 145,000-SF. The building will be 200-ft and there will be 0 vehicle parking spaces. This State Density Bonus Law Project will have 9 units of affordable housing designated for Very Low Income households and 9 units for Moderate Income households.",3,117,114,extracted,Under Review,,,,,FALSE
,PLN2024-0053,1521 STUART St,"Pre-application request for project feedback on SB684 existing home, Lot subdivision and development.",,,,not_housing,Under Review,,,,,FALSE
,PLN2024-0054,2372 ELLSWORTH St,"SB-330 Project: Demolition of existing building to construct a seven-story, 49,900-square-foot residential building. A total of 63 units comprised of studios, two, three, and four bedrooms.",0,63,63,extracted,Under Review,,,,,FALSE
,PLN2024-0055,600 BANCROFT Way,"Pre-Application Request: Applicant requests feedback from all relevant city divisions, including building, transportation, land use, park and recreation, public works, and fire through Interdepartmental Meeting for pre-lim comments; pre-lim description of the required land use and technical studies.  

Will involve 600, 614 and 626 Bancroft Way.",,,,not_housing,Under Review,,,,,FALSE
,PLN2024-0056,2700 NINTH St,Pre-application to demolish and reconstruct the Berkeley Humane Animal Hospital and Adoption Center.,,,,not_housing,Under Review,,,,,FALSE
,PLN2024-0057,2120 BERKELEY Way,Pre-application for questions regarding tenant improvements at 2120 Berkeley Way,,,,not_housing,Under Review,,,,,FALSE
,PLN2024-0061,1939 MARIN Ave,Payment of the City Arborist fees for the Building Permit B2024-02225 to add new detached Accessory Dwelling Unit and upgrade Main Electrical Service to 225 Amps.,0,1,1,extracted,Under Review,,,,,FALSE
,PLN2024-0062,2328 GRANT St,"Payment of the City Arborist fees for the Building Permit B2024-01452 to install an 800 SF, HUD-Approved Manufactured Accessory Dwelling Unit (ADU) on a permanent foundation.",0,1,1,extracted,Under Review,,,,,FALSE
,PLN2024-0069,2029 UNIVERSITY Ave,"SB 330 Pre-app to demolish a two-story commercial building, and construct a 23-story (256-foot) 240-unit multifamily development, with 18 Very Low-Income units, and 18 Moderate Income units, and a parking garage with 29 spaces, utilizing a State Density Bonus.",0,240,240,extracted,Under Review,,,,,FALSE
,PLN2024-0070,2029 UNIVERSITY Ave,"SB 330 Pre-app to demolish a two-story commercial building, and construct a 23-story (256-foot) 160-unit multifamily development, with 12 Very Low-Income units, and 12 Moderate Income units, and a parking garage with 29 spaces, utilizing a State Density Bonus.",0,160,160,extracted,Under Review,,,,,FALSE
,PLN2025-0027,1171 COLUSA Ave,Pre-application request to meet with land use staff to discuss project feasibility of adding a third story addition on a substandard lot over lot coverage with nonconforming setbacks,,,,not_housing,Under Review,,,,,FALSE
,PLN2025-0028,1535 MILVIA St,The applicant wishes to schedule a pre-application meeting to address questions regarding a potential SB-684 project.,,,,not_housing,Under Review,,,,,FALSE
,PLN2025-0033,1629 SAN PABLO Ave,Pre-Application for an Interdepartmental Meeting to confirm if a child care center will be allowed and if structural reinforcement would be required for the existing unreinforced masonry building,,,,not_housing,Under Review,,,,,FALSE
,PLN2025-0038,2330 DURANT Ave,"Removal of all of existing structures and new construction of a 100% affordable 65,585 sq. ft. 6-story housing development with 68 dwelling units using a state of California Density Bonus (per SB 330 provisions) and no parking.",,68,68,extracted,Under Review,,,,,FALSE
,PLN2025-0039,2001 CENTER St,Pre-Application Project Feedback on project to convert office building to mixed-use with commercial ground floor and approx. 58 residential units above.,0,58,58,extracted,Under Review,,,,,FALSE
,PLN2025-0040,1745 CEDAR St,"The project is the construction of a new 3-story (35'-0""), 6-unit housing development with 8,976 sf of
new residential use and 6 parking spots. Project includes removal of an existing non-landmarked
commercial structure and surface parking.",0,6,6,extracted,Under Review,,,,,FALSE
,PLN2025-0041,1650 FIFTH St,"SB 684 pre-application to determine eligibility to subdivide an existing lot into four lots and construct three detached single-family houses and renovate an existing 1,618 single-family residence in the MU-R zoning district.",1,4,3,not_housing,Under Review,,,,,FALSE
,PLN2025-0048,5 W PARNASSUS Ct,Zoning Research Letter: Remove the prior ADU deed restriction with incorrect building permit and replace with current deed restriction. NOL RESCISSION. Related to B2025-01579.,,1,1,extracted,Under Review,,,,,FALSE
,PLN2025-0050,1850 BERRYMAN St,"Preliminary application for the construction of a new 3-story residential development with 7,272 sf of new residential use, 6 dwelling units and ground level parking, in compliance with state of California SB-684 - Subdivision Homeownership project.",0,6,6,extracted,Under Review,,,,,FALSE
,PLN2025-0052,1850 BERRYMAN St,"Preliminary application for the construction of a new 3-story residential development with 7,272 sf of new residential use, 6 dwelling units and ground level parking, in compliance with state of California SB-684 - Subdivision Homeownership project.",,6,6,extracted,Under Review,,,,,FALSE
,PLN2025-0053,2330 DURANT Ave,"SB 330 Preliminary Application for the removal of all of existing structures and new construction of a 100% affordable 65,585 sq. ft. 6-story housing development with 68 dwelling units using a state of California Density Bonus (per SB 330 provisions) and no parking.",0,68,68,extracted,Under Review,,,,,FALSE
,PLN2025-0058,2812 EIGHTH St,"Demolish unoccupied single-family residence and a garden shed and construct 4 residential units in 3 separate buildings, each 3 stories. There is a total square footage of 8,172sf, including the garages, in all 4 units. The height of the buildings are 35’ at the peak of the pitched roofs. Each unit has a dedicated open space on the ground floor exceeding the zoning requirement.",1,4,3,extracted,Under Review,,,,,FALSE
,PLN2025-0064,1515 DERBY St,SB 684 pre-application to determine eligibility for 2 new single family homes on separate fee simple lots. Existing single family home and ADU will remain at front of existing lot.,2,4,2,extracted,Under Review,,,,,FALSE
,PLN2025-0066,2455 TELEGRAPH Ave,"SB 330 preliminary application to retain historic mural and front facade of the non-residential building at 2455 Telegraph Ave, while demolishing the rest of the building and the existing non-residential building at 2506 Haste St to construct a 93,000 8-story mixed used building, including a ground floor retail space and 68 units (including 7 Very Low-Income units)",0,68,68,extracted,Under Review,,,,,FALSE
,PLN2025-0068,1618 SIXTH St,"The project proposes the construction of (2) Type V-B, fully-sprinklered, (3) story, single family homes on the front of a 50’X130’ lot in the MU-R district and (2) Type V-B, fully sprinklered, (2) story, single-family homes within an existing warehouse footprint on the rear of the lot. The resultant project will be (4) new single family homes.",0,4,4,not_housing,Under Review,,,,,FALSE
,PLN2025-0070,1750 SACRAMENTO St,Pre Application meeting to review proposed design modifications.,,,,not_housing,Pending,,,,,FALSE
,PLN2025-0071,2200 BANCROFT Way,Land Use Tree removal permit for consultant billing for UC Berkeley Project at 2200 Bancroft Way,,,,not_housing,Under Review,,,,,FALSE
,PLN2025-0081,1236 DWIGHT Way,"Demolish existing single-family home, subdivide the existing single-family lot into three parcels, and develop three new single-family homes.",1,3,2,not_housing,Pending,,,,,FALSE
,PLN2025-0100,2330 DURANT Ave,"SB 35 Development Application: Removal of all of existing structures and new construction of a 100% affordable 65,585 sq. ft. 6-story housing development with 68 dwelling units using a state of California Density Bonus (per SB 330 provisions) and no parking.",0,68,68,extracted,Pending,,,,,FALSE
,PLN2025-0102,1133 GRIZZLY PEAK Blvd,"Copy of Plans from Land Use, Copies provided by Outside Vendor.",,,,not_housing,Under Review,,,,,FALSE
,PLN2025-0103,2130 CENTER St,Mills Act Compliance Monitoring for 2130 Center Street.,,,,not_housing,Pending,,,,,FALSE
,ZP2025-0111,2710 M L KING JR Way,"Install new 6-ft tall sliding driveway gate with a 10-ft opening located behind the front property line. Work includes posts, concrete footings, gate track, rollers, and an electric gate opener. Electrical work includes conduit and wiring to power the gate motor.",,,,not_housing,Pending,,,,,FALSE
Is “Column M”,,,,,,,,,,,,,
,ZP2018-0106,1419 TENTH St,"597 SF addition above 14' to existing home, and new accessory building, as the fifth bedroom on site.",,,,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2020-0006,40 HILL Rd,New Single Family Dwelling on new parcel at 36 Hill Road,0,1,1,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2021-0072,2942 COLLEGE Ave,"demolish and existing non-residential building and construct a new two-story mixed-use development containing 1,296 sq.ft. of ground floor commercial space and 3,278 sq.ft. of residential space, including four dwelling units, in two seperate buildings.",0,4,4,failed_extraction,In Review,,,,,TRUE
,ZP2022-0063,1730 PARKER St,Alteration and 239 SF addition at rear yard (lower and upper level) to residential triplex.,,,,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2022-0091,2740 SHASTA Rd,"For an interior remodel, residential additions over 14 feet in average height, 20 feet in maximum height in the Hillside Overlay, vertical extension in the non-conforming front setback, and a fence over 6' in the required front setback.",,,,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2022-0106,2221 FIFTH St,"To establish three detached dwelling units, totaling 6,790 square feet, on 5,640 square foot vacant lot.",0,3,3,failed_extraction,In Review,,,,,TRUE
,ZP2022-0120,1015 UNIVERSITY Ave,Legalize nine residential dwelling units and ground floor commercial space.,0,9,9,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2022-0154,1109 COWPER St,Major residential addition over 14 feet in average height on a lot that exceeds the lot coverage allowance,,,,failed_extraction,In Review,,,,,TRUE
,ZP2023-0008,705 ARLINGTON Ave,"To construct a two-story, 1,700 square-foot, major residential addition exceeding 20 feet in average height in the Hillside Overlay.",,,,failed_extraction,In Review,,,,,TRUE
,ZP2023-0009,1490 GRIZZLY PEAK Blvd,"Administrative Use Permit to construct a 6-foot by 8-foot hot tub built into a new deck, retaining walls within the required rear and side setbacks, and general landscaping improvements in the rear yard of a single-family residence (3,389 square feet) with five bedrooms.",,,,failed_extraction,In Review,,,,,TRUE
,ZP2023-0089,2441 LE CONTE Ave,"Change the use from educational/religious facility to a residential hotel with 65 group living accommodations (7 Very-Low Income Units), and construct a five-story (48 feet average height) major residential addition for a total of 24,300 square feet gross floor feet, utilizing State Density Bonus",0,65,65,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2023-0090,2733 SAN PABLO Ave,Demolition of existing non-landmarked structures. Construction of a new 8-story mixed-use residential development with ground level lobbies and commercial spaces with a State of California Density.,0,32,32,failed_extraction,In Review,,,,,TRUE
,ZP2023-0095,2660 BANCROFT Way,"Construction of an 8-story residential development with 78 studio units in a 32,632 SF building.  This project will include 8 affordable units for VLI households. Does not have vehicle parking, only bicycle parking is provided with residential amenities and useable open space.  This is a State Density Bonus project.",0,78,78,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2023-0155,2027 SEVENTH St,"Create a new fence over 6-feet in height and a new roof extension over 12-feet in height to an existing school in a residential district, both within the required setback.",,,,failed_extraction,Corrections Pending Applicant,,,,,TRUE
,ZP2024-0053,576 SAN LUIS Rd,"AUP to add a two-story 20 feet tall, 577 sq. ft. residential addition to the front of the main residence in the Hillside Overlay District and add a fourth bedroom to the property",,,,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2024-0059,2204 DWIGHT Way,SB330. Demolish existing 1-story (4-car) garage and construct a new 3-story residential duplex.,0,2,2,failed_extraction,Pending Final Action,,,,,TRUE
,ZP2024-0096,2147 SAN PABLO Ave,"Use Permit Modification to modify approved Use Permit #ZP2022-0113, to increase the number of Group Living Accommodation (GLA) units from 128 to 141, increase the height from 70 feet to 75 feet, reduce the ground-level commercial space from 1,873 square feet to 1,804 square feet, remove the 14 parking spaces, and increase the number of Very Low Income (VLI) units from 12 to 15, utilizing a State Density Bonus.",128,141,15,failed_extraction,Pending Final Action,,,,,TRUE
,ZP2024-0111,2009 ADDISON St,"Modify use permits ZP2018-0235 and ZP2017-0004 to allow a tourist hotel use in no more than nine existing apartments, and allow amplified live entertainment and group instruction in the ground floor studio space, and establish a new administrative use permit for on-site sales of alcoholic beverages as part of the public assembly use.",,,,failed_extraction,Resubmittal Pending Review,,,,,TRUE
,ZP2024-0112,3035 COLBY St,"Demolition of an existing two-unit building; construction of a new two-unit building with an average height of 23'3"".",2,2,0,failed_extraction,Approved,,,,,TRUE
,ZP2024-0122,3036 REGENT St,Use Permit for conversion of the existing medical office use and to establish a Single-Family Dwelling,,,,failed_extraction,Resubmittal Pending Review,,,,,TRUE
,ZP2024-0125,1312 ADDISON St,"Use Permit to construct a three-story major residential addition (700 square feet) to an existing duplex, above 14 feet (35 feet) in average building height, by expanding the existing third-story attic on a property that exceeds allowable lot coverage, and to install a new play structure in the rear yard",,,,failed_extraction,Corrections Pending Applicant,,,,,TRUE
,ZP2024-0126,2298 DURANT Ave,"The proposed project entails the demolition of all existing buildings, merger of two lots, and
construction of a new, 8-Story, 79,522sf, 91'-6"" tall building with 65 total units, 5 of which will be
offered at Very Low Income rates. Density bonus.",0,65,65,failed_extraction,Pending Final Action,,,,,TRUE
,ZP2024-0138,2145 GRANT St,"Major residential addition over 14' in average height (1,133 square-feet)  in the non-conforming front setback, and the addition of more than five bedrooms on a lot that is non-conforming for lot coverage.  More than six bedrooms on the parcel.",,,,failed_extraction,Corrections Pending Applicant,,,,,TRUE
,ZP2024-0145,1295 HEARST Ave,Administrative Use Permit to construct a 348 square foot 22-foot-tall residential addition within a nonconforming 0 feet side setback and 12 feet front setback with proposed second floor balcony.,,,,failed_extraction,Pending Final Action,,,,,TRUE
,ZP2024-0158,2336 M L KING JR Way,"Add a 1,153 square-foot addition, add more than five bedrooms, and make alterations in non-conforming setbacks, by legalizing the basement at the single-family home at the front of the lot.",,,,failed_extraction,Pending Final Action,,,,,TRUE
,ZP2024-0162,2425 DURANT Ave,"SB-330 PROJECT - Demolition of all existing buildings on site to construct a 20-story residential building with a total floor area of approximately 145,000 square feet. The building height will be 200-ft with zero vehicle parking spaces. The State Density Bonus Project will have 13 affordable housing units designated for VLI households and 13 for moderate-income households. All 19 existing dwelling units, when replaced, will be below-market-rate rentals.",19,250,250,failed_extraction,Pending Final Action,,,,,TRUE
,ZP2024-0166,173 FAIRLAWN Dr,"Construction of an horizontal addition at front of house to enlarge an existing bedroom and add 1 full bath 25-30 feet away from an open creek.  Construction of a new wood deck in the rear yard less than 30"" above grade.",,,,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2024-0183,1890 ALCATRAZ Ave,"Use Permit to demolish a one story commercial building and construct 3 story 36 feet tall building to be used as an African American Holistic Resource community center with 6,000 gross floor area with onsite ground level parking",0,,,failed_extraction,In Review,,,,,TRUE
,ZP2025-0006,2903 ADELINE St,Use Permit with Public Hearing to legalize conversion of an existing commercial space into residential use,0,1,,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2025-0019,1235 ORDWAY St,"Administrative Use Permit #ZP2025-0019 to construct an 1,129 square foot, two-story addition approximately 21 feet, 10 inches in average height to the rear of an existing 747 square foot, one-story single-family dwelling 12 feet, 4 inches in height.",,,,failed_extraction,Pending Final Action,,,,,TRUE
,ZP2025-0024,2099 M L KING JR Way,Use Permit Modification of ZP2019-0081 to convert commercial space into a residential amenity space for a lounge and gym area,,,,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2025-0025,1507 JOSEPHINE St,Unit combination of an existing duplex into an SFR through remodel of both floors with new kitchen and 3 baths.,,,,failed_extraction,Corrections Pending Applicant,,,,,TRUE
,ZP2025-0027,2105 LOS ANGELES Ave,"Creation of a new recreation room ( sixth bedroom), new bathroom and new left side entry hall through excavation of 550 square feet of existing basement space.",,,,failed_extraction,Pending Final Action,,,,,TRUE
,ZP2025-0045,2143 WARD St,"AUP to construct a residential addition (2,038 square feet) by raising the existing 1,447-square-foot, single-family dwelling to create a new ground floor. The project would result in a maximum building height of 36 feet 3 inches and would vertically extend a wall within a nonconforming side setback.",,,,failed_extraction,Pending Final Action,,,,,TRUE
,ZP2025-0057,2238 SEVENTH St,Proposed interior and exterior remodel of units A and B on the first floor only.,,,,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2025-0058,703 SANTA BARBARA Rd,A major residential addition over 14' in average height with a two-car garage within the rear setback.,,,,failed_extraction,Under Review,,,,,TRUE
,ZP2025-0060,385 VERMONT Ave,"Administrative Use Permit to construct a 783 square feet second story major residential addition with a maximum building height of 31 feet tall with a proposed 250 square feet roof deck that will extend a building wall within a nonconforming side setback, and add a new retaining wall within required setbacks.",,,,failed_extraction,In Review,,,,,TRUE
,ZP2025-0076,1246 ROSE St,Residential remodel and addition to existing 1br/2bath SFH to create 2br/2bath SFH. Convert existing upper level deck and part of second story interior to a bedroom and closet.,,,,failed_extraction,Corrections Pending Applicant,,,,,TRUE
,ZP2025-0077,1512 CHANNING Way,"Administrative Use Permit to construct a 641 square feet, 25 feet tall major residential addition over the existing building footprint of the existing single-family dwelling extending a building wall within a nonconforming front, side, and rear setback",,,,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2025-0081,1339 STANNAGE Ave,"Adminstrative Use Permit to lift the existing single family dwelling 4 feet and 10 inches to create a 10 feet clearance on the first floor, relocate the existing house to meet side and front setback requirements, construct a major residential addition with a gross floor area of 1173 square feet consisting of a 161 square feet second story addition with an average height of 23 feet tall and 1012 square feet first floor, add a 80 square feet shed to the backyard, and add an off street parking space and retaining wall within the 20 feet required front setback.",,,,failed_extraction,Corrections Pending Applicant,,,,,TRUE
,ZP2025-0082,1475 CATHERINE Dr,"Second-story residential addition (412 sf). Convert portion of garage to habitable space (64 sf). Addition includes 2 bedrooms, 1 bath, and a staircase.",,,,failed_extraction,On Hold,,,,,TRUE
,ZP2025-0083,1430 LINCOLN St,Residential addition of 18.6sf on rear side of house within non conforming rear setback.,,,,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2025-0085,2200 FIFTH St,"Use Permit with Public Hearing to construct a total of eight three story townhouses 34 feet tall with a gross floor area of 19,064 square feet and 45 feet tall two-unit Research & Development, 3 story building with a gross floor area of 4,956 square feet with 10 proposed off-street shared parking spaces on a split zoned MUR and MU-LI site that is an existing parking lot.",0,8,8,failed_extraction,In Review,,,,,TRUE
,ZP2025-0086,2705 BENVENUE Ave,"Use Permit with Public Hearing to combine 2703 Benvenue Avenue Units A, B, and 2705 Benvenue Avenue using Berkeley Municipal Code, Title 23, Code Section23.326.040—Eliminating Dwelling Units through
Combination with Other Units, to create a single-family dwelling.",2,1,-1,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2025-0088,1187 SHATTUCK Ave,"Zoning Permit to construct a third-story residential addition to add a fifth bedroom and expand the basement to create a wine cellar and playroom. The existing home is a three-story single-family dwelling with three bedrooms, two bathrooms, and is 25-feet, 8-inches in maximum height. The project will result in approximately five bedrooms, four bathrooms, with a maximum height of 32-feet, 11-inches.",,,,failed_extraction,Corrections Pending Applicant,,,,,TRUE
,ZP2025-0090,2016 DELAWARE St A,Administrative Use Permit to construct an approximate 706 sq. ft. 31 feet in maximum height second story major residential addition that will vertically extend a building wall within a nonconforming side setback to an existing condo,,,,failed_extraction,Resubmittal Pending Staff,,,,,TRUE
,ZP2025-0091,1123 BLAKE St,Administrative Use Permit to construct a 942 square feet major residential addition consisting of a 450 sq. ft. second story 21 feet tall addition and  492 sq. ft. 1st floor addition and a new deck and hot tub to an existing single family residence.,,,,failed_extraction,Under Review,,,,,TRUE
,ZP2025-0095,1731 ADDISON St,"Construct a detached 265 square foot cottage including 1 bedroom/1 bathroom (maximum height 13'-1""). Remove existing 170 square foot garage. Construct a new 200 square foot garage (maximum height 10'-9"").",0,1,1,failed_extraction,Resubmittal Pending Staff,,,,,TRUE
,ZP2025-0100,2740 SHASTA Rd,"(Hillside Overlay) To construct a residential addition spanning all three existing floors in the nonconforming front setback, and to construct an access ramp to the proposed new main entrance of the residence. The residential addition includes a new storage room, mechanical room, and creation of a pool room on the first floor; the creation of a third bathroom, closet, and new main entrance on the second floor, including a second-story deck; and the creation of an addition to the master bedroom and new deck on the third floor.",,,,failed_extraction,Resubmittal Pending Staff,,,,,TRUE
,ZP2025-0101,2190 SHATTUCK Ave,"Use Permit Modification (SB330 PLN2025-0082). To modify Use Permit ZP2016-0117, an approved 25-story mixed-use (residential and commercial) building by increasing the State Density Bonus level from 25 to 34 stories",0,36,36,failed_extraction,Under Review,,,,,TRUE
,ZP2025-0106,2143 BLAKE St,Obtain AUP to add an additional parking stall at the front of the dwelling within the front setback.,,,,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,ZP2025-0109,411 VASSAR Ave,"Administrative Use Permit to build an approximate 260 square-foot deck within a required front setback, over an existing 8-foot-tall carport attached to an existing three-bedroom, three-bathroom single-family dwelling.",,,,failed_extraction,Incomplete Pending Applicant,,,,,TRUE
,PLN2024-0001,2205 BLAKE St,"Pre-application meeting for a proposal of a new 3-story duplex and new 371 sq ft residential unit at the rear of the sit at 2201/2205 Blake Street.  The existing property contains two landmarked Victorian homes.  Owner intends to subdivide the lot into two parcels, and wants to discuss methodology for lot split.",0,3,3,failed_extraction,Under Review,,,,,TRUE
,PLN2024-0013,2201 BLAKE St,"SB 330 Pre-App which includes a project scope of: (1)the construction of three units for a total of seven units on a landmarked lot -- Construction of a three story - 3,551 SF duplex, relocation of an existing 371 SF accessory building and conversion to one residential unit; and retaining of four existing residential units in two landmarked buildings; and (2) three new proposed parking spaces (2 car garage and one surface space)",4,7,3,failed_extraction,Approved,,,,,TRUE
,PLN2024-0025,2428 MILVIA St,"SB-330 pre-application, the project proposes to demolish the existing buildings with six units, and to relocate landmarked ""Broad Buildings"" (from 2030-32 Bancroft) to this site, preserve exteriors and create eight new units.",6,14,8,failed_extraction,Under Review,,,,,TRUE
,PLN2024-0026,1036 KEITH Ave,"Pre-application for an proposed 1,318 square feet residential addition to an existing three-story, single-family house, in the R-1H district.",,,,failed_extraction,Under Review,,,,,TRUE
,PLN2024-0047,1136 KEITH Ave,"Pre-application to demolish the existing single-family dwelling and rebuild a new single-family dwelling, pursuant to Senate Bill (SB) 9. The proposal also includes a nonconforming addition that was approved under Administrative Use Permit (AUP) ZP#2024-0147.",1,1,0,failed_extraction,Under Review,,,,,TRUE
,PLN2024-0051,1701 SAN PABLO Ave,SB 35 Modification to PLN2022-0119: A 100% affordable multi-family mixed use development with residential and community amenity space and an at-grade parking structure. The units will have a preference for BUSD employees.,0,,,failed_extraction,Under Review,,,,,TRUE
,PLN2024-0064,2425 DURANT Ave,"Demolition of all existing buildings on site to construct a 20-story residential building with a total floor area of approximately 145,000 square feet.  The building height will be 200-ft with zero vehicle parking spaces. 
The  State Density Bonus Project will have 13 affordable housing units designated for VLI households and 13 for moderate-income households.

All 19 existing dwelling units, when replaced, will be below-market-rate rentals.",,,,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0013,1111 ALLSTON Way,One new dwelling unit (approved with UPPH that will not be exercised) and subdivision pursuant to SB 684. One Unit and Subdivision,0,1,1,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0017,1464 SIXTH St,"SB 35 Preliminary Development Application to add three dwelling units to the second floor of an existing mixed-use residential building, and make all six dwellings permanently affordable.",3,6,3,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0030,28 TANGLEWOOD Rd,"Pre-application request to receive project feedback for a proposed 1217 sf residential addition adding two bedrooms and two bathrooms directly attaching to the East wing of the house, in same architectural language as main house, renovation of kitchen in main house including 47 SF addition taking over exterior covered space as interior space, and curb cut request on Garber Street.",,,,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0031,2437 WARRING St,"Pre-application request for an interdepartmental meeting to discuss a proposed addition of square footage, stories and units to a multi-family building with an additional 2 stories using variances.",0,4,4,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0037,1464 SIXTH St,Renovate and reconfigure two-story mixed use building with three existing protected residential units and one commercial unit into six residential units and one commercial unit. No expansion of the current building envelope.,3,6,3,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0043,3100 COLLEGE Ave,"Pre-Application to meet with Land Use staff and receive feedback for a project looking to install a new residential building that contains new residential units located within the new building shell. New parking spaces may be provided by a new stacked parking assembly to be located underneath the new building shell.

The new residential building will meet the parameters of the newly approved amendments of the City of Berkeley Planning Code.",,,,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0046,1449 CORNELL Ave,"The proposed project is to demolish an existing church building and drive aisle and utilizing SB684, subdivide the 8,147 square-foot lots (total for APN#60-2392-50 & APN#60-2392-51) into three separate lots (2,740, 2,667, 2,740 sq. ft.) and construct one new,1,865 sq. ft. (1,750 net habitable sq. ft.), 2-story, single-family dwelling on each lot. Each unit will include 4 bedrooms and 3 bathrooms, one off-street parking space and 763-813 sq. ft. of usable open space",0,3,3,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0049,1449 CORNELL Ave,"The proposed project is to demolish an existing church building and drive aisle and utilizing SB684, subdivide the 8,147 square-foot lots (total for APN#60-2392-50 & APN#60-2392-51) into three separate lots (2,740, 2,667, 2,740 sq. ft.) and construct one new,1,865 sq. ft. (1,071 net habitable sq. ft.), 2-story, single-family dwelling on each lot. Each unit will include 4 bedrooms and 3 bathrooms, one off-street parking space and 763-813 sq. ft. of usable open space.",,,,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0054,1750 SACRAMENTO St,"AB 2011 Housing Development Application (Modification): Revisions to Supportive Housing building at North Berkeley BART station area, including minor ground floor programmatic changes, courtyard redesign, unit mix changes (more 1-bedrooms, less studios), as well as refinements to building facades and articulation",,,,failed_extraction,In Review,,,,,TRUE
,PLN2025-0060,1716 SEVENTH St,SB 684 Eligibility Review: Create two-lot subdivsion and two-unit housing development,0,2,2,failed_extraction,Under Review,,,,,TRUE
,PLN2025-0061,2641 COLLEGE Ave,"Demolish the existing garage in the rear of the lot and utilize SB 684/SB 1123 to subdivide the existing 5,400 square-feet R2A lot (APN# 055 184801800) into one 2,994 square-feet lot in the front with an existing duplex building, and one new 2,406 square-feet lot in the rear and construct a new 3,310 square feet, three-story (39 feet) residential building including three units.",2,5,3,failed_extraction,Under Review,,,,,TRUE
