needs_review,,,,,,,,,,,,,
,Permit Number,Address,Description,old_units,new_units,net_unit_change,unit_extraction_status,Record Status,manual_old_units,manual_new_units,manual_net_change,notes,needs_review
Not “Column M”,,,,,,,,,,,,,
,ZP2024-0027,2614 TELEGRAPH Ave,"SB-330 Mixed-Use Housing Development Project. Use Permit to merge two parcels, demolish a single-family dwelling (2614 Telegraph) and a commercial office (2417 Carleton), and construct a 38,000 square-foot, 5-story (57-foot) mixed-use building with 32 dwelling units (3 Very Low-Income, 2 Low-Income), and 605 sq. ft. of commercial space, using a State Density Bonus.",1,32,31,extracted,Corrections Pending Applicant,,,,,FALSE
,ZP2024-0040,1728 UNIVERSITY Ave,"Use permit to establish retail sales of dispensing beer, wine, and distilled spirits for off site consumption in existing retail store",,,,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2024-0042,84 SAN MATEO Rd,"Administrative Use Permit to demolish the single-car garage with patio above, construct an attached, 467-square-foot two-car garage (average height 11 feet, 2 inches) within the front and side setbacks and a new patio above the garage, and remodel the subterranean connection between the garage and the main building.",,,,not_housing,Approved,,,,,FALSE
,ZP2024-0043,1844 SAN RAMON Ave,Install a hot tub in the rear,,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2024-0047,2450 SHATTUCK Ave,"SB-330 Mixed-Use Housing Development Project for the construction of an eight story building with 94 residential units, 2,438-sqft of retail space; 4,653-sqft of residential amenities and lobbies. Amenity roof terrace provided on top level. A total of 134,115-sqft.",0,94,94,extracted,Corrections Pending Applicant,,,,,FALSE
,ZP2024-0048,76 CODORNICES Rd,Administrative Use Permit to install a 103 square feet arbor deck (unenclosed accessory structure) 2 feet from the rear setback and 3 feet away from the side setback.,,,,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2024-0057,2655 SHATTUCK Ave,"Demolish an existing 1-story commercial building to construct an 85-foot tall, 83,479 square foot, 8-story Mixed Use residential/commercial building.  Total of 97 units, with 10 VLI. 41 on-site automobile parking spaces and 48 on-site bicycle parking spaces.",0,97,97,extracted,Pending Final Action,,,,,FALSE
,ZP2024-0058,2700 SHATTUCK Ave,SB330 project to demolish an existing commercial structure and construct a eight-story mixed-use housing development with 276 dwelling units.,0,276,276,extracted,Corrections Pending Applicant,,,,,FALSE
,ZP2024-0066,2109 VIRGINIA St,"Demolition of existing non-landmarked 2-story commercial structure and surface parking. Construction of a new 8-story(88'-4"" tall), 131-unit mixed-use housing development with 107,935sf of new residential use, parking garage for up to 103 spots, and 1,200 sf new commercial space.  15% (11 units) of the base project's units will be affordable to very-low-income households, and 13% (9 units) will be Moderate Income households, entitling it to 92.5% density bonus, waivers, and up to 4 concessions under the state density bonus law.",0,131,131,extracted,Appealed,,,,,FALSE
,ZP2024-0067,2276 SHATTUCK Ave,"SB330 Preliminary Application: Retaining of the existing east and south facades of the existing morse block building; Reduction of existing 32,350 square feet of commercial space to 7,486 square feet; and addition of 105,237 square feet of multi-family residential space. Through utilizing a 50 percent density bonus, 28 density bonus maximum units will be included and 15 percent of the base project units (56 units) are dedicated to nine Very Low-Income households.",0,336,336,extracted,In Review,,,,,FALSE
,ZP2024-0071,2955 SHATTUCK Ave,"State Density Bonus Project to merge two lots and demolish (2) existing 2-story commercial structures and (1) existing 1-story commercial structure. The proposed project is an 8-story, 75-feet, 80,682-sqft mixed-use building with 74 dwelling units, ground level retail space, and a ground level parking garage with 24 parking spaces. This will include 4 affordable units.",0,74,74,extracted,Corrections Pending Applicant,,,,,FALSE
