Row,Address,address_normalized,APN,Owner,Num_Permits,Permit_Numbers,Selected_Permit,old_units,new_units,net_unit_change,permit_year,Description,Record_Status,Selection_Method,Cumulative_Units
17,1650 FIFTH St,1650 FIFTH ST,,,1,PLN2025-0041,PLN2025-0041,1.0,4.0,3.0,2025.0,"SB 684 pre-application to determine eligibility to subdivide an existing lot into four lots and construct three detached single-family houses and renovate an existing 1,618 single-family residence in the MU-R zoning district.",Under Review,single_permit,243.0
18,1710 UNIVERSITY Ave,1710 UNIVERSITY AVE,,,1,ZP2021-0127,ZP2021-0127,0.0,16.0,16.0,2021.0,"Demolish existing commercial building. Construct 4-story, mixed-use building for non-profit religious education and living spaces",Incomplete Pending Applicant,single_permit,259.0
19,1716 SEVENTH St,1716 SEVENTH ST,,,1,PLN2025-0060,PLN2025-0060,0.0,2.0,2.0,2025.0,SB 684 Eligibility Review: Create two-lot subdivsion and two-unit housing development,Under Review,single_permit,261.0
20,1731 ADDISON St,1731 ADDISON ST,,,1,ZP2025-0095,ZP2025-0095,0.0,1.0,1.0,2025.0,"Construct a detached 265 square foot cottage including 1 bedroom/1 bathroom (maximum height 13'-1""). Remove existing 170 square foot garage. Construct a new 200 square foot garage (maximum height 10'-9"").",Resubmittal Pending Staff,single_permit,262.0
21,1740 SAN PABLO Ave,1740 SAN PABLO AVE,,,1,PLN2023-0065,PLN2023-0065,0.0,54.0,54.0,2023.0,"SB 35 Preliminary Development Application (Modification): Demolition of existing 1 story commercial structure.  Construction of a 6-story, 54 units, Mixed-Use Residential building with 100% affordable housing, processing under SB-35 and State Density Bonus for additional height of 33"" and no density limit.",Under Review,single_permit,316.0
22,1740 UNIVERSITY Ave,1740 UNIVERSITY AVE,,,1,ZP2025-0079,ZP2025-0079,0.0,12.0,12.0,2025.0,"Use Permit with Public Hearing to convert an existing 12,503 SF, 31 feet in maximum height two story commercial building into a mixed-use building with 12 residential apartments and 3 ground floor retail tenant spaces with a proposed total gross area of 9,666 square feet",Corrections Pending Applicant,single_permit,328.0
23,1745 CEDAR St,1745 CEDAR ST,,,1,PLN2025-0040,PLN2025-0040,0.0,6.0,6.0,2025.0,"The project is the construction of a new 3-story (35'-0""), 6-unit housing development with 8,976 sf of
new residential use and 6 parking spots. Project includes removal of an existing non-landmarked
commercial structure and surface parking.",Under Review,single_permit,334.0
24,1750 SACRAMENTO St,1750 SACRAMENTO ST,,,1,PLN2024-0010,PLN2024-0010,0.0,739.0,739.0,2024.0,"AB 2011 Ministerial Application. The proposed project is a transit-oriented in-fill development of 13 mixed-use and multi-family residential buildings totaling approximately 769,300 SF and one wrap garage structure with approximately 296 parking spaces in parking lots surrounding the North Berkeley BART Station. Buildings range in height from 3 to 8 stories and consist of 739 units with over 50% of the homes at affordable rent levels. The project includes improvements to the Ohlone Greenway and over 6,000 SF of community-serving ground floor uses as well as street and public realm upgrades, and over 48,000 SF of publicly accessible open space.",Under Review,single_permit,1073.0
25,1790 UNIVERSITY Ave,1790 UNIVERSITY AVE,,,1,ZP2023-0070,ZP2023-0070,0.0,17.0,17.0,2023.0,"Demolish two nonresidential structures and one single-family residence, and construct a 5-story (56 feet) mixed-use building with 17 dwelling units (two VLI) and 950 square feet of ground-floor retail, utilizing State Density Bonus",Under Review,single_permit,1090.0
26,1850 BERRYMAN St,1850 BERRYMAN ST,,,3,"ZP2023-0063, PLN2025-0050, PLN2025-0052",PLN2025-0050,0.0,6.0,6.0,2025.0,"Preliminary application for the construction of a new 3-story residential development with 7,272 sf of new residential use, 6 dwelling units and ground level parking, in compliance with state of California SB-684 - Subdivision Homeownership project.",Under Review,max_units,1096.0
