Row,Address,address_normalized,APN,Owner,Num_Permits,Permit_Numbers,Selected_Permit,old_units,new_units,net_unit_change,permit_year,Description,Record_Status,Selection_Method,Cumulative_Units
73,2812 EIGHTH St,2812 EIGHTH ST,,,2,"PLN2025-0058, PLN2025-0089",PLN2025-0058,1.0,4.0,3.0,2025.0,"Demolish unoccupied single-family residence and a garden shed and construct 4 residential units in 3 separate buildings, each 3 stories. There is a total square footage of 8,172sf, including the garages, in all 4 units. The height of the buildings are 35’ at the peak of the pitched roofs. Each unit has a dedicated open space on the ground floor exceeding the zoning requirement.",Under Review,max_units,4679.0
74,2847 SHATTUCK Ave,2847 SHATTUCK AVE,,,2,"ZP2022-0132, ZP2024-0077",ZP2024-0077,4.0,136.0,132.0,2024.0,"SB-330 Project - Demolition of existing non-landmarked mixed-use structure and surface parking to construct a new 9-story, 102'0"" in height, 136-unit mixed-use housing development with 55,849 sq ft of residential space and 2,503 sq ft commercial space.

14% of the base project's units will be VLI income households; Entitled to 46.25% density bonus, waivers, and up to 3 concessions  under the State Density Bonus Law.",In Review,max_units,4811.0
75,2920 SHATTUCK Ave,2920 SHATTUCK AVE,,,1,ZP2022-0116,ZP2022-0116,0.0,221.0,221.0,2022.0,"Demolish two commercial buildings and construct a 10-story mixed-use residential building with 221 dwelling units, ground-floor retail, and nine uncovered parking spaces utilizing State Density Bonus.",In Review,single_permit,5032.0
76,2942 COLLEGE Ave,2942 COLLEGE AVE,,,1,ZP2021-0072,ZP2021-0072,0.0,4.0,4.0,2021.0,"demolish and existing non-residential building and construct a new two-story mixed-use development containing 1,296 sq.ft. of ground floor commercial space and 3,278 sq.ft. of residential space, including four dwelling units, in two seperate buildings.",In Review,single_permit,5036.0
77,2955 SHATTUCK Ave,2955 SHATTUCK AVE,,,1,ZP2024-0071,ZP2024-0071,0.0,74.0,74.0,2024.0,"State Density Bonus Project to merge two lots and demolish (2) existing 2-story commercial structures and (1) existing 1-story commercial structure. The proposed project is an 8-story, 75-feet, 80,682-sqft mixed-use building with 74 dwelling units, ground level retail space, and a ground level parking garage with 24 parking spaces. This will include 4 affordable units.",Corrections Pending Applicant,single_permit,5110.0
78,3000 SHATTUCK Ave,3000 SHATTUCK AVE,,,1,ZP2022-0046,ZP2022-0046,0.0,166.0,166.0,2022.0,"Demolish the existing gas station, and construct a 10-story (114 feet) mixed-use building utilizing a Density Bonus, with 166 dwellings, including 17 Very Low-Income units, and 1,043 square-feet of commercial space.",In Review,single_permit,5276.0
79,3001 BENVENUE Ave,3001 BENVENUE AVE,,,1,ZP2025-0068,ZP2025-0068,1.0,2.0,1.0,2025.0,"Administrative Use Permit #ZP2025-0068 to raise an existing approximate 1,860 square-foot, 18 feet, 10 inches in average height, two-story residential dwelling to approximately 21 feet, 4 inches in height resulting in a three-story, single-family dwelling with a basement converted 700 square foot accessory dwelling unit.",Corrections Pending Applicant,single_permit,5277.0
80,3035 COLBY St,3035 COLBY ST,,,1,ZP2024-0112,ZP2024-0112,2.0,2.0,0.0,2024.0,"Demolition of an existing two-unit building; construction of a new two-unit building with an average height of 23'3"".",Approved,single_permit,5277.0
81,3101 SACRAMENTO St,3101 SACRAMENTO ST,,,1,ZP2025-0069,ZP2025-0069,0.0,3.0,3.0,2025.0,"Create a first-floor building shell for a future tenant. Remove (e) partial second floor framing (1st floor ceiling frame), fire-damaged framing, and replace in-kind. Remove all interior partitions, doors, electrical components, and plumbing. Install (n) accessible all gender toilets. Accessible upgrade exterior stairs to the 2nd floor. Infill exterior CMU opening. Replace two entries in the storefront system. Extend the scope of work to the second floor - create three living space units. Propose 3 living units on second floor with MEP. Change of use - occupancy: First floor - original M-mercantile (no documents) to B-Business. Second floor - original business (no documents) to R-2 (3 units). Install a 2nd exit, 1-hr rated stairwell (104 sq. ft.) on the south side of the building, per Table 1006.3.4(2).",Under Review,single_permit,5280.0
82,40 HILL Rd,40 HILL RD,,,1,ZP2020-0006,ZP2020-0006,0.0,1.0,1.0,2020.0,New Single Family Dwelling on new parcel at 36 Hill Road,Incomplete Pending Applicant,single_permit,5281.0
83,5 W PARNASSUS Ct,5 W PARNASSUS CT,,,1,PLN2025-0048,PLN2025-0048,,1.0,1.0,2025.0,Zoning Research Letter: Remove the prior ADU deed restriction with incorrect building permit and replace with current deed restriction. NOL RESCISSION. Related to B2025-01579.,Under Review,single_permit,5282.0
84,659 GRIZZLY PEAK Blvd,659 GRIZZLY PEAK BLVD,,,1,ZP2025-0093,ZP2025-0093,,1.0,1.0,2025.0,Remodel existing two story one bedroom house of 986 sq. ft. with a basement garage into a two story three-bedroom house of 1610 sq. ft. with a basement garage. Add a 440 sq. ft. one bedroom ADU to the rear of the house.,Incomplete Pending Applicant,single_permit,5283.0
