developer,project_count,total_units,vli_units,market_rate_units,density_bonus_projects
NX Ventures,1,207.0,21.0,186.0,1
Landmark Properties,1,110.0,11.0,99.0,1
Martin Group / Valiance Capital,1,83.0,5.0,78.0,1
Panoramic Interests,1,68.0,0,68.0,1
Riaz Capital,1,58.0,8.0,50.0,1
Realtex Group,1,54.0,0,54.0,1
Gilbane Development,1,52.0,6.0,46.0,1
CHDC,1,50.0,50.0,0.0,1
Unknown/Individual,5,39.0,0,39.0,5
Read Investments,1,0,0,0,1
