hcd_row_id,JURS_TRACKING_ID,STREET_ADDRESS,APN,PRIOR_APN,UNIT_CAT,co_units_hcd,bp_units_hcd,cpra_presence
1304,ZP2021-0046,2136 San Pablo Ave,056 197701101,,5+,0,0,no CPRA presence anywhere
1305,ZP2023-0107,2462 Bancroft Way,055 187802000,,5+,0,0,no CPRA presence anywhere
1402,ZP2023-0036,1804 Harmon St,052 153101500,,SFD,0,0,no CPRA presence anywhere
1481,ZP2023-0126,2530 BANCROFT Way,055 187701601,,5+,0,0,no CPRA presence anywhere
2081,ZP2023-0123,2833 Seventh St,053 165803500,,SFD,0,0,no CPRA presence anywhere
2083,PLN2024-0010,1750 SACRAMENTO St,058 214901904,,5+,0,0,no CPRA presence anywhere
2084,ZP2023-0064,2037 Durant Ave,055 189400200,,5+,0,0,no CPRA presence anywhere
2085,ZP2022-0135,2128 OXFORD St,057 203100101,,5+,0,0,no CPRA presence anywhere
