hcd_row_id,cpra_permit_number,address_hcd,address_cpra,tracking_id,co_units_hcd,co_units_d5,bp_units_hcd,bp_units_d5,agree_co,agree_bp,units_agree,match_tier,in_c1,cpra_year
1165,B2023-02301,1436 Campus Dr,1436 CAMPUS Dr,B2023-02301,0,0.0,1,1.0,True,True,True,1,True,2024
1207,B2023-01998,1609 FIFTH St,1609 FIFTH St,B2023-01998,1,1.0,0,0.0,True,True,True,1,True,2024
1210,B2024-02212,1732 California St,1732 CALIFORNIA St,B2024-02212,0,0.0,1,1.0,True,True,True,1,True,2024
1211,B2022-01667,1822 WOOLSEY St,1822 WOOLSEY St,B2022-01667,1,0.0,0,0.0,False,True,False,1,True,2024
1212,B2023-00520,1912 STUART St,1912 STUART St,B2023-00520,1,1.0,0,0.0,True,True,True,1,True,2024
1213,B2022-05486,2024 Prince Street,2024 PRINCE St,B2022-05486,1,0.0,1,0.0,False,False,False,1,True,2024
1214,B2022-06045,2144 Russell St,2144 RUSSELL St,B2022-06045,0,0.0,1,1.0,True,True,True,1,True,2024
1215,B2022-05356,2150 RUSSELL St,2150 RUSSELL St,B2022-05356,1,0.0,0,0.0,False,True,False,1,True,2024
1216,B2023-01652,1341 ADDISON,1341 ADDISON St,B2023-01652,1,1.0,0,0.0,True,True,True,1,True,2024
1217,B2022-02858,2422 CALIFORNIA St,2422 CALIFORNIA St,B2022-02858,1,1.0,0,0.0,True,True,True,1,True,2024
1218,B2021-05291,2425 Prospect St,2425 PROSPECT St,B2021-05291,1,1.0,0,0.0,True,True,True,1,True,2024
1219,B2022-01755,2818 Webster St,2818 WEBSTER St,B2022-01755,1,0.0,0,0.0,False,True,False,1,True,2024
1220,B2024-01527,3007 Acton St,3007 ACTON St,B2024-01527,0,0.0,1,1.0,True,True,True,1,True,2024
1221,B2024-02736,51 Parkside Dr,51 PARKSIDE Dr,B2024-02736,0,0.0,1,1.0,True,True,True,1,True,2024
1222,B2022-00430,626 Peralta Ave,626 PERALTA Ave,B2022-00430,1,0.0,1,0.0,False,False,False,1,True,2024
1224,B2023-05338,737 Jones St,737 JONES St,B2023-05338,0,0.0,1,1.0,True,True,True,1,True,2024
1225,B2023-05727,844 Miramar Ave,844 MIRAMAR Ave,B2023-05727,1,0.0,1,0.0,False,False,False,1,True,2024
1226,B2023-02857,921 ENSENADA Ave,921 ENSENADA Ave,B2023-02857,1,1.0,0,0.0,True,True,True,1,True,2024
1227,B2023-03347,932 Colusa Ave,932 COLUSA Ave,B2023-03347,0,0.0,1,1.0,True,True,True,1,True,2024
1228,B2022-01436,0 Cragmont Ave,0 CRAGMONT Ave,B2022-01436,1,1.0,0,0.0,True,True,True,1,True,2024
1232,B2023-03857,3019 Bateman St,3019 BATEMAN St,B2023-03857,0,0.0,1,1.0,True,True,True,1,True,2024
1279,B2022-01742,1517 VIRGINIA St,1517 VIRGINIA St,B2022-01742,0,0.0,1,0.0,True,False,False,1,True,2024
1280,B2022-03086,1709 Sacramento St,1709 SACRAMENTO St,B2022-03086,1,1.0,0,0.0,True,True,True,1,True,2024
1281,B2023-06296,2020 Dwight Way,2020 DWIGHT Way,B2023-06296,0,0.0,1,0.0,True,False,False,1,True,2024
1282,B2022-05608,2026 Essex St,2026 ESSEX St,B2022-05608,0,0.0,1,1.0,True,True,True,1,True,2024
1283,B2022-03844,2226 DWIGHT Way,2226 DWIGHT Way,B2022-03844,2,2.0,0,0.0,True,True,True,1,True,2024
1284,B2023-04737,2227 Carleton St,2227 CARLETON St,B2023-04737,0,0.0,2,2.0,True,True,True,1,True,2024
1285,B2024-02185,2309 Parker St,2309 PARKER St,B2024-02185,0,0.0,1,1.0,True,True,True,1,True,2024
1286,B2022-00337,2314 Eighth St,2314 EIGHTH St,B2022-00337,0,0.0,1,0.0,True,False,False,1,True,2024
1287,B2020-03762,2419 Jefferson Ave,2419 JEFFERSON Ave,B2020-03762,1,1.0,0,0.0,True,True,True,1,True,2024
1289,B2022-04690,1700 Walnut St,1700 WALNUT St,B2022-04690,1,1.0,0,0.0,True,True,True,1,True,2024
1291,B2023-06071,2639 Regent St,2639 REGENT St,B2023-06071,0,0.0,2,2.0,True,True,True,1,True,2024
1292,B2022-05775,2655 Virginia St,2655 VIRGINIA St,B2022-05775,0,0.0,1,1.0,True,True,True,1,True,2024
1293,B2023-00475,2723 Forest Ave,2723 FOREST Ave,B2023-00475,1,0.0,0,0.0,False,True,False,1,True,2024
1294,B2024-00221,28 Hopkins Ct,28 HOPKINS Ct,B2024-00221,1,0.0,1,0.0,False,False,False,1,True,2024
1295,B2023-03581,2922 Dohr St,2922 DOHR St,B2023-03581,0,0.0,1,1.0,True,True,True,1,True,2024
1296,B2019-05318,1330 Sumit Rd,1330 SUMMIT Rd,B2019-05318,0,0.0,1,1.0,True,True,True,1,True,2024
1297,B2023-01703,35 Hillcrest Rd,35 HILLCREST Rd,B2023-01703,1,0.0,1,0.0,False,False,False,1,True,2024
1300,B2024-02148,917 Channing Way,917 CHANNING Way,B2024-02148,0,0.0,1,1.0,True,True,True,1,True,2024
