JURS_TRACKING_ID,STREET_ADDRESS,APN,UNIT_CAT,co_units_d5,bp_units_d5
B2024-04068,2360 EUNICE St,060 246500200,ADU,0.0,0.0
B2023-06087,2400 EUNICE St,060 246500600,ADU,0.0,0.0
B2023-00965,1325 ARCH St,060 246502700,SFD,0.0,0.0
B2024-01864,2136 EUNICE St,060 246600200,ADU,0.0,0.0
B2024-04348,1224 SPRUCE St,060 246603100,ADU,0.0,0.0
B2024-01966,2139 ROSE St,060 246608500,ADU,0.0,0.0
B2022-05303,1331 WALNUT St,060 246609100,SFD,0.0,0.0
B2024-05834,1321 WALNUT St,060 246609500,ADU,0.0,0.0
B2022-05959,1311 WALNUT St,060 246609800,SFD,0.0,0.0
B2022-03277-REV01,1288 CAMPUS Dr,060 246903900,SFD,0.0,0.0
B2024-03721,1308 GLENDALE Ave,060 246904100,ADU,0.0,0.0
B2023-06505,2702 SHASTA Rd,060 246906801,ADU,0.0,0.0
B2024-04446,2707 ROSE St,060 246909800,ADU,0.0,0.0
B2024-02432,131 TAMALPAIS Rd,060 247001100,ADU,0.0,-1.0
B2023-00141,9 TAMALPAIS Rd,060 247002700,SFD,0.0,0.0
B2024-00698,2693 SHASTA Rd,060 247300800,ADU,0.0,0.0
B2022-06003,3015 BUENA VISTA Way,060 247503200,SFD,0.0,0.0
B2024-02521,30 PARNASSUS Rd,060 247603600,ADU,0.0,0.0
B2023-05960,1524 CAMPUS Dr,060 247803002,SFD,0.0,0.0
B2022-01873,1224 QUEENS Rd,060 248100300,SFD,0.0,0.0
B2024-00664,1272 QUEENS Rd,060 248200500,ADU,0.0,0.0
B2024-00520,1435 CAMPUS Dr,060 248204000,ADU,0.0,0.0
B2024-03987,1423 CAMPUS Dr,060 248204200,ADU,0.0,0.0
B2023-06473,1464 OLYMPUS Ave,060 248300300,SFD,0.0,-1.0
B2022-05990,1496 OLYMPUS Ave,060 248301000,SFD,-1.0,0.0
B2024-01340,1501 CAMPUS Dr,060 248302200,ADU,0.0,0.0
B2024-01584,90 AVENIDA Dr,060 248400701,ADU,0.0,0.0
B2024-01611,3 HARVARD Cir,060 248401200,ADU,0.0,0.0
B2024-01719,288 FAIRLAWN Dr,060 248401600,ADU,0.0,0.0
B2024-01585,91 AVENIDA Dr,060 248503900,ADU,0.0,0.0
B2024-01583,81 AVENIDA Dr,060 248504000,ADU,0.0,0.0
B2024-01454,51 AVENIDA Dr,060 248504200,ADU,0.0,0.0
B2024-03868,1417 QUEENS Rd,060 248504800,ADU,0.0,0.0
B2024-04330,57 FAIRLAWN Dr,060 248602200,ADU,0.0,0.0
B2024-05384,33 FAIRLAWN Dr,060 248602900,ADU,0.0,0.0
B2023-05838,13 FAIRLAWN Dr,060 248603400,ADU,0.0,0.0
B2024-02186,185 AVENIDA Dr,060 248702300,ADU,0.0,0.0
B2024-01577,171 AVENIDA Dr,060 248702500,ADU,0.0,0.0
B2024-01593,151 AVENIDA Dr,060 248703000,ADU,0.0,0.0
B2024-01587,111 AVENIDA Dr,060 248703200,ADU,0.0,0.0
B2024-02140,205 FAIRLAWN Dr,060 248703800,ADU,0.0,0.0
B2024-01580,1408 GRIZZLY PEAK Blvd,060 248900300,ADU,0.0,0.0
B2024-01651,1420 GRIZZLY PEAK Blvd,060 248900600,ADU,0.0,0.0
B2024-01709,1446 GRIZZLY PEAK Blvd,060 248901100,ADU,0.0,0.0
B2024-02216,1448 GRIZZLY PEAK Blvd,060 248901200,ADU,0.0,0.0
B2024-01711,1460 GRIZZLY PEAK Blvd,060 248901403,ADU,0.0,0.0
B2024-01712,1466 GRIZZLY PEAK Blvd,060 248901700,ADU,0.0,0.0
B2024-01605,40 SENIOR Ave,060 248902200,ADU,0.0,0.0
B2024-01717,251 FAIRLAWN Dr,060 248902700,ADU,0.0,0.0
B2024-01657,180 AVENIDA Dr,060 248904001,ADU,0.0,0.0
B2024-01586,100 AVENIDA Dr,060 248904200,ADU,0.0,0.0
B2024-01718,277 FAIRLAWN Dr,060 249001802,ADU,0.0,0.0
B2024-01600,5 SENIOR Ave,060 249002000,ADU,0.0,0.0
B2022-04581,1488 GRIZZLY PEAK Blvd,060 249002900,SFD,0.0,-1.0
B2024-02173,1506 SUMMIT Rd,060 249003400,ADU,0.0,0.0
B2024-01732,1510 SUMMIT Rd,060 249003502,ADU,0.0,0.0
B2024-01726,1522 SUMMIT Rd,060 249004006,ADU,0.0,0.0
B2024-01727,1540 SUMMIT Rd,060 249004502,ADU,0.0,0.0
B2024-02183,1528 SUMMIT Rd,060 249004506,ADU,0.0,0.0
B2024-04764,1419 SUMMIT Rd,060 249200203,ADU,0.0,0.0
B2024-02178,12 SUMMIT Ln,060 249200902,ADU,0.0,0.0
B2024-02177,10 SUMMIT Ln,060 249201001,ADU,0.0,0.0
B2024-02062,8 SUMMIT Ln,060 249201100,ADU,0.0,0.0
B2024-03782,1545 SUMMIT Rd,060 249201800,SFD,0.0,-1.0
B2024-01733,1515 SUMMIT Rd,060 249202401,ADU,0.0,0.0
B2024-01731,1501 SUMMIT Rd,060 249202600,ADU,0.0,0.0
B2024-01713,1504 GRIZZLY PEAK Blvd,060 249202700,ADU,0.0,0.0
B2024-01578,1390 SUMMIT Rd,060 249302401,ADU,0.0,0.0
B2022-04143,1396 SUMMIT Rd,060 249302601,SFD,0.0,-1.0
B2024-01728,1466 SUMMIT Rd,060 249303400,ADU,0.0,0.0
B2024-02180,1468 SUMMIT Rd,060 249303500,ADU,0.0,0.0
B2024-01729,1488 SUMMIT Rd,060 249303900,ADU,0.0,0.0
B2024-01730,1492 SUMMIT Rd,060 249304000,ADU,0.0,0.0
B2024-01668,1455 GRIZZLY PEAK Blvd,060 249304400,ADU,0.0,0.0
B2024-01072,1445 GRIZZLY PEAK Blvd,060 249304600,ADU,0.0,0.0
B2024-01706,1429 GRIZZLY PEAK Blvd,060 249305000,ADU,0.0,0.0
B2024-01652,1425 GRIZZLY PEAK Blvd,060 249305200,ADU,0.0,0.0
B2024-01650,1419 GRIZZLY PEAK Blvd,060 249305300,ADU,0.0,0.0
B2024-01649,1417 GRIZZLY PEAK Blvd,060 249305400,ADU,0.0,0.0
B2024-01610,1415 GRIZZLY PEAK Blvd,060 249305500,ADU,0.0,0.0
B2024-01579,1407 GRIZZLY PEAK Blvd,060 249305701,ADU,0.0,0.0
B2024-01576,1389 GRIZZLY PEAK Blvd,060 249306200,ADU,0.0,0.0
B2024-01582,1379 GRIZZLY PEAK Blvd,060 249306400,ADU,0.0,0.0
B2024-01581,1375 GRIZZLY PEAK Blvd,060 249306500,ADU,0.0,0.0
B2024-01612,1375 SUMMIT Rd,060 249307700,ADU,0.0,0.0
B2024-05079,144 HILL Rd,060 249401000,ADU,0.0,0.0
B2024-03277,1152 EUCLID Ave,061 255104500,ADU,0.0,0.0
B2024-05878,2325 CORONA Ct,061 255200400,ADU,0.0,0.0
B2024-04201,1056 KEITH Ave,061 255503400,SFD,0.0,0.0
B2024-02941,1101 SPRUCE St,061 255600100,ADU,0.0,0.0
B2024-01704,2275 EUNICE St,061 255602100,SFD,0.0,0.0
B2023-01494,1109 SPRUCE St,061 255604100,SFD,0.0,0.0
B2024-00132,1121 OXFORD St,061 255700100,ADU,0.0,0.0
B2024-02830,2143 EUNICE St,061 255802900,ADU,0.0,0.0
B2024-02554,1065 MARIPOSA Ave,061 256002300,SFD,0.0,0.0
B2024-05611,1057 MARIPOSA Ave,061 256002500,ADU,0.0,0.0
B2024-01327,1053 MARIPOSA Ave,061 256002600,ADU,0.0,0.0
B2024-05955,2081 EUNICE St,061 256201900,ADU,0.0,0.0
B2024-03098,1008 MARIPOSA Ave,061 256300608,ADU,-1.0,-1.0
B2023-01922,1050 MARIPOSA Ave,061 256400500,SFD,0.0,0.0
B2024-02221,1060 MARIPOSA Ave,061 256400700,ADU,0.0,0.0
B2024-01137,1156 SUTTER St,061 256502100,ADU,0.0,0.0
B2024-03819,1914 HOPKINS St,061 256801500,ADU,0.0,0.0
B2024-00714,1919 HOPKINS St,061 256901100,ADU,0.0,0.0
B2024-03888,1918 NAPA Ave,061 256902200,ADU,0.0,0.0
B2024-06088,1963 NAPA Ave,061 257000800,ADU,0.0,0.0
B2024-04154,1935 NAPA Ave,061 257001600,ADU,0.0,0.0
B2024-04346,1935 EL DORADO Ave,061 257300600,ADU,0.0,0.0
B2023-03618,1932 MARIN Ave,061 257302400,SFD,-1.0,0.0
B2023-05095,1934 MARIN Ave,061 257302500,SFD,-1.0,0.0
B2023-03363,965 THE ALAMEDA,061 257402300,ADU,0.0,0.0
B2024-00912,744 CONTRA COSTA Ave,061 257500302,ADU,0.0,0.0
B2020-03909,844 CONTRA COSTA Ave,061 257502100,SFD,0.0,0.0
B2023-05999,898 CONTRA COSTA Ave,061 257503000,SFD,0.0,0.0
B2023-06287,751 THE ALAMEDA,061 257506500,SFD,0.0,-1.0
B2024-05266,1932 YOSEMITE Rd,061 257600100,ADU,0.0,0.0
B2024-02839,825 CONTRA COSTA Ave,061 257606903,SFD,-1.0,-1.0
