id,project_id,permit_number,permit_type,permit_module,address,filed_date,status,status_date,is_primary,source,imported_at,permit_year,permit_sequence,permit_prefix
494,4,DRCP2020-0009,"Design Review Committee Preliminary",Planning,"1914 FIFTH St",2020-09-28,Withdrawn,,0,accela,"2026-02-24 03:43:21",2020,,DRCP
495,4,PLN2020-0044,Pre-Application,Planning,"1914 FIFTH St",2020-10-09,Pending,,0,accela,"2026-02-24 03:43:21",2020,,PLN
496,4,PLN2022-0039,Pre-Application,Planning,"1914 FIFTH St",2022-05-03,Closed,,0,accela,"2026-02-24 03:43:21",2022,,PLN
497,4,ZP2022-0058,"Zoning Permit",Planning,"1914 FIFTH St",2022-05-03,Withdrawn,,0,accela,"2026-02-24 03:43:21",2022,,ZP
498,4,PLN2026-0037,"Zoning Research Letter",Planning,"1914 FIFTH St",2026-01-30,"Under Review",,0,accela,"2026-02-24 03:43:21",2026,,PLN
499,4,B2015-02460,"Building Permit",Building,"1914 FIFTH St",2015-05-21,Finaled,,0,accela,"2026-02-24 03:45:47",15,,B
500,4,B2015-02468,"Building Permit",Building,"1914 FIFTH St",2015-05-21,Finaled,,0,accela,"2026-02-24 03:45:47",15,,B
501,4,B2015-03857,"Building Permit",Building,"1914 FIFTH St",2015-08-11,Finaled,,0,accela,"2026-02-24 03:45:47",15,,B
502,5,PLN2024-0049,Pre-Application,Planning,"2425 DURANT Ave",2024-08-08,"Under Review",,0,accela,"2026-02-24 04:05:05",2024,,PLN
503,5,PLN2024-0064,Pre-Application,Planning,"2425 DURANT Ave",2024-11-18,"Under Review",,0,accela,"2026-02-24 04:05:05",2024,,PLN
504,5,DRCP2024-0016,"Design Review Committee Preliminary",Planning,"2425 DURANT Ave",2024-11-18,Void,,0,accela,"2026-02-24 04:05:05",2024,,DRCP
505,5,LMIN2024-0008,"Landmarks Initiation",Planning,"2425 DURANT Ave",2024-12-31,Denied,,0,accela,"2026-02-24 04:05:05",2024,,LMIN
506,6,ZCBP2007-0663,"Zoning Certificate Building Permit",Planning,"2029 UNIVERSITY Ave",2007-11-08,Approved,,0,accela,"2026-02-24 04:26:37",2007,,ZCBP
507,6,ZCBP2009-0631,"Zoning Certificate Building Permit",Planning,"2029 UNIVERSITY Ave",2009-11-10,Approved,,0,accela,"2026-02-24 04:26:37",2009,,ZCBP
508,6,ZCBP2009-0658,"Zoning Certificate Building Permit",Planning,"2029 UNIVERSITY Ave",2009-11-19,Approved,,0,accela,"2026-02-24 04:26:37",2009,,ZCBP
509,6,ZCBL2017-0383,"Zoning Certificate Business License",Planning,"2029 UNIVERSITY Ave",2017-10-23,Approved,,0,accela,"2026-02-24 04:26:37",2017,,ZCBL
510,6,PLN2024-0069,Pre-Application,Planning,"2029 UNIVERSITY Ave",2024-12-10,"Under Review",,0,accela,"2026-02-24 04:26:37",2024,,PLN
511,6,DRCP2025-0001,"Design Review Committee Preliminary",Planning,"2029 UNIVERSITY Ave",2025-01-09,Approved,,0,accela,"2026-02-24 04:26:37",2025,,DRCP
512,6,PLN2024-0070,Pre-Application,Planning,"2029 UNIVERSITY Ave",2024-12-10,"Under Review",,0,accela,"2026-02-24 04:26:37",2024,,PLN
513,6,ZP2024-0182,"Zoning Permit",Planning,"2029 UNIVERSITY Ave",2024-12-19,"Approved - Appeal Period",,0,accela,"2026-02-24 04:26:37",2024,,ZP
514,6,DRCP2025-0002,"Design Review Committee Preliminary",Planning,"2029 UNIVERSITY Ave",2025-01-09,Approved,,0,accela,"2026-02-24 04:26:37",2025,,DRCP
515,2,ZP2023-00401974,Planning,,Shattuck,2023-04-25,"In Review",2025-06-03,0,accela,"2026-03-24 01:46:40",,,
516,,B,Building,,"Permits 2530 Bancroft",2024-05-23,"In Review",2024-06-27,0,accela,"2026-03-25 17:29:27",,,
517,40,ZP2021-0127,Planning,,"1710 UNIVERSITY Ave",2021-08-26,"In Review",2022-11-03,0,accela,"2026-04-01 00:36:18",,,
518,39,ZP2023-0070,Planning,,"1790 UNIVERSITY Ave",2023-06-21,"In Review",2023-11-15,0,accela,"2026-04-01 00:36:18",,,
