"beso_id","property_building_name","building_address","alternate_addresses","beso_property_type","floor_area","_2024_benchmark_status","_2024_energy_star_score","_2024_site_eui_kbtu_ft2_","_2024_source_eui_kbtu_ft2_","_2024_natural_gas_use_therms_","_2024_electricity_use_grid_purchase_kwh_","_2023_benchmark_status","_2023_energy_star_score","_2023_site_eui_kbtu_ft2_","_2023_source_eui_kbtu_ft2_","_2023_natural_gas_use_kbtu_","_2023_electricity_use_grid_purchase_kwh_","_2022_benchmark_status","_2022_energy_star_score","_2022_site_eui_kbtu_ft2","_2022_source_eui_kbtu_ft2","_2022_natural_gas_use_kbtu_","_2022_electricity_use_grid_purchase_kwh_","_2021_benchmark_status","_2021_energy_star_score","_2021_site_eui_kbtu_ft2","_2021_source_eui_kbtu_ft2","_2021_natural_gas_use_kbtu_","_2021_electricity_use_grid_purchase_kwh_","assessment_requirement","assessment_first_cycle_due_date","assessment_first_cycle_status","assessment_first_cycle_payment_status","assessment_second_cycle_due_date","assessment_second_cycle_status","assessment_second_cycle_payment_status","assessment_third_cycle_due_date","assessment_third_cycle_status","assessment_third_cycle_payment_status"
"3100","2043 Allston Way","2043 ALLSTON WAY","2043 ALLSTON WAY; 2045 ALLSTON WAY; 2047 ALLSTON WAY; 2052 CENTER ST","Commercial","23162","2024 - Complied",,"43.5","121.8",,"295403.3","2023 - Complied",,"43","120.5",,"292203.2","2022 - Complied",,"30.8","86.3",,"209348.8","2021 - Did Not Report",,,,,,"Large Building","7/1/2018","Complied","Paid","7/1/2023","Did Not Comply","Due",,,
"3110","Berkeley Center Bldg","2175 MILVIA ST","2000 CENTER ST; 2175 MILVIA ST; 2002 CENTER ST","Commercial","48931","2024 - Complied","87","53.1","94.7","15110.98","319010.6","2023 - Complied","89","50.9","88.8","15026.21","289614.9","2022 - Did Not Report",,,,,,"2021 - Complied","85","59.2","101.8","16607.05","302259.6","Large Building","7/1/2019","Complied","Paid","7/1/2024","Complied","Paid","7/1/2029","Upcoming","Upcoming"
"3120","Constitution Square","2168 SHATTUCK AVE","2172 SHATTUCK AVE; 2170 SHATTUCK AVE; 2174 SHATTUCK AVE; 2176 SHATTUCK AVE; 2168 SHATTUCK AVE; 2180 SHATTUCK AVE","Commercial","36644","2024 - Did Not Report",,,,,,"2023 - Insufficient Data",,,,,,"2022 - Complied",,"46.9","106.6","5149.14","352338.3","2021 - Complied",,"54.4","118.7","7014.94","378333","Large Building","7/1/2019","Complied","Paid","7/1/2024","Did Not Comply","Due",,,
"3140","YMCA","2001 ALLSTON WAY","2001 ALLSTON WAY","Commercial","110000","2024 - Complied",,"77.6","96.7","75725.95","281360.8","2023 - Complied",,"71.1","87.2","70395.39","230109.9","2022 - Complied",,"60.5","73.8","60180.41","187775.1","2021 - Complied",,"42.4","51.4","42401.83","125812.4","Large Building","7/1/2018","Complied","Paid","7/1/2026","Upcoming","Upcoming",,,
"3150","Mangalam Center","2018 ALLSTON WAY","2016 ALLSTON WAY; 2018 ALLSTON WAY","Commercial","26550","2024 - Complied","99","11.3","19.3","1893.5","32743.6","2023 - Complied","98","13","22.7","2085.71","40041.9","2022 - Complied","98","13.3","23","2146.18","40401.5","2021 - Complied","97","17.4","26.9","3318.69","38226.1","Large Building","7/1/2019","Deferred","Deferred","7/1/2024","Did Not Comply","Due",,,
"3160","Dharma College","2222 HAROLD WAY","2222 HAROLD WAY","Commercial","42098","2024 - Complied","100","6.4","12","1414.64","37383.7","2023 - Complied","100","5.8","12.2","947.75","43183.7","2022 - Complied","100","4.8","10","847.27","34908.3","2021 - Complied","100","8","14.2","1957.83","41015.9","Large Building","7/1/2019","Deferred","Deferred","7/1/2024","Deferred","Deferred","7/1/2029","Upcoming","Upcoming"
"3180","Hotel Shattuck Plaza","2086 ALLSTON WAY","2200-2240 Shattuck Ave","Commercial","150799","2024 - Complied",,"45.9","91.2","32239.71","1085104.2","2023 - Complied",,"48","94.9","33986.79","1124029.5","2022 - Complied",,"51.2","105.1","33009.58","1296339.7","2021 - Complied","90","38.4","83.7","20487.22","1096316.4","Large Building","7/1/2018","Deferred","Deferred","7/1/2023","Did Not Comply","Due",,,
"3220","Pasand Courtyard","2276 SHATTUCK AVE","2041 BANCROFT WAY; 2278 SHATTUCK AVE; 2284 SHATTUCK AVE; 2276 SHATTUCK AVE; 2286 SHATTUCK AVE","Commercial","16067","2024 - Complied","90","21.5","44.5","1442.01","59037.3","2023 - Complied","91","20.9","43.9","1342.1","59102.1","2022 - Did Not Report",,,,,,"2021 - Did Not Report",,,,,,"Large Building","7/1/2019","Complied","Paid","7/1/2024","Pending","Due",,,
"3230","K Street Flats - All Buildings","2022 KITTREDGE ST","2005 BANCROFT WAY; 2020 KITTREDGE ST; 2022 KITTREDGE ST","Multifamily (5+ Units)","159546","2024 - Complied","99","25.7","44.8","24753.97","475554.2","2023 - Complied","99","27.5","48.1","26216.32","515937","2022 - Did Not Report",,,,,,"2021 - Did Not Report",,,,,,"Large Building","7/1/2019","Deferred","Deferred","7/1/2024","Did Not Comply","Due",,,
"3240","2288 Fulton St. / Berkeley Lodge 270","2288 FULTON ST","2177 BANCROFT WAY; 2282 FULTON ST; 2284 FULTON ST; 2288 FULTON ST; 2195 BANCROFT WAY; 2181 BANCROFT WAY; 2280 FULTON ST; 2189 BANCROFT WAY; 2179 BANCROFT WAY; 2199 BANCROFT WAY","Commercial","47250","2024 - Complied","91","16.6","36.7","2682.72","151924.2","2023 - Complied","88","18.5","41.2","2841.11","172396.7","2022 - Complied","92","14.1","35.7","994.76","165423.6","2021 - Complied","91","15.6","36","2091.05","154873","Large Building","7/1/2019","Deferred","Deferred","7/1/2024","Deferred","Deferred","7/1/2029","Upcoming","Upcoming"
