Permit Number,Address,old_units,new_units,net_unit_change,permit_year
PLN2025-0058,2812 EIGHTH St,1.0,4.0,3.0,2025.0
PLN2025-0060,1716 SEVENTH St,0.0,2.0,2.0,2025.0
PLN2025-0061,2641 COLLEGE Ave,2.0,5.0,3.0,2025.0
PLN2025-0064,1515 DERBY St,2.0,4.0,2.0,2025.0
PLN2025-0065,1419 GRANT St,0.0,1.0,1.0,2025.0
PLN2025-0066,2455 TELEGRAPH Ave,0.0,68.0,68.0,2025.0
PLN2025-0068,1618 SIXTH St,0.0,4.0,4.0,2025.0
PLN2025-0073,1922 FRANCISCO St,0.0,2.0,2.0,2025.0
PLN2025-0075,1514 WALNUT St,2.0,5.0,3.0,2025.0
PLN2025-0081,1236 DWIGHT Way,1.0,3.0,2.0,2025.0
PLN2025-0083,2808 NINTH St,1.0,3.0,2.0,2025.0
PLN2025-0089,2812 EIGHTH St,1.0,4.0,3.0,2025.0
PLN2025-0091,1419 GRANT St,0.0,2.0,2.0,2025.0
PLN2025-0100,2330 DURANT Ave,0.0,68.0,68.0,2025.0
ZP2025-0014,1522 JOSEPHINE St,1.0,1.0,0.0,2025.0
ZP2025-0021,1420 FIFTH St,,1.0,1.0,2025.0
ZP2025-0068,3001 BENVENUE Ave,1.0,2.0,1.0,2025.0
ZP2025-0069,3101 SACRAMENTO St,0.0,3.0,3.0,2025.0
ZP2025-0079,1740 UNIVERSITY Ave,0.0,12.0,12.0,2025.0
ZP2025-0085,2200 FIFTH St,0.0,8.0,8.0,2025.0
ZP2025-0086,2705 BENVENUE Ave,2.0,1.0,-1.0,2025.0
ZP2025-0093,659 GRIZZLY PEAK Blvd,,1.0,1.0,2025.0
ZP2025-0095,1731 ADDISON St,0.0,1.0,1.0,2025.0
ZP2025-0101,2190 SHATTUCK Ave,0.0,36.0,36.0,2025.0
ZP2025-0105,2712 TELEGRAPH Ave,0.0,57.0,57.0,2025.0
ZP2025-0107,2001 CENTER St,0.0,58.0,58.0,2025.0
