GEOID20,pop,housing_units,ALAND20
060014213004007,69,32,21294
060014212001011,104,49,40139
060014212001006,52,31,21129
060014212001002,28,9,4252
060014213001003,98,40,28073
060014213002003,40,15,7461
060014213002004,69,37,15805
060014213002006,33,14,7290
060014213002017,72,30,15206
060014213002009,43,20,11187
060014213002007,31,18,9789
060014213001009,72,32,18434
060014213001001,44,19,12903
060014213001002,84,31,20062
060014213001000,32,18,18166
060014212003008,89,31,21963
060014213001014,71,24,14974
060014213001012,57,22,15115
060014213001015,84,39,23263
060014213002012,70,28,15778
060014212004003,30,11,6427
060014213001005,19,8,4521
060014215001000,33,14,22040
060014215001007,82,38,47865
060014216003001,0,0,15412
060014216003006,34,13,6698
060014215003023,27,13,7667
060014215003010,73,32,15859
060014215003009,52,22,17044
060014215003013,64,30,37847
060014215002020,33,19,17970
060014215002005,39,13,24281
060014215002021,38,13,10811
060014212002003,79,33,28883
060014215001002,42,11,15033
060014216001010,53,16,15129
060014220002002,122,0,25528
060014215003022,60,29,27180
060014216002006,77,32,30291
060019821001004,18,13,7871
060014238002015,16,4,2129
060014240014015,31,11,3721
060014240022003,44,14,6566
060014008001024,0,0,368
060014227001004,19,10,6167
060014212004001,136,54,40894
060014212001009,56,29,17855
060014211002023,41,18,11006
060014219004003,73,42,17510
060014223001006,64,32,15151
060014219002010,44,19,15309
060014224004002,74,36,18943
060014223003007,187,143,17588
060014235002012,133,88,24783
060014221001013,76,23,12801
060014220002052,0,0,19453
060014237001008,167,168,17586
060014223002008,81,42,19252
060014220002037,90,2,14142
060014222003008,0,0,1668
060014216002012,127,56,42745
060014212003005,98,37,30077
060014222003007,198,103,37907
060014237001001,1089,56,94864
060014236011011,135,69,19516
060014225002000,45,27,24174
060014218002008,78,34,18814
060014220002016,115,0,19545
060014220002010,0,0,1576
060014228001006,435,24,14092
060014237002017,29,15,9010
060014239012000,0,0,1563
060014219001010,113,60,27275
060014219002014,45,18,8042
060014229022007,185,129,17302
060014220001072,31,14,20095
060014220002036,0,0,15792
060014220002059,0,0,14553
060014221001017,78,129,12596
060014220001017,179,120,14053
060019821001008,0,0,1195
060019821001003,7,1,76498
060014235001015,0,0,1225
060014219002013,47,19,7826
060014219002005,70,33,15806
060014215001025,24,11,12042
060014216002003,36,16,14516
060014216002011,102,43,29649
060014233003012,50,23,11408
060014216004010,42,14,9114
060014225001011,136,89,13079
060014225003000,218,112,15644
060014216001001,166,72,51258
060014225002003,15,8,4260
060014228004003,690,257,20593
060014236021002,325,154,20201
060014227003001,464,138,21832
060014236022004,45,15,4122
060014236011002,109,61,55096
060014220001016,271,152,13491
060014220002067,0,0,1061
060014220002058,0,0,14986
060014239011029,24,15,9996
