GEOID20,pop,housing_units,ALAND20
060014234003006,162,61,18779
060014227001006,76,46,23548
060014240014014,20,5,5199
060014240022015,43,11,2062
060014240022013,49,22,5868
060014238001012,36,14,18776
060014219001008,84,33,16842
060014222001020,67,35,15130
060014219002012,42,21,9271
060014222001005,39,23,10455
060014219002007,76,39,14547
060014219002006,79,36,14707
060014235001017,55,15,5101
060014234002004,32,11,3369
060014230003016,77,34,7976
060014230002010,43,29,8528
060014230003007,56,18,7629
060014230002001,72,35,11067
060014230001007,55,21,8850
060014221002014,73,34,11503
060014224002006,39,31,6382
060014221001001,33,15,7122
060014223001001,86,36,12064
060014218002013,44,16,9802
060014216003010,47,26,8625
060014219001001,32,11,4771
060014218001000,45,16,11592
060014213004006,37,14,8178
060014215003015,50,24,11227
060014211002011,53,19,13536
060014211002016,67,25,18077
060014229022001,41,22,8530
060014225003004,118,35,20077
060014228001003,64,35,7037
060014239011004,11,3,2420
060014221002029,107,42,13291
060014221002025,104,48,14361
060014232001004,63,39,13398
060014232001010,147,61,15622
060014215002007,64,28,18015
060014215001001,33,14,10321
060014220001064,2,1,29393
060014212002018,0,0,1001
060014213003014,0,0,2783
060014237001003,0,0,6067
060014219004001,84,42,14514
060014238003019,127,69,11772
060014233001001,123,46,19570
060014217003000,215,108,19564
060014231002005,63,36,19124
060014221002033,0,0,1285
060014217001014,164,99,20056
060014222003001,107,22,30153
060014221001002,40,26,13038
060014221002009,121,58,18391
060014236011016,0,0,1102
060014235001000,116,53,13271
060014220001069,0,0,13171
060014220001043,33,20,9489
060014239011016,56,25,10761
060014239011005,74,42,11315
060014239011002,57,31,11482
060014235003010,37,14,6384
060014218002003,0,0,8386
060014218002023,21,15,8140
060014238002012,70,31,22043
060014225003013,0,0,9249
060014225002004,150,27,14043
060014225003010,444,141,16764
060014215001006,24,1,7443
060014215001005,0,0,2005
060014224004008,0,0,1102
060014230001002,57,15,9416
060014230001014,117,58,19941
060014230001016,36,7,19461
060014230003011,123,52,20389
060014234001007,116,53,19387
060014234001000,129,75,19042
060014229022003,183,112,21911
060014237001011,38,11,17213
060014220001025,43,21,20176
060014238003018,26,9,2309
060014221002017,87,62,9158
060019821001014,0,0,1313
060014223001010,15,6,3910
060014224004004,0,0,1340
060014234003003,0,0,18894
060014220001070,0,0,4039
060014218002022,0,0,3269
060014220001074,0,0,8815
060014234002007,24,11,2944
060014221002006,77,37,18131
060014220002006,0,0,21878
060014220002020,0,0,18315
060014225003001,135,78,13854
060014221002023,98,43,14823
060014228003000,19,5,8955
060014229022011,202,98,5181
060014222003004,167,91,28964
060014239012003,142,70,14053
060014234001003,142,87,19789
060014235003009,76,28,15821
060014215003004,40,15,15641
060014212002011,9,2,572
060014211002013,18,7,6397
060014211002006,10,3,3340
060014211002005,42,14,9494
060014211002002,22,6,6893
060014212001004,29,11,7939
060014212001001,40,10,6519
060014212001007,87,33,22343
060014213003012,11,3,1329
060014224002008,43,17,1525
060014215002018,26,11,8645
060014215002012,29,10,6567
060014215002011,25,7,4495
060014213004011,37,13,7455
060014225001002,30,13,6131
060014225001005,63,32,12953
060014225001008,102,57,9475
060014220001032,208,151,6988
060014240012005,0,0,1446
060014230003013,108,49,20081
060014217001008,0,0,1525
060014217003006,217,92,20029
060014223002002,135,67,19673
060014217001015,130,86,33262
060014217003003,0,0,2098
060014224004003,0,0,1230
060014231004006,113,41,18258
060014222002001,47,25,12767
060014233002004,0,0,1800
060014220001040,34,13,6332
060014233003015,0,0,1031
060014233003016,0,0,2031
060014233001009,97,43,19977
060014233002012,61,21,10547
060014233002011,58,21,10300
060014234004002,235,104,22949
060014240021008,122,55,19543
060014238003007,89,41,24176
060014237002013,28,10,12005
060014232002012,97,48,13860
060014227003000,287,46,16517
060014212003006,50,24,16597
060014219004013,95,39,15492
060014239011022,106,69,20884
060014234004003,332,167,22863
060014240021004,177,97,19542
060014236022002,0,0,4580
060014225003006,129,23,5548
060014229022005,67,53,6434
060014229022000,10,0,6691
060014238003012,157,95,42118
060014238002009,51,13,12448
060014238002005,46,22,18123
060014229012002,155,115,16919
060014235001006,138,78,21735
060014235001007,0,0,1236
060014232002013,131,47,18565
060014220002069,0,0,30170
060014233002002,101,36,16178
060014240021006,0,0,1970
060014234002005,18,1,1424
060014238003006,7,5,2558
060014228003003,0,0,16126
060014228004001,94,60,10506
060014228001001,180,120,20203
060014219002008,183,113,20184
060014214002010,63,30,19112
060019821001013,0,0,1340
060014212004005,124,50,31529
060014211002009,122,61,53124
060014212002021,67,30,22723
060014211002017,55,31,21198
060014220002009,0,0,20384
060014220002041,0,0,11632
060014218002018,79,27,14605
060014231002000,174,111,33332
060014230001011,88,60,6252
060014231003000,94,50,17455
060014227003002,0,0,2070
060014227001005,14,7,5280
060014239011024,13,2,1212
060014240014010,10,1,3383
060014239011027,0,0,10112
060014213002002,25,16,7377
060014221002022,64,25,14886
060014214002004,41,19,13364
060014240021000,118,40,10282
060014219004010,0,0,1739
060014219004009,22,11,7976
060014232001017,179,97,19781
060014231004008,85,37,14907
060014240021007,137,67,24807
060014238002001,64,51,34145
060014236012004,74,38,15146
060014239022000,0,0,1836
060014231003008,81,38,14709
060014221001006,99,24,12232
060014220002012,9,1,10435
060014219003009,56,18,10382
060014239011010,0,0,2665
060014229022012,69,39,15117
060014230001004,98,35,18872
060014231001013,188,100,29608
060014229021005,0,0,1595
060014233001003,117,58,18496
060014235001008,122,53,19700
060014220001076,0,0,7881
060014235003000,178,57,25285
060014231003006,126,53,19306
060014220002049,0,0,15497
060014229012001,95,51,4644
060019821001012,0,0,1473
060014223003015,20,1,2336
060014220001036,0,0,15619
060014217001002,56,18,8252
060014225002006,124,62,18441
060014237001000,57,26,67506
060014218001004,67,31,8387
060014218001005,83,32,7668
060014218001008,53,21,6325
060014223001000,58,31,7594
060014223002000,31,11,2171
060014218002009,21,8,4990
060014218002014,33,13,6476
060014223002005,62,24,6979
060014223003003,107,53,14169
060014216004007,89,65,13175
060014216003008,54,32,10232
060014216003004,49,23,17171
060014216003003,49,19,13615
060014236023009,98,33,13123
060014236023012,61,39,8277
060014235001016,48,23,15818
060014219001002,85,41,18063
060014219003000,118,61,15179
060014219004008,8,3,2710
060014227004001,195,100,9755
060014237003000,283,139,20273
060014227004002,235,111,9749
060014220002031,0,0,40078
060014237001005,159,86,19643
060014237001012,35,9,9634
060014235003015,133,64,14522
060014236012006,103,62,19138
060014239022001,0,0,22262
060014237002010,91,43,25812
060014239022016,25,6,1459
060014239021007,26,8,3286
060014222001009,41,18,10095
060014219002000,130,67,20608
060014219002002,50,25,14032
060014222001011,64,22,11358
060014218002015,45,21,12846
060014218001011,95,48,19890
060014222003014,14,6,1862
060014222002003,77,75,12462
060014222002012,0,0,2355
060014231003005,119,47,18317
060014211002020,10,8,22595
060014211002022,16,6,2153
060014215002009,61,30,31551
060014214001002,156,58,40190
060014214001005,46,23,19897
060014214001011,80,36,22857
060014214001001,66,22,14622
060014215002017,102,50,33552
060014215002013,20,8,4434
060014214001009,132,56,30213
060014215003016,63,27,17177
060014220002033,12,1,22201
060014220001007,0,0,6110
060014220001008,59,0,101748
060014212001000,83,37,49980
060014211002000,63,24,14678
060014211001002,89,43,40476
060014211002003,104,47,31055
060014211002004,29,3,2409
060014211002008,102,49,44328
060014211002007,63,27,23563
060014211001003,119,60,43565
060014211001005,54,21,34150
060014212003000,84,31,51716
060014212003013,79,21,14584
060014212002012,82,40,33366
060014212002008,19,4,27457
060014212003003,14,3,4802
060014212002020,0,0,13934
060014212002019,114,50,46441
060014214002000,91,33,22123
060014213003005,71,24,18181
060014214002002,0,0,3399
060014213003004,83,38,29908
060014214002001,59,25,23396
060014212002017,36,15,10275
060014214001008,28,6,5547
060014212002022,48,19,11731
060014214001006,64,27,20039
060014214002007,86,35,24586
060014214002008,70,30,21246
060014212002000,34,22,17568
060014212002004,97,42,36334
060014212002005,116,49,38193
060014211002015,44,9,10754
060014214001003,130,52,33635
060014215002008,38,13,9894
060014214001000,32,15,10168
060014231001004,0,0,22320
060014217002005,0,0,3276
060014233003009,87,45,17212
060014220001006,0,0,9833
060014219004015,46,25,15625
060014232001006,16,3,12839
060014217001004,0,0,2261
060014222002009,86,50,16031
060014216004009,33,11,20011
060014236023003,235,95,21453
060014220002007,21,3,17564
060014215003006,89,42,23591
060014216001004,115,57,50238
060014236023001,272,140,23257
060014232001008,75,30,16134
060014232001016,60,25,11894
060014232002016,0,0,4121
060014220001052,39,1,17342
060014219001012,26,5,4036
060014221002008,17,3,1616
060014220001019,14,5,15468
060014221002012,0,0,1610
060014232001011,0,0,1259
060014211001006,81,40,46236
060014215001014,79,36,30766
060014215003020,33,14,12545
060014220002062,24,13,20226
060014221001024,28,12,7101
060014219004014,97,35,15443
060014221001018,0,0,1027
060014219002017,0,0,1689
060014238002010,197,78,85336
060014237002002,0,0,1588
060014238001005,47,23,16230
060014229023003,26,1,10914
060014229012007,321,158,15260
060014234002000,137,51,17126
060014229012004,0,0,1344
060014233001000,96,33,18052
060014230003014,97,49,21433
060014218001012,84,38,19397
060014218001003,59,24,11397
060014218001010,74,47,20194
060014223002010,126,59,19884
060014224003004,192,93,20894
060014217001013,0,0,2722
060014217001001,79,28,21569
060014217003001,173,97,20331
060014224003006,16,2,20111
060014224004001,255,159,20564
060014236011012,78,50,20685
060014239021006,73,27,9912
060014237002019,0,0,9707
060014220001002,0,0,62408
060014220002022,6,4,20740
060014220002056,20,12,12753
060014214002005,77,36,25275
060014216003002,36,11,5961
060014216004000,71,36,26421
060019821001006,3,1,265737
060019821001007,0,0,241851
060019821001015,0,0,224296
060014216003000,71,21,17630
060014215001003,99,40,77472
060014239011018,17,11,3469
060014216001009,72,31,23200
060014237001007,153,60,30989
060014240014005,69,35,9089
060014240014011,155,77,20067
060014240014017,100,36,10537
060014219004000,25,8,6337
060014212002010,0,0,2495
060014222001002,71,32,23465
060014236023013,38,18,7875
060014218001007,81,33,13233
060014220001066,0,0,5782
060014240021002,127,50,18910
060014238001007,105,50,54957
060014229022004,4,0,4047
060014224002002,49,26,10129
060014217002003,0,0,2156
060014223003006,0,0,1313
060014239022014,52,34,11367
060014218002002,0,0,2069
060014216004006,161,27,7010
060014228002005,13,2,12229
060014220001029,34,14,20213
060014220001021,49,19,20356
060014221001012,0,0,1059
060014215002003,54,21,13345
060014220002055,28,10,12097
060014220002051,25,8,13461
060014212002023,38,19,12616
060014213001008,91,39,22343
060014212002013,95,41,27235
060014212002009,0,0,2168
060014219001006,39,10,6214
060014212003004,0,0,3202
060014216003009,95,45,12083
060014234002003,70,33,15073
060014221002019,57,29,6228
060014212004000,124,52,38303
060014211002001,57,21,18821
060014211002010,155,63,43010
060014213003003,38,14,12555
060014214002003,117,48,34989
060014214002009,50,21,16676
060014211002021,72,25,16296
060014236012000,85,32,16801
060014239021002,41,27,9939
060014223002003,100,43,20378
060014231001009,125,51,18427
060014222001016,56,22,10762
060014231002002,105,41,18702
060014232002007,71,36,11081
060014231003003,88,44,21989
060014236023005,183,60,12464
060014227003004,248,99,2788
060014228001010,15,2,6766
060014236021006,52,16,7494
060014227004000,620,207,21852
060014219003001,49,18,13347
060014219001011,75,30,17129
060014215002002,30,13,10096
060014215002001,43,31,22031
060014215001015,112,50,46283
060014215002023,82,38,27174
060014216003012,38,16,12525
060014215001010,16,7,6770
060014221002003,0,0,1561
060014219003003,206,111,46962
060014222003002,0,0,1213
060014220002050,57,0,23545
060014212003007,78,34,20940
060014213004001,73,34,26884
060014213002018,53,33,7267
060014213001007,12,1,1967
060014213002008,72,27,15746
060014214001004,89,37,21116
060014214001010,157,65,41306
060014215002014,81,32,24951
060014217001000,98,42,22671
060014212003009,71,26,15588
060014213001018,41,20,11332
060014213003002,53,27,20103
060014219004007,70,29,16367
