address,permit_number,units,what_is_missing,accela_search_term,priority,completeness_score
40 HILL Rd,ZP2020-0006,1.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2020-0006,Low,35
0 LE ROY Ave,PLN2024-0024,1.0,"building_permits, processing_status",PLN2024-0024,Low,45
2328 GRANT St,PLN2024-0062,1.0,"zoning_events, building_permits, processing_status, fees, attachments",PLN2024-0062,Low,35
1939 MARIN Ave,PLN2024-0061,1.0,"zoning_events, building_permits, processing_status, fees, attachments",PLN2024-0061,Low,35
1731 ADDISON St,ZP2025-0095,1.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0095,Low,35
1420 FIFTH St,ZP2025-0021,1.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0021,Low,35
1139 KEELER Ave,ZP2022-0172,1.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2022-0172,Low,35
1111 ALLSTON Way,PLN2025-0013,1.0,"zoning_events, building_permits, processing_status, fees, attachments",PLN2025-0013,Low,35
659 GRIZZLY PEAK Blvd,ZP2025-0093,1.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0093,Low,35
1621 SACRAMENTO St,ZP2025-0112,1.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0112,Low,35
1522 JOSEPHINE St,ZP2025-0014,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0014,Low,35
1136 KEITH Ave,PLN2024-0047,0.0,"zoning_events, building_permits, processing_status, fees, attachments",PLN2024-0047,Low,35
1730 PARKER St,ZP2022-0063,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2022-0063,Low,35
2740 SHASTA Rd,ZP2022-0091,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2022-0091,Low,35
1109 COWPER St,ZP2022-0154,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2022-0154,Low,35
705 ARLINGTON Ave,ZP2023-0008,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2023-0008,Low,35
2027 SEVENTH St,ZP2023-0155,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2023-0155,Low,35
576 SAN LUIS Rd,ZP2024-0053,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2024-0053,Low,35
2009 ADDISON St,ZP2024-0111,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2024-0111,Low,35
1312 ADDISON St,ZP2024-0125,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2024-0125,Low,35
2903 ADELINE St,ZP2025-0006,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0006,Low,35
2099 M L KING JR Way,ZP2025-0024,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0024,Low,35
1507 JOSEPHINE St,ZP2025-0025,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0025,Low,35
1338 SEVENTH St,ZP2025-0037,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0037,Low,35
2238 SEVENTH St,ZP2025-0057,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0057,Low,35
703 SANTA BARBARA Rd,ZP2025-0058,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0058,Low,35
385 VERMONT Ave,ZP2025-0060,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0060,Low,35
1246 ROSE St,ZP2025-0076,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0076,Low,35
1512 CHANNING Way,ZP2025-0077,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0077,Low,35
1475 CATHERINE Dr,ZP2025-0082,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0082,Low,35
1187 SHATTUCK Ave,ZP2025-0088,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0088,Low,35
2016 DELAWARE St A,ZP2025-0090,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0090,Low,35
1123 BLAKE St,ZP2025-0091,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0091,Low,35
830 BANCROFT Way,ZP2025-0096,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0096,Low,35
2740 SHASTA Rd,ZP2025-0100,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0100,Low,35
2143 BLAKE St,ZP2025-0106,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0106,Low,35
411 VASSAR Ave,ZP2025-0109,0.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0109,Low,35
2150 Kittredge St,B2021-00008,0,"zoning_events, building_permits, processing_status, fees, attachments",B2021-00008,Low,35
1951 Shattuck Ave,B2021-04893,0,"zoning_events, building_permits, processing_status, fees, attachments",B2021-04893,Low,35
2000 University Ave,B2022-01111,0,"zoning_events, building_permits, processing_status, fees, attachments",B2022-01111,Low,35
2099 MLK Jr Way,B2021-03950,0,"zoning_events, building_permits, processing_status, fees, attachments",B2021-03950,Low,35
2705 BENVENUE Ave,ZP2025-0086,-1.0,"zoning_events, building_permits, processing_status, fees, attachments",ZP2025-0086,Low,35
