GEOID20,pop,housing_units,ALAND20,acres,dua,ppa,corridor,adu_adds
060014240022012,81,31,5984,1.4786786026995173,20.964663952941176,54.77863807058824,,0
060014220002000,0,0,6964,1.7208418765373394,0.0,0.0,,0
060014220002013,0,0,9826,2.4280574782963664,0.0,0.0,,0
060014221001000,31,15,6227,1.5387252103960385,9.748329265456881,20.14654714861089,,0
060014221001015,18,4,6110,1.5098138807643802,2.6493331734206222,11.9219992803928,,0
060014221001016,15,5,9945,2.457463018690959,2.034618613574661,6.103855840723982,,0
060014221002000,24,16,7715,1.9064180180191805,8.392702885081011,12.589054327621517,,0
060014221002015,28,14,8452,2.0885346841604813,6.70326430591576,13.40652861183152,,0
060014221002016,18,6,5441,1.3445003805628466,4.462624248189671,13.387872744569014,,0
060014232001014,22,1,7218,1.7836066434299993,0.5606617376558604,12.334558228428929,,0
060014232001015,28,10,8612,2.128071545195228,4.699090132837901,13.157452371946121,,0
060014232002000,15,1,8860,2.1893536797990847,0.45675580388261855,6.851337058239278,,0
060014232002006,15,1,9188,2.2704042449203152,0.44045019834566823,6.606752975185024,,0
060014220001031,0,0,14548,3.594889089584321,0.0,0.0,,0
060014220001038,11,5,7211,1.7818769057597292,2.8060299697684092,6.173265933490501,,0
060014220001039,59,33,3975,0.9822438913319822,33.59654388407547,60.06654815637736,,0
060014220001057,18,7,9400,2.322790585791354,3.013616484765958,7.7492995322553195,,0
060014220001063,16,4,3016,0.7452698305049706,5.367183584084881,21.468734336339523,,0
060014230001008,55,29,9849,2.4337409020701113,11.915812392080415,22.598954536704234,,1
060014230003003,31,9,4486,1.1085147412617036,8.118971868390549,27.965347546678558,,0
060014230003008,65,22,9388,2.3198253212137483,9.483472655815936,28.01935102854708,,1
060014225001000,21,5,8602,2.125600491380556,2.3522764603580564,9.879561133503836,,0
060014235002000,81,36,14534,3.591429614243781,10.023863437897345,22.553692735269024,,1
060014235003012,0,0,1409,0.34817148248723595,0.0,0.0,,0
060014239011003,23,9,2401,0.593300020902664,15.169391004414827,38.76622145572678,,0
060014239011015,15,4,3210,0.7932082745096007,5.0428117413084115,18.910544029906543,,0
060014239011021,0,0,1517,0.3748588636856898,0.0,0.0,,0
060014238003017,148,91,24242,5.990328657527022,15.191153140763964,24.70649082234139,College–Elmwood,3
060014236022005,268,143,14491,3.5808040828406926,39.93516447472224,74.84352502954938,Telegraph,1
060014238003005,0,0,2420,0.5979950231505401,0.0,0.0,,0
060014225003003,45,28,7098,1.7539539976539396,15.96393066035503,25.65631713271344,,0
060014232002008,101,47,19375,4.787666765926328,9.816890418209033,21.09587089870452,,2
060014240021005,145,98,4281,1.0578581380609349,92.64002088185003,137.0694186517169,,0
060014240022010,42,24,7855,1.9410127714245837,12.364679075442394,21.63818838202419,,3
060014235002002,0,0,1549,0.3827662358926391,0.0,0.0,,0
060014238001006,0,0,1300,0.3212369959073149,0.0,0.0,,0
060014237002016,0,0,1687,0.4168667785351079,0.0,0.0,,0
060014223001013,93,41,17531,4.3320044425008755,9.46444089432434,21.468122028589356,,3
060014222002013,27,0,2340,0.5782265926331669,0.0,46.69449718153846,,0
060014220001068,0,0,5634,1.3921917191860096,0.0,0.0,,0
060014220001034,0,0,16459,4.067107473568075,0.0,0.0,,0
060014239011009,4,2,29611,7.317037450624233,0.27333466768430653,0.5466693353686131,,0
060014220001059,0,0,2329,0.5755084334370281,0.0,0.0,,0
060014233003006,40,16,11565,2.857773736667767,5.598763749105059,13.996909372762646,,0
060014234003013,142,49,18904,4.671280131255293,10.48962995649598,30.39851946576386,,0
060014224002005,39,12,4174,1.031417862243948,11.634469829611884,37.812026946238625,,0
060014230003004,128,87,11058,2.7324913082639144,31.839076573412914,46.84369886663049,,0
060014215003003,34,18,9704,2.3979106217573722,7.50653499620775,14.179010548392418,,1
060014223003004,26,8,3332,0.8233551310485949,9.716341950540215,31.578111339255702,,0
060014233001013,98,39,17072,4.218583072407447,9.244810243298968,23.230548816494846,,3
060014220002024,0,0,18916,4.6742453958329,0.0,0.0,,0
060014240014001,35,10,9865,2.437694588173586,4.102236616725799,14.357828158540295,,0
060014234001006,101,36,18424,4.552669548151054,7.907448502301346,22.184786075901,,5
060014221002002,96,40,19479,4.8133657255989135,8.310193382411828,19.94446411778839,,2
060014216001007,78,37,40526,10.014192689338342,3.694756147381928,7.788945391778118,,3
060014213003011,0,0,1584,0.3914149242439899,0.0,0.0,,0
060014223002006,21,7,3322,0.8208840772339232,8.527391618543048,25.58217485562914,,1
060014213004009,44,19,13298,3.2860073627503645,5.782092948232817,13.390109985381262,,1
060014229011000,213,127,15387,3.8022105046352728,33.40162251542211,56.020044061298506,,0
060014232001012,127,39,16114,3.981856116961902,9.794427235546731,31.894673305498326,,1
060014223003009,220,95,18648,4.608021153599699,20.616224803088805,47.742836386100386,University,0
060014224001004,0,0,1129,0.2789819756764297,0.0,0.0,,0
060014222001003,0,0,1086,0.26835644427334154,0.0,0.0,,0
060014223003014,0,0,1374,0.33952279413588515,0.0,0.0,,0
060019821001011,0,0,13201,3.2620381407480497,0.0,0.0,,0
060014229012006,8,0,6053,1.4957288740207517,0.0,5.348562924037668,,0
060014229022010,172,94,10448,2.5817570255689435,36.40931314180705,66.6212963871363,,1
060014233002005,66,33,13980,3.4545332329109715,9.552665374763949,19.105330749527898,,0
060014220001062,10,1,31447,7.770722930997948,0.12868815538525138,1.2868815538525138,,0
060014221002026,65,37,12933,3.1958138985148494,11.57764537453027,20.339106739039664,,2
060014220002054,46,15,12180,3.009743546270074,4.983813328078818,15.283694206108374,,0
060014224002000,264,149,21037,5.198355909924757,28.662908539126303,50.785287612948615,,0
060014213003008,108,46,27677,6.839135642866735,6.725996149524876,15.791469220623624,,4
060014231001015,49,12,10872,2.6865297073110215,4.466728943046358,18.239143184105963,,0
060014235003013,82,43,13002,3.2128641698360836,13.383696828426396,25.522398603045687,,1
060014215003018,13,11,9284,2.294126361541163,4.794853581042654,5.666645141232228,,0
060014238003001,0,0,1051,0.25970775592199075,0.0,0.0,,0
060014234003014,0,0,1325,0.32741463044399405,0.0,0.0,,0
060014211001004,111,45,41712,10.3072596717584,4.365854886075949,10.769108718987342,,1
060014234002002,122,54,19563,4.834122577642155,11.170589725992947,25.237258269835916,,1
060014234002001,95,56,19913,4.920609461155664,11.38070404531713,19.306551505448702,,0
060014234002010,90,35,19602,4.843759687519375,7.225792,18.580607999999998,,0
060014234003001,154,75,20026,4.948532369261453,15.156008772595627,31.12033801306302,,0
060014234003007,123,51,19597,4.842524160612039,10.531697583426034,25.399976524733376,,1
060014234003012,119,38,19919,4.9220920934444665,7.72029439485918,24.176711394427432,,0
060014234003008,155,56,20266,5.007837660813573,11.182471116865687,30.95148255561038,,1
060014234002011,98,52,15773,3.8975931818815988,13.34156685252013,25.14372214513409,,0
060014234003011,144,69,20127,4.973490012789637,13.873557566731256,28.953511443613056,,0
