id,name,rows,columns,csv_url,json_url
rwnf-bu3w,Business Licenses,5,19,https://data.cityofberkeley.info/resource/rwnf-bu3w.csv,https://data.cityofberkeley.info/resource/rwnf-bu3w.json
k2nh-s5h5,Berkeley PD - Calls for Service,5,18,https://data.cityofberkeley.info/resource/k2nh-s5h5.csv,https://data.cityofberkeley.info/resource/k2nh-s5h5.json
