id,address_display,apn,owner,net_units,new_units,old_units,year,permits,description,status,num_permits,project_size_category,slug,address_norm,latitude,longitude,unit_category,tenure,sb35_flag,sb330_flag,ab2011_flag,density_bonus,density_bonus_pct,vli_units_extracted,height_stories,height_feet,app_filed_date,app_complete_date,entitled_date,total_processing_days,accela_status,accela_status_date,bp_issued_date,co_date,construction_start_date,estimated_completion_date,construction_status,app_packet_size_mb
46,1745 CEDAR St,059 227501600,,6.0,6.0,0.0,2025.0,PLN2025-0040,"The project is the construction of a new 3-story (35'-0""), 6-unit housing development with 8,976 sf of
new residential use and 6 parking spots. Project includes removal of an existing non-landmarked
commercial structure and surface parking.",Under Review,1.0,Medium (6-20),1745-cedar-st,1745 CEDAR ST,37.877760424522904,-122.27612903096824,5+,Renter,False,False,False,False,,0.0,3.0,,,,,,,,,,,,,0.0
47,1850 BERRYMAN St,60-2447-36,,6.0,6.0,0.0,2025.0,"ZP2023-0063, PLN2025-0050, PLN2025-0052","Preliminary application for the construction of a new 3-story residential development with 7,272 sf of new residential use, 6 dwelling units and ground level parking, in compliance with state of California SB-684 - Subdivision Homeownership project.",Incomplete Pending Applicant,3.0,Medium (6-20),1850-berryman-st,1850 BERRYMAN ST,37.883008,-122.274763,5+,Owner,False,False,False,False,,0.0,3.0,,,,,,,,,,,,,0.0
48,2317 CHANNING Way,055 188400600,,5.0,22.0,17.0,2024.0,PLN2024-0018,"The proposed project is a modification to approved UPPH - ZP2020-0090.  The modification includes raising the building out of the ground, increasing the max building height from 45' to 50', increasing the gross square footage from 15,695 sf to 17,033 sf, and increasing the unit count from 17 to 22 units to meet the new R-SMU requirements for minimum unit count.",Under Review,1.0,Small (1-5),2317-channing-way,2317 CHANNING WAY,37.866685538738,-122.26258050690248,5+,Renter,False,False,False,False,,0.0,,50.0,2024-03-29,2024-04-18,,,"Due 10/23/2024, assigned to Katrina Lapira  Marked as Resubmittal - Pending Staff Review on 09/24/2024 by Katrina Lapira: Pending Final Action",2024-09-30,,,,,,0.0
49,1618 SIXTH St,057 211700402,,4.0,4.0,0.0,2025.0,PLN2025-0068,"The project proposes the construction of (2) Type V-B, fully-sprinklered, (3) story, single family homes on the front of a 50’X130’ lot in the MU-R district and (2) Type V-B, fully sprinklered, (2) story, single-family homes within an existing warehouse footprint on the rear of the lot. The resultant project will be (4) new single family homes.",Under Review,1.0,Small (1-5),1618-sixth-st,1618 SIXTH ST,37.8733361034196,-122.2997586207306,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
50,2420 ASHBY Ave,052 157307802,,4.0,4.0,0.0,2024.0,ZP2024-0147,"Use Permit to convert a nonconforming medical office use to a multifamily residential use by reconfiguring interior space to create 4 dwelling units, establish 5 off street parking spaces, and create new window openings within a nonconforming side setback on a site located within the Environmental Management Area",Under Review,1.0,Small (1-5),2420-ashby-ave,2420 ASHBY AVE,37.85598198929716,-122.25863499029197,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
51,2942 COLLEGE Ave,052 156800900,,4.0,4.0,0.0,2021.0,ZP2021-0072,"demolish and existing non-residential building and construct a new two-story mixed-use development containing 1,296 sq.ft. of ground floor commercial space and 3,278 sq.ft. of residential space, including four dwelling units, in two seperate buildings.",In Review,1.0,Small (1-5),2942-college-ave,2942 COLLEGE AVE,37.857443359739634,-122.25346690790224,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
52,2437 WARRING St,055 186501401,,4.0,4.0,0.0,2025.0,PLN2025-0031,"Pre-application request for an interdepartmental meeting to discuss a proposed addition of square footage, stories and units to a multi-family building with an additional 2 stories using variances.",Under Review,1.0,Small (1-5),2437-warring-st,2437 WARRING ST,37.86659549787281,-122.2502747589132,2-4,Owner,False,False,False,False,,0.0,2.0,,,,,,,,,,,,,0.0
53,2641 COLLEGE Ave,055 184801800,,3.0,5.0,2.0,2025.0,PLN2025-0061,"Demolish the existing garage in the rear of the lot and utilize SB 684/SB 1123 to subdivide the existing 5,400 square-feet R2A lot (APN# 055 184801800) into one 2,994 square-feet lot in the front with an existing duplex building, and one new 2,406 square-feet lot in the rear and construct a new 3,310 square feet, three-story (39 feet) residential building including three units.",Under Review,1.0,Small (1-5),2641-college-ave,2641 COLLEGE AVE,37.86248777798028,-122.2532388705674,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
54,2205 BLAKE St,055 183001400,,3.0,3.0,0.0,2024.0,PLN2024-0001,"Pre-application meeting for a proposal of a new 3-story duplex and new 371 sq ft residential unit at the rear of the sit at 2201/2205 Blake Street.  The existing property contains two landmarked Victorian homes.  Owner intends to subdivide the lot into two parcels, and wants to discuss methodology for lot split.",Under Review,1.0,Small (1-5),2205-blake-st,2205 BLAKE ST,37.86364315221662,-122.264826999392,2-4,Owner,False,False,False,False,,0.0,3.0,,,,,,,,,,,,,0.0
55,2221 FIFTH St,056 196301503,,3.0,3.0,0.0,2022.0,ZP2022-0106,"To establish three detached dwelling units, totaling 6,790 square feet, on 5,640 square foot vacant lot.",In Review,1.0,Small (1-5),2221-fifth-st,2221 FIFTH ST,37.864346138994605,-122.29734734038708,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
56,1650 FIFTH St,057 211602200,,3.0,4.0,1.0,2025.0,PLN2025-0041,"SB 684 pre-application to determine eligibility to subdivide an existing lot into four lots and construct three detached single-family houses and renovate an existing 1,618 single-family residence in the MU-R zoning district.",Under Review,1.0,Small (1-5),1650-fifth-st,1650 FIFTH ST,37.87224667983113,-122.30062613188532,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
57,3101 SACRAMENTO St,052 154201700,,3.0,3.0,0.0,2025.0,ZP2025-0069,"Create a first-floor building shell for a future tenant. Remove (e) partial second floor framing (1st floor ceiling frame), fire-damaged framing, and replace in-kind. Remove all interior partitions, doors, electrical components, and plumbing. Install (n) accessible all gender toilets. Accessible upgrade exterior stairs to the 2nd floor. Infill exterior CMU opening. Replace two entries in the storefront system. Extend the scope of work to the second floor - create three living space units. Propose 3 living units on second floor with MEP. Change of use - occupancy: First floor - original M-mercantile (no documents) to B-Business. Second floor - original business (no documents) to R-2 (3 units). Install a 2nd exit, 1-hr rated stairwell (104 sq. ft.) on the south side of the building, per Table 1006.3.4(2).",Corrections Pending Applicant,1.0,Small (1-5),3101-sacramento-st,3101 SACRAMENTO ST,37.85135359536251,-122.2782664913384,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
58,1449 CORNELL Ave,060 239205100,,3.0,3.0,0.0,2025.0,PLN2025-0046,"The proposed project is to demolish an existing church building and drive aisle and utilizing SB684, subdivide the 8,147 square-foot lots (total for APN#60-2392-50 & APN#60-2392-51) into three separate lots (2,740, 2,667, 2,740 sq. ft.) and construct one new,1,865 sq. ft. (1,750 net habitable sq. ft.), 2-story, single-family dwelling on each lot. Each unit will include 4 bedrooms and 3 bathrooms, one off-street parking space and 763-813 sq. ft. of usable open space",Under Review,1.0,Small (1-5),1449-cornell-ave,1449 CORNELL AVE,37.87758018681299,-122.29188859371416,2-4,Owner,False,False,False,False,,0.0,2.0,60.0,,,,,,,,,,,,0.0
59,1514 WALNUT St,059 226000500,,3.0,5.0,2.0,2025.0,PLN2025-0075,"Proposed subdivision of existing 4,770 SF R2A lot into one 2,600 SF lot, which contains an
existing duplex building. Propose new three story three unit residential building on new
2,170 SF subdivided lot utilizing SB 684/SB 1123. Gross area of the new building is
3,292SF.",Under Review,1.0,Small (1-5),1514-walnut-st,1514 WALNUT ST,37.87969317878099,-122.2684464140796,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
60,1464 SIXTH St,059 232601100,,3.0,6.0,3.0,2025.0,"PLN2025-0017, PLN2025-0037","SB 35 Preliminary Development Application to add three dwelling units to the second floor of an existing mixed-use residential building, and make all six dwellings permanently affordable.",Under Review,2.0,Small (1-5),1464-sixth-st,1464 SIXTH ST,37.87534021260611,-122.30040498822191,2-4,Owner,True,False,False,False,,0.0,,,,,,,,,,,,,,0.0
61,2812 EIGHTH St,053 165800503,,3.0,4.0,1.0,2025.0,"PLN2025-0058, PLN2025-0089","Demolish unoccupied single-family residence and a garden shed and construct 4 residential units in 3 separate buildings, each 3 stories. There is a total square footage of 8,172sf, including the garages, in all 4 units. The height of the buildings are 35’ at the peak of the pitched roofs. Each unit has a dedicated open space on the ground floor exceeding the zoning requirement.",Under Review,2.0,Small (1-5),2812-eighth-st,2812 EIGHTH ST,37.854976338255966,-122.29152998984598,2-4,Owner,False,False,False,False,,0.0,3.0,,,,,,,,,,,,,0.0
62,2201 BLAKE St,055 183001400,,3.0,7.0,4.0,2024.0,PLN2024-0013,"SB 330 Pre-App which includes a project scope of: (1)the construction of three units for a total of seven units on a landmarked lot -- Construction of a three story - 3,551 SF duplex, relocation of an existing 371 SF accessory building and conversion to one residential unit; and retaining of four existing residential units in two landmarked buildings; and (2) three new proposed parking spaces (2 car garage and one surface space)",Approved,1.0,Small (1-5),2201-blake-st,2201 BLAKE ST,37.86364315221662,-122.264826999392,2-4,Owner,False,True,False,False,,0.0,,,,,,,,,,,,,,0.0
63,1716 SEVENTH St,058 211900900,,2.0,2.0,0.0,2025.0,PLN2025-0060,SB 684 Eligibility Review: Create two-lot subdivsion and two-unit housing development,Under Review,1.0,Small (1-5),1716-seventh-st,1716 SEVENTH ST,37.87183254077922,-122.2981143120952,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
64,1515 DERBY St,054 180201400,,2.0,4.0,2.0,2025.0,PLN2025-0064,SB 684 pre-application to determine eligibility for 2 new single family homes on separate fee simple lots. Existing single family home and ADU will remain at front of existing lot.,Under Review,1.0,Small (1-5),1515-derby-st,1515 DERBY ST,37.85906158251609,-122.2795147651044,ADU,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
65,1922 FRANCISCO St,058 216902900,,2.0,2.0,0.0,2025.0,PLN2025-0073,"Storage building removed, two new 1,653s.f. 3-story units with SB684 Lot Split, so each new house will be on separate lot and existing house will be on its own lot. No new parking proposed. Max height 31'-2"", Max Avg Height 28'.",Under Review,1.0,Small (1-5),1922-francisco-st,1922 FRANCISCO ST,37.874979870264376,-122.27222721380303,2-4,Owner,False,False,False,False,,0.0,3.0,,,,,,,,,,,,,0.0
66,2204 DWIGHT Way,055 183001600,,2.0,2.0,0.0,2024.0,ZP2024-0059,SB330. Demolish existing 1-story (4-car) garage and construct a new 3-story residential duplex.,Pending Final Action,1.0,Small (1-5),2204-dwight-way,2204 DWIGHT WAY,37.864014244633104,-122.26486524336856,2-4,Owner,False,True,False,False,,0.0,,,2024-06-06,2024-06-06,,,Stage: CEQA Determination: Categorically Exempt,2026-02-27,,,,,,0.0
67,1419 GRANT St,059 227303000,,2.0,2.0,0.0,2025.0,"PLN2025-0065, PLN2025-0091","Utilizing Senate Bills SB 330 and SB 684, this project proposes to subdivide an existing 5,389-square-foot R-2 zoned lot into: 

1)  A 3,249-square-foot front lot containing an existing 3,483 square-foot, two-story (X- feet tall) single-family dwelling; and

2) A 2,140-square-foot rear lot containing a new 1,655-square-foot (GFA), two-story single-family dwelling (23 feet to T.O shed roof)",Pending,2.0,Small (1-5),1419-grant-st,1419 GRANT ST,37.88042822672098,-122.27593470111776,2-4,Owner,False,True,False,False,,0.0,,,,,,,,,,,,,,0.0
68,1236 DWIGHT Way,054 178202900,,2.0,3.0,1.0,2025.0,PLN2025-0081,"Demolish existing single-family home, subdivide the existing single-family lot into three parcels, and develop three new single-family homes.",Pending,1.0,Small (1-5),1236-dwight-way,1236 DWIGHT WAY,37.861371781292114,-122.2857268632291,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
69,2808 NINTH St,053 165900900,,2.0,3.0,1.0,2025.0,PLN2025-0083,"Middle Housing project to demolish an inhabitable single-family home and construct a two-story duplex with a detached two-story garage with a living unit, for a total of three living units.",Under Review,1.0,Small (1-5),2808-ninth-st,2808 NINTH ST,37.85528776387431,-122.29048156428124,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
70,3001 BENVENUE Ave,052 156200100,,1.0,2.0,1.0,2025.0,ZP2025-0068,"Administrative Use Permit #ZP2025-0068 to raise an existing approximate 1,860 square-foot, 18 feet, 10 inches in average height, two-story residential dwelling to approximately 21 feet, 4 inches in height resulting in a three-story, single-family dwelling with a basement converted 700 square foot accessory dwelling unit.",Pending Final Action,1.0,Small (1-5),3001-benvenue-ave,3001 BENVENUE AVE,37.85584052170821,-122.25370441887011,ADU,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
71,40 HILL Rd,063 316100200,,1.0,1.0,0.0,2020.0,ZP2020-0006,New Single Family Dwelling on new parcel at 36 Hill Road,Incomplete Pending Applicant,1.0,Small (1-5),40-hill-rd,40 HILL RD,37.88932954629859,-122.25132555603028,SFD,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
72,5 W PARNASSUS Ct,058 224204829,,1.0,1.0,,2025.0,PLN2025-0048,Zoning Research Letter: Remove the prior ADU deed restriction with incorrect building permit and replace with current deed restriction. NOL RESCISSION. Related to B2025-01579.,Under Review,1.0,Small (1-5),5-w-parnassus-ct,5 W PARNASSUS CT,37.88108918027722,-122.25404589545909,ADU,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
73,0 LE ROY Ave,,,1.0,1.0,0.0,2024.0,PLN2024-0024,SB 9 Preliminary Eligibility Determination to construct a three-story single family residence with an attached 2 car garage.,Under Review,1.0,Small (1-5),0-le-roy-ave,0 LE ROY AVE,37.8785,-122.265,SFD,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
74,2328 GRANT St,055 190501200,,1.0,1.0,0.0,2024.0,PLN2024-0062,"Payment of the City Arborist fees for the Building Permit B2024-01452 to install an 800 SF, HUD-Approved Manufactured Accessory Dwelling Unit (ADU) on a permanent foundation.",Under Review,1.0,Small (1-5),2328-grant-st,2328 GRANT ST,37.86581937973142,-122.27502629326142,ADU,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
75,1939 MARIN Ave,061 257401300,,1.0,1.0,0.0,2024.0,PLN2024-0061,Payment of the City Arborist fees for the Building Permit B2024-02225 to add new detached Accessory Dwelling Unit and upgrade Main Electrical Service to 225 Amps.,Under Review,1.0,Small (1-5),1939-marin-ave,1939 MARIN AVE,37.88963351679258,-122.27483822017692,ADU,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
76,1731 ADDISON St,056 201100800,,1.0,1.0,0.0,2025.0,ZP2025-0095,"Construct a detached 265 square foot cottage including 1 bedroom/1 bathroom (maximum height 13'-1""). Remove existing 170 square foot garage. Construct a new 200 square foot garage (maximum height 10'-9"").",Corrections Pending Applicant,1.0,Small (1-5),1731-addison-st,1731 ADDISON ST,37.87044602079257,-122.27604574097172,SFD,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
77,1420 FIFTH St,059 233801000,,1.0,1.0,,2025.0,ZP2025-0021,Administrative Use Permit to allocate the existing Accessory Dwelling Unit to a Single-Family Home and construct a 592 square foot residential addition approximately 22 feet tall,Pending Final Action,1.0,Small (1-5),1420-fifth-st,1420 FIFTH ST,37.87654884158006,-122.3019522159246,ADU,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
78,1139 KEELER Ave,063 298405300,,1.0,1.0,0.0,2022.0,ZP2022-0172,"Construction of a three-story single-family residence with an attached ADU in the Hillside Overlay.  The project includes the construction of a detached partially subterranean garage, the installation of a tram system in the side setback, and retaining walls within the same setback as the tram.",Under Review,1.0,Small (1-5),1139-keeler-ave,1139 KEELER AVE,37.889705788142784,-122.25757558461952,ADU,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
79,1111 ALLSTON Way,056 198301100,,1.0,1.0,0.0,2025.0,PLN2025-0013,One new dwelling unit (approved with UPPH that will not be exercised) and subdivision pursuant to SB 684. One Unit and Subdivision,Under Review,1.0,Small (1-5),1111-allston-way,1111 ALLSTON WAY,37.866741329596245,-122.29058415098838,SFD,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
80,659 GRIZZLY PEAK Blvd,063 296505601,,1.0,1.0,,2025.0,ZP2025-0093,Remodel existing two story one bedroom house of 986 sq. ft. with a basement garage into a two story three-bedroom house of 1610 sq. ft. with a basement garage. Add a 440 sq. ft. one bedroom ADU to the rear of the house.,Incomplete Pending Applicant,1.0,Small (1-5),659-grizzly-peak-blvd,659 GRIZZLY PEAK BLVD,37.90012505764361,-122.26546218375634,ADU,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
81,1522 JOSEPHINE St,059 227200900,,0.0,1.0,1.0,2025.0,ZP2025-0014,"Use Permit with Public Hearing to demolish a Single-Family Residence and construct a new 2,100 square feet two-story 28 feet tall Single-Family Residence",Corrections Pending Applicant,1.0,,1522-josephine-st,1522 JOSEPHINE ST,37.878537408137376,-122.27524659789832,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
82,3035 COLBY St,052 157405200,,0.0,2.0,2.0,2024.0,ZP2024-0112,"Demolition of an existing two-unit building; construction of a new two-unit building with an average height of 23'3"".",Approved,1.0,,3035-colby-st,3035 COLBY ST,37.85409909022599,-122.25726526879114,2-4,Owner,False,False,False,False,,0.0,,,2024-08-19,2024-09-16,,,ness Review: Application Complete,2024-09-16,,,,,,0.0
83,1136 KEITH Ave,063 298803800,,0.0,1.0,1.0,2024.0,PLN2024-0047,"Pre-application to demolish the existing single-family dwelling and rebuild a new single-family dwelling, pursuant to Senate Bill (SB) 9. The proposal also includes a nonconforming addition that was approved under Administrative Use Permit (AUP) ZP#2024-0147.",Under Review,1.0,,1136-keith-ave,1136 KEITH AVE,37.88848998632346,-122.26052122062327,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
84,2705 BENVENUE Ave,054 170902800,,-1.0,1.0,2.0,2025.0,ZP2025-0086,"Use Permit with Public Hearing to combine 2703 Benvenue Avenue Units A, B, and 2705 Benvenue Avenue using Berkeley Municipal Code, Title 23, Code Section23.326.040—Eliminating Dwelling Units through
Combination with Other Units, to create a single-family dwelling.",Under Review,1.0,,2705-benvenue-ave,2705 BENVENUE AVE,37.861451091698434,-122.25443995223824,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
85,1730 PARKER St,054 180902900,,0.0,0.0,0.0,2022.0,ZP2022-0063,Alteration and 239 SF addition at rear yard (lower and upper level) to residential triplex.,Incomplete Pending Applicant,1.0,Unknown,1730-parker-st,1730 PARKER ST,37.86089288300704,-122.2746354946718,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
86,2740 SHASTA Rd,060 246900700,,0.0,0.0,0.0,2022.0,ZP2022-0091,"For an interior remodel, residential additions over 14 feet in average height, 20 feet in maximum height in the Hillside Overlay, vertical extension in the non-conforming front setback, and a fence over 6' in the required front setback.",Incomplete Pending Applicant,1.0,Unknown,2740-shasta-rd,2740 SHASTA RD,37.886352334684865,-122.25828861429146,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
87,1109 COWPER St,056 198201600,,0.0,0.0,0.0,2022.0,ZP2022-0154,Major residential addition over 14 feet in average height on a lot that exceeds the lot coverage allowance,In Review,1.0,Unknown,1109-cowper-st,1109 COWPER ST,37.86759590004899,-122.29101743270444,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
88,705 ARLINGTON Ave,062 291606900,,0.0,0.0,0.0,2023.0,ZP2023-0008,"To construct a two-story, 1,700 square-foot, major residential addition exceeding 20 feet in average height in the Hillside Overlay.",In Review,1.0,Unknown,705-arlington-ave,705 ARLINGTON AV,37.89747706176223,-122.27563396222864,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
89,2027 SEVENTH St,056 196701301,,0.0,0.0,0.0,2023.0,ZP2023-0155,"Create a new fence over 6-feet in height and a new roof extension over 12-feet in height to an existing school in a residential district, both within the required setback.",Corrections Pending Applicant,1.0,Unknown,2027-seventh-st,2027 SEVENTH ST,37.86721535977573,-122.29587245131933,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
90,576 SAN LUIS Rd,062 291602800,,0.0,0.0,0.0,2024.0,ZP2024-0053,"AUP to add a two-story 20 feet tall, 577 sq. ft. residential addition to the front of the main residence in the Hillside Overlay District and add a fourth bedroom to the property",Incomplete Pending Applicant,1.0,Unknown,576-san-luis-rd,576 SAN LUIS RD,37.9000098376195,-122.2757844758528,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
91,2009 ADDISON St,057 202502300,,0.0,0.0,0.0,2024.0,ZP2024-0111,"Modify use permits ZP2018-0235 and ZP2017-0004 to allow a tourist hotel use in no more than nine existing apartments, and allow amplified live entertainment and group instruction in the ground floor studio space, and establish a new administrative use permit for on-site sales of alcoholic beverages as part of the public assembly use.",Resubmittal Pending Review,1.0,Unknown,2009-addison-st,2009 ADDISON ST,37.87120672562489,-122.27002173569448,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
92,3036 REGENT St,052 157404601,,0.0,0.0,0.0,2024.0,ZP2024-0122,Use Permit for conversion of the existing medical office use and to establish a Single-Family Dwelling,Corrections Pending Applicant,1.0,Unknown,3036-regent-st,3036 REGENT ST,37.85419413122943,-122.25654257324676,2-4,Owner,False,False,False,False,,0.0,,,2024-10-07,2024-10-07,,,ness Review: Withdrawn,2026-03-03,,,,,,0.0
93,1312 ADDISON St,056 199300100,,0.0,0.0,0.0,2024.0,ZP2024-0125,"Use Permit to construct a three-story major residential addition (700 square feet) to an existing duplex, above 14 feet (35 feet) in average building height, by expanding the existing third-story attic on a property that exceeds allowable lot coverage, and to install a new play structure in the rear yard",Corrections Pending Applicant,1.0,Unknown,1312-addison-st,1312 ADDISON ST,37.86691212647459,-122.2841528783074,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
94,2145 GRANT St,057 201502200,,0.0,0.0,0.0,2024.0,ZP2024-0138,"Use Permit with Public Hearing to construct a major residential addition (1,133 square feet) with an average height of 22 feet 10 inches by adding a second story to the front building within the nonconforming front setback on a lot that currently exceeds maximum lot coverage. The project will result in a total of seven bedrooms and four bathrooms in the building, and 13 total bedrooms on the lot.",Pending Final Action,1.0,Unknown,2145-grant-st,2145 GRANT ST,37.86891842367285,-122.27466130955813,2-4,Owner,False,False,False,False,,0.0,,,2024-09-24,2024-10-24,2026-03-26,548.0,Public Hearing: ZAB Approved,2026-03-26,,,,,,24.62
95,2903 ADELINE St,053 159100100,,0.0,0.0,0.0,2025.0,ZP2025-0006,Use Permit with Public Hearing to legalize conversion of an existing commercial space into residential use,Corrections Pending Applicant,1.0,Unknown,2903-adeline-st,2903 ADELINE ST,37.85636176695468,-122.26810249137816,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
96,2099 M L KING JR Way,057 202401300,,0.0,0.0,0.0,2025.0,ZP2025-0024,Use Permit Modification of ZP2019-0081 to convert commercial space into a residential amenity space for a lounge and gym area,Incomplete Pending Applicant,1.0,Unknown,2099-m-l-king-jr-way,2099 M L KING JR WAY,37.87089236766337,-122.27262600021216,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
97,1507 JOSEPHINE St,059 227103300,,0.0,0.0,0.0,2025.0,ZP2025-0025,Unit combination of an existing duplex into an SFR through remodel of both floors with new kitchen and 3 baths.,Corrections Pending Applicant,1.0,Unknown,1507-josephine-st,1507 JOSEPHINE ST,37.87915855930355,-122.2747148284878,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
98,1338 SEVENTH St,059 234901200,,0.0,0.0,0.0,2025.0,ZP2025-0037,"Use Permit with Public Hearing to change 8,000 square feet of protected warehousing use to a martial arts studio, in the MU-LI district.",Incomplete Pending Applicant,1.0,Unknown,1338-seventh-st,1338 SEVENTH ST,37.87829060269934,-122.30017426312772,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
99,2238 SEVENTH St,056 196401200,,0.0,0.0,0.0,2025.0,ZP2025-0057,Proposed interior and exterior remodel of units A and B on the first floor only.,Incomplete Pending Applicant,1.0,Unknown,2238-seventh-st,2238 SEVENTH ST,37.86406379094866,-122.29561680785744,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
100,703 SANTA BARBARA Rd,062 291403900,,0.0,0.0,0.0,2025.0,ZP2025-0058,A major residential addition over 14' in average height with a two-car garage within the rear setback.,Under Review,1.0,Unknown,703-santa-barbara-rd,703 SANTA BARBARA RD,37.8978365872887,-122.27149521081397,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
101,385 VERMONT Ave,062 294902800,,0.0,0.0,0.0,2025.0,ZP2025-0060,"Administrative Use Permit to construct a 783 square feet second story major residential addition with a maximum building height of 31 feet tall with a proposed 250 square feet roof deck that will extend a building wall within a nonconforming side setback, and add a new retaining wall within required setbacks.",In Review,1.0,Unknown,385-vermont-ave,385 VERMONT AV,37.9032943088105,-122.27469798687288,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
102,1246 ROSE St,059 229200201,,0.0,0.0,0.0,2025.0,ZP2025-0076,Residential remodel and addition to existing 1br/2bath SFH to create 2br/2bath SFH. Convert existing upper level deck and part of second story interior to a bedroom and closet.,Corrections Pending Applicant,1.0,Unknown,1246-rose-st,1246 ROSE ST,37.876466003476914,-122.28944818909082,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
103,1512 CHANNING Way,055 191400200,,0.0,0.0,0.0,2025.0,ZP2025-0077,"Administrative Use Permit to construct a 641 square feet, 25 feet tall major residential addition over the existing building footprint of the existing single-family dwelling extending a building wall within a nonconforming front, side, and rear setback",Incomplete Pending Applicant,1.0,Unknown,1512-channing-way,1512 CHANNING WAY,37.86391660149408,-122.28080140591616,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
104,1475 CATHERINE Dr,059 228606900,,0.0,0.0,0.0,2025.0,ZP2025-0082,"Second-story residential addition (412 sf). Convert portion of garage to habitable space (64 sf). Addition includes 2 bedrooms, 1 bath, and a staircase.",On Hold,1.0,Unknown,1475-catherine-dr,1475 CATHERINE DR,37.87802083926939,-122.28400690207374,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
105,1187 SHATTUCK Ave,061 256102100,,0.0,0.0,0.0,2025.0,ZP2025-0088,"Administrative Use Permit #ZP2025-0088 to increase the existing attic to 32-feet, 11-inches max height (447-square-feet below 6-feet in height) and construct a three-story, approximately 250-square-foot residential addition to a single-family dwelling resulting in 1,621-square-feet of habitable space; and expand the basement to create 1,002-square-feet of habitable space. The existing home is a three-story single-family dwelling with three bedrooms, two bathrooms, and is 25-feet, 8-inches in maximum height. The project will result in approximately five bedrooms, four bathrooms, with a maximum height of 32-feet, 11-inches.",Pending Final Action,1.0,Unknown,1187-shattuck-ave,1187 SHATTUCK AV,37.88605280233432,-122.26971843750508,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
106,2016 DELAWARE St A,057 205003500,,0.0,0.0,0.0,2025.0,ZP2025-0090,Use Permit to construct an approximate 706 sq. ft. 31 feet in maximum height second-story major residential addition that will vertically extend a building wall within a nonconforming side setback to an existing condo on a property over lot coverage.,Incomplete Pending Applicant,1.0,Unknown,2016-delaware-st-a,2016 DELAWARE ST A,37.874311420657456,-122.27031238111309,2-4,Owner,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
