id,address_display,apn,owner,net_units,new_units,old_units,year,permits,description,status,num_permits,project_size_category,slug,address_norm,latitude,longitude,unit_category,tenure,sb35_flag,sb330_flag,ab2011_flag,density_bonus,density_bonus_pct,vli_units_extracted,height_stories,height_feet,app_filed_date,app_complete_date,entitled_date,total_processing_days,accela_status,accela_status_date,bp_issued_date,co_date,construction_start_date,estimated_completion_date,construction_status,app_packet_size_mb
11,1581 UNIVERSITY Ave,057 207100601,,158.0,158.0,0.0,2024.0,ZP2024-0074,"SB-330 Project - Demolition of 2 existing non-landmarked mixed-use structures and surface parking to 
construct a new 88'6"", 7-story, 158-unit mixed-use housing development with 96,256 sq ft of new residential space, 1788 sq ft of commercial space, and 32 parking spaces. 

14 units (15%) of base project units are VLI; 9 units (10%) are moderate-income households; project entitled to 82.5% density bonus, waviers, and up to 4 concessions under the State Density Bonus Law.",Corrections Pending Applicant,1.0,Mega (100+),1581-university-ave,1581 UNIVERSITY AVE,37.870882755452506,-122.28064826022822,5+,Renter,False,False,False,True,,0.0,7.0,158.0,2024-07-12,2024-11-07,,,Application Processing: Corrections - Pending Applicant,2024-12-05,,,,,,0.0
12,2115 KITTREDGE St,057 203000900,Aquarius Twins Inc,148.0,148.0,0.0,2024.0,ZP2024-0131,Construction of a twenty-three-story building with a live performance theater and 148 dwelling units that will retain the original primary south facade of the building.  The density bonus project includes 24 affordable units (12 VLI + 12 MI units) with residential amenity space and usable open space.,Incomplete Pending Applicant,1.0,Mega (100+),2115-kittredge-st,2115 KITTREDGE ST,37.868856897471,-122.26718328846704,5+,Renter,False,False,False,True,,12.0,,,2024-09-17,,,,Completeness Review: Incomplete Pending Applicant,2024-10-16,,,,,,0.0
13,2420 SHATTUCK Ave,055 189600300,,132.0,132.0,0.0,2022.0,ZP2022-0149,Demolish two non-residential buildings and construct a 17-story mixed-use residential building with ground-floor commercial and 132 dwelling units utilizing State Density Bonus.,In Review,1.0,Mega (100+),2420-shattuck-ave,2420 SHATTUCK AVE,37.86528832390181,-122.26798878801938,5+,Renter,False,False,False,True,,0.0,17.0,,2022-10-04,2023-12-01,,,"Due 12/02/2023, assigned to TBD | Marked as: Resubmittal Pending Staff | on 11/02/2023 by Niloufar Karimzadegan: as: Application Complete |",2023-12-01,,,,,,117.96
14,2847 SHATTUCK Ave,053 168602000,,132.0,136.0,4.0,2024.0,"ZP2022-0132, ZP2024-0077","SB-330 Project - Demolition of existing non-landmarked mixed-use structure and surface parking to construct a new 9-story, 102'0"" in height, 136-unit mixed-use housing development with 55,849 sq ft of residential space and 2,503 sq ft commercial space.

14% of the base project's units will be VLI income households; Entitled to 46.25% density bonus, waivers, and up to 3 concessions  under the State Density Bonus Law.",Incomplete Pending Applicant,2.0,Mega (100+),2847-shattuck-ave,2847 SHATTUCK AVE,37.85697777002751,-122.26638589710848,5+,Renter,False,False,False,True,,0.0,9.0,136.0,2022-11-23,,,,Completeness Review: Incomplete Pending Applicant,2023-07-05,,,,,,0.0
15,2109 VIRGINIA St,058 217801800,,131.0,131.0,0.0,2024.0,ZP2024-0066,"Demolition of existing non-landmarked 2-story commercial structure and surface parking. Construction of a new 8-story(88'-4"" tall), 131-unit mixed-use housing development with 107,935sf of new residential use, parking garage for up to 103 spots, and 1,200 sf new commercial space.  15% (11 units) of the base project's units will be affordable to very-low-income households, and 13% (9 units) will be Moderate Income households, entitling it to 92.5% density bonus, waivers, and up to 4 concessions under the state density bonus law.",Approved,1.0,Mega (100+),2109-virginia-st,2109 VIRGINIA ST,37.87677757653766,-122.26852368805868,5+,Renter,False,False,False,True,,0.0,2.0,131.0,2024-07-03,2024-07-03,2026-02-26,603.0,Case Closed: Approved,2026-02-26,,,,,,0.0
16,2720 SAN PABLO Ave,054 174400700,,113.0,117.0,4.0,2024.0,"ZP2023-0058, ZP2024-0076","SB-330 Project - Demolition of existing non-landmarked mixed-use structure and surface parking for the construction of a new eight-story, 88'10"" in height, 117-unit mixed-use housing development with 49,465 sf of new residential space and 1,244 sf commercial space.  

10 units (15%) of the base project will be VLI household; 6 units (9%) will be moderate income household.
Entitled to 80% density bonus, waivers, and up to 4 concessions under the State Density Bonus Law.",Under Review,2.0,Mega (100+),2720-san-pablo-ave,2720 SAN PABLO AVE,37.85731033724472,-122.2886908095933,5+,Renter,False,False,False,True,,9.0,,117.0,2023-06-20,,,,Completeness Review: Incomplete Pending Applicant,2023-10-16,,,,,,0.0
17,2109 MILVIA St,057 202301601,,105.0,105.0,0.0,2023.0,ZP2023-0099,"SB-330 Project: Removal of existing parking lot to construct a new 14-story mixed-use building with 105 dwelling, ground level lobbies and commercial space.  This is a State of California Density Bonus Project.",In Review,1.0,Mega (100+),2109-milvia-st,2109 MILVIA ST,37.870579505333055,-122.27034111282912,5+,Renter,False,False,False,True,,0.0,14.0,,2023-09-13,2024-04-11,,,Completeness Review: Application Complete,2024-04-11,,,,,,0.0
18,2655 SHATTUCK Ave,055 182601802,,97.0,97.0,0.0,2024.0,ZP2024-0057,"Demolish an existing 1-story commercial building to construct an 85-foot tall, 83,479 square foot, 8-story Mixed Use residential/commercial building.  Total of 97 units, with 10 VLI. 41 on-site automobile parking spaces and 48 on-site bicycle parking spaces.",Pending Final Action,1.0,Very Large (51-100),2655-shattuck-ave,2655 SHATTUCK AVE,37.86069065352949,-122.26644102671744,5+,Renter,False,False,False,False,,0.0,,85.0,2024-06-12,2024-08-19,2025-08-14,428.0,Case Closed: Approved,2025-08-14,,,,,,0.0
19,2450 SHATTUCK Ave,055 189700600,,94.0,94.0,0.0,2024.0,ZP2024-0047,"SB-330 Mixed-Use Housing Development Project for the construction of an eight story building with 94 residential units, 2,438-sqft of retail space; 4,653-sqft of residential amenities and lobbies. Amenity roof terrace provided on top level. A total of 134,115-sqft.",Corrections Pending Applicant,1.0,Very Large (51-100),2450-shattuck-ave,2450 SHATTUCK AVE,37.864568726306736,-122.26795078029971,5+,Renter,False,False,False,False,,0.0,,,2024-05-16,2024-09-06,,,Application Processing: Corrections - Pending Applicant,2024-11-01,,,,,,0.0
20,2036 BANCROFT Way,055 189401704,,85.0,87.0,2.0,2024.0,ZP2024-0079,"SB-330 Project - Demolition of two existing landmarked buildings and a partial landmarked commercial office building to construct an 85', 8-story, multi-family building.  Residential project will have 87 units including 4 VLI units, 19 vehicle parking spaces and 63 bicycle parking spaces.",In Review,1.0,Very Large (51-100),2036-bancroft-way,2036 BANCROFT WAY,37.86723084716148,-122.2685166605382,5+,Renter,False,False,False,False,,4.0,8.0,85.0,2024-07-19,2024-11-15,,,Completeness Review: Application Complete,2024-11-15,,,,,,60.27
