permit_number,project_id,project_address,v2_source_system,url_discovery_outcome,url_discovery_capid,url_records_seen,url_related_count,in_cpra,cpra_row_count,cpra_apns,cpra_submittal_date,cpra_issuance_date,cpra_finaled_date,cpra_occ_type,cpra_work_type,cpra_units_added,cpra_address,cpra_description_first_50
B2023-04586,126,2427 San Pablo,cpra,not_found,,0,0,yes,1,056 192802200,2023-09-07,2023-09-07,2023-09-11,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2429 SAN PABLO Ave,"Repair water heater for H2023-00959, Item #7 in Un..."
B2023-05397,129,1614 Sixth St,cpra,ok,DUB23-00000-00NPI,2,1,yes,2,057 211700401,2023-10-19,2023-12-19,2024-03-19,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Alteration,2.0,1614 SIXTH St,Residential Remodel
B2024-04504,129,1614 Sixth St,cpra,ok,DUB24-00000-00O2F,2,1,yes,1,057 211700401,2024-09-17,2025-08-29,,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",New,1.0,1614 SIXTH St,Building A: New Single Family home in the rear.
B2024-06099,129,1614 Sixth St,cpra,ok,DUB24-00000-00UTZ,2,1,yes,1,057 211700401,2024-12-30,2025-08-29,,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",New,1.0,1614 SIXTH St,Building B: Construction single family home on the...
B2022-05880,134,2480 Bancroft Way,cpra,ok,DUB22-00000-00O0G,5,4,yes,5,055 187802200,2022-12-16,2023-12-13,2025-01-06,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,28.0,2480 BANCROFT Way,"Construction of new, 8-story, mixed-use building w..."
B2024-01572,134,2480 Bancroft Way,cpra,not_found,,0,0,yes,1,055 187802200,2024-04-02,2024-08-07,2025-04-30,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2480 BANCROFT Way,Install a 11.34 kW photovoltaic electric power sys...
B2024-02120,134,2480 Bancroft Way,cpra,not_found,,0,0,yes,1,055 187802200,2024-05-01,2024-08-01,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,,2480 BANCROFT Way,Temp Power
B2022-05181,135,2150 Kittredge St,cpra,not_found,,0,0,yes,1,057 202901600,2022-11-04,2023-01-13,2024-01-19,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2150 KITTREDGE St,Install 23.85 KW PV solar panels (53 modules) on t...
B2023-01578,135,2150 Kittredge St,cpra,not_found,,0,0,yes,1,057 202901600,2023-04-03,2023-05-11,2024-03-06,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2150 KITTREDGE St,Install exterior sign
B2022-06060,137,2000 University Ave,cpra,not_found,,0,0,yes,1,057 202501300,2022-12-27,2023-06-16,2024-01-12,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,0.0,2000 UNIVERSITY Ave,"Install 16,200 STC watt roof-mounted photovoltaic ..."
B2023-01880,139,2538 DURANT Ave,cpra,not_found,,0,0,yes,1,055 187602101,2023-04-17,2024-08-08,2025-08-11,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Demolition,,2538 DURANT Ave,Demolish Apartment Building. (Ref. #B2023-02332 Ne...
B2023-02332,139,2538 DURANT Ave,cpra,ok,DUB23-00000-00F15,10,9,yes,6,055 187602101,2023-05-05,2024-09-24,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,83.0,2538 DURANT Ave,The new construction of an 8-story building with (...
B2024-06011,139,2538 DURANT Ave,cpra,ok,DUB24-00000-00TYR,2,1,yes,2,055 187602101,2024-12-20,2025-05-09,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,83.0,2538 DURANT Ave,Temporary Power Service for construction use. 400 ...
B2025-00875,139,2538 DURANT Ave,cpra,not_found,,0,0,yes,1,055 187602101,2025-03-05,2025-07-07,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,,2538 DURANT Ave,Photovoltaic electric power system w/ (36) photovo...
B2024-05944,147,2300 ELLSWORTH St,cpra,ok,DUB24-00000-00T60,6,5,yes,2,055 188600100,2024-12-17,2025-09-04,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,69.0,2300 ELLSWORTH St,"Construct of new (7) story, (69) unit, mixed-use b..."
B2025-00388,147,2300 ELLSWORTH St,cpra,not_found,,0,0,yes,1,055 188600100,2025-01-30,2025-08-11,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Demolition,,2300 ELLSWORTH St,"Demolish apartment building, retain portions of th..."
B2025-02211,147,2300 ELLSWORTH St,cpra,not_found,,0,0,yes,1,055 188600100,2025-05-30,2025-09-02,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2300 ELLSWORTH St,Install 200 AMP temporary power pole. See Permit #...
B2023-06416,150,3030 TELEGRAPH Ave,cpra,ok,DUB23-00000-00R3G,14,13,yes,7,052 157602701,2023-12-19,2024-10-15,2025-12-10,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,144.0,3030 TELEGRAPH Ave,"Construction of a 5-story, mixed-use building with..."
B2023-06442,150,3030 TELEGRAPH Ave,cpra,not_found,,0,0,yes,1,052 157602701,2023-12-21,2024-09-19,2025-08-25,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Demolition,0.0,2330 WEBSTER St,Demolish 2800 SqFt One-Story Duplex on the corner ...
B2023-06443,150,3030 TELEGRAPH Ave,cpra,not_found,,0,0,yes,1,052 157602701,2023-12-21,2024-09-19,2025-08-25,"R-3 Residential: Dwellings (1 or 2 Units), Townhomes, Congregate Living",Demolition,,2334 WEBSTER St,Demolish 2460 SqFt Two-Story Duplex on the corner ...
B2024-03794,150,3030 TELEGRAPH Ave,cpra,not_found,,0,0,yes,1,052 157602701,2024-08-01,2025-01-08,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,3030 TELEGRAPH Ave,Install (1) 35' temp power pole and power skid. Sk...
B2024-00587,152,1598 UNIVERSITY Ave,cpra,ok,DUB24-00000-004VB,5,4,yes,4,056 200300100,2024-02-07,2024-07-15,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,,1598 UNIVERSITY Ave,Phase 1: Footing and Foundation; Construction of a...
B2024-01602,152,1598 UNIVERSITY Ave,cpra,not_found,,0,0,yes,1,056 200300100,2024-04-03,2024-06-05,2024-08-21,Not Applicable (new),New,0.0,1598 UNIVERSITY Ave,"Shoring, excavation, and grading. The temporary sh..."
B2024-01924,152,1598 UNIVERSITY Ave,cpra,ok,DUB24-00000-00EWF,17,16,yes,13,056 200300100,2024-04-19,2024-12-16,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,207.0,1598 UNIVERSITY Ave,Phase II - 207-unit mixed use building with commer...
B2024-05740,152,1598 UNIVERSITY Ave,cpra,ok,DUB24-00000-00S6E,2,1,yes,2,056 200300100,2024-12-03,2025-01-13,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,1598 UNIVERSITY Ave,"Install 89,650 STC watt photovoltaic electric powe..."
B2024-02966,153,1701 SAN PABLO Ave,cpra,ok,DUB24-00000-00IB6,8,7,yes,5,058 212901700,2024-06-17,2025-05-06,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,110.0,1701 SAN PABLO Ave,"New 6-story, 110-unit, publicly funded multi-famil..."
B2025-03904,153,1701 SAN PABLO Ave,cpra,ok,DUB25-00000-00MU4,2,1,yes,1,058 212901700,2025-09-09,2025-11-06,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,,1701 SAN PABLO Ave,Photovoltaic electric power system w/ (280) photov...
B2024-00143,159,2403 SAN PABLO Ave,cpra,ok,DUB24-00000-00180,12,11,yes,7,056 192800100,2024-01-10,2025-06-03,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,36.0,2403 SAN PABLO Ave,"Privately funded, 4-story, mixed use, (36) unit co..."
B2025-03049,159,2403 SAN PABLO Ave,cpra,not_found,,0,0,yes,1,056 192800100,2025-07-22,2025-10-31,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2403 SAN PABLO Ave,"Install 79,200 STC WATT PV solar panels (144 modul..."
B2025-03320,159,2403 SAN PABLO Ave,cpra,not_found,,0,0,yes,1,056 192800100,2025-08-06,2025-09-26,,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2403 SAN PABLO Ave,"Install (1) 20 foot, 200A temporary power pole on ..."
B2023-02975,161,2555 COLLEGE Ave,cpra,ok,DUB23-00000-00GUX,5,4,yes,5,055 184702000,2023-06-09,2024-04-26,2025-07-25,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,12.0,2555 COLLEGE Ave,"Construction of a 9,815 SF, four story 11-unit + a..."
B2024-05972,161,2555 COLLEGE Ave,cpra,not_found,,0,0,yes,1,055 184702000,2024-12-18,2025-06-02,2025-07-22,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",Alteration,,2555 COLLEGE Ave,Install 16 KW PV solar panels (40 modules) on the ...
B2021-02225,172,2650 TELEGRAPH Ave,cpra,ok,DUB21-00000-00EMR,10,9,yes,10,055 183500901,2021-05-28,2023-08-02,2025-06-16,"R-2 Residential: Permanent, Multi-Unit (3+ Units)",New,45.0,2650 TELEGRAPH Ave,Construction of new 5 story mixed use building wit...
