placemark_index,name_raw,name_address,name_qualifier,matched_project_id,action,skip_reason,style_source,geometry_type_id,geometry_type_code,structure_id,structure_label,project_geometries_id,vertex_count,height_meters,confidence_code
127,3001 Benvenue Ave · 1 units · Decision Pending,3001 Benvenue Ave,,70,import,,parcel,1,apn_parcel,,,307,5,10.5,medium
128,40 Hill Rd · 1 units · Application Submitted,40 Hill Rd,,71,import,,parcel,1,apn_parcel,,,308,11,10.5,medium
129,5 W Parnassus Ct · 1 units · In Review,5 W Parnassus Ct,,72,import,,parcel,1,apn_parcel,,,309,5,10.5,medium
130,0 Le Roy Ave · 1 units · In Review,0 Le Roy Ave,,73,import,,parcel,1,apn_parcel,,,310,6,10.5,medium
131,2328 Grant St · 1 units · In Review,2328 Grant St,,74,import,,parcel,1,apn_parcel,,,311,5,10.5,medium
132,1939 Marin Ave · 1 units · In Review,1939 Marin Ave,,75,import,,parcel,1,apn_parcel,,,312,5,10.5,medium
133,1731 Addison St · 1 units · In Review,1731 Addison St,,76,import,,parcel,1,apn_parcel,,,313,5,10.5,medium
134,1420 Fifth St · 1 units · Decision Pending,1420 Fifth St,,77,import,,parcel,1,apn_parcel,,,314,6,10.5,medium
135,1139 Keeler Ave · 1 units · In Review,1139 Keeler Ave,,78,import,,parcel,1,apn_parcel,,,315,9,10.5,medium
136,1111 Allston Way · 1 units · In Review,1111 Allston Way,,79,import,,parcel,1,apn_parcel,,,316,5,10.5,medium
137,659 Grizzly Peak Blvd · 1 units · Application Submitted,659 Grizzly Peak Blvd,,80,import,,parcel,1,apn_parcel,,,317,6,10.5,medium
138,3036 Regent St · 1 units · In Review,3036 Regent St,,92,import,,parcel,1,apn_parcel,,,318,5,10.5,medium
139,1621 Sacramento St · 1 units · In Review,1621 Sacramento St,,112,import,,parcel,1,apn_parcel,,,319,5,10.5,medium
140,2820 San Pablo Ave · 1 units · Entitled,2820 San Pablo Ave,,162,import,,parcel,1,apn_parcel,,,320,5,7.0,medium
141,0 Parker St · 1 units · Entitled,0 Parker St,,163,import,,parcel,1,apn_parcel,,,321,7,10.5,medium
142,1522 Josephine St · In Review,1522 Josephine St,,81,import,,parcel,1,apn_parcel,,,322,5,10.5,medium
143,3035 Colby St · Entitled,3035 Colby St,,82,import,,parcel,1,apn_parcel,,,323,5,10.5,medium
144,1136 Keith Ave · In Review,1136 Keith Ave,,83,import,,parcel,1,apn_parcel,,,324,6,10.5,medium
145,1730 Parker St · Application Submitted,1730 Parker St,,85,import,,parcel,1,apn_parcel,,,325,5,10.5,medium
146,2740 Shasta Rd · In Review,2740 Shasta Rd,,86,skip,Excluded: project 86 (2740 SHASTA Rd) - duplicate needs review,parcel,,,,,,20,10.5,
147,1109 Cowper St · In Review,1109 Cowper St,,87,import,,parcel,1,apn_parcel,,,326,5,10.5,medium
148,705 Arlington Ave · In Review,705 Arlington Ave,,88,import,,parcel,1,apn_parcel,,,327,7,10.5,medium
149,2027 Seventh St · In Review,2027 Seventh St,,89,import,,parcel,1,apn_parcel,,,328,5,10.5,medium
150,576 San Luis Rd · Application Submitted,576 San Luis Rd,,90,import,,parcel,1,apn_parcel,,,329,5,10.5,medium
151,2009 Addison St · Application Submitted,2009 Addison St,,91,import,,parcel,1,apn_parcel,,,330,5,10.5,medium
152,1312 Addison St · In Review,1312 Addison St,,93,import,,parcel,1,apn_parcel,,,331,5,10.5,medium
153,2145 Grant St · Decision Pending,2145 Grant St,,94,import,,parcel,1,apn_parcel,,,332,5,10.5,medium
154,2903 Adeline St · In Review,2903 Adeline St,,95,import,,parcel,1,apn_parcel,,,333,5,10.5,medium
155,2099 M L King Jr Way · Application Submitted,2099 M L King Jr Way,,96,import,,parcel,1,apn_parcel,,,334,5,10.5,medium
156,1507 Josephine St · In Review,1507 Josephine St,,97,import,,parcel,1,apn_parcel,,,335,5,10.5,medium
157,1338 Seventh St · Application Submitted,1338 Seventh St,,98,import,,parcel,1,apn_parcel,,,336,5,10.5,medium
158,2238 Seventh St · Application Submitted,2238 Seventh St,,99,import,,parcel,1,apn_parcel,,,337,7,10.5,medium
159,703 Santa Barbara Rd · In Review,703 Santa Barbara Rd,,100,import,,parcel,1,apn_parcel,,,338,7,10.5,medium
160,385 Vermont Ave · In Review,385 Vermont Ave,,101,import,,parcel,1,apn_parcel,,,339,6,10.5,medium
161,1246 Rose St · In Review,1246 Rose St,,102,import,,parcel,1,apn_parcel,,,340,5,10.5,medium
162,1512 Channing Way · Application Submitted,1512 Channing Way,,103,import,,parcel,1,apn_parcel,,,341,6,10.5,medium
163,1475 Catherine Dr · In Review,1475 Catherine Dr,,104,import,,parcel,1,apn_parcel,,,342,7,10.5,medium
164,1187 Shattuck Ave · Decision Pending,1187 Shattuck Ave,,105,import,,parcel,1,apn_parcel,,,343,5,10.5,medium
165,2016 Delaware St A · Application Submitted,2016 Delaware St A,,106,import,,parcel,1,apn_parcel,,,344,5,10.5,medium
166,1123 Blake St · In Review,1123 Blake St,,107,import,,parcel,1,apn_parcel,,,345,5,10.5,medium
167,830 Bancroft Way · Decision Pending,830 Bancroft Way,,108,import,,parcel,1,apn_parcel,,,346,7,10.5,medium
168,2740 Shasta Rd · In Review,2740 Shasta Rd,,86,skip,Excluded: project 86 (2740 SHASTA Rd) - duplicate needs review,parcel,,,,,,20,10.5,
169,2143 Blake St · Application Submitted,2143 Blake St,,110,import,,parcel,1,apn_parcel,,,347,5,10.5,medium
170,411 Vassar Ave · Application Submitted,411 Vassar Ave,,111,import,,parcel,1,apn_parcel,,,348,5,10.5,medium
171,1048 Keith St · Entitled,1048 Keith St,,130,import,,synthetic,8,synthetic_polygon,,,349,5,10.5,low
172,811 Cedar · Entitled,811 Cedar,,131,import,,synthetic,8,synthetic_polygon,,,350,5,7.0,low
173,1627 Jaynes St · Entitled,1627 Jaynes St,,132,import,,parcel,1,apn_parcel,,,351,6,10.5,medium
174,2705 Benvenue Ave · In Review,2705 Benvenue Ave,,84,import,,parcel,1,apn_parcel,,,352,5,10.5,medium
175,Dharma University,Dharma University,,,skip,No matched project,footprint,,,,,,5,30.0,
176,Ashby Bart · Building 1 · 618 units · Pre-Application,Ashby Bart,,151,import,,parcel,1,apn_parcel,7,Building 1,353,5,24.0,medium
177,Ashby Bart · Building 2 · 618 units · Pre-Application,Ashby Bart,,151,import,,parcel,1,apn_parcel,8,Building 2,354,5,24.0,medium
178,Ashby Bart · Building 3 · 618 units · Pre-Application,Ashby Bart,,151,import,,parcel,1,apn_parcel,9,Building 3,355,5,24.0,medium
179,Innovation Zone - North - Bakar,Innovation Zone - North - Bakar,,,skip,No matched project,parcel,,,,,,5,37.1,
180,Innovation Zone - South,Innovation Zone - South,,,skip,No matched project,parcel,,,,,,5,39.99999999999999,
181,2400 Bowditch St · South · 750 units · Pre-Application,2400 Bowditch St,South,171,import,,footprint,4,building_footprint,2,South,356,5,45.0,high
182,2556 Haste St · South · 556 units · Under Construction,2556 Haste St,South,177,import,,footprint,4,building_footprint,4,South,357,5,35.0,high
183,2200 Bancroft Way · South · 550 units · Under Construction,2200 Bancroft Way,South,165,import,,footprint,4,building_footprint,6,South,358,5,36.0,high
