hcd_row_id,cpra_permit_number,address_hcd,address_cpra,tracking_id,co_units_hcd,co_units_d5,bp_units_hcd,bp_units_d5,agree_co,agree_bp,units_agree,match_tier,in_c1,cpra_year
27,B2017-04866,1611 Stannage Ave,1611 STANNAGE Ave,B2017-04866,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
32,B2017-03440,1121 Delaware St,1121 DELAWARE St,B2017-03440,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2018
33,B2017-04979,1157 Francisco St,1157 FRANCISCO St,B2017-04979,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
34,B2016-04149,1815 Curtis St,1815 CURTIS St,B2016-04149,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2018
35,B2018-02331,1218 Ordway St,1218 ORDWAY St,B2018-02331,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2018
37,B2018-02818,1414 M L King Jr Way,1414 M L KING JR Way,B2018-02818,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
38,B2017-04815,1538 Acton St,1538 ACTON St,B2017-04815,1.0,0.0,1.0,0.0,False,False,False,tier_1_tracking_id,True,2018
39,B2016-02018,2224 Stuart St,2224 STUART St,B2016-02018,1.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2018
40,B2018-01833,2425 Oregon St,2425 OREGON St,B2018-01833,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
41,B2018-03595,2431 Spaulding Ave,2431 SPAULDING Ave,B2018-03595,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2018
42,B2017-02721,2709 College Ave,2709 COLLEGE Ave,B2017-02721,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
43,B2018-01917,2814 Webster St,2814 WEBSTER St,B2018-01917,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
44,B2018-03006,2828 Webster St,2828 WEBSTER St,B2018-03006,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2018
45,B2018-01758,59 The Plaza Dr,59 THE PLAZA Dr,B2018-01758,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
47,B2018-03127,1446 Fifth St,1446 FIFTH St,B2018-03127,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
48,B2018-03577,1446 Fifth St,1446 FIFTH St,B2018-03577,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
49,B2018-03252,1640 Ninth St,1640 NINTH St,B2018-03252,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2018
189,B2017-02961,1531 Derby St,1531 DERBY St,B2017-02961,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2018
191,B2017-04758,1725 Hopkins St,1725 HOPKINS St,B2017-04758,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
192,B2017-00538,2223 Seventh St,2223 SEVENTH St,B2017-00538,1.0,0.0,1.0,0.0,False,False,False,tier_1_tracking_id,True,2018
193,B2017-03830,2312 Stuart St,2312 STUART St,B2017-03830,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
194,B2016-01064,2915 Pine Ave,2915 PINE Ave,B2016-01064,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2018
195,B2016-00729,3011 College Ave,3011 COLLEGE Ave,B2016-00729,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2018
197,B2017-03691,681 Spruce St,681 SPRUCE St,B2017-03691,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
198,B2018-02161,826 Miramar Ave,826 MIRAMAR Ave,B2018-02161,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
199,B2017-03093,901 Grizzly Peak Blvd,901 GRIZZLY PEAK Blvd,B2017-03093,1.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2018
201,B2016-03666,1169 Cragmont Ave,1169 CRAGMONT Ave,B2016-03666,1.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2018
202,B2015-03376,122 Avenida Dr,122 AVENIDA DR,B2015-03376,1.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2018
206,B2017-05297,912 Cedar St,912 CEDAR St,B2017-05297,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2018
210,B2017-02347,1432 Spruce St,1432 SPRUCE St,B2017-02347,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
212,B2018-02352,1145 Amador Ave,1145 AMADOR Ave,B2018-02352,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2018
213,B2016-05136,1207 Virginia St,1207 VIRGINIA St,B2016-05136,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2018
