hcd_row_id,JURS_TRACKING_ID,STREET_ADDRESS,APN,PRIOR_APN,UNIT_CAT,co_units_hcd,bp_units_hcd,cpra_presence
28,ZP2017-0191,1200 San Pablo Ave,060 235400200,,5+,0,0,no_cpra_presence
200,ZP2015-0234,1140 Wildcat Canyon Road,063 315001002,,SFD,0,0,no_cpra_presence
211,ZP2015-0229,3000 Shattuck Ave,053 159200100,,5+,0,0,no_cpra_presence
217,ZP2017-0134,1401 Alcatraz Ave.,052 151901500,,ADU,0,0,no_cpra_presence
232,ZP2018-0034,2714 Alcatraz Ave,052 156317900,,5+,0,0,no_cpra_presence
354,ZP2016-0172,2542 Durant Ave,055 187602100,,5+,0,0,no_cpra_presence
