full_address,street_number,street_name,street_type,city,zipcode,longitude,latitude,address_normalized
,,,,Berkeley,94710,-122.29526676578791,37.87585755710849,
,,,,Berkeley,94705,-122.25658233802137,37.85894520908777,
,,,,Berkeley,94708,-122.25700368741556,37.8934840529629,
,,,,Berkeley,94704,-122.26941063241998,37.86164005345956,
,,,,Berkeley,94705,-122.25431645898942,37.8602221207062,
,,,,Berkeley,94709,-122.26894664538914,37.88086634320236,
,,,,Berkeley,94703,-122.26847935525302,37.851851792352505,
,,,,Berkeley,94703,-122.27198811546447,37.85546707330881,
,,,,Berkeley,94704,-122.26252993709298,37.86353520916017,
,,,,Berkeley,94705,-122.24551552760576,37.85306971680946,
,,,,Berkeley,94704,-122.25900640318834,37.86431751989182,
,,,,Berkeley,94710,-122.29539668194093,37.87603837834941,
,,,,Berkeley,94705,-122.25934376369672,37.86119393210302,
,,,,Berkeley,94705,-122.24748221644408,37.85486985284422,
,,,,Berkeley,94702,-122.28198234910879,37.84913201944633,
,,,,Berkeley,94702,-122.28358105746395,37.86948675932961,
,,,,Berkeley,94708,-122.27036100956651,37.90252630234752,
,,,,Berkeley,94704,-122.26413390867738,37.86411224744979,
,,,,Berkeley,94709,-122.26846059573494,37.87615367063544,
,,,,Berkeley,94702,-122.29411108497135,37.873972577606864,
,,,,Berkeley,94708,-122.26535645918537,37.900013014919715,
,,,,Berkeley,94710,-122.29348351921882,37.868548073149725,
,,,,Berkeley,94704,-122.26833747713364,37.865970614306505,
,,,,Berkeley,94705,-122.2613486587824,37.853073546309474,
,,,,Berkeley,94709,-122.26508570695871,37.876520451994494,
,,,,Berkeley,94702,-122.28464978136101,37.86831067163083,
,,,,Berkeley,94705,-122.26118580589946,37.85347147276792,
,,,,Berkeley,94703,-122.28150348058695,37.87197933742016,
,,,,Berkeley,94704,-122.25491989419679,37.86530385236279,
,,,,Berkeley,94703,-122.27933886055216,37.879495991397775,
,,,,Berkeley,94702,-122.28609084346861,37.85573150118672,
,,,,Berkeley,94703,-122.27655583847906,37.86957368141323,
,,,,Berkeley,94702,-122.28089094275082,37.86349379627866,
,,,,Berkeley,94702,-122.28851464183595,37.87750844482564,
,,,,Berkeley,94709,-122.26087639916611,37.877400180065486,
,,,,Berkeley,94707,-122.27334418796305,37.887872900608855,
,,,,Berkeley,94703,-122.27599299544445,37.86411656926448,
,,,,Berkeley,94702,-122.27898203085662,37.85049410279991,
,,,,Berkeley,94707,-122.28652093616546,37.89679279243033,
,,,,Berkeley,94705,-122.2552166679223,37.85726901189624,
,,,,Berkeley,94702,-122.28282281109207,37.87129018895398,
,,,,Berkeley,94704,-122.27022268428411,37.862384687054,
,,,,Berkeley,94709,-122.27100829333953,37.88150576685003,
,,,,Berkeley,94709,-122.26526779546683,37.88469249375693,
,,,,Berkeley,94707,-122.27396083918485,37.89092911602643,
,,,,Berkeley,94709,-122.2610104457728,37.87841446062866,
,,,,Berkeley,94707,-122.27740551987215,37.893759930072214,
,,,,Berkeley,94703,-122.26775053229997,37.85579849761212,
,,,,Berkeley,94705,-122.25370513837052,37.856236202830424,
,,,,Berkeley,94702,-122.28998708748635,37.863574023520755,
,,,,Berkeley,94704,-122.27057486070646,37.863819749224334,
,,,,Berkeley,94709,-122.26556286688489,37.88593906995531,
,,,,Berkeley,94703,-122.2746963204508,37.871972683074574,
,,,,Berkeley,94704,-122.26229458298008,37.86767914691994,
,,,,Berkeley,94705,-122.25837306396352,37.85498171767854,
,,,,Berkeley,94703,-122.27494756396443,37.85174862033788,
,,,,Berkeley,94703,-122.27712904447878,37.86027101991754,
,,,,Berkeley,94703,-122.26683970168718,37.85352297956547,
,,,,Berkeley,94709,-122.26311176512279,37.87854262134321,
,,,,Berkeley,94704,-122.27226920011353,37.87002798368008,
,,,,Berkeley,94702,-122.2824957120392,37.8709086728558,
,,,,Berkeley,94702,-122.2800976935239,37.84884470662434,
,,,,Berkeley,94705,-122.263508559967,37.85405530964773,
,,,,Berkeley,94709,-122.27023119312648,37.88473975384364,
,,,,Berkeley,94710,-122.29482958268852,37.87615380819616,
,,,,Berkeley,94703,-122.27751940019903,37.85190834985419,
,,,,Berkeley,94708,-122.25506304073733,37.89259905622509,
,,,,Berkeley,94703,-122.26874683761204,37.85692294016487,
,,,,Berkeley,94702,-122.29363783451332,37.87486099903881,
,,,,Berkeley,94704,-122.26793971300725,37.86228772259683,
,,,,Berkeley,94708,-122.25360427822534,37.88677757924978,
,,,,Berkeley,94703,-122.26858632663705,37.8540954879968,
,,,,Berkeley,94710,-122.29232510572717,37.86745916098127,
,,,,Berkeley,94704,-122.27030275202371,37.87076652266191,
,,,,Berkeley,94704,-122.2643868841429,37.86407763391778,
,,,,Berkeley,94703,-122.27923423646594,37.877334963175315,
,,,,Berkeley,94709,-122.26846059573494,37.87615367063544,
,,,,Berkeley,94704,-122.2719699739873,37.86496931351401,
,,,,Berkeley,94708,-122.25265457481527,37.88525258317665,
,,,,Berkeley,94702,-122.2912082662669,37.87634690490973,
,,,,Berkeley,94704,-122.26706097291135,37.87110288387919,
,,,,Berkeley,94704,-122.25876943300625,37.865309206674084,
,,,,Berkeley,94707,-122.27977141014132,37.89411626384164,
,,,,Berkeley,94705,-122.2640710095395,37.85462077643832,
,,,,Berkeley,94707,-122.28546027913967,37.89159855619069,
,,,,Berkeley,94707,-122.28244557526658,37.89841968728038,
,,,,Berkeley,94702,-122.28538184813051,37.862281244678364,
,,,,Berkeley,94705,-122.25469748480712,37.85560371926298,
,,,,Berkeley,94708,-122.2509269285724,37.88786739196553,
,,,,Berkeley,94704,-122.25408880343852,37.86550462103968,
,,,,Berkeley,94703,-122.27364214387147,37.855169600653724,
,,,,Berkeley,94702,-122.2865561725825,37.86656811146898,
,,,,Berkeley,94703,-122.27482330090947,37.86381528626252,
,,,,Berkeley,94708,-122.25383279526062,37.88755341350435,
,,,,Berkeley,94706,-122.28407033296835,37.881993228713306,
,,,,Berkeley,94709,-122.2702388871969,37.8739529490932,
,,,,Berkeley,94704,-122.27191938715869,37.863758184014614,
,,,,Berkeley,94702,-122.27995026830766,37.856197178208525,
,,,,Berkeley,94702,-122.2835356440331,37.88052357222916,
,,,,Berkeley,94704,-122.26823853399328,37.86359350728664,
,,,,Berkeley,94703,-122.27571470904752,37.88249029946577,
,,,,Berkeley,94709,-122.27097966133647,37.881178512376685,
,,,,Berkeley,94708,-122.26502243322336,37.87961315510777,
,,,,Berkeley,94709,-122.2661499132282,37.87679219567866,
,,,,Berkeley,94702,-122.28371862905985,37.85079834137205,
,,,,Berkeley,94702,-122.28063780109697,37.857998005284465,
,,,,Berkeley,94708,-122.25272240211079,37.88562741583139,
,,,,Berkeley,94704,-122.26998378362248,37.86939494974409,
,,,,Berkeley,94708,-122.26530044653248,37.882861465702895,
,,,,Berkeley,94708,-122.26744362557805,37.89645178627217,
,,,,Berkeley,94707,-122.27055383653556,37.895629078399075,
,,,,Berkeley,94707,-122.28681514520083,37.89231454649695,
,,,,Berkeley,94704,-122.2619736203189,37.86531248095933,
,,,,Berkeley,94710,-122.29913998957815,37.86688112770135,
,,,,Berkeley,94704,-122.25235139071188,37.86510615318887,
,,,,Berkeley,94707,-122.2802075476017,37.883635302831074,
,,,,Berkeley,94702,-122.28974056282289,37.86819117030594,
,,,,Berkeley,94705,-122.26076409897578,37.8581483520795,
,,,,Berkeley,94703,-122.27517442181136,37.852625844557885,
,,,,Berkeley,94705,-122.25374250020151,37.8603795070146,
,,,,Berkeley,94705,-122.26056177052601,37.85277946154719,
,,,,Berkeley,94704,-122.26745466497457,37.87243684918446,
,,,,Berkeley,94703,-122.27106612238597,37.85115003907218,
,,,,Berkeley,94704,-122.26855944455217,37.86591312722861,
,,,,Berkeley,94709,-122.26993557822767,37.88222783798994,
,,,,Berkeley,94703,-122.27695035070413,37.84922668735866,
,,,,Berkeley,94703,-122.2792768857807,37.871061255421935,
,,,,Berkeley,94703,-122.28175600240323,37.87246857412492,
,,,,Berkeley,94702,-122.28595854408513,37.851590716954725,
,,,,Berkeley,94709,-122.25958120908759,37.8754284433809,
,,,,Berkeley,94704,-122.25984131358321,37.86798885519118,
,,,,Berkeley,94703,-122.276957225511,37.88010147183458,
,,,,Berkeley,94705,-122.26458290821603,37.85279886021331,
,,,,Berkeley,94703,-122.2750404120356,37.87647511814775,
,,,,Berkeley,94702,-122.28022196196875,37.8535212985394,
,,,,Berkeley,94702,-122.2893736675046,37.87065013910503,
,,,,Berkeley,94705,-122.2517900945762,37.861987825011134,
,,,,Berkeley,94704,-122.26509786296114,37.8647642911025,
,,,,Berkeley,94704,-122.26766093253687,37.861935573781025,
,,,,Berkeley,94704,-122.26809783895516,37.87186304654607,
,,,,Berkeley,94703,-122.27901953462144,37.871095741576696,
,,,,Berkeley,94704,-122.25214495696125,37.86696329933026,
