GEOID20,corridor,acres,parcels,units_per_block,headroom_mh_byright,headroom_mh_bonus,headroom_corridor_est,headroom_hillside,headroom_total
060014229012008,,5.330063078246757,5,0,0,0,346,0,346
060014235001005,,5.124718506247542,42,81,279,447,0,0,279
060014235001012,,5.188965905429005,36,40,247,391,0,0,247
060014235001003,,5.293244376408149,15,60,0,0,245,0,245
060014229012000,,0.336310424176812,0,0,0,0,0,0,0
060014229012005,,0.3269204196810597,0,51,0,0,0,0,0
060014229012009,,0.31926015285557763,0,0,0,0,0,0,0
060014235001010,,0.30418672458608054,0,0,0,0,0,0,0
060014220001037,,2.0092138567095215,2,1,0,0,28,0,28
060014216002001,,12.824027982001478,64,58,0,0,0,0,0
060014215001011,,2.2755934579311257,9,9,0,0,0,0,0
060014229011001,,4.103679070025215,14,26,0,0,260,0,260
060014222003016,University,1.4146783088995216,3,1,0,0,125,0,125
060014228003006,,1.8362400896825055,4,1,0,0,176,0,176
060014220001050,,2.485633032178216,8,4,55,87,0,0,55
060014239022004,,0.45072021579610955,0,0,0,0,0,0,0
060014233003004,,4.845242319808178,75,38,7,11,283,0,290
060014239012009,,2.2812768817048705,16,25,65,105,58,0,123
060014239011025,,0.6674316353428136,4,14,0,0,43,0,43
060014240014016,,0.4761720700872276,3,10,18,30,0,0,18
060014240014012,Adeline,2.3979106217573722,13,34,6,10,168,0,174
060014240014018,Adeline,0.43663520905248115,1,0,0,0,14,0,14
060014238002002,,3.21928890975423,14,15,0,0,66,0,66
060014238001004,,5.2502480400328615,22,24,0,0,0,0,0
060014238002013,,2.7478118419148787,20,22,0,0,0,0,0
060014223001007,,4.684870927235988,32,45,220,348,0,0,220
060014223002004,,2.0949594240786276,18,19,110,174,0,0,110
060014222001018,,3.1691265173163954,18,21,124,196,0,0,124
060014222002005,,2.6133865143967405,22,30,148,236,0,0,148
060014222001017,,2.795256075156574,15,21,100,160,0,0,100
060014222002006,,4.0498100968653725,33,45,225,357,0,0,225
060014222002002,,3.114763333393619,25,32,171,271,0,0,171
060014222002010,University,2.6625604853087066,10,99,0,0,168,0,168
060014231001011,,4.538584541407426,31,51,209,333,0,0,209
060014231002001,,11.615435561245574,16,63,112,176,0,0,112
060014231002006,,0.5431376284648294,0,0,0,0,0,0,0
060014231002003,,4.522769796993527,35,52,236,376,0,0,236
060014231004009,,0.553021843723516,0,0,0,0,0,0,0
060014233001004,,0.28046460796523265,0,0,0,0,0,0,0
060014231004007,,3.84693657868083,31,41,211,335,0,0,211
060014231004005,,4.587511406937924,35,43,235,375,0,0,235
060014232002005,,9.824909967134493,64,128,401,645,0,0,401
060014232001019,,4.848207584385784,23,31,153,245,0,0,153
060014232001020,,5.077274273005846,17,22,114,182,0,0,114
060014220001022,,5.0542934725294,18,22,123,195,0,0,123
060014232002015,,0.42675099379379455,0,0,0,0,0,0,0
060014232002004,,4.887250234657596,32,86,189,305,0,0,189
060014232002001,,2.8528316290384237,22,32,19,31,306,0,325
060014232002009,,0.39265045115132574,0,0,0,0,0,0,0
060014220001028,,5.0402084657857715,19,7,0,0,1284,0,1284
060014220001026,,5.647593493432064,0,0,0,0,0,0,0
060014220001044,,17.192604020959497,2,0,0,0,0,0,0
060014220001075,,33.32487885004338,15,17,0,0,1227,0,1227
060014220001033,,0.27329855190268487,0,0,0,0,0,0,0
060014220001051,,2.358373760722626,2,0,14,22,0,0,14
060014220001073,,0.34125253180615533,0,0,0,0,0,0,0
060014220001053,,6.880896452334686,4,0,0,0,569,0,569
060014220002057,,3.364092663293989,19,19,104,164,30,0,134
060014220002042,,2.8599976851009714,26,16,0,0,1167,0,1167
060014220002065,,1.723312930352011,16,12,104,164,0,0,104
060014221001007,,0.2639085474069326,0,0,0,0,0,0,0
060014221001005,,3.4199384795055683,19,47,118,186,45,0,163
060014221001008,,0.2644027581698669,0,0,0,0,0,0,0
060014221001022,,0.2587193343961221,0,0,0,0,0,0,0
060014221002007,,0.3924033457698585,0,7,0,0,0,0,0
060014221001010,,3.355196869561171,14,17,92,148,0,0,92
060014221001011,,3.1992733738553896,21,22,146,230,0,0,146
060014220002015,,2.668985225226853,1,0,0,0,182,0,182
060014219004016,,0.5606821105489982,0,0,0,0,0,0,0
060014219004017,,3.8370523634221434,34,37,233,369,0,0,233
060014219004005,,2.878530588711009,23,26,158,250,0,0,158
060014221001003,,0.27058039270654605,0,0,0,0,0,0,0
060014219003007,,0.4455310027852991,0,0,0,0,0,0,0
060014221001019,,3.1219293894561666,17,17,118,186,0,0,118
060014221002004,,4.599372465248348,34,41,234,370,0,0,234
060014221001023,,0.7232774515543929,6,10,0,0,52,0,52
060014219003005,,2.5110848864693343,26,28,176,280,0,0,176
060014219003010,,2.5231930501612254,20,27,132,212,0,0,132
060014219003011,,3.8486663163511,27,31,184,292,0,0,184
060014219003013,,2.298574258407572,15,11,0,0,139,0,139
060014219003012,,1.7942321748330874,12,16,80,128,0,0,80
060014219002015,,1.4922693986802114,9,10,62,98,0,0,62
060014222001022,,3.621576470782775,30,45,201,321,0,0,201
060014222001021,,3.7372217893094084,33,34,205,325,0,0,205
060014220002038,,9.394946603381626,10,0,0,0,1332,0,1332
060014220001010,,12.911256181659388,0,0,0,0,0,0,0
060014219004002,,3.633437529093199,29,41,194,310,0,0,194
060014212003010,,10.02481822074143,33,32,0,0,0,0,0
060014212003012,,4.8225086247131985,24,24,0,0,0,0,0
060014212004006,,5.466712354198099,39,41,0,0,0,0,0
060014213002013,,3.9062418702329498,29,30,201,317,0,0,201
060014213001016,,2.9067006021982658,20,20,0,0,0,0,0
060014213001017,,2.941542460985136,21,21,0,0,0,0,0
060014213002011,,3.936882937534878,28,19,195,307,0,0,195
060014213002015,Solano,4.1671851530622765,25,59,7,11,188,0,195
060014213004002,Solano,3.697190717511728,17,14,70,110,74,0,144
060014213001021,Solano,6.7889732504289,41,26,0,0,269,0,269
060014213002001,,3.8449597356290925,30,30,205,325,0,0,205
060014220002029,,2.292396623870893,0,0,0,0,0,0,0
060014220002003,,6.9226572618026365,2,3,0,0,606,0,606
060014240021011,,1.3321451114894882,9,17,59,95,0,0,59
060014227003003,College–Southside,3.97419585013642,17,71,0,0,219,0,219
060014228001004,,3.3559381857055723,1,66,0,0,350,0,350
060014228001007,,1.7522242599836693,2,14,0,0,196,0,196
060014228002001,Telegraph,1.7270195110740185,6,2,0,0,149,0,149
060014228002004,,0.6014544984910805,2,5,0,0,65,0,65
060014228001012,Telegraph,2.8063758173225968,9,42,0,0,479,0,479
060014228001011,,3.3477837081171558,1,63,0,0,359,0,359
060014229011003,,3.421421111794371,14,147,0,0,303,0,303
060014228003002,,1.0173328555003196,3,54,0,0,28,0,28
060014215001018,,2.87581242951487,17,17,0,0,0,0,0
060014225003011,,0.979031521372909,4,32,0,0,59,0,59
060014215003014,,5.743964592204258,29,22,0,0,0,0,0
060014220002064,,1.5547870601914042,9,16,60,96,0,0,60
060014220002066,,1.7593903160462172,9,6,62,98,0,0,62
060014212002001,,3.6020551456468692,13,13,0,0,0,0,0
060014213004008,,0.35682017083858675,0,0,0,0,0,0,0
060014214002006,,0.49865865980073965,0,0,0,0,0,0,0
060014211002014,,2.125353385999089,11,12,0,0,0,0,0
060014211002019,,7.783078200071307,45,45,0,0,0,0,0
060014240014002,,4.891203920761071,30,67,102,162,225,0,327
060014232001002,University,3.361868714860784,16,97,0,0,198,0,198
060014224004007,,0.2693448657992102,0,0,0,0,0,0,0
060014222002011,,0.2557540698185161,0,0,0,0,0,0,0
060014222001015,,0.4010520341212093,0,0,0,0,0,0,0
060014217001010,,4.705133568516295,31,91,165,261,40,0,205
060014237001002,,0.26637960122160426,0,0,0,0,0,0,0
060014212004004,,13.440555908762057,69,70,0,0,0,0,0
060014212002006,,8.371683218726094,51,53,0,0,0,0,0
060014230002000,,2.1290599667210963,13,35,85,137,0,0,85
060014220002032,,3.5140856298445584,2,1,0,0,0,0,0
060014220002023,,4.665596707481549,1,0,0,0,0,0,0
060014220002005,,0.2656382850772027,0,0,0,0,0,0,0
