project_id,address,units,status,db_stories,footprint_sf,footprint_source,lot_area_sf,coverage_pct,stories,gfa_sf,sf_per_unit,proposed_col,col_basis,footprint_reject,raw_units_row,raw_coverage_row,verdict,checks,doc_title
133,2128 Oxford St,485,Entitled,26.0,12654383,lot x coverage,35573.0,35573.0,,,,1,FALLBACK second column (units row absent or no match),,16|456,17895|35573,WEAK,fp/lot=35573% vs 35573%,2023-11-03 RESUB 1.E Tabulation Form 11-01-23
27,2441 LE CONTE Ave,65,Completed,7.0,9109,lot x coverage,12830.0,71.0,5.0,,701,1,"units row: 0 existing, proposed taken as 0",,0|0,46|71|45|40|35,PASS,fp/lot=71% vs 71%; 701 sf/unit,2023-10-24 1E Tabulation Form Nov 2019
144,2127 DWIGHT Way,58,Withdrawn,6.0,15875,lot x coverage,24300.0,65.33,6.0,,1642,1,FALLBACK second column (units row absent or no match),,16|66|0,24.72|65.33|35,PASS,fp/lot=65% vs 65%; 1642 sf/unit,2023-10-09 Revised Tabulation Form  2127-2159 Dwight
119,1974 SHATTUCK Ave,599,Entitled,28.0,24973.0,stated,,88.0,28.0,411330.0,1167,1,FALLBACK second column (units row absent or no match),,,80|88|100,WEAK,1167 sf/unit,2023-07-21_RESUB_1.E - 2209 - Tabulation_Form_1974 Shattuck
7,2601 SAN PABLO Ave,223,In Review,8.0,18706.0,stated,,65.0,8.0,129658.0,671,1,FALLBACK second column (units row absent or no match),,,28|65|100,WEAK,671 sf/unit,2023-06-09_1.E - 2023 - Tabulation_Form_New
134,2480 Bancroft Way,28,Completed,8.0,5330,lot x coverage,6500.0,82.0,8.0,,1523,1,units row: 28 matches v2 28,,0|28,90.5|82,PASS,fp/lot=82% vs 82%; 1523 sf/unit,2023-05-01 RESUB Tabulation Form 2480 Bancroft
12,2115 KITTREDGE St,148,In Review,10.0,12650.0,stated,,,17.0,158340.0,1453,1,FALLBACK second column (units row absent or no match),,,,WEAK,1453 sf/unit,2023-03-07 RESUB 1E Revised Tabulation Form 2115 Kittredge
181,2015 Blake St,168,Entitled,7.0,3046,lot x coverage,5857.0,52.0,2.0,3953.0,36,1,FALLBACK second column (units row absent or no match),,2020|7,2|52|35,SUSPECT,fp/lot=52% vs 52%; 36 sf/unit,2023-02-09 RESUB 12. Revised Tabulation Forms 2015 Blake
40,1710 UNIVERSITY Ave,16,In Review,4.0,,,,,,,,,,,,,NO-READ,,
10,3000 SHATTUCK Ave,166,Entitled,10.0,9173.0,stated,,68.0,3.0,81330.0,166,1,FALLBACK second column (units row absent or no match),,,68,SUSPECT,166 sf/unit,2022-07-08_RESUB_Tabulation_Form_3000 Shattuck
180,2065 Kittredge St,189,Entitled,8.0,,,,,,,,,,,,,NO-READ,,
148,2018 BLAKE St,12,Permitted,6.0,16,lot x coverage,5189.0,0.3,6.0,,8,1,units row: 12 matches v2 12,,1|12|0.3,50|0.3,SUSPECT,fp/lot=0% vs 0%; 8 sf/unit,2021-10-18 RESUB Plan Check 2 Tabulation Form 2018 Blake
381,2980 College Ave,4,Completed,,3725.0,stated,7150.0,,,2923.0,,1,units row: v2 4 matches EXISTING; proposed taken as the larger 4,,3|4,,UNVERIFIED,,2020-09-17 RESUB Tabulation Form 2980 College
158,1367 UNIVERSITY Ave,39,Completed,4.0,2543.0,stated,,49.0,3.0,11330.0,196,1,FALLBACK second column (units row absent or no match),,,49,SUSPECT,196 sf/unit,2020-01-31 RESUB 0 - Revised Tabulation Form 1367 University
173,2000 DWIGHT Way,113,Completed,6.0,22177.0,stated,,78.0,3.0,86059.0,589,1,FALLBACK second column (units row absent or no match),,,44|78|45|40,WEAK,589 sf/unit,2019-12-18 RESUB 03-REVISED-2.1 Tabulation Form 2000 Dwight
149,2198 SAN PABLO Ave,100,Entitled,7.0,9800.0,stated,,100.0,6.0,29400.0,588,1,"units row: 0 existing, proposed taken as 57",,0|57|42|57,90|100|100,WEAK,588 sf/unit,2019-04-02 RESUB Revised Tabulation Form 2198 San Pablo
16,2720 SAN PABLO Ave,113,In Review,10.0,,,,98.0,6.0,37800.0,,1,FALLBACK second column (units row absent or no match),,,19|98,UNVERIFIED,,2019-03-22 RESUB Revised Tabulation Form 3.21.19 2720 San Pablo
136,1951 Shattuck Ave,163,Completed,12.0,16588,lot x coverage,17424.0,95.2,,179680.0,,1,FALLBACK second column (units row absent or no match),,,90.9|95.2,WEAK,fp/lot=95% vs 95%,2018-09-12 RESUB  Tabulation Form  1951 Shattuck
91,2009 ADDISON St,45,Completed,7.0,,,,,,,,,,,,,NO-READ,,
898,2597 TELEGRAPH Ave,10,Completed,,,,,,,,,,,,,,NO-READ,,
890,2539 TELEGRAPH Ave,70,Completed,,14788.0,stated,16679.0,89.0,,7103.0,,1,FALLBACK second column (units row absent or no match),,,64|89,WEAK,fp/lot=89% vs 89%,2014-08-21 DRC ATT3 2539 Telegraph Tabulation Form
894,2631 DURANT Ave,56,Completed,,,,,,,,,,,,,,NO-READ,,
219,2701 Shattuck Ave,57,Completed,,,,,,,,,,,,,,NO-READ,,
172,2650 TELEGRAPH Ave,45,Completed,5.0,9261.0,stated,,85.0,5.0,34448.0,1029,1,units row: 45 matches v2 45,,0|45,26.3|85,WEAK,1029 sf/unit,00 -1758 - Tabulation Form Revised R1
