camera_rank,project_id,address,units,status,nearest_m,dwell_s,n_tours,has_tabulation,has_plan_set,harvest_target
76,23,2326 DURANT Ave,70,In Review,98,7.5,1,0,0,1
77,117,2317 CHANNING Way,22,Stalled,104,7.5,1,0,0,1
78,24,2330 DURANT Ave,68,In Review,111,7.5,1,0,0,1
79,28,2372 ELLSWORTH St,63,Entitled,112,7.5,1,0,0,1
80,155,1700 SACRAMENTO St,85,In Review,119,7.5,1,0,0,1
81,39,1790 UNIVERSITY Ave,17,In Review,29,5.0,1,0,1,1
82,152,1598 UNIVERSITY Ave,207,Completed,45,5.0,1,0,0,1
83,158,1367 UNIVERSITY Ave,39,Completed,49,5.0,1,0,0,1
84,44,2428 MILVIA St,8,In Review,68,5.0,1,0,0,1
85,167,2435 SAN PABLO Ave,40,In Review,82,5.0,1,0,0,1
86,126,2427 San Pablo,78,Completed,108,5.0,1,0,1,1
87,89,2027 SEVENTH St,0,In Review,127,5.0,1,0,0,1
88,114,2727 HASTE St,45,In Review,61,3.0,1,0,1,1
89,139,2538 DURANT Ave,83,Under Construction,14,2.5,1,0,1,1
90,157,2587 TELEGRAPH Ave,52,Withdrawn,95,2.5,1,1,0,0
91,171,2400 BOWDITCH St,750,Pre-Application,104,2.5,1,0,0,1
92,122,2530 BANCROFT Way,110,Entitled,114,2.5,1,0,1,1
93,173,2000 DWIGHT Way,113,Completed,135,2.5,1,0,0,1
94,36,2733 SAN PABLO Ave,152,In Review,149,2.5,1,1,1,0
95,68,1236 DWIGHT Way,2,In Review,159,0.0,0,0,0,0
96,65,1922 FRANCISCO St,2,In Review,171,0.0,0,0,0,0
97,110,2143 BLAKE St,0,In Review,173,0.0,0,0,0,0
98,66,2204 DWIGHT Way,2,In Review,192,0.0,0,1,0,0
99,1,1750 SACRAMENTO St,739,Entitled,198,0.0,0,0,1,0
100,7,2601 SAN PABLO Ave,223,In Review,199,0.0,0,1,1,0
101,4,1914 FIFTH St,257,In Review,200,0.0,0,0,1,0
102,159,2403 SAN PABLO Ave,36,Under Construction,207,0.0,0,0,0,0
103,45,2200 FIFTH St,8,Withdrawn,218,0.0,0,0,0,0
104,54,2205 BLAKE St,3,In Review,221,0.0,0,0,0,0
105,62,2201 BLAKE St,3,Entitled,221,0.0,0,0,0,0
106,63,1716 SEVENTH St,2,Completed,224,0.0,0,0,0,0
107,168,3000 SAN PABLO Ave,78,Completed,225,0.0,0,0,0,0
108,37,2614 TELEGRAPH Ave,31,In Review,233,0.0,0,0,0,0
109,73,0 LE ROY Ave,1,In Review,237,0.0,0,0,0,0
110,74,2328 GRANT St,1,In Review,247,0.0,0,0,0,0
111,161,2555 COLLEGE Ave,12,Completed,249,0.0,0,0,0,0
112,163,0 PARKER St,1,Permitted,254,0.0,0,0,0,0
113,55,2221 FIFTH St,3,In Review,260,0.0,0,0,0,0
114,27,2441 LE CONTE Ave,65,Completed,265,0.0,0,0,1,0
115,79,1111 ALLSTON Way,1,Completed,269,0.0,0,0,0,0
116,87,1109 COWPER St,0,Completed,270,0.0,0,0,0,0
117,128,2833 Seventh St,3,Entitled,270,0.0,0,0,0,0
118,56,1650 FIFTH St,3,In Review,274,0.0,0,0,0,0
119,69,2808 NINTH St,2,In Review,276,0.0,0,0,0,0
120,52,2437 WARRING St,4,In Review,286,0.0,0,0,0,0
121,41,2147 SAN PABLO Ave,15,Entitled,291,0.0,0,0,1,0
122,169,3020 SAN PABLO Ave,29,In Review,292,0.0,0,0,0,0
123,61,2812 EIGHTH St,3,In Review,312,0.0,0,0,0,0
124,145,1708 HARMON St,80,Permitted,319,0.0,0,0,0,0
125,132,1627 Jaynes St,0,Permitted,334,0.0,0,0,0,0
126,31,2712 TELEGRAPH Ave,57,In Review,343,0.0,0,0,0,0
127,172,2650 TELEGRAPH Ave,45,Completed,346,0.0,0,0,0,0
128,43,1015 UNIVERSITY Ave,9,In Review,356,0.0,0,0,0,0
129,146,2800 TELEGRAPH Ave,18,Permitted,358,0.0,0,0,1,0
130,140,2136 SAN PABLO Ave,125,Entitled,359,0.0,0,0,1,0
131,149,2198 SAN PABLO Ave,100,Entitled,361,0.0,0,1,1,0
132,99,2238 SEVENTH St,0,In Review,367,0.0,0,0,0,0
133,49,1618 SIXTH St,4,In Review,371,0.0,0,0,0,0
134,129,1614 Sixth St,3,Completed,371,0.0,0,0,0,0
135,92,3036 REGENT St,1,Completed,393,0.0,0,0,0,0
136,84,2705 BENVENUE Ave,0,Completed,398,0.0,0,0,0,0
137,53,2641 COLLEGE Ave,3,Completed,403,0.0,0,0,0,0
138,150,3030 TELEGRAPH Ave,144,Completed,405,0.0,0,0,0,0
139,102,1246 ROSE St,0,Completed,412,0.0,0,0,0,0
140,85,1730 PARKER St,0,Permitted,420,0.0,0,0,0,0
141,72,5 W PARNASSUS Ct,1,Permitted,429,0.0,0,0,0,0
142,108,830 BANCROFT Way,0,In Review,431,0.0,0,0,0,0
143,105,1187 SHATTUCK Ave,0,Completed,446,0.0,0,0,0,0
144,82,3035 COLBY St,0,Entitled,451,0.0,0,0,0,0
145,32,1740 SAN PABLO Ave,54,Permitted,455,0.0,0,0,0,0
146,103,1512 CHANNING Way,0,In Review,458,0.0,0,0,0,0
147,47,1850 BERRYMAN St,6,In Review,471,0.0,0,0,0,0
148,131,811 Cedar,0,Permitted,474,0.0,0,0,0,0
149,97,1507 JOSEPHINE St,0,In Review,483,0.0,0,0,0,0
150,50,2420 ASHBY Ave,4,In Review,498,0.0,0,0,0,0
151,46,1745 CEDAR St,6,In Review,511,0.0,0,0,0,0
152,57,3101 SACRAMENTO St,3,In Review,527,0.0,0,0,0,0
153,81,1522 JOSEPHINE St,0,In Review,536,0.0,0,0,0,0
154,67,1419 GRANT St,2,Permitted,577,0.0,0,0,0,0
155,60,1464 SIXTH St,3,Permitted,600,0.0,0,0,0,0
156,64,1515 DERBY St,2,Completed,603,0.0,0,0,0,0
157,58,1449 CORNELL Ave,3,In Review,628,0.0,0,0,0,0
158,86,2740 SHASTA Rd,0,In Review,651,0.0,0,0,0,0
159,77,1420 FIFTH St,1,In Review,762,0.0,0,0,0,0
160,83,1136 KEITH Ave,1,Completed,778,0.0,0,0,0,0
161,130,1048 Keith St,0,Entitled,857,0.0,0,0,1,0
162,98,1338 SEVENTH St,0,In Review,923,0.0,0,0,0,0
163,75,1939 MARIN Ave,1,In Review,965,0.0,0,0,0,0
164,78,1139 KEELER Ave,1,In Review,996,0.0,0,0,0,0
165,71,40 HILL Rd,1,Completed,1320,0.0,0,0,0,0
166,100,703 SANTA BARBARA Rd,0,In Review,1766,0.0,0,0,0,0
167,88,705 ARLINGTON Ave,0,Completed,1795,0.0,0,0,0,0
168,80,659 GRIZZLY PEAK Blvd,1,In Review,2043,0.0,0,0,0,0
169,90,576 SAN LUIS Rd,0,Completed,2072,0.0,0,0,0,0
170,101,385 VERMONT Ave,0,In Review,2405,0.0,0,0,0,0
171,111,411 VASSAR Ave,0,Completed,2489,0.0,0,0,0,0
