developer,project_count,total_units,vli_units,market_rate_units,density_bonus_projects
Unknown/Individual,14,897,196,701,7
Berkeley Ruby WIP Development LLC,1,113,0,113,0
Panoramic Interests,2,107,39,68,1
RCD,1,87,86,1,1
2650 TELEGRAPH LP,1,45,0,45,0
