id,address_display,units,status,permits,filed,complete,entitled,bp_issued,co_date,height_stories,height_feet,is_uc_project,construction_status,developer,architect,description,latitude,longitude,processing_days,density_bonus,vli_units,apn,owner,accela_status,accela_status_date,construction_start,estimated_completion,sb35_flag,sb330_flag,ab2011_flag,total_fees,app_packet_mb,construction_method,field_survey_date,field_survey_notes,demolition_permit_date,demolition_start_date,inspection_count,first_inspection_date,last_inspection_date,final_inspection_date,density_bonus_pct,construction_data_reliability,is_stalled,fee_count,unit_category,tenure,project_size,created_at,updated_at,bp_filed_date,total_units,year,pipeline_stage,construction_substage,coord_source,project_category
32,"1740 SAN PABLO Ave",54,"Under Review",PLN2023-0065,2023-01-01,"","",,,6,,0,,,,"SB 35 Preliminary Development Application (Modification): Demolition of existing 1 story commercial structure.  Construction of a 6-story, 54 units, Mixed-Use Residential building with 100% affordable housing, processing under SB-35 and State Density Bonus for additional height of 33"" and no density limit.",37.8718930674779,-122.29344912367,1187,1,0,"058 212701403",,,,,,1,0,0,1270.0,26.7,,,,,,,,,,,Unknown,0,1,5+,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,54.0,2023,"In Review",,initial_import,housing_addition
33,"130 BERKELEY Sq",50,"In Review",ZP2021-0158,2021-11-19,2021-11-19,"",,,7,,0,,,,"50 unit multi-family mixed-use project",37.870858,-122.267959,0,0,0,57-2032-17,,"ness Review [COMPLETE]: Application Complete",2021-11-19,,,0,0,0,107645.5,0.84,,,,,,,,,,,estimated_height,0,1,5+,Renter,"Large (21-50)","2026-04-01 21:02:26","2026-04-01 21:02:26",,50.0,2021,"In Review",,initial_import,housing_addition
34,"2680 BANCROFT Way",79,Entitled,"ZP2023-0096, ZP2024-0029",2024-03-19,2024-04-30,2025-06-13,,,8,,0,pre_demolition,,,"Conversion of the Bancroft Hotel (17,466 SF) into a residential building, with 15 dwelling units and 22 Group Living Accommodation rooms for a total of 37 units.  This project will retain & rehabilitate the original facades of the historic building.",37.8689772111055,-122.254936010023,451,0,9,"055 187100103",,"Case Closed: Approved",2025-06-13,,,0,0,0,19998.0,0.0,,2026-04-03,"Vacant, waiting for demolition.",,,,,,,,Estimated,1,1,5+,Renter,"Large (21-50)","2026-04-01 21:02:26","2026-04-01 21:02:26",,37.0,2023,Entitled,"Demolition Pending",initial_import,housing_addition
35,"2190 SHATTUCK Ave",452,"Under Review","ZP2016-0117, ZP2025-0101",2025-11-21,"","",,,34,,0,,,,"SB-330: 34-story mixed-use tower with 452 units. Originally approved as 25-story (ZP2016-0117), modified 2025 to increase density bonus to 34 stories (ZP2025-0101).",37.8694886042646,-122.268646084414,132,1,0,"057 202600405","LMP Shattuck Property Owner LL","Completeness Review: Incomplete Pending Applicant",2025-11-21,,,0,1,0,5430.0,0.0,,,,,,,,,,,Unknown,0,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,452.0,2025,"In Review",,initial_import,housing_addition
36,"2733 SAN PABLO Ave",32,"In Review",ZP2023-0090,2023-09-18,2024-05-09,"",,,8,,0,,"NX Ventures","Trachtenberg Architects","Demolition of existing non-landmarked structures. Construction of a new 8-story mixed-use residential development with ground level lobbies and commercial spaces with a State of California Density.",37.8563482554291,-122.287616145137,234,0,0,"054 174203200",,"Due 05/10/2024, assigned to Niloufar Karimzadegan  Marked as Resubmittal Pending Staff on 04/10/2024 by Niloufar Karimzadegan: Application Complete",2024-05-09,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,1,5+,Renter,"Large (21-50)","2026-04-01 21:02:26","2026-04-01 21:02:26",,32.0,2023,"In Review",,initial_import,housing_addition
37,"2614 TELEGRAPH Ave",31,"Corrections Pending Applicant",ZP2024-0027,2024-01-01,2025-04-30,"",,,5,57,0,,,"SDT Architects","SB-330 Mixed-Use Housing Development Project. Use Permit to merge two parcels, demolish a single-family dwelling (2614 Telegraph) and a commercial office (2417 Carleton), and construct a 38,000 square-foot, 5-story (57-foot) mixed-use building with 32 dwelling units (3 Very Low-Income, 2 Low-Income), and 605 sq. ft. of commercial space, using a State Density Bonus.",37.8626827296241,-122.259139834498,485,1,3,"055 183600800",,,,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,0,5+,Renter,"Large (21-50)","2026-04-01 21:02:26","2026-04-01 21:02:26",,32.0,2024,"In Review",,initial_import,housing_addition
38,"2449 DWIGHT Way",39,"ZAB Review",ZP2022-0021,2022-01-01,"","",,,4,,0,,,,"Renovation of existing 4-story 27,456 square foot, mixed-use building, and add 4 additional stories of residential dwelling units, resulting in an 8-story, 56,217 square foot, mixed-use building, containing 51 residential dwelling units (24 replacement units, plus 27 new dwelling units including 2 Very Low Income units), a 3,600 square-foot ground-floor commercial space. [Updated: project now shows 63 total units per ZAB review 2025]",37.8653092021721,-122.258769415988,1552,0,2,"055 188100400",,,,,,0,0,0,107580.0,0.0,,,,,,,,,,,Unknown,0,1,5+,Renter,"Large (21-50)","2026-04-01 21:02:26","2026-04-01 21:02:26",,63.0,2022,"In Review",,initial_import,housing_addition
39,"1790 UNIVERSITY Ave",17,"Under Review",ZP2023-0070,2023-01-01,"","",,,5,56,0,,,,"Demolish two nonresidential structures and one single-family residence, and construct a 5-story (56 feet) mixed-use building with 17 dwelling units (two VLI) and 950 square feet of ground-floor retail, utilizing State Density Bonus",37.8709391863101,-122.27560444808,1187,1,0,"056 201102800",,,,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,0,5+,Renter,"Medium (6-20)","2026-04-01 21:02:26","2026-04-01 21:02:26",,17.0,2023,"In Review",,initial_import,housing_addition
40,"1710 UNIVERSITY Ave",16,"Incomplete Pending Applicant",ZP2021-0127,2021-01-01,"","",,,4,,0,,,,"Demolish existing commercial building. Construct 4-story, mixed-use building for non-profit religious education and living spaces",37.8707495770956,-122.277121911902,1917,0,0,"056 201102000",,,,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,0,5+,Renter,"Medium (6-20)","2026-04-01 21:02:26","2026-04-01 21:02:26",,16.0,2021,"Application Submitted",,initial_import,housing_addition
41,"2147 SAN PABLO Ave",15,"Pending Final Action",ZP2024-0096,2024-07-17,2024-08-28,2025-09-09,,,4,70,0,,,,"Use Permit Modification to modify approved Use Permit #ZP2022-0113, to increase the number of Group Living Accommodation (GLA) units from 128 to 141, increase the height from 70 feet to 75 feet, reduce the ground-level commercial space from 1,873 square feet to 1,804 square feet, remove the 14 parking spaces, and increase the number of Very Low Income (VLI) units from 12 to 15, utilizing a State Density Bonus.",37.8670471321907,-122.291081888623,419,1,0,"056 198304201",,"Stage: CEQA Determination: Categorically Exempt",2025-09-09,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,1,1,5+,Renter,"Medium (6-20)","2026-04-01 21:02:26","2026-04-01 21:02:26",,141.0,2024,"Decision Pending",,initial_import,housing_addition
42,"1740 UNIVERSITY Ave",12,Approved,ZP2025-0079,2025-01-01,2025-09-15,"",,,4,,0,,,,"Use Permit with Public Hearing to convert an existing 12,503 SF, 31 feet in maximum height two story commercial building into a mixed-use building with 12 residential apartments and 3 ground floor retail tenant spaces with a proposed total gross area of 9,666 square feet",37.8707558698964,-122.276614433835,257,0,0,"056 201102200",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,5+,Renter,"Medium (6-20)","2026-04-01 21:02:26","2026-04-01 21:02:26",,12.0,2025,Entitled,,initial_import,housing_addition
43,"1015 UNIVERSITY Ave",9,"Incomplete Pending Applicant",ZP2022-0120,2022-01-01,"","",,,4,,0,,,,"Legalize nine residential dwelling units and ground floor commercial space.",37.8691832720364,-122.293134163551,1552,0,0,"057 208801200",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,5+,Renter,"Medium (6-20)","2026-04-01 21:02:26","2026-04-01 21:02:26",,9.0,2022,"Application Submitted",,initial_import,housing_addition
44,"2428 MILVIA St",8,"Under Review",PLN2024-0025,2024-01-01,"","",,,4,,0,,,,"SB-330 pre-application, the project proposes to demolish the existing buildings with six units, and to relocate landmarked ""Broad Buildings"" (from 2030-32 Bancroft) to this site, preserve exteriors and create eight new units.",37.8643522954688,-122.270084265625,822,0,0,"055 189800100",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,5+,Renter,"Medium (6-20)","2026-04-01 21:02:26","2026-04-01 21:02:26",,14.0,2024,"In Review",,initial_import,housing_addition
45,"2200 FIFTH St",8,Withdrawn,ZP2025-0085,2025-01-01,2025-11-24,"",,,3,,0,,,,"Use Permit with Public Hearing to construct a total of eight three story townhouses 34 feet tall with a gross floor area of 19,064 square feet and 45 feet tall two-unit Research & Development, 3 story building with a gross floor area of 4,956 square feet with 10 proposed off-street shared parking spaces on a split zoned MUR and MU-LI site that is an existing parking lot.",37.864682788374,-122.298194817314,327,0,0,"056 195800301",,,,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,0,5+,Renter,"Medium (6-20)","2026-04-01 21:02:26","2026-04-01 21:02:26",,8.0,2025,Withdrawn,,initial_import,housing_addition
46,"1745 CEDAR St",6,"Under Review",PLN2025-0040,2025-01-01,"","",,,3,,0,,,,"The project is the construction of a new 3-story (35'-0""), 6-unit housing development with 8,976 sf of
new residential use and 6 parking spots. Project includes removal of an existing non-landmarked
commercial structure and surface parking.",37.8777604245229,-122.276129030968,456,0,0,"059 227501600",,,,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,0,5+,Renter,"Medium (6-20)","2026-04-01 21:02:26","2026-04-01 21:02:26",,6.0,2025,"In Review",,initial_import,housing_addition
47,"1850 BERRYMAN St",6,"Incomplete Pending Applicant","ZP2023-0063, PLN2025-0050, PLN2025-0052",2025-01-01,"","",,,3,,0,,,,"Preliminary application for the construction of a new 3-story residential development with 7,272 sf of new residential use, 6 dwelling units and ground level parking, in compliance with state of California SB-684 - Subdivision Homeownership project.",37.883008,-122.274763,456,0,0,60-2447-36,,,,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,0,5+,Owner,"Medium (6-20)","2026-04-01 21:02:26","2026-04-01 21:02:26",,6.0,2025,"Application Submitted",,initial_import,housing_addition
49,"1618 SIXTH St",4,"Under Review",PLN2025-0068,2025-01-01,"","",,,3,,0,,,,"The project proposes the construction of (2) Type V-B, fully-sprinklered, (3) story, single family homes on the front of a 50’X130’ lot in the MU-R district and (2) Type V-B, fully sprinklered, (2) story, single-family homes within an existing warehouse footprint on the rear of the lot. The resultant project will be (4) new single family homes.",37.8733361034196,-122.299758620731,456,0,0,"057 211700402",,,,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,4.0,2025,"In Review",,initial_import,housing_addition
50,"2420 ASHBY Ave",4,"Under Review",ZP2024-0147,2024-01-01,"","",,,3,,0,,,,"Use Permit to convert a nonconforming medical office use to a multifamily residential use by reconfiguring interior space to create 4 dwelling units, establish 5 off street parking spaces, and create new window openings within a nonconforming side setback on a site located within the Environmental Management Area",37.8559819892972,-122.258634990292,822,0,0,"052 157307802",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,4.0,2024,"In Review",,initial_import,housing_addition
51,"2942 COLLEGE Ave",4,"In Review",ZP2021-0072,2021-01-01,"","",,,3,,0,,,,"demolish and existing non-residential building and construct a new two-story mixed-use development containing 1,296 sq.ft. of ground floor commercial space and 3,278 sq.ft. of residential space, including four dwelling units, in two seperate buildings.",37.8574433597396,-122.253466907902,1917,0,0,"052 156800900",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,4.0,2021,"In Review",,initial_import,housing_addition
52,"2437 WARRING St",4,"Under Review",PLN2025-0031,2025-01-01,"","",,,2,,0,,,,"Pre-application request for an interdepartmental meeting to discuss a proposed addition of square footage, stories and units to a multi-family building with an additional 2 stories using variances.",37.8665954978728,-122.250274758913,456,0,0,"055 186501401",,,,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,4.0,2025,"In Review",,initial_import,housing_addition
53,"2641 COLLEGE Ave",3,"Under Review",PLN2025-0061,2025-01-01,"","",,,3,,0,,,,"Demolish the existing garage in the rear of the lot and utilize SB 684/SB 1123 to subdivide the existing 5,400 square-feet R2A lot (APN# 055 184801800) into one 2,994 square-feet lot in the front with an existing duplex building, and one new 2,406 square-feet lot in the rear and construct a new 3,310 square feet, three-story (39 feet) residential building including three units.",37.8624877779803,-122.253238870567,456,0,0,"055 184801800",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,5.0,2025,"In Review",,initial_import,housing_addition
54,"2205 BLAKE St",3,"Under Review",PLN2024-0001,2024-01-01,"","",,,3,,0,,,,"Pre-application meeting for a proposal of a new 3-story duplex and new 371 sq ft residential unit at the rear of the sit at 2201/2205 Blake Street.  The existing property contains two landmarked Victorian homes.  Owner intends to subdivide the lot into two parcels, and wants to discuss methodology for lot split.",37.8636431522166,-122.264826999392,822,0,0,"055 183001400",,,,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,3.0,2024,"In Review",,initial_import,housing_addition
55,"2221 FIFTH St",3,"In Review",ZP2022-0106,2022-01-01,"","",,,3,,0,,,,"To establish three detached dwelling units, totaling 6,790 square feet, on 5,640 square foot vacant lot.",37.8643461389946,-122.297347340387,1552,0,0,"056 196301503",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,3.0,2022,"In Review",,initial_import,housing_addition
56,"1650 FIFTH St",3,"Under Review",PLN2025-0041,2025-01-01,"","",,,3,,0,,,,"SB 684 pre-application to determine eligibility to subdivide an existing lot into four lots and construct three detached single-family houses and renovate an existing 1,618 single-family residence in the MU-R zoning district.",37.8722466798311,-122.300626131885,456,0,0,"057 211602200",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,4.0,2025,"In Review",,initial_import,housing_addition
57,"3101 SACRAMENTO St",3,"Corrections Pending Applicant",ZP2025-0069,2025-01-01,"","",,,3,,0,,,,"Create a first-floor building shell for a future tenant. Remove (e) partial second floor framing (1st floor ceiling frame), fire-damaged framing, and replace in-kind. Remove all interior partitions, doors, electrical components, and plumbing. Install (n) accessible all gender toilets. Accessible upgrade exterior stairs to the 2nd floor. Infill exterior CMU opening. Replace two entries in the storefront system. Extend the scope of work to the second floor - create three living space units. Propos",37.8513535953625,-122.278266491338,456,0,0,"052 154201700",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,3.0,2025,"In Review",,initial_import,housing_addition
58,"1449 CORNELL Ave",3,"Under Review",PLN2025-0046,2025-01-01,"","",,,2,60,0,,,,"The proposed project is to demolish an existing church building and drive aisle and utilizing SB684, subdivide the 8,147 square-foot lots (total for APN#60-2392-50 & APN#60-2392-51) into three separate lots (2,740, 2,667, 2,740 sq. ft.) and construct one new,1,865 sq. ft. (1,750 net habitable sq. ft.), 2-story, single-family dwelling on each lot. Each unit will include 4 bedrooms and 3 bathrooms, one off-street parking space and 763-813 sq. ft. of usable open space",37.877580186813,-122.291888593714,456,0,0,"060 239205100",,,,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,3.0,2025,"In Review",,initial_import,housing_addition
59,"1514 WALNUT St",3,"Under Review",PLN2025-0075,2025-01-01,"","",,,3,,0,,,,"Proposed subdivision of existing 4,770 SF R2A lot into one 2,600 SF lot, which contains an
existing duplex building. Propose new three story three unit residential building on new
2,170 SF subdivided lot utilizing SB 684/SB 1123. Gross area of the new building is
3,292SF.",37.879693178781,-122.26844641408,456,0,0,"059 226000500",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,5.0,2025,"In Review",,initial_import,housing_addition
60,"1464 SIXTH St",3,"Under Review","PLN2025-0017, PLN2025-0037",2025-01-01,"","",,,3,,0,,,,"SB 35 Preliminary Development Application to add three dwelling units to the second floor of an existing mixed-use residential building, and make all six dwellings permanently affordable.",37.8753402126061,-122.300404988222,456,0,0,"059 232601100",,,,,,1,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,6.0,2025,"In Review",,initial_import,housing_addition
61,"2812 EIGHTH St",3,"Under Review","PLN2025-0058, PLN2025-0089",2025-01-01,"","",,,3,,0,,,,"Demolish unoccupied single-family residence and a garden shed and construct 4 residential units in 3 separate buildings, each 3 stories. There is a total square footage of 8,172sf, including the garages, in all 4 units. The height of the buildings are 35’ at the peak of the pitched roofs. Each unit has a dedicated open space on the ground floor exceeding the zoning requirement.",37.854976338256,-122.291529989846,456,0,0,"053 165800503",,,,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,4.0,2025,"In Review",,initial_import,housing_addition
62,"2201 BLAKE St",3,Approved,PLN2024-0013,2024-01-01,"","",,,3,,0,,,,"SB 330 Pre-App which includes a project scope of: (1)the construction of three units for a total of seven units on a landmarked lot -- Construction of a three story - 3,551 SF duplex, relocation of an existing 371 SF accessory building and conversion to one residential unit; and retaining of four existing residential units in two landmarked buildings; and (2) three new proposed parking spaces (2 car garage and one surface space)",37.8636431522166,-122.264826999392,822,0,0,"055 183001400",,,,,,0,1,0,,0.0,,,,,,,,,,,Estimated,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,7.0,2024,Entitled,,initial_import,housing_addition
63,"1716 SEVENTH St",2,"Under Review",PLN2025-0060,2025-01-01,"","",,,3,,0,,,,"SB 684 Eligibility Review: Create two-lot subdivsion and two-unit housing development",37.8718325407792,-122.298114312095,456,0,0,"058 211900900",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,2.0,2025,"In Review",,initial_import,housing_addition
64,"1515 DERBY St",2,"Under Review",PLN2025-0064,2025-01-01,"","",,,3,,0,,,,"SB 684 pre-application to determine eligibility for 2 new single family homes on separate fee simple lots. Existing single family home and ADU will remain at front of existing lot.",37.8590615825161,-122.279514765104,456,0,0,"054 180201400",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,ADU,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,4.0,2025,"In Review",,initial_import,housing_addition
65,"1922 FRANCISCO St",2,"Under Review",PLN2025-0073,2025-01-01,"","",,,3,,0,,,,"Storage building removed, two new 1,653s.f. 3-story units with SB684 Lot Split, so each new house will be on separate lot and existing house will be on its own lot. No new parking proposed. Max height 31'-2"", Max Avg Height 28'.",37.8749798702644,-122.272227213803,456,0,0,"058 216902900",,,,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,2.0,2025,"In Review",,initial_import,housing_addition
66,"2204 DWIGHT Way",2,"Pending Final Action",ZP2024-0059,2024-06-06,2024-06-06,"",,,3,,0,,,,"SB330. Demolish existing 1-story (4-car) garage and construct a new 3-story residential duplex.",37.8640142446331,-122.264865243369,0,0,0,"055 183001600",,"Stage: CEQA Determination: Categorically Exempt",2026-02-27,,,0,1,0,,0.0,,,,,,,,,,,Unknown,0,1,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,2.0,2024,"Decision Pending",,initial_import,housing_addition
67,"1419 GRANT St",2,Pending,"PLN2025-0065, PLN2025-0091",2025-01-01,"","",,,3,,0,,,,"Utilizing Senate Bills SB 330 and SB 684, this project proposes to subdivide an existing 5,389-square-foot R-2 zoned lot into: 

1)  A 3,249-square-foot front lot containing an existing 3,483 square-foot, two-story (X- feet tall) single-family dwelling; and

2) A 2,140-square-foot rear lot containing a new 1,655-square-foot (GFA), two-story single-family dwelling (23 feet to T.O shed roof)",37.880428226721,-122.275934701118,456,0,0,"059 227303000",,,,,,0,1,0,,0.0,,,,,,,,,,,estimated_height,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,2.0,2025,"In Review",,initial_import,housing_addition
68,"1236 DWIGHT Way",2,Pending,PLN2025-0081,2025-01-01,"","",,,3,,0,,,,"Demolish existing single-family home, subdivide the existing single-family lot into three parcels, and develop three new single-family homes.",37.8613717812921,-122.285726863229,456,0,0,"054 178202900",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,3.0,2025,"In Review",,initial_import,housing_addition
69,"2808 NINTH St",2,"Under Review",PLN2025-0083,2025-01-01,"","",,,3,,0,,,,"Middle Housing project to demolish an inhabitable single-family home and construct a two-story duplex with a detached two-story garage with a living unit, for a total of three living units.",37.8552877638743,-122.290481564281,456,0,0,"053 165900900",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,2-4,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,3.0,2025,"In Review",,initial_import,housing_addition
70,"3001 BENVENUE Ave",1,"Pending Final Action",ZP2025-0068,2025-01-01,"","",,,3,,0,,,,"Administrative Use Permit #ZP2025-0068 to raise an existing approximate 1,860 square-foot, 18 feet, 10 inches in average height, two-story residential dwelling to approximately 21 feet, 4 inches in height resulting in a three-story, single-family dwelling with a basement converted 700 square foot accessory dwelling unit.",37.8558405217082,-122.25370441887,456,0,0,"052 156200100",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,ADU,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,2.0,2025,"Decision Pending",,initial_import,housing_addition
71,"40 HILL Rd",1,"Incomplete Pending Applicant",ZP2020-0006,2020-01-01,"","",,,3,,0,,,,"New Single Family Dwelling on new parcel at 36 Hill Road",37.8893295462986,-122.25132555603,2283,0,0,"063 316100200",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,SFD,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,1.0,2020,"Application Submitted",,initial_import,housing_addition
72,"5 W PARNASSUS Ct",1,"Under Review",PLN2025-0048,2025-01-01,"","",,,3,,0,,,,"Zoning Research Letter: Remove the prior ADU deed restriction with incorrect building permit and replace with current deed restriction. NOL RESCISSION. Related to B2025-01579.",37.8810891802772,-122.254045895459,456,0,0,"058 224204829",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,ADU,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,1.0,2025,"In Review",,initial_import,housing_addition
73,"0 LE ROY Ave",1,"Under Review",PLN2024-0024,2024-01-01,"","",,,3,,0,,,,"SB 9 Preliminary Eligibility Determination to construct a three-story single family residence with an attached 2 car garage.",37.882472,-122.260187,822,0,0,"058 224402501",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,1,SFD,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,1.0,2024,"In Review",,initial_import,housing_addition
74,"2328 GRANT St",1,"Under Review",PLN2024-0062,2024-01-01,"","",,,3,,0,,,,"Payment of the City Arborist fees for the Building Permit B2024-01452 to install an 800 SF, HUD-Approved Manufactured Accessory Dwelling Unit (ADU) on a permanent foundation.",37.8658193797314,-122.275026293261,822,0,0,"055 190501200",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,ADU,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,1.0,2024,"In Review",,initial_import,housing_addition
75,"1939 MARIN Ave",1,"Under Review",PLN2024-0061,2024-01-01,"","",,,3,,0,,,,"Payment of the City Arborist fees for the Building Permit B2024-02225 to add new detached Accessory Dwelling Unit and upgrade Main Electrical Service to 225 Amps.",37.8896335167926,-122.274838220177,822,0,0,"061 257401300",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,ADU,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,1.0,2024,"In Review",,initial_import,housing_addition
76,"1731 ADDISON St",1,"Corrections Pending Applicant",ZP2025-0095,2025-01-01,"","",,,3,,0,,,,"Construct a detached 265 square foot cottage including 1 bedroom/1 bathroom (maximum height 13'-1""). Remove existing 170 square foot garage. Construct a new 200 square foot garage (maximum height 10'-9"").",37.8704460207926,-122.276045740972,456,0,0,"056 201100800",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,SFD,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,1.0,2025,"In Review",,initial_import,housing_addition
77,"1420 FIFTH St",1,"Pending Final Action",ZP2025-0021,2025-01-01,"","",,,3,,0,,,,"Administrative Use Permit to allocate the existing Accessory Dwelling Unit to a Single-Family Home and construct a 592 square foot residential addition approximately 22 feet tall",37.8765488415801,-122.301952215925,456,0,0,"059 233801000",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,ADU,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,1.0,2025,"Decision Pending",,initial_import,housing_addition
78,"1139 KEELER Ave",1,"Under Review",ZP2022-0172,2022-01-01,"","",,,3,,0,,,,"Construction of a three-story single-family residence with an attached ADU in the Hillside Overlay.  The project includes the construction of a detached partially subterranean garage, the installation of a tram system in the side setback, and retaining walls within the same setback as the tram.",37.8897057881428,-122.25757558462,1552,0,0,"063 298405300",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,ADU,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,1.0,2022,"In Review",,initial_import,housing_addition
79,"1111 ALLSTON Way",1,"Under Review",PLN2025-0013,2025-01-01,"","",,,3,,0,,,,"One new dwelling unit (approved with UPPH that will not be exercised) and subdivision pursuant to SB 684. One Unit and Subdivision",37.8667413295962,-122.290584150988,456,0,0,"056 198301100",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,SFD,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,1.0,2025,"In Review",,initial_import,housing_addition
80,"659 GRIZZLY PEAK Blvd",1,"Incomplete Pending Applicant",ZP2025-0093,2025-01-01,"","",,,3,,0,,,,"Remodel existing two story one bedroom house of 986 sq. ft. with a basement garage into a two story three-bedroom house of 1610 sq. ft. with a basement garage. Add a 440 sq. ft. one bedroom ADU to the rear of the house.",37.9001250576436,-122.265462183756,456,0,0,"063 296505601",,,,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,0,ADU,Owner,"Small (1-5)","2026-04-01 21:02:26","2026-04-01 21:02:26",,1.0,2025,"Application Submitted",,initial_import,housing_addition
