id,address_display,units,status,permits,filed,complete,entitled,bp_issued,co_date,height_stories,height_feet,is_uc_project,construction_status,developer,architect,description,latitude,longitude,processing_days,density_bonus,vli_units,apn,owner,accela_status,accela_status_date,construction_start,estimated_completion,sb35_flag,sb330_flag,ab2011_flag,total_fees,app_packet_mb,construction_method,field_survey_date,field_survey_notes,demolition_permit_date,demolition_start_date,inspection_count,first_inspection_date,last_inspection_date,final_inspection_date,density_bonus_pct,construction_data_reliability,is_stalled,fee_count,unit_category,tenure,project_size,created_at,updated_at,bp_filed_date,total_units,year,pipeline_stage,construction_substage,coord_source,project_category
11,"1581 UNIVERSITY Ave",158,"Corrections Pending Applicant",ZP2024-0074,2024-07-12,2024-11-07,"",,,7,158,0,,,"SDT Architects","SB-330 Project - Demolition of 2 existing non-landmarked mixed-use structures and surface parking to 
construct a new 88'6"", 7-story, 158-unit mixed-use housing development with 96,256 sq ft of new residential space, 1788 sq ft of commercial space, and 32 parking spaces. 

14 units (15%) of base project units are VLI; 9 units (10%) are moderate-income households; project entitled to 82.5% density bonus, waviers, and up to 4 concessions under the State Density Bonus Law.",37.8708827554525,-122.280648260228,118,1,0,"057 207100601",,"Application Processing: Corrections - Pending Applicant",2024-12-05,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,158.0,2024,"In Review",,initial_import,housing_addition
12,"2115 KITTREDGE St",148,"Incomplete Pending Applicant",ZP2024-0131,2024-09-17,"","",,,10,,0,,"Gilbane Development","DLR Group","Construction of a twenty-three-story building with a live performance theater and 148 dwelling units that will retain the original primary south facade of the building.  The density bonus project includes 24 affordable units (12 VLI + 12 MI units) with residential amenity space and usable open space.",37.868856897471,-122.267183288467,562,1,12,"057 203000900","Aquarius Twins Inc","Completeness Review: Incomplete Pending Applicant",2024-10-16,,,0,0,0,5330.0,0.0,,,,,,,,,,,estimated_height,0,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,148.0,2024,"Application Submitted",,initial_import,housing_addition
13,"2420 SHATTUCK Ave",132,"In Review",ZP2022-0149,2022-10-04,2023-12-01,"",,,17,,0,,,"Studio KDA","Demolish two non-residential buildings and construct a 17-story mixed-use residential building with ground-floor commercial and 132 dwelling units utilizing State Density Bonus.",37.8652883239018,-122.267988788019,423,1,0,"055 189600300",,"Due 12/02/2023, assigned to TBD | Marked as: Resubmittal Pending Staff | on 11/02/2023 by Niloufar Karimzadegan: as: Application Complete |",2023-12-01,,,0,0,0,16110.6,117.96,,,,,,,,,,,Unknown,0,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,132.0,2022,"In Review",,initial_import,housing_addition
14,"2847 SHATTUCK Ave",132,"Incomplete Pending Applicant","ZP2022-0132, ZP2024-0077",2022-11-23,"","",,,9,136,0,,"NX Ventures","Trachtenberg Architects","SB-330 Project - Demolition of existing non-landmarked mixed-use structure and surface parking to construct a new 9-story, 102'0"" in height, 136-unit mixed-use housing development with 55,849 sq ft of residential space and 2,503 sq ft commercial space.

14% of the base project's units will be VLI income households; Entitled to 46.25% density bonus, waivers, and up to 3 concessions  under the State Density Bonus Law.",37.8569777700275,-122.266385897108,1226,1,0,"053 168602000",,"Completeness Review: Incomplete Pending Applicant",2023-07-05,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,136.0,2024,"Application Submitted",,initial_import,housing_addition
15,"2109 VIRGINIA St",131,Approved,ZP2024-0066,2024-07-03,2024-07-03,2026-02-26,,,2,131,0,,"Panoramic Interests","Trachtenberg Architects","Demolition of existing non-landmarked 2-story commercial structure and surface parking. Construction of a new 8-story(88'-4"" tall), 131-unit mixed-use housing development with 107,935sf of new residential use, parking garage for up to 103 spots, and 1,200 sf new commercial space.  15% (11 units) of the base project's units will be affordable to very-low-income households, and 13% (9 units) will be Moderate Income households, entitling it to 92.5% density bonus, waivers, and up to 4 concessions u",37.8767775765377,-122.268523688059,603,1,0,"058 217801800",,"Case Closed: Approved",2026-02-26,,,0,0,0,,0.0,,,,,,,,,,,Estimated,1,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,131.0,2024,Entitled,,initial_import,housing_addition
16,"2720 SAN PABLO Ave",113,"Under Review","ZP2023-0058, ZP2024-0076",2023-06-20,"","",,,10,117,0,,"NX Ventures","Trachtenberg Architects","SB-330 Project - Demolition of existing non-landmarked mixed-use structure and surface parking for the construction of a new eight-story, 88'10"" in height, 117-unit mixed-use housing development with 49,465 sf of new residential space and 1,244 sf commercial space.  

10 units (15%) of the base project will be VLI household; 6 units (9%) will be moderate income household.
Entitled to 80% density bonus, waivers, and up to 4 concessions under the State Density Bonus Law.",37.8573103372447,-122.288690809593,1017,1,9,"054 174400700",,"Completeness Review: Incomplete Pending Applicant",2023-10-16,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,117.0,2024,"In Review",,initial_import,housing_addition
17,"2109 MILVIA St",105,"In Review",ZP2023-0099,2023-09-13,2024-04-11,"",,,14,,0,,,,"SB-330 Project: Removal of existing parking lot to construct a new 14-story mixed-use building with 105 dwelling, ground level lobbies and commercial space.  This is a State of California Density Bonus Project.",37.8705795053331,-122.270341112829,211,1,0,"057 202301601",,"Completeness Review: Application Complete",2024-04-11,,,0,0,0,,0.0,,,,,,,,,,,Unknown,0,1,5+,Renter,"Mega (100+)","2026-04-01 21:02:26","2026-04-01 21:02:26",,105.0,2023,"In Review",,initial_import,housing_addition
18,"2655 SHATTUCK Ave",97,"Pending Final Action",ZP2024-0057,2024-06-12,2024-08-19,2025-08-14,,,8,85,0,,,,"Demolish an existing 1-story commercial building to construct an 85-foot tall, 83,479 square foot, 8-story Mixed Use residential/commercial building.  Total of 97 units, with 10 VLI. 41 on-site automobile parking spaces and 48 on-site bicycle parking spaces.",37.8606906535295,-122.266441026717,428,0,0,"055 182601802",,"Case Closed: Approved",2025-08-14,,,0,0,0,,0.0,,,,,,,,,,,Unknown,1,1,5+,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,97.0,2024,"Decision Pending",,initial_import,housing_addition
19,"2450 SHATTUCK Ave",94,"Corrections Pending Applicant",ZP2024-0047,2024-05-16,2024-09-06,"",,,7,,0,,,,"SB-330 Mixed-Use Housing Development Project for the construction of an eight story building with 94 residential units, 2,438-sqft of retail space; 4,653-sqft of residential amenities and lobbies. Amenity roof terrace provided on top level. A total of 134,115-sqft.",37.8645687263067,-122.2679507803,113,0,0,"055 189700600",,"Application Processing: Corrections - Pending Applicant",2024-11-01,,,0,0,0,,0.0,,,,,,,,,,,estimated_height,0,1,5+,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,94.0,2024,"In Review",,initial_import,housing_addition
20,"2036 BANCROFT Way",85,"In Review",ZP2024-0079,2024-07-19,2024-11-15,"",,,8,85,0,,,,"SB-330 Project - Demolition of two existing landmarked buildings and a partial landmarked commercial office building to construct an 85', 8-story, multi-family building.  Residential project will have 87 units including 4 VLI units, 19 vehicle parking spaces and 63 bicycle parking spaces.",37.8672308471615,-122.268516660538,119,0,4,"055 189401704",,"Completeness Review: Application Complete",2024-11-15,,,0,0,0,114313.0,60.27,,,,,,,,,,,Unknown,0,1,5+,Renter,"Very Large (51-100)","2026-04-01 21:02:26","2026-04-01 21:02:26",,87.0,2024,"In Review",,initial_import,housing_addition
