Record #,Address,Type,Description,Status,Date (Applied/Opened),Density Flag
B2024-05039,"3030 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Remove & replace one (1) window at the stairs, same sizes & locations.",Finaled,10/18/2024,
B2020-04130,"3030 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,"Replace 100Amp main service panel, like for like.",Finaled,11/24/2020,
B2017-04164,"3030 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,Renovation to main bath at first floor,Finaled,09/26/2017,
B1995-00891,"3030 BENVENUE AVE, BERKELEY CA 94705",Building Permit,ADDITION AND RENOVATION TO SFR,Closed Expired,03/17/1995,addition
B2021-03018,"3031 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Engineered Seismic Retrofit for Transfer Tax Rebate.,Finaled,07/09/2021,
B2018-00421,"3031 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Installing 27KW energy storage system & (N) 200AMP Bryant load center.,Finaled,01/31/2018,
B2017-00372-REV01,"3031 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2017-00372,Revisions submitted to change inverter model. No increase in valuation.,Closed Expired,05/17/2017,
B2017-01275,"3031 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Reroof-Remove one layer of comp shingles, install (N) #30 felt & GAF timberline shingles to match (E) at 20sq",Closed Expired,03/28/2017,
B2017-00372,"3031 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Permit,Install 5.04KW Photovoltaic Solar Panels on roof. Purlin install per engineer for rafter strengthening.,Closed Expired,01/24/2017,
B2020-00814,"3034 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Engineered Seismic Retrofit in accordance with CBC Chapter A3 for the Earthquake Brace & Bolt Program. Qualifies for Transfer Tax Rebate.,Finaled,02/27/2020,
B2018-01292,"3034 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,replace furnace,Finaled,04/03/2018,
B2009-00200,"3034 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"ADD NEW ""VALOR"" FIREPLACE INSERT #5301, DIRECT VENT.",Closed Expired,01/16/2009,
B1994-00207,"3034 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"REMOVE ALL EXISTING ROOFING MATERIAL INSTALL NEW 1/2"" CDX PLYWOOD, ADD 40 YR CLASS A ELK FIBERGLASS SHINGLE NEW GUTTER AND DOWNSPOUTS",Closed Expired,01/19/1994,
B2023-04741,"3038 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Main panel upgrade 400 AMPs.,Closed Expired,09/14/2023,
B2021-03009-REV02,"3038 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2021-03009,Concrete landing and ramp built on south side of ADU instead of stairs.,Issued,08/10/2022,ADU/unit
B2022-02964,"3038 BENVENUE Ave, BERKELEY CA 94705",Building Permit record created from ESR-2022-01330,Replace exiting 200 amp service to New 200 amp two meter service,Finaled,06/28/2022,
B2021-03009-REV01,"3038 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2021-03009,ADU moved to 5' setbacks to property lines. NO Increase in valuation.,Issued,03/29/2022,ADU/unit
B2021-04075,"3038 BENVENUE Ave, BERKELEY CA 94705",Demolition Building Permit,Existing 511 sq. ft. Garage to be demolished.,Closed Expired,09/09/2021,demolition
PREAPP000759,"3038 BENVENUE Ave, BERKELEY CA 94705",,Address Assignment,Closed,07/08/2021,
B2021-03009,"3038 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,New 665 sq ft. HCD/HUD approved manufactured unit to be installed on permanent foundation.,Finaled,07/08/2021,addition
B2017-04394,"3038 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,200 AMP Panel upgrade with new meter,Finaled,10/10/2017,
B2009-00365,"3038 BENVENUE AVE, BERKELEY CA 94705",Electrical Mechanical Permit,INSTALL NATURAL GAS FIREPLACE INSERT W/ METAL FLUE IN EXISTING MASONRY FIREPLACE.,Closed Expired,01/29/2009,
B2009-00365-M,"3038 BENVENUE AVE, BERKELEY CA 94705",Electrical Mechanical Permit,INSTALL NATURAL GAS FIREPLACE INSERT W/ METAL FLUE IN EXISTING MASONRY FIREPLACE.,Closed Expired,01/29/2009,
B1998-05266,"3038 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"TERMITE REPAIR-ITEM 3A ONLY, FOUNDATION REPLACEMENT (PARTIAL) PER REPORT",Closed Expired,11/30/1998,
B2023-06513,"3039 BENVENUE Ave, BERKELEY CA 94705",PermitPermit,"Install 4.0 KW (DC) PV solar panels on the roof with a battery, upgrade main service panel to 125 AMPs with a 125 AMP main circuit.",Finaled,12/28/2023,
B2021-03643,"3039 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,Kitchen & guest room suite remodel. New deck in rear yard.,Closed Expired,08/17/2021,
B2018-03736,"3039 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Install Electric Vehicle Charging station with dedicated circuit in garage.,Finaled,09/20/2018,
