"apn","strnbr","strdirect","strname","strapart","strfract","bldsqfttaxable","lotsqft"
"058 213300100","1200",,"VIRGINIA ST",,,"1365","3264"
"058 213300200","1208",,"VIRGINIA ST",,,"1760","4760"
"058 213300300","1252",,"VIRGINIA ST",,,"2532","6800"
"058 213300401","1254",,"VIRGINIA ST",,,"1838","4488"
"058 213300402","1256",,"VIRGINIA ST",,,"1154","4488"
"058 213300500","1260",,"VIRGINIA ST",,,"2936","5400"
"058 213300600","1262",,"VIRGINIA ST",,,"962","2600"
"058 213300700","1298",,"VIRGINIA ST",,,"1188","2600"
"058 213300800","1706",,"CHESTNUT ST",,,"1320","2800"
"058 213300900","1710",,"CHESTNUT ST",,,"1339","2880"
"058 213301100","1225",,"FRANCISCO ST",,,"1891","2400"
"058 213301200","1219",,"FRANCISCO ST",,,"1872","4800"
"058 213301300","1217",,"FRANCISCO ST",,,"1874","4455"
"058 213301400","1213",,"FRANCISCO ST",,,"2333","4800"
"058 213301700","1205",,"FRANCISCO ST",,,"1172","3800"
"058 213301800","1721",,"CURTIS ST",,,"2376","3583"
"058 213301900","1711",,"CURTIS ST",,,"832","2450"
"058 213302000","1709",,"CURTIS ST",,,"1121","3535"
"058 213302100","1707",,"CURTIS ST",,,"1443","3468"
"058 213302200","1705",,"CURTIS ST",,,"2315","3468"
"058 213302300","1716",,"CHESTNUT ST",,,"3384","4900"
"058 213302400","1231",,"FRANCISCO ST",,,"1286","4050"
"058 213302500","1227",,"FRANCISCO ST",,,"1910","3916"
"058 213302600","1211",,"FRANCISCO ST",,,"734","1567"
"058 213302700","1211",,"FRANCISCO ST",,"2026-01-02T00:00:00.000","734","1567"
"058 213302800","1209",,"FRANCISCO ST",,,"1206","1567"
"058 213302900","1209",,"FRANCISCO ST","COM",,"0","0"
"058 213303000","1207",,"FRANCISCO ST",,,"2567","2130"
"058 213303100","1207",,"FRANCISCO ST",,"2026-01-02T00:00:00.000","1692","2130"
"058 213303200","1207",,"FRANCISCO ST","COM",,"0","0"
