"apn","strnbr","strdirect","strname","strapart","strfract","bldsqfttaxable","lotsqft"
"016 141000101","3101",,"BENVENUE AVE",,,"1055","1639"
"016 141001501","6432",,"BENVENUE AVE",,,"0","100"
"016 141001801","6414",,"BENVENUE AVE",,,"0","200"
"016 141002201","2607",,"ALCATRAZ AVE",,,"837","1000"
"016 141003200","6420",,"BENVENUE AVE","COM",,"0","625"
"016 141404300","2400",,"WOOLSEY ST",,,"1000","1493"
"016 141404400","2412",,"WOOLSEY ST",,,"169","560"
"016 141404600","2418",,"WOOLSEY ST",,,"450","731"
"016 141404800","2420",,"WOOLSEY ST",,,"500","656"
"016 141405000","3100",,"COLBY ST",,,"0","850"
"016 142202000","6699",,"TELEGRAPH AVE",,,"5964","3768"
"016 142202200","2320",,"WOOLSEY ST",,,"0","1175"
"016 142202400","2314",,"WOOLSEY ST",,,"0","1174"
"016 142202600","2312",,"WOOLSEY ST",,,"0","4500"
"016 142202800","2308",,"WOOLSEY ST","VACNT",,"0","1202"
"016 142203000","2304",,"WOOLSEY ST",,,"0","1175"
"016 142203200","2300",,"WOOLSEY ST",,,"0","1204"
"016 142505700","6618",,"SHATTUCK AVE",,,"1000","1000"
"016 142800202","3208",,"SHATTUCK AVE",,,"1198","1995"
"048A707200500","6400",,"MYSTIC ST",,,"990","1941"
"048A707200800","6368",,"MYSTIC ST",,,"575","1440"
"048A707200900","6364",,"MYSTIC ST",,,"335","1000"
"048A707201200","6300",,"CLAREMONT AVE",,,"0","191"
"048A707501500","6451",,"MYSTIC ST",,,"0","486"
"048H760703800","256",,"ALVARADO RD",,,"1460","2976"
"048H760704200","290",,"ALVARADO RD",,,"0","1056"
"048H766303700","617",,"ALVARADO RD",,,"0","810"
"048H766303800","111",,"ALVARADO RD",,,"0","436"
"048H767002600","41",,"TUNNEL RD",,,"0","5700"
"048H767002902","0",,"TUNNEL RD",,,"0","1097"
"048H767003100","59",,"ALVARADO RD",,,"0","1782"
"048H768000102","3",,"TANGLEWOOD RD",,,"4447","8362"
"048H768000201","5",,"TANGLEWOOD RD",,,"3499","8814"
"048H768001400","19",,"TANGLEWOOD RD",,,"2802","13300"
"048H768001700","97",,"STONEWALL RD",,,"0","1582"
"048H768001900","11",,"TANGLEWOOD RD",,,"3688","11544"
"048H768002700","29",,"TANGLEWOOD RD",,,"0","3075"
"048H768003100","7",,"TANGLEWOOD RD",,,"3684","13875"
"048H768003201","25",,"TANGLEWOOD RD",,,"4545","19841"
"048H769000300","2951",,"DERBY ST",,,"125813","149846"
"048H769000400","1",,"TANGLEWOOD RD",,,"0","1692476"
"049 151200101","1318",,"SIXTY-SEVENTH ST","PARKG",,"0","675"
"049 151200302","6711",,"HOLLIS ST",,,"0","2025"
"049 151200601","1482",,"SIXTY-SEVENTH ST",,,"1350","2700"
"052 136400100","1908",,"ALCATRAZ AVE",,,"7772","4814"
"052 136400200","1916",,"ALCATRAZ AVE",,,"1269","3480"
"052 136400300","1918",,"ALCATRAZ AVE",,,"4789","4120"
"052 136400500","1926",,"ALCATRAZ AVE",,,"3153","3439"
"052 140900101","3200",,"COLLEGE AVE",,,"12449","8575"
"052 140900300","3212",,"COLLEGE AVE",,,"5770","4300"
"052 141000200","3100",,"COLLEGE AVE",,,"15569","9566"
"052 141001200","3148",,"COLLEGE AVE",,,"2583","6123"
"052 141001402","3158",,"COLLEGE AVE",,,"3772","7749"
"052 141001601","3170",,"COLLEGE AVE",,,"11582","14541"
"052 141001800","2638",,"WOOLSEY ST",,,"3004","2600"
"052 141002001","3110",,"COLLEGE AVE",,,"14340","12400"
"052 141002201","3118",,"COLLEGE AVE",,,"5404","6860"
"052 141002400","3122",,"COLLEGE AVE",,,"1586","6150"
"052 141002600","3126",,"COLLEGE AVE",,,"9675","6201"
"052 141002800","3128",,"COLLEGE AVE",,,"6040","6200"
"052 141003000","3132",,"COLLEGE AVE",,,"3395","6200"
"052 141003200","3136",,"COLLEGE AVE",,,"4659","6229"
"052 141003400","3140",,"COLLEGE AVE",,,"4758","6250"
"052 141003600","3144",,"COLLEGE AVE",,,"3274","6250"
"052 141003700","3154",,"COLLEGE AVE","1",,"994","1476"
"052 141003800","3154",,"COLLEGE AVE","2",,"994","1476"
"052 141003900","3154",,"COLLEGE AVE","3",,"993","1476"
"052 141004000","3154",,"COLLEGE AVE","4",,"993","1476"
"052 141004100","3154",,"COLLEGE AVE","COM",,"0","0"
"052 142100101","3201",,"TELEGRAPH AVE",,,"1431","1539"
"052 142300300","3200",,"DEAKIN ST",,,"1385","2325"
"052 142501100","2116",,"WOOLSEY ST",,,"1616","2805"
"052 142501200","2114",,"WOOLSEY ST",,,"1760","2890"
"052 142501300","2112",,"WOOLSEY ST",,,"1616","2805"
"052 142501500","3201",,"SHATTUCK AVE",,,"6700","6075"
"052 142501601","2200",,"WOOLSEY ST",,,"1592","3931"
"052 142501901","2150",,"WOOLSEY ST",,,"1020","2958"
"052 142502000","2146",,"WOOLSEY ST",,,"1258","3955"
"052 142502200","2144",,"WOOLSEY ST",,,"3032","4286"
"052 142502401","2140",,"WOOLSEY ST",,,"3580","6658"
"052 142502600","2138",,"WOOLSEY ST",,,"1367","2500"
"052 142502800","2130",,"WOOLSEY ST",,,"3194","5000"
"052 142503000","2126",,"WOOLSEY ST",,,"3406","4950"
"052 142503200","2122",,"WOOLSEY ST",,,"2934","5000"
"052 142503400","2118",,"WOOLSEY ST",,,"2488","5000"
"052 142503600","3207",,"SHATTUCK AVE",,,"3667","5815"
"052 142800400","2028",,"WOOLSEY ST",,,"1539","2400"
"052 142800500","3200",,"SHATTUCK AVE",,,"3940","4153"
"052 142800600","3202",,"SHATTUCK AVE",,,"2256","2808"
"052 142800800","2022",,"WOOLSEY ST",,,"2190","4000"
"052 142801000","2024",,"WOOLSEY ST",,,"2028","4000"
"052 142801201","2026",,"WOOLSEY ST",,,"2148","4000"
"052 142900100","2000",,"WOOLSEY ST",,,"2402","4200"
"052 142900200","2004",,"WOOLSEY ST",,,"1943","3800"
"052 142900300","2008",,"WOOLSEY ST",,,"1662","4000"
"052 142900400","0",,"WOOLSEY ST",,,"0","3800"
"052 142900500","2014",,"WOOLSEY ST",,,"2115","4000"
"052 143300200","1828",,"SIXTY-SECOND ST",,,"2268","4725"
"052 143300300","1826",,"SIXTY-SECOND ST",,,"1772","4725"
"052 143300400","1824",,"SIXTY-SECOND ST",,,"2598","5400"
"052 143300500","1822",,"SIXTY-SECOND ST",,,"3709","4000"
"052 143300600","1820",,"SIXTY-SECOND ST",,,"2294","5400"
"052 143300700","1818",,"SIXTY-SECOND ST",,,"3650","5670"
"052 143300800","1816",,"SIXTY-SECOND ST",,,"2132","5130"
"052 143300900","1814",,"SIXTY-SECOND ST",,,"4720","5400"
"052 143301000","1812",,"SIXTY-SECOND ST",,,"2280","5400"
"052 143301100","3363",,"M L KING JR WAY",,,"4947","5175"
"052 143301200","3353",,"M L KING JR WAY",,,"2785","5175"
"052 143301300","1804",,"SIXTY-SECOND ST",,,"6627","2835"
"052 143301400","1806",,"SIXTY-SECOND ST",,,"2708","2340"
"052 143301600","1844",,"SIXTY-SECOND ST",,,"2932","4644"
"052 143400300","3411",,"ADELINE ST",,,"6168","6203"
"052 143400400","3407",,"ADELINE ST",,,"4928","4905"
"052 143400500","3401",,"ADELINE ST",,,"0","3735"
"052 143400808","1728",,"SIXTY-SECOND ST",,,"5278","15096"
"052 143500102","3404",,"KING ST",,,"4777","5063"
"052 143500103","1640",,"SIXTY-SECOND ST",,,"2697","5130"
"052 143500201","1638",,"SIXTY-SECOND ST",,,"2978","4725"
"052 143500300","1636",,"SIXTY-SECOND ST",,,"2259","5400"
"052 143500400","1634",,"SIXTY-SECOND ST",,,"4254","6750"
"052 143500500","1630",,"SIXTY-SECOND ST",,,"4950","6750"
"052 143500600","1626",,"SIXTY-SECOND ST",,,"2960","6750"
"052 143500700","1622",,"SIXTY-SECOND ST",,,"2554","6750"
"052 143500800","1618",,"SIXTY-SECOND ST",,,"1420","6750"
"052 143500900","1614",,"SIXTY-SECOND ST",,,"5074","6750"
"052 143501000","1610",,"SIXTY-SECOND ST",,,"4451","6750"
"052 143501100","1608",,"SIXTY-SECOND ST",,,"5523","6750"
"052 143501200","3409",,"CALIFORNIA ST",,,"1678","3000"
"052 143501300","1600",,"SIXTY-SECOND ST",,,"1694","3750"
"052 143600101","3400",,"CALIFORNIA ST",,,"2640","3825"
"052 143600102","3408",,"CALIFORNIA ST",,,"2320","2925"
"052 143600200","1536",,"SIXTY-SECOND ST",,,"1885","6750"
"052 143700100","1538",,"SIXTY-THIRD ST",,,"5411","6750"
"052 143700200","3324",,"CALIFORNIA ST",,,"832","2300"
"052 143700300","3330",,"CALIFORNIA ST",,,"2680","4450"
"052 143700400","3334",,"CALIFORNIA ST",,,"4040","5000"
"052 143700500","3342",,"CALIFORNIA ST",,,"3996","8500"
"052 143800100","3302",,"CALIFORNIA ST",,,"4396","6750"
"052 143800200","3308",,"CALIFORNIA ST",,,"2386","5375"
"052 143800300","3320",,"CALIFORNIA ST",,,"1910","3375"
"052 143800400","1537",,"SIXTY-THIRD ST",,,"2374","4750"
"052 143801500","1552",,"ALCATRAZ AVE",,,"2337","6450"
"052 143801700","3301",,"SACRAMENTO ST",,,"3876","3661"
"052 143801900","1504",,"ALCATRAZ AVE",,,"2144","3700"
"052 143802100","1514",,"ALCATRAZ AVE",,,"2255","3333"
"052 143802300","1516",,"ALCATRAZ AVE",,,"2211","3334"
"052 143802500","1518",,"ALCATRAZ AVE",,,"2034","3330"
"052 143802700","1520",,"ALCATRAZ AVE",,,"2608","5000"
"052 143802900","1522",,"ALCATRAZ AVE",,,"1375","3500"
"052 143803100","1524",,"ALCATRAZ AVE",,,"1136","3500"
"052 143803300","1526",,"ALCATRAZ AVE",,,"2015","3000"
"052 143803500","1528",,"ALCATRAZ AVE",,,"2636","5000"
"052 143901100","1410",,"ALCATRAZ AVE",,,"2228","3300"
"052 143901200","1408",,"ALCATRAZ AVE",,,"2265","3300"
"052 143901300","1400",,"ALCATRAZ AVE",,,"3347","4000"
"052 143901400","0",,"ALCATRAZ AVE",,,"0","2352"
"052 143901500","1444",,"ALCATRAZ AVE",,,"2438","4316"
"052 143901700","1438",,"ALCATRAZ AVE",,,"2004","4000"
"052 143901900","1424",,"ALCATRAZ AVE",,,"1868","4000"
"052 143902100","1422",,"ALCATRAZ AVE",,,"1534","5360"
"052 143902300","1420",,"ALCATRAZ AVE",,,"3450","4000"
"052 143902500","1418",,"ALCATRAZ AVE",,,"2432","5360"
"052 143902700","1416",,"ALCATRAZ AVE",,,"2364","3300"
"052 143902900","1414",,"ALCATRAZ AVE",,,"1192","3300"
"052 143903200","1412",,"ALCATRAZ AVE",,,"2349","3300"
"052 144501401","1332",,"ALCATRAZ AVE",,,"2780","5289"
"052 144501601","1330",,"ALCATRAZ AVE",,,"2862","4320"
"052 144501800","1328",,"ALCATRAZ AVE",,,"2138","3920"
"052 144502000","1324",,"ALCATRAZ AVE",,,"2378","3840"
"052 144502200","1322",,"ALCATRAZ AVE",,,"1266","4000"
"052 144502400","1314",,"ALCATRAZ AVE",,,"1248","4000"
"052 144502600","1312",,"ALCATRAZ AVE",,,"1936","4000"
"052 144502800","1310",,"ALCATRAZ AVE",,,"1655","4000"
"052 144503000","1308",,"ALCATRAZ AVE",,,"1358","4000"
"052 144503201","1306",,"ALCATRAZ AVE",,,"1958","3218"
"052 144503401","1304",,"ALCATRAZ AVE",,,"2464","3218"
"052 144503600","1300",,"ALCATRAZ AVE",,,"2420","2937"
"052 144600500","3302",,"IDAHO ST",,,"1806","5005"
"052 144600700","1274",,"ALCATRAZ AVE",,,"2235","4000"
"052 144600900","1270",,"ALCATRAZ AVE",,,"2856","3840"
"052 144601100","1268",,"ALCATRAZ AVE",,,"2837","2500"
"052 144800101","1268",,"SIXTY-FIFTH ST",,,"1976","5060"
"052 144800201","1272",,"SIXTY-FIFTH ST",,,"1604","4689"
"052 144800300","1276",,"SIXTY-FIFTH ST",,,"1650","4400"
"052 144800400","3228",,"IDAHO ST",,,"3266","4400"
"052 144800500","3232",,"IDAHO ST",,,"1615","3562"
"052 144800600","3236",,"IDAHO ST",,,"940","4120"
"052 144800700","3240",,"IDAHO ST",,,"1082","4120"
"052 144800800","3242",,"IDAHO ST",,,"840","4120"
"052 144800900","3244",,"IDAHO ST",,,"921","4120"
"052 144801000","3246",,"IDAHO ST",,,"1102","4120"
"052 144801100","1279",,"ALCATRAZ AVE",,,"4196","5166"
"052 144801200","1275",,"ALCATRAZ AVE",,,"2600","4800"
"052 144801300","1273",,"ALCATRAZ AVE",,,"3425","4800"
"052 144801500","1269",,"ALCATRAZ AVE",,,"1343","4440"
"052 145200100","1310",,"SIXTY-SIXTH ST",,,"1676","4400"
"052 145200200","1279",,"SIXTY-FIFTH ST",,,"1912","4400"
"052 145200300","1275",,"SIXTY-FIFTH ST",,,"953","4400"
"052 145200400","1271",,"SIXTY-FIFTH ST",,,"2175","4400"
"052 145200500","1267",,"SIXTY-FIFTH ST",,,"2284","4400"
"052 145201100","1226",,"SIXTY-SIXTH ST",,,"2994","4400"
"052 145201200","1230",,"SIXTY-SIXTH ST",,,"2392","4400"
"052 145201300","1308",,"SIXTY-SIXTH ST",,,"1803","4400"
"052 145201500","1214",,"SIXTY-SIXTH ST",,,"1060","4400"
"052 145201701","1216",,"SIXTY-SIXTH ST",,,"1730","3850"
"052 145201901","1220",,"SIXTY-SIXTH ST",,,"1192","3850"
"052 145202300","1222",,"SIXTY-SIXTH ST",,,"1794","2200"
"052 145202400","1224",,"SIXTY-SIXTH ST",,,"1921","2200"
"052 145202500","1222",,"SIXTY-SIXTH ST","COM",,"0","0"
"052 145400100","1256",,"SIXTY-SEVENTH ST",,,"2877","5000"
"052 145400500","1219",,"SIXTY-SIXTH ST",,,"2490","3600"
"052 145400600","1215",,"SIXTY-SIXTH ST",,,"1340","3600"
"052 145400800","1254",,"SIXTY-SEVENTH ST",,,"1100","5000"
"052 145401001","3126",,"MABEL ST",,,"1427","4369"
"052 145401200","3134",,"MABEL ST",,,"1432","4135"
"052 145401400","3140",,"MABEL ST",,,"1332","3554"
"052 145401600","1060",,"SIXTY-SIXTH ST",,,"2404","4634"
"052 151200103","3100",,"SAN PABLO AVE",,,"263450","97193"
"052 151200900","940",,"FOLGER AVE",,,"0","24562"
"052 151201001","930",,"FOLGER AVE",,,"0","8830"
"052 151201002","920",,"FOLGER AVE",,,"0","755"
"052 151300301","910",,"FOLGER AVE",,,"24077","22500"
"052 151300400","0",,"FOLGER AVE",,,"0","5625"
"052 151300500","900",,"FOLGER AVE",,,"0","11250"
"052 151300601","840",,"FOLGER AVE",,,"0","13125"
"052 151301001","830",,"FOLGER AVE",,,"22871","21300"
"052 151301101","824",,"FOLGER AVE",,,"0","5625"
"052 151301102","820",,"FOLGER AVE",,,"4696","5625"
"052 151301103","816",,"FOLGER AVE",,,"5625","5400"
"052 151301200","3045",,"HOLLIS ST",,,"6550","7219"
"052 151400201","754",,"FOLGER AVE",,,"17010","16875"
"052 151400301","746",,"FOLGER AVE",,,"24077","12600"
"052 151400402","742",,"FOLGER AVE",,,"5142","11250"
"052 151400403","742",,"FOLGER AVE",,,"0","11250"
"052 151400601","712",,"FOLGER AVE",,,"12257","12600"
"052 151400701","708",,"FOLGER AVE",,,"29003","22500"
"052 151400800","700",,"FOLGER AVE",,,"0","21473"
"052 151500101","3131",,"SAN PABLO AVE",,,"3624","3071"
"052 151500102","3131",,"SAN PABLO AVE",,,"3642","3071"
"052 151500200","3101",,"SAN PABLO AVE",,,"2775","2550"
"052 151501700","1252",,"HASKELL ST",,,"1487","5150"
"052 151501800","3104",,"MABEL ST",,,"1904","3737"
"052 151501900","3108",,"MABEL ST",,,"1603","4040"
"052 151502002","3116",,"MABEL ST",,,"2355","4500"
"052 151502200","1202",,"HASKELL ST",,,"2661","4090"
"052 151502400","1206",,"HASKELL ST",,,"1327","2500"
"052 151502600","1216",,"HASKELL ST",,,"2203","5000"
"052 151502801","1218",,"HASKELL ST",,,"2832","4199"
"052 151503000","1220",,"HASKELL ST",,,"2715","3724"
"052 151503200","1224",,"HASKELL ST",,,"2586","1800"
"052 151503400","1226",,"HASKELL ST",,,"2468","4199"
"052 151503600","1228",,"HASKELL ST",,,"872","3400"
"052 151503801","1234",,"HASKELL ST",,,"1767","6362"
"052 151504000","1236",,"HASKELL ST",,,"4589","5610"
"052 151504200","1238",,"HASKELL ST",,,"2734","4500"
"052 151504400","1240",,"HASKELL ST",,,"2542","5000"
"052 151504600","1248",,"HASKELL ST",,,"1907","4000"
"052 151504800","1250",,"HASKELL ST",,,"1245","3500"
"052 151505000","3112",,"MABEL ST",,,"1422","4500"
"052 151600100","1346",,"HASKELL ST",,,"1491","5300"
"052 151600200","3104",,"ACTON ST",,,"1335","2650"
"052 151600300","3106",,"ACTON ST",,,"2071","2650"
"052 151600400","3108",,"ACTON ST",,,"1668","5300"
"052 151600500","3112",,"ACTON ST",,,"1072","3690"
"052 151600600","3116",,"ACTON ST",,,"1526","3610"
"052 151600700","1343",,"SIXTY-SEVENTH ST",,,"1295","3450"
"052 151600800","1335",,"SIXTY-SEVENTH ST",,,"927","4828"
"052 151600900","1333",,"SIXTY-SEVENTH ST",,,"1038","4515"
"052 151601000","1331",,"SIXTY-SEVENTH ST",,,"1768","4514"
"052 151601100","1329",,"SIXTY-SEVENTH ST",,,"930","4551"
"052 151601200","1327",,"SIXTY-SEVENTH ST",,,"973","4551"
"052 151601300","1323",,"SIXTY-SEVENTH ST",,,"1691","4588"
"052 151601400","1321",,"SIXTY-SEVENTH ST",,,"1774","4625"
"052 151601500","1317",,"SIXTY-SEVENTH ST",,,"2812","4410"
"052 151601600","1315",,"SIXTY-SEVENTH ST",,,"1235","4440"
"052 151601700","1311",,"SIXTY-SEVENTH ST",,,"952","3811"
"052 151601800","1309",,"SIXTY-SEVENTH ST",,,"1182","3320"
"052 151601901","1305",,"SIXTY-SEVENTH ST",,,"1424","3990"
"052 151601902","1301",,"SIXTY-SEVENTH ST",,,"1845","2203"
"052 151602003","3115",,"MABEL ST",,,"955","2720"
"052 151602200","3101",,"MABEL ST",,,"8448","7800"
"052 151602300","1306",,"HASKELL ST",,,"3019","7500"
"052 151602501","1312",,"HASKELL ST",,,"1950","4950"
"052 151602900","1324",,"HASKELL ST",,,"1285","5850"
"052 151603000","1328",,"HASKELL ST",,,"1307","5850"
"052 151603100","1330",,"HASKELL ST",,,"2002","4200"
"052 151603200","1340",,"HASKELL ST",,,"2017","7050"
"052 151603300","1342",,"HASKELL ST",,,"2357","6300"
"052 151603400","1314",,"HASKELL ST","A",,"935","1575"
"052 151603500","1314",,"HASKELL ST","B",,"720","1575"
"052 151603600","1314",,"HASKELL ST","C",,"954","1575"
"052 151603700","1314",,"HASKELL ST","COM",,"0","0"
"052 151603800","1314",,"HASKELL ST","VACNT",,"0","1575"
"052 151603900","1320",,"HASKELL ST","B",,"950","2250"
"052 151604000","1320",,"HASKELL ST","A",,"933","2250"
"052 151604100","1322",,"HASKELL ST","A",,"550","2250"
"052 151604200","1322",,"HASKELL ST","B",,"555","2250"
"052 151604300","1322",,"HASKELL ST","C",,"1125","2250"
"052 151604400","1320",,"HASKELL ST","COM",,"0","0"
"052 151604600","1310",,"HASKELL ST","A",,"1726","2500"
"052 151604700","1310",,"HASKELL ST","B",,"1527","2500"
"052 151604800","1310",,"HASKELL ST","C",,"1640","2500"
"052 151604900","1310",,"HASKELL ST","COM",,"0","0"
"052 151700100","1344",,"SIXTY-SEVENTH ST",,,"3134","4600"
"052 151700200","1347",,"SIXTY-SIXTH ST",,,"2233","4316"
"052 151700300","1341",,"SIXTY-SIXTH ST",,,"2467","4620"
"052 151700400","1337",,"SIXTY-SIXTH ST",,,"1176","4914"
"052 151700500","1333",,"SIXTY-SIXTH ST",,,"1176","4914"
"052 151700700","1325",,"SIXTY-SIXTH ST",,,"1796","4914"
"052 151700800","1321",,"SIXTY-SIXTH ST",,,"1074","4095"
"052 151700900","1319",,"SIXTY-SIXTH ST",,,"2493","4095"
"052 151701000","1317",,"SIXTY-SIXTH ST",,,"2404","4095"
"052 151701100","1315",,"SIXTY-SIXTH ST",,,"2196","4160"
"052 151701200","1311",,"SIXTY-SIXTH ST",,,"1855","4600"
"052 151701300","1309",,"SIXTY-SIXTH ST",,,"1671","4900"
"052 151701400","1307",,"SIXTY-SIXTH ST",,,"1176","5600"
"052 151701500","1305",,"SIXTY-SIXTH ST",,,"2892","3500"
"052 151701600","1303",,"SIXTY-SIXTH ST",,,"968","2577"
"052 151701700","3135",,"MABEL ST",,,"2008","4553"
"052 151701800","3131",,"MABEL ST",,,"871","3468"
"052 151701901","3127",,"MABEL ST",,,"2371","3531"
"052 151702001","3121",,"MABEL ST",,,"1429","2652"
"052 151702100","1308",,"SIXTY-SEVENTH ST",,,"1212","5984"
"052 151702200","1312",,"SIXTY-SEVENTH ST",,,"1140","5320"
"052 151702300","1314",,"SIXTY-SEVENTH ST",,,"1176","4636"
"052 151702400","1318",,"SIXTY-SEVENTH ST",,,"1176","4674"
"052 151702500","1320",,"SIXTY-SEVENTH ST",,,"1176","4450"
"052 151702600","1324",,"SIXTY-SEVENTH ST",,,"2168","4446"
"052 151702700","1326",,"SIXTY-SEVENTH ST",,,"1236","4446"
"052 151702800","1328",,"SIXTY-SEVENTH ST",,,"1176","4446"
"052 151702900","1332",,"SIXTY-SEVENTH ST",,,"1376","4446"
"052 151703000","1334",,"SIXTY-SEVENTH ST",,,"1176","4329"
"052 151703100","1338",,"SIXTY-SEVENTH ST",,,"1300","4407"
"052 151703200","1340",,"SIXTY-SEVENTH ST",,,"1363","4260"
"052 151703400","1329",,"SIXTY-SIXTH ST","A",,"1090","1638"
"052 151703500","1329",,"SIXTY-SIXTH ST","B",,"745","1638"
"052 151703600","1329",,"SIXTY-SIXTH ST","C",,"1245","1638"
"052 151703700","1329",,"SIXTY-SIXTH ST","COM",,"0","0"
"052 151800100","3252",,"BAKER ST",,,"969","3780"
"052 151800200","3258",,"BAKER ST",,,"969","3780"
"052 151800300","3264",,"BAKER ST",,,"965","3780"
"052 151800400","3270",,"BAKER ST",,,"1419","3780"
"052 151800500","1335",,"ALCATRAZ AVE",,,"2768","4620"
"052 151800600","1331",,"ALCATRAZ AVE",,,"2284","4668"
"052 151800700","1329",,"ALCATRAZ AVE",,,"1300","4620"
"052 151800800","1325",,"ALCATRAZ AVE",,,"3197","4760"
"052 151800900","1321",,"ALCATRAZ AVE",,,"3674","4760"
"052 151801000","1317",,"ALCATRAZ AVE",,,"2512","4760"
"052 151801100","1315",,"ALCATRAZ AVE",,,"2295","4760"
"052 151801200","1311",,"ALCATRAZ AVE",,,"2164","4760"
"052 151801300","1307",,"ALCATRAZ AVE",,,"2346","4760"
"052 151801400","1305",,"ALCATRAZ AVE",,,"1575","3465"
"052 151801500","1303",,"ALCATRAZ AVE",,,"1340","3675"
"052 151801600","1301",,"ALCATRAZ AVE",,,"2207","3150"
"052 151801700","3251",,"IDAHO ST",,,"2066","3500"
"052 151801800","3247",,"IDAHO ST",,,"2764","3640"
"052 151801900","3245",,"IDAHO ST",,,"1444","3640"
"052 151802000","3239",,"IDAHO ST",,,"860","3080"
"052 151802100","1304",,"HARMON ST",,,"987","2800"
"052 151802200","1306",,"HARMON ST",,,"1175","4200"
"052 151802300","1310",,"HARMON ST",,,"1029","5600"
"052 151802400","1314",,"HARMON ST",,,"870","5400"
"052 151802500","1316",,"HARMON ST",,,"2672","7000"
"052 151802600","1322",,"HARMON ST",,,"1272","7000"
"052 151802700","1326",,"HARMON ST",,,"1870","4620"
"052 151802800","1330",,"HARMON ST",,,"2725","4620"
"052 151802900","1332",,"HARMON ST",,,"2281","4620"
"052 151900100","3224",,"SACRAMENTO ST",,,"2661","4700"
"052 151900202","3240",,"SACRAMENTO ST",,,"12003","6703"
"052 151900203","1417",,"ALCATRAZ AVE",,,"3051","7637"
"052 151900800","1423",,"ALCATRAZ AVE",,,"4867","5600"
"052 151901000","1415",,"ALCATRAZ AVE",,,"1774","5600"
"052 151901100","1413",,"ALCATRAZ AVE",,,"2719","7000"
"052 151901200","1409",,"ALCATRAZ AVE",,,"2509","4900"
"052 151901300","1405",,"ALCATRAZ AVE",,,"1775","3500"
"052 151901400","1403",,"ALCATRAZ AVE",,,"1728","3500"
"052 151901500","1401",,"ALCATRAZ AVE",,,"2221","3500"
"052 151901600","3239",,"BAKER ST",,,"2032","4800"
"052 151901700","3235",,"BAKER ST",,,"1623","4800"
"052 151901800","1400",,"HARMON ST",,,"2958","4000"
"052 151901900","1404",,"HARMON ST",,,"1407","4000"
"052 151902101","1408",,"HARMON ST",,,"1998","4000"
"052 151902200","1412",,"HARMON ST",,,"2642","5600"
"052 151902401","1420",,"HARMON ST",,,"917","4000"
"052 151902402","1424",,"HARMON ST",,,"1244","4000"
"052 151902500","1430",,"HARMON ST",,,"2666","7521"
"052 151902600","0",,"SACRAMENTO ST",,,"0","16800"
"052 151902700","3250",,"SACRAMENTO ST",,,"25194","8929"
"052 151902800","1497",,"ALCATRAZ AVE",,,"25194","18183"
"052 151902900","1435",,"ALCATRAZ AVE","COM",,"0","0"
"052 151903100","1414",,"HARMON ST","A",,"886","1598"
"052 151903200","1414",,"HARMON ST","B",,"902","1598"
"052 151903300","1414",,"HARMON ST","C",,"850","1598"
"052 151903400","1416",,"HARMON ST","A",,"1303","1598"
"052 151903500","1416",,"HARMON ST","B",,"1303","1598"
"052 151903600","1418",,"HARMON ST","A",,"1303","1598"
"052 151903700","1418",,"HARMON ST","B",,"1303","1598"
"052 151903800","1414",,"HARMON ST","COM",,"0","0"
"052 152000100","1538",,"HARMON ST",,,"2148","5000"
"052 152000200","3234",,"CALIFORNIA ST",,,"1552","3500"
"052 152000300","3242",,"CALIFORNIA ST",,,"3099","1520"
"052 152000400","3260",,"CALIFORNIA ST",,,"3309","5625"
"052 152000500","1531",,"ALCATRAZ AVE",,,"8942","10650"
"052 152000600","1529",,"ALCATRAZ AVE",,,"3770","7100"
"052 152000700","1525",,"ALCATRAZ AVE",,,"6353","7100"
"052 152000800","1521",,"ALCATRAZ AVE",,,"4708","7193"
"052 152000900","1517",,"ALCATRAZ AVE",,,"2859","7150"
"052 152001000","1515",,"ALCATRAZ AVE",,,"1712","7150"
"052 152001100","1509",,"ALCATRAZ AVE",,,"1043","7200"
"052 152001200","3243",,"SACRAMENTO ST",,,"4035","4263"
"052 152001300","0",,"HARMON ST",,,"0","5003"
"052 152001400","1510",,"HARMON ST",,,"4541","6750"
"052 152001500","1514",,"HARMON ST",,,"5527","6750"
"052 152001600","1518",,"HARMON ST",,,"4810","6750"
"052 152001700","1522",,"HARMON ST",,,"3922","6750"
"052 152001800","1526",,"HARMON ST",,,"5334","6750"
"052 152001900","1530",,"HARMON ST",,,"1407","6750"
"052 152002000","1534",,"HARMON ST",,,"4672","6750"
"052 152002100","1536",,"HARMON ST",,,"3328","5000"
"052 152100100","1642",,"HARMON ST",,,"4542","5430"
"052 152100200","3226",,"KING ST",,,"2110","8280"
"052 152100300","3236",,"KING ST",,,"2508","4920"
"052 152100400","3240",,"KING ST",,,"2484","4920"
"052 152100500","1645",,"ALCATRAZ AVE",,,"2988","2258"
"052 152100600","1641",,"ALCATRAZ AVE",,,"1834","2250"
"052 152100700","1639",,"ALCATRAZ AVE",,,"2034","2250"
"052 152100800","1637",,"ALCATRAZ AVE",,,"1728","2250"
"052 152100900","1633",,"ALCATRAZ AVE",,,"4395","7730"
"052 152101000","1631",,"ALCATRAZ AVE",,,"4894","6996"
"052 152101100","1623",,"ALCATRAZ AVE",,,"5332","7000"
