document_id,project_id,permit_number,document_type_id,title,published_date,r2_url,sha256,page_count,file_size_bytes,url_status,url_last_verified,source_system,asserts
615,15,ZP2024-0066,2,2025-06-02 Plan,2025-06-02,https://pub-2cee87f70da64080ab70ee0a34b55099.r2.dev/architect_plans%3Aproj15_2109-virginia_2025-06-02_zoning-resubmission.pdf,8db8d805844d8afdc164a9d2ef297e5c7fc8d8c6a5176b620a13fc22cbc7a0cd,40,82459609,active,2026-06-12,ZP2024-0066_2109_VIRGINIA_St.txt,"total 110 units; 8-story; 89'-4"" tall"
617,15,ZP2024-0066,2,2025-07-09 planset 2109,2025-07-09,https://pub-2cee87f70da64080ab70ee0a34b55099.r2.dev/architect_plans%3Aproj15_2109-virginia_2025-07-09_planset_ZP2024-0066.pdf,eac26eb618fcde2e2d5e5e50d790baf15e72e90df7bb4da422e9cd37671165e2,40,49108285,active,2026-06-12,ZP2024-0066_2109_VIRGINIA_St.txt,"total 110 units (base 55 + density bonus 55); 8-story; 89'-4"" tall"
