hcd_row_id,JURS_TRACKING_ID,STREET_ADDRESS,APN,PRIOR_APN,UNIT_CAT,co_units_hcd,bp_units_hcd,cpra_presence
664,,2473 PRINCE,B2021-01398,,ADU,0,1,no_cpra_presence
665,,1657 Chestnut St,058 213702100,,ADU,0,1,no_cpra_presence
686,,2018 BLAKE,055 182102100,,5+,0,0,no_cpra_presence
751,,2243 ASHBY,B2021-00565,,ADU,0,1,no_cpra_presence
814,,2435 HASTE,055 188000700,,5+,0,0,no_cpra_presence
838,,770 PAGE,059 232500300,,SFD,1,0,no_cpra_presence
853,,2631 WEBSTER,B2021-03815,,ADU,0,1,no_cpra_presence
920,,2970 ADELINE,053 159801600,,2 to 4,0,0,no_cpra_presence
922,,1201 SAN PABLO,060 240500100,,5+,0,0,no_cpra_presence
1983,,3233 ELLIS,052 153101202,,2 to 4,0,0,no_cpra_presence
1987,,2100 SAN PABLO,056 197701001,,5+,0,0,no_cpra_presence
1988,,3233 Ellis St,052 153101301,,5+,0,0,no_cpra_presence
2002,,3044 MLK Jr,B2022-03216,,ADU,0,1,no_cpra_presence
