developer,project_count,total_units,vli_units,market_rate_units,density_bonus_projects
Unknown/Individual,20,788,112,676,0
NX Ventures,1,207,21,186,0
Panoramic Interests,3,123,40,83,0
Berkeley Ruby WIP Development LLC,1,113,0,113,0
RCD,1,87,86,1,0
Martin Group / Valiance Capital,1,83,5,78,0
Riaz Capital,1,69,0,69,0
Realtex Group,1,54,0,54,0
Gilbane Development,1,52,6,46,0
CHDC,1,50,50,0,0
2650 TELEGRAPH LP,1,45,0,45,0
