id,address,apn,permits,net_units,vli_units,status,app_filed_date,app_complete_date,entitled_date,bp_issued_date,co_date,density_bonus,sb35_flag,sb330_flag,ab2011_flag,developer,architect,construction_status,milestone_achieved
860,1051 WOODSIDE,,,1,0,completed,,,,,2022-11-01,,,,,,,,CO Issued
861,2210 PRINCE,,,1,0,completed,,,,,2022-08-08,,,,,,,,CO Issued
862,915 REGAL,,,1,0,completed,,,,,2022-04-26,,,,,,,,CO Issued
863,1825 SONOMA,,,1,0,completed,,,,,2022-09-28,,,,,,,,CO Issued
865,961 THE ALAMEDA,,,1,0,completed,,,,,2022-05-12,,,,,,,,CO Issued
866,1420 DWIGHT,,,1,0,completed,,,,,2022-07-22,,,,,,,,CO Issued
868,27 ALAMO,,,1,0,completed,,,,,2022-07-11,,,,,,,,CO Issued
869,1711 M L KING JR,,,1,0,completed,,,,,2022-01-14,,,,,,,,CO Issued
870,2114 EIGHTH,,,1,0,completed,,,,,2022-03-16,,,,,,,,CO Issued
871,2220 MCGEE,,,1,0,completed,,,,,2022-08-25,,,,,,,,CO Issued
872,1813 PARKER,,,1,0,completed,,,,,2022-04-18,,,,,,,,CO Issued
873,620 SAN MIGUEL,,,1,0,completed,,,,,2022-07-01,,,,,,,,CO Issued
874,1215 MONTEREY,,,1,0,completed,,,,,2022-06-14,,,,,,,,CO Issued
875,1512 SPRUCE,,,1,0,completed,,,,,2022-10-20,,,,,,,,CO Issued
876,3020 HARPER,,,1,0,completed,,,,,2022-03-04,,,,,,,,CO Issued
877,1626 JULIA,,,1,0,completed,,,,,2022-10-04,,,,,,,,CO Issued
878,790 HILLDALE,,,1,0,completed,,,,,2022-10-03,,,,,,,,CO Issued
879,2200 M L KING JR,,,1,0,completed,,,,,2022-09-08,,,,,,,,CO Issued
880,2440 GRANT,,,1,0,completed,,,,,2022-01-24,,,,,,,,CO Issued
881,2425 ACTON,,,1,0,completed,,,,,2022-03-22,,,,,,,,CO Issued
882,1131 CEDAR,,,1,0,completed,,,,,2022-11-17,,,,,,,,CO Issued
883,2936 PIEDMONT,,,1,0,completed,,,,,2022-03-22,,,,,,,,CO Issued
884,1430 STANNAGE,,,1,0,completed,,,,,2022-11-03,,,,,,,,CO Issued
885,1635 WOOLSEY,,,1,0,completed,,,,,2022-12-13,,,,,,,,CO Issued
886,200 ALVARADO,,,1,0,completed,,,,,2022-04-25,,,,,,,,CO Issued
154,2001 ASHBY Ave,,,87,86,completed,2024-01-01,,2022-01-31,2022-02-04,2025-06-01,,,,,RCD,Pyatok Architects,,BP Issued
143,2902 ADELINE St,,,54,0,withdrawn,2024-01-01,,2022-05-18,2024-01-01,,,,,,Realtex Group,SDT Architects,,Entitled
176,2440 SHATTUCK Ave,,,40,0,completed,2021-12-09,,2022-06-24,2024-11-19,2025-03-05,,,,,,,,Entitled
