hcd_row_id,JURS_TRACKING_ID,STREET_ADDRESS,APN,PRIOR_APN,UNIT_CAT,co_units_hcd,bp_units_hcd,cpra_presence
2,ZP2022-0178,2015 Blake St,055 182201304,,5+,0,0,no_cpra_presence
53,ZP2022-0113,2147 San Pablo Ave,056 198304201,,5+,0,0,no_cpra_presence
87,ZP2021-0192,2439 Durant Ave,055 187800400,,5+,0,0,no_cpra_presence
91,ZP2022-0126,3031 Telegraph Ave,052 157408100,,5+,0,0,no_cpra_presence
225,ZP2021-0177,0 Cragmont Ave,063 295202300,,SFD,0,0,no_cpra_presence
241,ZP2022-0020,0 Camelia St,060 235000802,,2 to 4,0,0,no_cpra_presence
244,ZP2021-0193,2065 Kittredge St,057 202700600,,5+,0,0,no_cpra_presence
245,ZP2022-0026,2190 Shattuck Ave,057 202600405,,5+,0,0,no_cpra_presence
247,PLN2022-0099,1708 Harmon,053-153300103,,5+,0,0,no_cpra_presence
314,ZP2022-0104,705 Euclid Ave,063 295504001,,SFD,0,0,no_cpra_presence
461,ZP2022-0179,2712 Telegraph Ave,054 171400501,,5+,0,0,no_cpra_presence
1885,ZP2022-0107,2800 Telegraph Ave,053 168900100,,5+,0,0,no_cpra_presence
1886,ZP2021-0186,1820 San Pablo Ave,057 208700500,,5+,0,0,no_cpra_presence
1888,ZP2022-0046,3000 Shattuck,053 159200100,,5+,0,0,no_cpra_presence
