hcd_row_id,cpra_permit_number,address_hcd,address_cpra,tracking_id,co_units_hcd,co_units_d5,bp_units_hcd,bp_units_d5,agree_co,agree_bp,units_agree,match_tier,in_c1,cpra_year
3,B2021-02225,2650 Telegraph Ave,2650 TELEGRAPH Ave,B2021-02225,0.0,0.0,45.0,45.0,True,True,True,tier_1_tracking_id,True,2023
6,B2022-03577,1216 Haskell St,1216 HASKELL St,B2022-03577,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2023
7,B2021-05114,1325 California St,1325 CALIFORNIA St,B2021-05114,1.0,1.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2023
8,B2021-01034,1437 Stannage Ave,1437 STANNAGE Ave,B2021-01034,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2023
9,B2023-00606,15 Hillcrest Rd,15 HILLCREST Rd,B2023-00606,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2023
10,B2023-01998,1609 Fifth St,1609 FIFTH St,B2023-01998,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2023
11,B2022-01505,1634 Fairview St,1634 FAIRVIEW St,B2022-01505,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2023
12,B2022-02628,1707 Rose St,1707 ROSE St,B2022-02628,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2023
13,B2021-05343,1907 Curtis St,1907 CURTIS St,B2021-05343,1.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2023
14,B2021-00733,1921 Parker St,1921 PARKER St,B2021-00733,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2023
15,B2023-00520,1912 Stuart St,1912 STUART St,B2023-00520,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2023
16,B2021-02411,2304 Russell St,2304 RUSSELL St,B2021-02411,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2023
17,B2022-03844,2226 Dwight Way,2226 DWIGHT Way,B2022-03844,0.0,0.0,2.0,2.0,True,True,True,tier_1_tracking_id,True,2023
18,B2022-05864,2455 Ashby Ave,2455 ASHBY Ave,B2022-05864,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2023
19,B2023-01199,2610 Warring St,2610 WARRING St,B2023-01199,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2023
20,B2022-01079,2701 Durant Ave,2701 DURANT Ave,B2022-01079,0.0,0.0,1.0,2.0,True,False,False,tier_1_tracking_id,True,2023
23,B2021-05697,0 Miller Ave,1025 MILLER Ave,B2021-05697,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2023
25,B2022-01596,1182 Euclid Ave,1182 EUCLID Ave,B2022-01596,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2023
51,B2022-01345,1837 Berkeley Way,1837 BERKELEY Way,B2022-01345,0.0,0.0,3.0,3.0,True,True,True,tier_1_tracking_id,True,2023
52,B2020-02941,1173 Hearst Ave,1173 HEARST Ave,B2020-02941,2.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2023
54,B2020-03911,2023 Shattuck Ave,2023 SHATTUCK Ave,B2020-03911,48.0,0.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2023
55,B2021-04563,2980 College Ave,2980 COLLEGE Ave,B2021-04563,4.0,2.0,0.0,0.0,False,True,False,tier_1_tracking_id,True,2023
58,B2018-03255,2527 San Pablo Ave,2527 SAN PABLO Ave,B2018-03255,0.0,0.0,63.0,63.0,True,True,True,tier_1_tracking_id,True,2023
59,B2021-03950,2099 M L King Jr Way,2099 M L KING JR Way,B2021-03950,0.0,0.0,72.0,72.0,True,True,True,tier_1_tracking_id,True,2023
61,B2022-03219,1016 Bancroft Way,1016 BANCROFT Way,B2022-03219,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2023
62,B2022-04665,1036 Mariposa Ave,1036 MARIPOSA Ave,B2022-04665,0.0,0.0,1.0,0.0,True,False,False,tier_1_tracking_id,True,2023
63,B2022-04626,1118 Carleton St,1118 CARLETON St,B2022-04626,1.0,0.0,1.0,0.0,False,False,False,tier_1_tracking_id,True,2023
64,B2022-05663,1209 Oxford St,1209 OXFORD St,B2022-05663,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2023
65,B2019-01241,1222 Carleton St,1222 CARLETON St,B2019-01241,1.0,1.0,0.0,0.0,True,True,True,tier_1_tracking_id,True,2023
66,B2022-01276,1220 Burnett St,1220 BURNETT St,B2022-01276,0.0,0.0,1.0,1.0,True,True,True,tier_1_tracking_id,True,2023
