Date	Permit Number	Status	Address
06/06/2024	undefined		2067 UNIVERSITY Ave, BERKELEY CA 94704
06/06/2024	undefined	Closed Expired	2035 HEARST Ave, BERKELEY CA 94709
06/06/2024	undefined	Closed Expired	1623 ALCATRAZ Ave, BERKELEY CA 94703
06/06/2024	undefined	Closed Expired	3329 CALIFORNIA St, BERKELEY CA 94703
06/06/2024	undefined	Closed Expired	2235 BONAR St, BERKELEY CA 94702
06/04/2024	undefined	Closed Expired	2732 M L KING JR Way, 1, BERKELEY CA 94703
05/31/2024	undefined	Closed Expired	2017 BERKELEY Way, BERKELEY CA 94704
05/31/2024	undefined	Closed Expired	2409 TENTH St, BERKELEY CA 94710
05/23/2024	undefined	Closed Expired	2415 COLLEGE Ave, BERKELEY CA 94704
05/23/2024	undefined	Closed Expired	2415 COLLEGE Ave, BERKELEY CA 94704
05/23/2024	undefined	Closed Expired	1701 HARMON St, BERKELEY CA 94703
05/20/2024	undefined	Closed Expired	2311 PROSPECT St, BERKELEY CA 94704
05/14/2024	undefined	Closed Expired	2025 HEARST Ave, BERKELEY CA 94709
05/14/2024	undefined	Closed Expired	2600 ETNA St, COM, BERKELEY CA 94704
05/14/2024	undefined	Closed Expired	2600 ETNA St, 3, BERKELEY CA 94704
05/06/2024	undefined	Closed Expired	2717 HASTE St, BERKELEY CA 94704
05/02/2024	undefined	Closed Expired	2453 BYRON St, BERKELEY CA 94702
04/29/2024	undefined	Closed Expired	1808 FIFTH St, BERKELEY CA 94710
04/27/2024	undefined	Closed Expired	2114 PARKER St, 1, BERKELEY CA 94704
04/24/2024	undefined	Closed Expired	1515 OXFORD St, 1C, BERKELEY CA 94709
04/24/2024	undefined	Closed Expired	2425 SHATTUCK Ave, BERKELEY CA 94704
04/23/2024	undefined	Closed Expired	2132 ROOSEVELT Ave, 2, BERKELEY CA 94703
04/22/2024	undefined	Closed Expired	2405 FULTON St, BERKELEY CA 94704
04/21/2024	undefined		1515 OXFORD St, 1C, BERKELEY CA 94709
04/19/2024	undefined	Closed Expired	1290 HOPKINS St, 31, BERKELEY CA 94702
04/19/2024	undefined	Closed Expired	1290 HOPKINS St, 31, BERKELEY CA 94702
04/19/2024	undefined	Closed Expired	2414 SACRAMENTO St, BERKELEY CA 94702
04/19/2024	undefined	Closed Expired	2451 BYRON St, BERKELEY CA 94702
04/16/2024	undefined	Closed Expired	2425 GRANT St, G, BERKELEY CA 94703
04/16/2024	undefined	Closed Expired	1426 SPRUCE St, BERKELEY CA 94709
04/10/2024	undefined	Closed Expired	2398 BANCROFT Way, BERKELEY CA 94704
04/08/2024	undefined	Closed Expired	2627 VIRGINIA St, BERKELEY CA 94709
04/05/2024	undefined	Closed Expired	2910 HILLEGASS Ave, 3, BERKELEY CA 94705
04/03/2024	undefined	Closed Expired	2132 ROOSEVELT Ave, 2, BERKELEY CA 94703
04/02/2024	undefined	Closed Expired	3113 SHATTUCK Ave, 4, BERKELEY CA 94704
04/02/2024	undefined	Closed Expired	3113 SHATTUCK Ave, 2, BERKELEY CA 94704
04/01/2024	undefined	Closed Expired	2123 RUSSELL St, BERKELEY CA 94705
03/27/2024	undefined	Closed Expired	2914 DEAKIN St, COM, BERKELEY CA 94705
03/26/2024	undefined	Closed Expired	1820 ACTON St, BERKELEY CA 94702
03/26/2024	undefined	Closed Expired	2609 SAN PABLO Ave, BERKELEY CA 94702
03/25/2024	undefined	Closed Expired	1290 HOPKINS St, 25, BERKELEY CA 94702
03/22/2024	undefined	Closed Expired	2447 BONAR St, BERKELEY CA 94702
03/22/2024	undefined	Closed Expired	2564 VIRGINIA St, BERKELEY CA 94709
03/20/2024	undefined	Closed Expired	2398 BANCROFT Way, BERKELEY CA 94704
03/20/2024	undefined	Closed Expired	1921 DELAWARE St, BERKELEY CA 94709
03/13/2024	undefined	Closed Expired	2715 CHANNING Way, BERKELEY CA 94704
03/11/2024	undefined	Closed Expired	2910 HILLEGASS Ave, 3, BERKELEY CA 94705
03/10/2024	undefined	Closed Expired	1757 OXFORD St, BERKELEY CA 94709
03/07/2024	undefined	Closed Expired	1813 SIXTY-THIRD St, BERKELEY CA 94703
03/07/2024	undefined	Closed Expired	1630 RUSSELL St, BERKELEY CA 94703
03/06/2024	undefined	Closed Expired	1912 WOOLSEY St, BERKELEY CA 94703
03/05/2024	undefined	Closed Expired	1588 HENRY St, 3, BERKELEY CA 94709
02/28/2024	undefined	Closed Expired	2336 PIEDMONT Ave, BERKELEY CA 94704
02/28/2024	undefined	Closed Expired	2405 FULTON St, BERKELEY CA 94704
02/26/2024	undefined	Closed Expired	1409 OXFORD St, COM, BERKELEY CA 94709
02/26/2024	undefined	Closed Expired	1434 SIXTH St, BERKELEY CA 94710
02/20/2024	undefined		2336 PIEDMONT Ave, BERKELEY CA 94704
02/16/2024	undefined	Closed Expired	2525 ASHBY Ave, 1, BERKELEY CA 94705
02/16/2024	undefined		2035 PARKER St, BERKELEY CA 94704
02/15/2024	undefined	Closed Expired	1921 DELAWARE St, BERKELEY CA 94709
02/15/2024	undefined	Closed Expired	1244 ASHBY Ave, BERKELEY CA 94702
02/12/2024	undefined	Closed Expired	2227 MCGEE Ave, BERKELEY CA 94703
02/07/2024	undefined	Closed Expired	1600 SIXTY-THIRD St, BERKELEY CA 94703
02/07/2024	undefined	Closed Expired	1600 SIXTY-THIRD St, BERKELEY CA 94703
02/07/2024	undefined	Closed Expired	1409 OXFORD St, COM, BERKELEY CA 94709
02/06/2024	undefined		3112 DEAKIN St, BERKELEY CA 94705
02/06/2024	undefined		2634 VIRGINIA St, 24, BERKELEY CA 94709
01/31/2024	undefined	Closed Expired	2729 DWIGHT Way, 302, BERKELEY CA 94704
01/30/2024	undefined		2160 ASHBY Ave, BERKELEY CA 94705
01/25/2024	undefined	Closed Expired	1338 SHATTUCK Ave, BERKELEY CA 94709
01/25/2024	undefined		2103 CALIFORNIA St, BERKELEY CA 94703
01/23/2024	undefined	Closed Expired	1619 WALNUT St, BERKELEY CA 94709
01/19/2024	undefined	Closed Expired	1616 PRINCE St, BERKELEY CA 94703
01/18/2024	undefined	Closed Expired	2137 DWIGHT Way, BERKELEY CA 94704
01/17/2024	undefined	Closed Expired	1921 DELAWARE St, BERKELEY CA 94709
01/13/2024	undefined	Closed Expired	1625 CEDAR St, BERKELEY CA 94703
01/10/2024	undefined	Closed Expired	2200 BROWNING St, BERKELEY CA 94702
01/05/2024	undefined	Closed Expired	2200 DWIGHT Way, BERKELEY CA 94704
01/04/2024	undefined		2323 SEVENTH St, BERKELEY CA 94710
01/03/2024	undefined	Closed Expired	2142 SACRAMENTO St, BERKELEY CA 94702
01/01/2024	undefined	Closed Expired	1809 TENTH St, BERKELEY CA 94710
01/01/2024	undefined	Closed Expired	2416 ROOSEVELT Ave, BERKELEY CA 94703
01/01/2024	undefined	Closed Expired	2332 M L KING JR Way, BERKELEY CA 94704
12/27/2023	undefined		2321 SEVENTH St, BERKELEY CA 94710
12/24/2023	undefined		1635 FRANCISCO St, B, BERKELEY CA 94703
12/22/2023	undefined	Closed Expired	1509 HEARST Ave, BERKELEY CA 94703
12/19/2023	undefined	Closed Expired	1423 WALNUT St, COM, BERKELEY CA 94709
12/19/2023	undefined	Closed Expired	2012 BERKELEY Way, BERKELEY CA 94704
12/18/2023	undefined	Closed Expired	1520 FAIRVIEW St, B, BERKELEY CA 94703
12/13/2023	undefined		3038 HALCYON Ct, A, BERKELEY CA 94705
12/11/2023	undefined	Closed Expired	1545 HOPKINS St, BERKELEY CA 94707
11/30/2023	undefined	Closed Expired	2091 CALIFORNIA St, BERKELEY CA 94703
11/29/2023	undefined	Closed Expired	2324 NINTH St, BERKELEY CA 94710
11/22/2023	undefined	Closed Expired	2517 VIRGINIA St, BERKELEY CA 94709
11/13/2023	undefined	Closed Expired	1509 HEARST Ave, 101, BERKELEY CA 94703
11/13/2023	undefined	Closed Expired	1217 HASKELL St, BERKELEY CA 94702
11/10/2023	undefined	Closed Expired	1323 VIRGINIA St, A, BERKELEY CA 94702
11/10/2023	undefined	Closed Expired	2564 VIRGINIA St, 7, BERKELEY CA 94709
10/30/2023	undefined	Closed Expired	2329 CHANNING Way, BERKELEY CA 94704
10/30/2023	undefined	Closed Expired	2203 DERBY St, BERKELEY CA 94705
10/30/2023	undefined	Closed Expired	2718 NINTH St, BERKELEY CA 94710
10/26/2023	undefined	Closed Expired	2139 GRANT St, BERKELEY CA 94703
10/26/2023	undefined	Closed Expired	2609 SAN PABLO Ave, BERKELEY CA 94702
10/24/2023	undefined	Closed Expired	1448 JOSEPHINE St, 1, BERKELEY CA 94703
10/24/2023	undefined	Closed Expired	1448 JOSEPHINE St, 2, BERKELEY CA 94703
10/17/2023	undefined	Closed Expired	2737 DURANT Ave, BERKELEY CA 94704
10/13/2023	undefined	Closed Expired	2203 DERBY St, BERKELEY CA 94705
10/04/2023	undefined	Closed Expired	2420 MILVIA St, A, BERKELEY CA 94704
10/03/2023	undefined	Closed Expired	2411 PARKER St, BERKELEY CA 94704
10/02/2023	undefined	Closed Expired	2220 SACRAMENTO St, COM, BERKELEY CA 94702
09/26/2023	undefined		2020 DWIGHT Way, BERKELEY CA 94704
09/25/2023	undefined		1951 SHATTUCK Ave, BERKELEY CA 94704 United States
09/23/2023	undefined	Closed Expired	1330 SACRAMENTO St, BERKELEY CA 94702
09/18/2023	undefined	Closed Expired	1801 ROSE St, 6, BERKELEY CA 94703
09/13/2023	undefined	Closed Expired	1522 HENRY St, BERKELEY CA 94709
09/12/2023	undefined		906 HEARST Ave, BERKELEY CA 94710
09/01/2023	undefined	Closed Expired	2431 VIRGINIA St, BERKELEY CA 94709
09/01/2023	undefined	Closed Expired	1104 CHAUCER St, 4, BERKELEY CA 94702
08/22/2023	undefined	Closed Expired	2336 CHANNING Way, BERKELEY CA 94704
08/18/2023	undefined	Closed Expired	2915 REGENT St, BERKELEY CA 94705
08/17/2023	undefined	Closed Expired	1418 PERALTA Ave, BERKELEY CA 94702
08/16/2023	undefined	Closed Expired	2329 CHANNING Way, BERKELEY CA 94704
08/11/2023	undefined	Closed Expired	2020 DWIGHT Way, BERKELEY CA 94704
08/02/2023	undefined	Closed Expired	108 FOREST Ln, BERKELEY CA 94708
07/31/2023	undefined		2203 DERBY St, BERKELEY CA 94705
07/30/2023	undefined		1170 CAMELIA St, BERKELEY CA 94702
07/25/2023	undefined	Closed Expired	2321 DWIGHT Way, 105, BERKELEY CA 94704
07/18/2023	undefined		2028 BANCROFT Way, BERKELEY CA 94704
07/18/2023	undefined	Closed Expired	1531 DERBY St, BERKELEY CA 94703
06/30/2023	undefined	Closed Expired	3214 CALIFORNIA St, BERKELEY CA 94703
06/30/2023	undefined	Closed Expired	3328 KING St, BERKELEY CA 94703
06/29/2023	undefined	Closed Expired	1926 ALCATRAZ Ave, BERKELEY CA 94703
06/28/2023	undefined	Closed Expired	2024 DURANT Ave, BERKELEY CA 94704
06/27/2023	undefined	Closed Expired	2240 BLAKE St, BERKELEY CA 94704
06/21/2023	undefined	Closed Expired	1615 MCGEE Ave, BERKELEY CA 94703
06/21/2023	undefined		2510 LE CONTE Ave, BERKELEY CA 94709
06/15/2023	undefined	Closed Expired	2512 NINTH St, 10, BERKELEY CA 94710
06/13/2023	undefined	Closed Expired	1939 FRANCISCO St, A, BERKELEY CA 94709
06/08/2023	undefined	Closed Expired	2319 WARD St, 4, BERKELEY CA 94705
05/19/2023	undefined	Closed Expired	1527 ASHBY Ave, BERKELEY CA 94703
05/17/2023	undefined	Closed Expired	828 INDIAN ROCK Ave, BERKELEY CA 94707
05/16/2023	undefined	Closed Expired	2311 CHANNING Way, BERKELEY CA 94704
05/09/2023	undefined	Closed Expired	1322 SHATTUCK Ave, BERKELEY CA 94709
04/25/2023	undefined	Closed Expired	1513 HEARST Ave, BERKELEY CA 94703
04/19/2023	undefined	Closed Expired	1801 WOOLSEY St, BERKELEY CA 94703
03/31/2023	undefined	Closed Expired	1611 MCGEE Ave, BERKELEY CA 94703
03/25/2023	undefined	Closed Expired	2033 PARKER St, B, BERKELEY CA 94704
03/24/2023	undefined	Closed Expired	2948 PINE Ave, BERKELEY CA 94705
03/23/2023	undefined	Closed Expired	2312 WARRING St, BERKELEY CA 94704
03/17/2023	undefined	Closed Expired	1966 SAN PABLO Ave, BERKELEY CA 94702
02/27/2023	undefined	Closed Expired	2340 LE CONTE Ave, BERKELEY CA 94709
02/23/2023	undefined	Closed Expired	2550 DANA St, 2E, BERKELEY CA 94704
02/16/2023	undefined	Closed Expired	1529 TYLER St, BERKELEY CA 94703
02/16/2023	undefined	Closed Expired	1410 ALLSTON Way, BERKELEY CA 94702
01/31/2023	undefined	Closed Expired	2529 ELLSWORTH St, BERKELEY CA 94704
01/25/2023	undefined	Closed Expired	1479 LINCOLN St, BERKELEY CA 94702
01/15/2023	undefined	Closed Expired	2111 BYRON St, B, BERKELEY CA 94702
