hcd_row_id,JURS_TRACKING_ID,STREET_ADDRESS,APN,PRIOR_APN,UNIT_CAT,co_units_hcd,bp_units_hcd,cpra_presence
790,ZP2019-0106,1872 Allston,057 201800300,,SFD,0,0,no_cpra_presence
804,ZP2019-0048,2795 San Pablo,054 174202900,,5+,0,0,no_cpra_presence
866,ZP2019-0192,1200 San Pablo,060 235400200,,5+,0,0,no_cpra_presence
887,ZP2019-0193,1531 Summit,060 249201704,,SFD,0,0,no_cpra_presence
894,ZP2019-0027,2150-76 Kittredge,057 202900204,,5+,0,0,no_cpra_presence
909,ZP2019-0156,2511 Channing,055 187602200,,SFA,0,0,no_cpra_presence
972,ZP2020-0011,2210 Harold,057 202700202,,5+,0,0,no_cpra_presence
994,ZP2018-0237,2128 Ward,054 172002400,,2 to 4,0,0,no_cpra_presence
995,ZP2020-0009,2327 Fifth,056 194202200,,2 to 4,0,0,no_cpra_presence
1031,ZP2016-0014,2720 San Pablo,054 174400700,,5+,0,0,no_cpra_presence
2032,ZP2019-0029,1919 Oregon,053 168001100,,2 to 4,0,0,no_cpra_presence
