JURS_TRACKING_ID,STREET_ADDRESS,APN,UNIT_CAT,co_units_d5,bp_units_d5
B2019-03278,1208 GILMAN St,060 240100200,SFD,0.0,0.0
B2016-03142,1312 Northside Ave,060 241400301,SFD,0.0,0.0
B2020-04032,1410 PERALTA Ave,060 241704200,SFD,0.0,1.0
B2016-02722,1321 NORTHSIDE Ave,060 241707001,SFD,0.0,0.0
B2019-04972,1360 ACTON St,060 242701300,SFD,0.0,0.0
B2019-04107,1407 GILMAN St,060 242801600,SFD,0.0,0.0
B2018-04811,1615 MCGEE Ave,060 243804200,SFD,0.0,0.0
B2018-01842,1333 GRANT St,060 244503000,SFD,0.0,0.0
B2019-05514,1912 YOLO Ave,060 244900300,SFD,0.0,0.0
B2018-02804,1943 ROSE St,060 245101800,SFD,0.0,0.0
B2019-03656,1322 SHATTUCK Ave,060 245506000,SFD,0.0,0.0
B2018-02726,2684 SHASTA Rd,060 246906607,SFD,0.0,0.0
B2017-02725,22 TAMALPAIS Rd,060 247302300,SFD,0.0,0.0
B2020-03466,9 NORTHGATE Ave,060 248001700,SFD,0.0,1.0
B2019-01212,1384 QUEENS Rd,060 248201900,SFD,0.0,0.0
B2019-04989,1484 GRIZZLY PEAK Blvd,060 249002800,SFD,0.0,0.0
B2020-00345,1156 ARCH St,061 255603301,SFD,0.0,0.0
B2020-02076,1175 OXFORD St,061 255702900,SFD,0.0,0.0
B2019-02949,1187 SHATTUCK Ave,061 256102100,SFD,0.0,0.0
B2019-05588,1141 SHATTUCK Ave,061 256102700,SFD,0.0,0.0
B2019-03325,2026 LOS ANGELES Ave,061 256300500,SFD,0.0,0.0
B2019-01299,2005 YOLO Ave,061 256502600,SFD,0.0,0.0
B2019-02442,1943 NAPA Ave,061 257001400,SFD,0.0,0.0
B2019-04097,1968 YOSEMITE Rd,061 257600800,SFD,0.0,0.0
B2018-01728,44 MONTROSE Rd,061 258100200,SFD,0.0,0.0
B2019-05573,815 INDIAN ROCK Ave,061 258304800,SFD,0.0,0.0
