hcd_row_id,JURS_TRACKING_ID,STREET_ADDRESS,APN,PRIOR_APN,UNIT_CAT,co_units_hcd,bp_units_hcd,cpra_presence
1041,ZP2018-0193,1024 Grizzly Peak,063-2969-34-35,,SFD,0,0,no_cpra_presence
1132,ZP2018-0112,2198 San Pablo,056 197701300,,5+,0,0,no_cpra_presence
1185,ZP2016-0117,2190 Shattuck,057 202600405,,5+,0,0,no_cpra_presence
2041,ZP2018-0227,1026 Grizzly Peak,063-2969-34-36,,SFD,0,0,no_cpra_presence
2054,ZP2018-0085,1825 Berkeley,57 206301100,,2 to 4,0,0,no_cpra_presence
2058,ZP2018-0145,2015 Eighth,056 197201800,,2 to 4,0,0,no_cpra_presence
