JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,APP_SUBMIT_DT,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,TOT_PROPOSED_UNITS,TOT_APPROVED_UNITS,TOT_DISAPPROVED_UNITS,APP_SUBMITTED_SB35,DENSITY_BONUS_RECEIVED,DENSITY_BONUS_APPROVED,APPLICATION_STATUS,PROJECT_TYPE,NOTES
BERKELEY,Alameda,2024,,055 183600800,"2614 TELEGRAPH Ave, BERKELEY, CA",,ZP2024-0027,5+,Renter,,3,0,2,0,0,0,27,32,0,0,None,Yes,Yes,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 188400600,"2317 CHANNING Way, BERKELEY, CA",,PLN2024-0018,5+,Renter,,0,0,0,0,0,0,22,22,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 188400600,"2317 CHANNING Way, BERKELEY, CA",,ZP2024-0033,5+,Renter,,0,0,0,0,0,0,22,22,22,0,None,No,No,Approved,Discretionary,
BERKELEY,Alameda,2024,,055 189800100,"2428 MILVIA St, BERKELEY, CA",,PLN2024-0025,5+,Renter,,0,0,0,0,0,0,14,14,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 183001400,"2201 BLAKE St, BERKELEY, CA",,PLN2024-0013,2-4,Owner,,0,0,0,0,0,0,7,7,7,0,None,No,No,Approved,Discretionary,
BERKELEY,Alameda,2024,,052 157307802,"2420 ASHBY Ave, BERKELEY, CA",,ZP2024-0147,2 to 4,Owner,,0,0,0,0,0,0,4,4,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 183001400,"2205 BLAKE St, BERKELEY, CA",,PLN2024-0001,2 to 4,Owner,,0,0,0,0,0,0,3,3,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 183001600,"2204 DWIGHT Way, BERKELEY, CA",,ZP2024-0059,2 to 4,Owner,,0,0,0,0,0,0,2,2,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,052 157405200,"3035 COLBY St, BERKELEY, CA",,ZP2024-0112,2 to 4,Owner,,0,0,0,0,0,0,2,2,2,0,None,No,No,Approved,Discretionary,
BERKELEY,Alameda,2024,,,"0 LE ROY Ave, BERKELEY, CA",,PLN2024-0024,SFD,Owner,,0,0,0,0,0,0,1,1,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,055 190501200,"2328 GRANT St, BERKELEY, CA",,PLN2024-0062,SFD,Owner,,0,0,0,0,0,0,1,1,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,061 257401300,"1939 MARIN Ave, BERKELEY, CA",,PLN2024-0061,SFD,Owner,,0,0,0,0,0,0,1,1,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,063 298803800,"1136 KEITH Ave, BERKELEY, CA",,PLN2024-0047,SFD,Owner,,0,0,0,0,0,0,1,1,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,062 291602800,"576 SAN LUIS Rd, BERKELEY, CA",,ZP2024-0053,2 to 4,Owner,,0,0,0,0,0,0,0,0,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,057 202502300,"2009 ADDISON St, BERKELEY, CA",,ZP2024-0111,2 to 4,Owner,,0,0,0,0,0,0,0,0,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,052 157404601,"3036 REGENT St, BERKELEY, CA",,ZP2024-0122,2 to 4,Owner,,0,0,0,0,0,0,0,0,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,056 199300100,"1312 ADDISON St, BERKELEY, CA",,ZP2024-0125,2 to 4,Owner,,0,0,0,0,0,0,0,0,0,0,None,No,No,Pending,Discretionary,
BERKELEY,Alameda,2024,,057 201502200,"2145 GRANT St, BERKELEY, CA",,ZP2024-0138,2 to 4,Owner,,0,0,0,0,0,0,0,0,0,0,None,No,No,Pending,Discretionary,
